網址,工作名稱,工作標籤,關鍵字,date
https://www.104.com.tw/job/6ivgl?jobsource=new_map&app_jobsource=m_time4jobs,D4000 網站前端開發工程師/資深工程師【台中】,前端工程師,"AJAX,CSS,HTML,JavaScript,前端,軟體",2025-04-11
https://www.104.com.tw/job/8a4ld?jobsource=new_map&app_jobsource=m_time4jobs,前端工程師,全端工程師,"CSS,Figma,HTML,JavaScript,Node.js,Sass,jQuery,全端,前端,後端,效能,軟體",2025-04-11
https://www.104.com.tw/job/72c1k?jobsource=new_map&app_jobsource=m_time4jobs,初階軟體工程師(PC base)-台中潭子,軟體工程師,".net,C#,C++,Visual Studio,軟體",2025-04-11
https://www.104.com.tw/job/85wad?jobsource=new_map&app_jobsource=m_time4jobs,資訊專員,軟體工程師,"TCP/IP,監控,資料庫,軟體",2025-04-11
https://www.104.com.tw/job/7y7kj?jobsource=new_map&app_jobsource=m_time4jobs,PHP Laravel 後端工程師 或 DevOps SRE 工程師,前端工程師,".NET,API,ASP,ASP.NET,C#,CSS,DevOps,Git,HTML,JavaScript,Laravel,Linux,MySQL,PHP,Python,Restful,SRE,前端,後端,微服務,框架,資料庫,軟體",2025-04-11
https://www.104.com.tw/job/8o1sf?jobsource=new_map&app_jobsource=m_time4jobs,電商訂購系統前端開發工程師,前端工程師,"API,Babel,ES6,JavaScript,Nginx,React,Redux,Webpack,gulp,前端,圖,後端,框架,狀態,自動化,軟體,電商",2025-04-11
https://www.104.com.tw/job/8nnur?jobsource=new_map&app_jobsource=m_time4jobs,IPAS 資訊安全工程師(初級)講師-台中站前認證中心,AI 工程師,"AI,機器學習,認證",2025-04-11
https://www.104.com.tw/job/88jl9?jobsource=new_map&app_jobsource=m_time4jobs,後端工程師,後端工程師,"AI,API,Docker,Git,HTTP,PostgreSQL,Redis,TCP/IP,WebSocket,容器,後端,效能,模組,資料庫,軟體,追蹤",2025-04-11
https://www.104.com.tw/job/8nnu8?jobsource=new_map&app_jobsource=m_time4jobs,IPAS AI應用規畫師(初級)講師-台中站前認證中心,AI 工程師,"AI,機器學習,認證",2025-04-11
https://www.104.com.tw/job/7ts1m?jobsource=new_map&app_jobsource=m_time4jobs,外勤-台中-維修工程師(歡迎應屆畢業生)-日商-自動化板金機械設備,軟體工程師,"IOT,自動化,軟體",2025-04-11
https://www.104.com.tw/job/57voc?jobsource=new_map&app_jobsource=m_time4jobs,「歡迎企業實習」電腦軟硬體外點維護工程師(台中市)-【JD-00000003】,軟體工程師,"Excel,Word,軟體",2025-04-11
https://www.104.com.tw/job/8ig24?jobsource=new_map&app_jobsource=m_time4jobs,【擴編】PHP工程師 台中/台北分公司,全端工程師,"Ajax,Framework,JavaScript,MySQL,PHP,Vue,jQuery,全端,後端,資料庫,軟體",2025-04-11
https://www.104.com.tw/job/75fyc?jobsource=new_map&app_jobsource=m_time4jobs,軟體工程師(★作息正常),Android 工程師,".NET,.NET Core,API,Android,HTML,JavaScript,Linux,Raspberry Pi,Unix,iOS,jQuery,文件,自動化,資料庫,軟體",2025-04-11
https://www.104.com.tw/job/8bap3?jobsource=new_map&app_jobsource=m_time4jobs,軟體開發工程師（潭子廠）,軟體工程師,"PLC,模擬,軟體",2025-04-11
https://www.104.com.tw/job/7v37e?jobsource=new_map&app_jobsource=m_time4jobs,【資通安全部】資訊安全工程師,網頁設計師,"AWS,CDN,GCP,監控",2025-04-11
https://www.104.com.tw/job/8ilro?jobsource=new_map&app_jobsource=m_time4jobs,電子商務前端工程師,前端工程師,"CSS,JavaScript,Laravel,Nuxt.js,PHP,RWD,SASS,SCSS,Vue,https,jQuery,前端,品質,後端,效能,框架,模組,模組化,資料庫,軟體",2025-04-11
https://www.104.com.tw/job/6megu?jobsource=new_map&app_jobsource=m_time4jobs,Laravel 後端工程師,前端工程師,"AWS,CI/CD,Docker,Framework,GCP,Git,Github,Jenkins,Laravel,Linux,MongoDB,MySQL,Nginx,NoSQL,OOP,PHP,PostgreSQL,前端,品質,後端,整合測試,文件,模組,模組化,自動化,資料庫,軟體,追蹤,部署",2025-04-11
https://www.104.com.tw/job/7kvyn?jobsource=new_map&app_jobsource=m_time4jobs,全端軟體工程師,全端工程師,".NET Framework,.Net,ADO.NET,ASP,ASP.NET,Agile,Ajax,Android,Azure,Bootstrap,C#,CSS,DataBase,Framework,Git,HTML5,JAVA,JQuery,JSON,JavaScript,LINQ,MVC,NoSQL,RWD,SQL,SQL Server,SQLite,Visual Studio,全端,前端,後端,物件導向,資料庫,軟體",2025-04-11
https://www.104.com.tw/job/7d2bv?jobsource=new_map&app_jobsource=m_time4jobs,,資料庫管理人員,".net,C#,Database,HMI,MySQL,Python,SCADA,SQL,圖,自動化,資料庫,軟體",2025-04-11
https://www.104.com.tw/job/8ll7r?jobsource=new_map&app_jobsource=m_time4jobs,Tech Lead / 全端開發專家,全端工程師,"API,AWS,Azure,CSS,DevOps,ES6,GCP,GitHub,HTML,JavaScript,Linux,NoSQL,Node.js,Optimization,RWD,SPA,SQL,Software,TypeScript,Vue,全端,加密,大數據,後端,微服務,效能,敏捷,最佳化,框架,機器學習,演算法,資料庫,軟體,迭代,追蹤,部署",2025-04-11
https://www.104.com.tw/job/89o0s?jobsource=new_map&app_jobsource=m_time4jobs,Front-End Engineer 前端軟體工程師【台中】,前端工程師,"API,Angular,CSS,ES6,HTML,JavaScript,Node.js,Sass,git,graphQL,restful,typescript,unit testing,前端,品質,後端,文件,框架,模組,軟體",2025-04-11
https://www.104.com.tw/job/5zgfi?jobsource=new_map&app_jobsource=m_time4jobs,戴爾美語教育科技公司徵MIS資訊工程師(台中市)(股票代號:7603),軟體工程師,"AJAX,FTP,IIS,Java,JavaScript,MySql,PHP,SQL,TCP/IP,jQuery,品質,圖,授權,資料庫",2025-04-11
https://www.104.com.tw/job/8m1cw?jobsource=new_map&app_jobsource=m_time4jobs,D4000 電商營運系統JAVA軟體開發工程師【台中】A,前端工程師,"API,Angular,Git,HTML,JAVA,JavaScript,Linux,MVC,Oracle,React,React.js,Redis,SQL,Spring,Vue,mongoDB,前端,後端,框架,模組,軟體,電商",2025-04-11
https://www.104.com.tw/job/82guh?jobsource=new_map&app_jobsource=m_time4jobs,《身心障礙人才招募專區》,軟體工程師,,2025-04-11
https://www.104.com.tw/job/7qcq5?jobsource=new_map&app_jobsource=m_time4jobs,專案管理處 序列化 管理師（防偽追溯追蹤雲端系統使用）,網頁設計師,"Java,JavaScript,Python,REST,SOAP,SQL,XML,sFTP,軟體,追蹤",2025-04-11
https://www.104.com.tw/job/8b74p?jobsource=new_map&app_jobsource=m_time4jobs,維運工程師【享有留任獎金】,軟體工程師,"AWS,監控,策略,軟體",2025-04-11
