網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/90ptu?app_jobsource=m_time4jobs&jobsource=new_map,台中職缺【知名外商N運動品牌】6-Month Data & Communications Specialist Intern Program_TCS890(暫停招募),AI 工程師,"AI,Excel,Power BI,PowerPoint,Tableau,documentation,factory,state"
https://www.104.com.tw/job/90xw8?app_jobsource=m_time4jobs&jobsource=new_map,【潭科】IT-INF工程師(UNIX),UX 設計師,"Linux,UNIX,VMware,效能,監控,認證,資料庫"
https://www.104.com.tw/job/90s5y?app_jobsource=m_time4jobs&jobsource=new_map,Web前端工程師｜工作地點：台中,前端工程師,"AI,API,JavaScript,REST,RESTful,React,State,TypeScript,Vue,WebSocket,gRPC,前端,可維護性,後端,擴展性,效能,文件,模組,模組化,演算法,狀態,資料視覺化,軟體,重構"
https://www.104.com.tw/job/6ynhu?app_jobsource=m_time4jobs&jobsource=new_map,【技術部】台中 網路工程師,軟體工程師,代理
https://www.104.com.tw/job/90tva?app_jobsource=m_time4jobs&jobsource=new_map,遊戲測試工程師,軟體工程師,"Java,Python,回歸測試,軟體,追蹤"
https://www.104.com.tw/job/8zr2p?app_jobsource=m_time4jobs&jobsource=new_map,PHP 後端工程師,前端工程師,"AI,API,AWS,Docker,Framework,GCP,Git,JSON,LLM,Laravel,Microservices,MySQL,Optimization,PHP,RESTful,iOS,分散式系統,前端,品質,單元測試,容器,後端,微服務,擴展性,效能,框架,模組,自動化,資料庫,軟體,部署"
https://www.104.com.tw/job/719n2?app_jobsource=m_time4jobs&jobsource=new_map,遊戲軟體業 MIS系統工程師 (含 AI 應用與系統開發),iOS 工程師,"AI,AWS,Apache,FTP,Firebase,GCP,HTML,IIS,Java,JavaScript,Linux,MySQL,Nginx,Node.js,PHP,Python,SQL,iOS,可用性,效能,文件,監控,策略,自動化,資料庫,軟體"
https://www.104.com.tw/job/909zn?app_jobsource=m_time4jobs&jobsource=new_map,數位轉型開發工程師,後端工程師,".NET,ASP,ASP.NET,Builder,C#,Power BI,SQL,品質,後端,效能,模組,資料庫,軟體"
https://www.104.com.tw/job/90755?app_jobsource=m_time4jobs&jobsource=new_map,全端軟體工程師（.NET Core / Vue / MSSQL）_台中,全端工程師,".NET,.NET Core,API,ASP,ASP.NET,C#,Entity Framework,Framework,Git,SQL,SQL Server,Vue,全端,分支,前端,後端,效能,框架,模組,資料庫,軟體"
https://www.104.com.tw/job/7y7kj?app_jobsource=m_time4jobs&jobsource=new_map,PHP Laravel 後端工程師 或 DevOps SRE 工程師,前端工程師,".NET,API,ASP,ASP.NET,C#,CI/CD,CSS,DevOps,Docker,Git,HTML,JavaScript,Laravel,Linux,MySQL,PHP,Python,Restful,SRE,前端,後端,微服務,框架,資料庫,軟體"
https://www.104.com.tw/job/8wlgu?app_jobsource=m_time4jobs&jobsource=new_map,Android 工程師,Android 工程師,"AI,API,Android,CI/CD,Code Review,Git,JSON,Java,Kotlin,MVVM,OOP,RESTful,SDK,Swift,TDD,XML,品質,整合測試,模組,模組化,軟體,重構"
https://www.104.com.tw/job/7cwwv?app_jobsource=m_time4jobs&jobsource=new_map,網路維運(大里),UX 設計師,"Linux,TCP/IP,監控"
https://www.104.com.tw/job/8ze73?app_jobsource=m_time4jobs&jobsource=new_map,校本部資訊技術人員,軟體工程師,軟體
https://www.104.com.tw/job/8z6ch?app_jobsource=m_time4jobs&jobsource=new_map,健康台灣深耕計畫－資訊開發人員（薪資非常好面議）,軟體工程師,".Net,ASP,ASP.Net,CSS,Java,Javascript,Oracle,Python,SQL,演算法,資料庫,軟體"
https://www.104.com.tw/job/90ych?app_jobsource=m_time4jobs&jobsource=new_map,Senior BI Developer,AI 工程師,"Power BI,SQL,SQL Server,deployment,performance,quality,troubleshooting"
https://www.104.com.tw/job/9055e?app_jobsource=m_time4jobs&jobsource=new_map,Back-end Developer 後端工程師｜Python Flask & Django,前端工程師,"AI,API,AWS,CI/CD,Django,Flask,Git,IoT,MySQL,Nginx,PostgreSQL,Python,RESTful,Swagger,前端,品質,圖,後端,效能,敏捷,文件,框架,模型,模組,模組化,機器學習,物聯網,策略,自動化,資料庫,資料視覺化,軟體,追蹤,部署"
https://www.104.com.tw/job/90vok?app_jobsource=m_time4jobs&jobsource=new_map,AI工程師,AI 工程師,"AI,文件,模型,機器學習,演算法,監控,追蹤,部署"
https://www.104.com.tw/job/90sw8?app_jobsource=m_time4jobs&jobsource=new_map,台中職缺【知名外商N運動品牌】3D Modeler_3D建模師_3D模型師_3D-Tool_TCS_890,iOS 工程師,"3D,Illustrator,Photoshop,quality,圖,模型"
https://www.104.com.tw/job/90oc0?app_jobsource=m_time4jobs&jobsource=new_map,Web 後端工程師,全端工程師,"API,Go,全端,前端,可維護性,單元測試,圖,後端,效能,文件,模組,重構"
https://www.104.com.tw/job/8ye1j?app_jobsource=m_time4jobs&jobsource=new_map,#福利制度齊全 資深後端工程師(C#/Golang),後端工程師,"API,C#,CI/CD,GRPC,Go,Kafka,Optimization,RESTful,WebSocket,分散式系統,後端,微服務,效能,自動化,資料庫,軟體,部署"
https://www.104.com.tw/job/90nyr?app_jobsource=m_time4jobs&jobsource=new_map,【2026先鋒實習專案】服務顧問師_需具程式基礎(台北/台中),軟體工程師,"https,圖,軟體"
https://www.104.com.tw/job/889zh?app_jobsource=m_time4jobs&jobsource=new_map,網路工程師-MS (中區),軟體工程師,"文件,認證"
https://www.104.com.tw/job/8z5mf?app_jobsource=m_time4jobs&jobsource=new_map,資訊工程師,軟體工程師,軟體
https://www.104.com.tw/job/91052?app_jobsource=m_time4jobs&jobsource=new_map,關鍵字研究與市場分析專員,軟體工程師,"提交,搜尋,監控"
https://www.104.com.tw/job/90dh6?app_jobsource=m_time4jobs&jobsource=new_map,【森森燒肉總公司】MIS工程師 薪資面議,UX 設計師,Linux
https://www.104.com.tw/job/8zq7o?app_jobsource=m_time4jobs&jobsource=new_map,Android 工程師,全端工程師,"AI,API,Android,Git,Java,Kotlin,LLM,RESTful,SDK,全端,後端,微服務,效能,框架,軟體"
https://www.104.com.tw/job/8zf2j?app_jobsource=m_time4jobs&jobsource=new_map,前端工程師（Landing Page / 廣告頁製作）,前端工程師,"CSS,HTML,SEO,前端,搜尋,策略"
https://www.104.com.tw/job/90gox?app_jobsource=m_time4jobs&jobsource=new_map,Junior AI 工作流設計與導入人才｜不限背景,AI 工程師,"AI,品質"
https://www.104.com.tw/job/3qbp6?app_jobsource=m_time4jobs&jobsource=new_map,ERP軟體客服、顧問-台中北屯(底薪+獎金),軟體工程師,"Excel,Word,軟體"
https://www.104.com.tw/job/90odu?app_jobsource=m_time4jobs&jobsource=new_map,【中部】客服工程師/客服專員(兼職),軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/87p3s?app_jobsource=m_time4jobs&jobsource=new_map,B-5類_系統整合部_網路工程師(派駐公務機關)(台中),軟體工程師,"Excel,PowerPoint,Word,虛擬化"
https://www.104.com.tw/job/8lgfo?app_jobsource=m_time4jobs&jobsource=new_map,資訊工程師,軟體工程師,"Excel,Word,影像處理,文件,軟體"
https://www.104.com.tw/job/8wi31?app_jobsource=m_time4jobs&jobsource=new_map,可不可熟成茶行_總部_資訊部 軟體專案人員,AI 工程師,".NET,AI,ASP,ASP.NET,AWS,Excel,HTML,Mac,MySQL,Power BI,PowerPoint,SQL,Vmware,Word,文件,軟體,追蹤"
