job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/8q926?jobsource=new_map&app_jobsource=m_time4jobs,【全遠端兼職機會】Media Search Analyst （台灣職缺 / work from home / 在家工作 ),"想要在下班後增加收入嗎? 這份工作很適合你!

只有你有電腦，任何時間你都可以自由安排工作，每個專案用時約20分鐘，依照工作難易度、用時長度，換算時薪報酬在7~8美金之間

如果有興趣，歡迎直接到我們的招募網站投遞履歷吧!

【104不收履歷，歡迎按照以下步驟至官網投遞履歷，請留意務必使用電腦及edge進行投遞及後續測驗】

1.請使用<Edge瀏覽器>搜尋下列網址:

https://www.telusinternational.ai/cmp/contributor/jobs/available/126334?utm_source=104&utm_medium=Ads&utm_campaign=SHTSean_APAC_Paid+Site_104_Ads_126334

2.找到Media Search Analyst，並點選Apply申請，後續請依指示進行即可

歡迎參考這篇貼文，裡面彙整了可能會有的問題：
https://www.dcard.tw/f/job/p/255418190?cid=BE99D92E-EF2F-441F-B149-A7CE9C76D925

----------------------------------------------------------------------------------------
工作職責

準備好告別枯燥的傳統9到5工作，迎接一個充滿動態和挑戰的工作環境，並且由你自己掌控工作時間嗎？這個職位讓你能夠靈活安排時間，並使用創新的網頁評估工具來完成各種有趣的工作任務。

媒體搜尋分析師的一天：

在這個角色中，你將進行對多樣化任務類別的全面評估，包括音樂、影片以及家庭智能音響等，涵蓋各種媒體領域。  
你將分析並評估App Store內容的搜尋結果，並利用線上工具進行研究，通過應用市場專業知識，結合提供的指引來評估查詢的準確性與意圖，進而判斷與任務相關資料在特定市場中的相關性與目的。

加入我們，成為我們社群中的一份子，與我們一同顛覆數位媒體內容的未來！

---

TELUS國際人工智慧社群

我們的全球人工智慧社群是一個充滿活力的網絡，擁有超過一百萬來自不同背景的貢獻者，這些貢獻者幫助我們的客戶收集、增強、訓練、翻譯和本地化內容，打造更優質的人工智慧模型。加入我們成長中的社群，並在支援全球最大品牌的機器學習模型中發揮影響力。

---

資格要求

此職位不需要先前的專業經驗，但在參與此專案之前，你需要通過基本要求並進行標準的評估過程。這是一份長期的兼職工作，並且你的工作將在協議期間接受我們標準的品質保證檢查。

基本要求

- 必須具備完整的英語及繁體中文語言專業能力。
- 近一年來居住在台灣，並且對台灣的當前及歷史商業、媒體、體育、新聞、社交媒體及文化事務有一定了解。
- 熟悉當前應用程式、音樂和影片的流行趨勢，對網路研究有濃厚興趣。
- 擁有與Apple ID相關聯的電子郵件地址，並具備使用Apple產品的經驗與知識。
- 能夠靈活應對各類型的任務，包含地圖、新聞、音頻任務和相關性等。
- 每日可穩定使用寬頻網路、電腦及相關軟體。
- 能夠獨立工作，並能適應創新方法與流程，擁有極高的細節關注力及出色的溝通能力。
- 優先考慮具有高中文憑或以上學歷的候選人，但我們也歡迎擁有卓越技能和才華的候選人。
  
評估過程中提供額外激勳獎勳

**重要事項：**  
為確保你的申請被接受，請再次確認註冊時使用的電子郵件地址與你的主要Apple ID電子郵件一致，並且是有效且最新的。若電子郵件地址不匹配，將不會考慮該申請。

---

**評估過程**

為了被錄取到此專案，你需要參加一場開放書籍的資格考試，該考試將決定你是否適合這個職位，並且需要完成身分驗證。我們的團隊會在考試前提供指引和學習資料。你將在特定的時間範圍內完成考試，但可自由安排考試時間。,未填寫,不拘,不拘","行政人員
、業務助理
、數據分析師／資料分析師",時薪220~240元,無需出差外派
https://www.104.com.tw/job/8pt8u?jobsource=new_map&app_jobsource=m_time4jobs,資訊人員,"1.撰寫VBA、python程式
1. 負責軟體之分析、設計以及程式撰寫。
2. 規劃執行軟體架構及模組之設計，並控管軟體設計進度。
3. 進行軟體之測試與修改。
4. 協助研發軟體新技術與新工具
5. 管控軟體開發成本。,1. 具有資訊相關學士學位或相關工作經驗。
2.具備良好的團隊合作精神、溝通協調能力，以及解決問題的能力。,Python、VBA
提升專業能力
提升專業能力,軟體程式設計、資料庫程式設計、系統架構規劃、資料庫系統管理維護","軟體工程師
、其他資訊專業人員
、雲端工程師","月薪35,000~45,000元",無需出差外派
https://www.104.com.tw/job/6cpw5?jobsource=new_map&app_jobsource=m_time4jobs,韌體設計工程師（台中）,"1. 熟悉OS/RTOS，對Linux/uCoS熟悉尤佳
2. 熟悉C語言
3. MCU 開發及測試 bootloader, Linux driver, SDK, 維護及優化 RTOS, 測試 IC 及 FPGA,未填寫,不拘,不拘",韌體工程師,待遇面議,無需出差外派
https://www.104.com.tw/job/7dkdt?jobsource=new_map&app_jobsource=m_time4jobs,自動化設備軟體開發工程師,"【工作內容】
1.自動化設備軟體開發
2.AOI視覺檢測與辨識
3.設備與資料庫連線
4.C#自動化設備軟體開發
5.機械手臂程式撰寫
6.網頁軟體與資料庫系統開發
7.團隊討論與合作

思克工業是一間新創的自動化設備開發公司
公司內部人員年紀偏屬年輕
很多工作內容需要團隊討論
新創公司再加上年輕的團隊
包袱並不多
重心是解決客戶的問題
公司人數不多
規模也不大
就一群喜歡在自己領域專研的人
在一起共識而已
如果您是要找一間安穩的公司工作
思克的工作環境比較不適合
我們期望找尋志同道合的夥伴加入
您如果對自己未來有期許
思克是您可以參考的公司,未填寫,C#、Java、Visual C#、Visual Studio .net、WinForm、IoT
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、資料庫程式設計",軟體工程師,"月薪38,000~50,000元",需出差，一年累積時間未定
https://www.104.com.tw/job/5ke43?jobsource=new_map&app_jobsource=m_time4jobs,F5/CheckPoint產品工程師 (台中),"1. 於客戶端測試及安裝公司代理產品(主要負責負載SLB/WAF/DDOS/Firewall/DNS防禦設備)。若有IMPEVRA/F5/Citrix/ A10經驗更佳。
2. 擔任產品技術介紹簡報、攻擊手法防禦機制網路架構討論、教育訓練講師。
3. 測試計畫、測試報告、SOP撰寫。
4. 徵求對Web Security 有經驗或有興趣者。
5. 熟悉網頁程式語言佳、各式攻防工具(如BlackTrack/Metaexploit)佳 。
6. 徵求學習態度佳做事負責對技術狂熱的你加入本公司團隊。,1. 具防火牆、資安設備及網路相關知識。
2. 對資訊領域及新知充滿熱誠。,DHCP、DNS、Ethernet、Firewall、TCP/IP、VLAN、VPN
提升專業能力
提升專業能力,安裝與維護網路安全系統、規劃與管理入侵防護系統（IPS）、規劃與管理防火牆、網路系統配置、網路規劃管理、網路設備設定安裝、簡報軟體操作","網路管理工程師
、其他資訊專業人員
、產品售後技術服務",待遇面議,需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/8pjdt?jobsource=new_map&app_jobsource=m_time4jobs,PHP助理工程師,"參與Unity與C#相關的遊戲開發工作，具備獨立開發小型遊戲的實務經驗

熟悉網頁前後端開發流程，能在團隊中協作並完成跨部門的整合任務

曾參與實際專案開發，負責前端商品區邏輯設計與實作

熟悉常見Web技術，具備良好的UI實作與程式邏輯思考能力

能將所學技術應用於實際專案中，具備主動解決問題的能力


職務需求:
熱愛遊戲與程式開發，具備自學能力與持續學習動力

熟悉Unity與C#語言，有實作經驗者尤佳

具備HTML、CSS、JavaScript、Bootstrap的前端基礎

熟悉Laravel與PHP等後端技術，具備完整網站開發概念

有LeetCode練習經驗，對演算法與解題有基本認識

曾參與職訓課程學習前後端整合，具備實務操作經驗,不拘,C#、JavaScript、HTML、CSS、Unity、PHP
提升專業能力
提升專業能力,遊戲開發、軟體程式設計、網路程式設計","助理工程師
、後端工程師","月薪35,000~40,000元",無需出差外派
https://www.104.com.tw/job/8ecph?jobsource=new_map&app_jobsource=m_time4jobs,後端工程師【保障年薪14個月】,"【工作內容】 
1.服務器維護優化提升效能
2.Linux、Windows系統操作
3.資料庫系統經驗
4.網站debug處理
5.二年以上後端管理維護經驗
 
【具備技能】 
1.Amazon Web Service
2.Google Cloud Platform
3.Godaddy
4.及其他主機服務器商維護開發經驗

*良好的溝通能力。
*對工作有熱情，並且持續吸收相關知識與學習新事物。
*喜歡接受挑戰，能獨立作業，也能與團隊合作。

+ 固定年終獎金2個月、
+ 過試用期後一年2次考核獎金
+ 三節獎金及生日禮金
+ 穩定年度調薪
+ 優於勞基法的休假制度：每年12天以上的特別休假+不扣薪病假5天
+ 年度體檢福利
+ 部門聚餐
+ 健身房補助專案,未填寫,不拘,不拘","後端工程師
、前端工程師
、全端工程師","月薪60,000元以上",無需出差外派
https://www.104.com.tw/job/7lsjo?jobsource=new_map&app_jobsource=m_time4jobs,D4000 前端工程師【台中】,"電商已是你我生活的一部分! 歡迎加入我們成為台灣第一大電商的一份子，親自打造一個最棒的購物經驗。 本部門風氣非常自由開放，非常鼓勵工程師在技術上精進，更歡迎喜愛創意發想的工程師來一展長才。

【工作職責】
1. 使用React框架開發高效、可擴展的用戶界面組件，並與後端 API 集成以實現完整的應用程式。
2. 將設計圖轉化為具有交互性和視覺吸引力的前端界面，確保用戶體驗的優化和一致性。
3. 與設計師和產品團隊合作，理解產品需求並提供技術建議，以實現最佳的用戶界面設計。
4. 使用 React 生態系統中的相關庫和工具，如 Redux、React Router等，管理應用程式的狀態和路由。
5. 進行代碼優化和性能調優，解決應用程式的性能問題並提高加載速度。
6. 確保前端代碼的可維護性和可擴展性，並參與代碼審查和測試以確保代碼質量。
7. 與後端開發人員協作，設計和實現前後端之間的數據交換和API集成。
8. 持續學習和探索新的前端技術和工具，並將其應用於實際項目中。


【技術要求】
1. 熟練掌握 React 框架及相關生態系統，並有相應的實際開發經驗。
2. 深入理解 React 的組件化開發模式和單向數據流，能夠編寫可重用和可測試的組件代碼。
3. 熟悉 JavaScript 和 ES6+特性，能夠解決跨瀏覽器兼容性問題並使用最新的語言功能。
4. 具備良好的設計感和用戶體驗意識，能夠將設計轉化為具體的前端實現。
5. 熟悉前端工程化和自動化工具，如 Webpack、Babel 等，並能夠配置和優化相應的開發環境。
6. 具備良好的團隊合作能力和溝通能力，能夠有效地與設計師、產品經理和其他開發人員合作。
7. 對於前端性能優化、代碼質量和安全性有著高度的關注和要求。


【加分項目】
1. 對於 nginx 專案佈署有相關經驗。
2. 熟悉 webpack、gulp 打包工具。
3. 對於前後端分離有相關經驗。,不拘,JavaScript、ReactJS
提升專業能力
提升專業能力,不拘","Internet程式設計師
、軟體工程師
、前端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8mr4o?jobsource=new_map&app_jobsource=m_time4jobs,C# WinForm 軟體工程師,"1. 負責讀卡機之程式維護及改版
2. 進行軟體測試、修改與維護  
3. 修正系統問題並提出解決方案
4. 處理學校遇到讀卡問題 
5. 必需有 C# WinForm 實際開發經驗
6. 熟悉.NET Core  
7. 熟悉 MSSQL 
8.讀卡機事務改版完成後，除了原本讀卡機持續維運外，將會安排其他系統開發或調整維運。

※ 績效獎金另計,不拘,AJAX、ASP.NET、C#、MS SQL、HTML、JavaScript、jQuery、Excel、PowerPoint、Visio、Word、WinForm、Visual Studio
提升專業能力
提升專業能力,軟體程式設計、資料庫程式設計",軟體工程師,"月薪40,000~50,000元",需出差，一年累積時間約三個月以下
https://www.104.com.tw/job/8m1cz?jobsource=new_map&app_jobsource=m_time4jobs,D4000 電商營運系統JAVA軟體開發工程師【台中】D,"加入台灣領先電商，共創獨特購物體驗！
富邦媒體科技，作為台灣電商的領航者，致力於打造無與倫比的購物平台。
我們的使命不僅是連接商品與消費者，更是為每位顧客帶來別具一格的購物體驗。在富邦momo，您將與一群充滿熱情和創造力的專業人士共事，共同開創電商新紀元。


【工作內容】
1.主要開發與維護網站系統/內部營運平台
2.分析設計和開發，持續程式碼和系統性能優化
3.前後端Web/API功能串接開發 
4.高流量、高併發的模組功能開發
5.日常系統維運作業，進階工作負責架構規劃與需求分析

【加分條件】
1. 一年以上的網站開發經驗
2. 熟Java且有SpringBoot，Spring MVC、Spring框架開發經驗
3. 有開發前端框架經驗(Vue、Angular；React.js尤佳)
4. 熟悉SQL語法且具備Oracle、Postgre、mongoDB使用經驗
5. 瞭解並使用Git、Redis等相關經驗，熟Linux作業系統操作尤佳,不拘,Java、HTML、JavaScript
提升專業能力
提升專業能力,不拘","Internet程式設計師
、軟體工程師
、其他資訊專業人員",待遇面議,無需出差外派
