網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/7us9a?app_jobsource=m_time4jobs&jobsource=new_map,前端工程師,前端工程師,"CSS,Git,HTML,JavaScript,Node.js,Sass,jQuery"
https://www.104.com.tw/job/7dc1l?app_jobsource=m_time4jobs&jobsource=new_map,資料庫管理設計工程師,後端工程師,"C#,C++,HTML,Java,JavaScript,Laravel,MySQL,PHP"
https://www.104.com.tw/job/3raq3?app_jobsource=m_time4jobs&jobsource=new_map,PHP程式設計師,軟體工程師,"Ajax,JavaScript,MySQL,PHP,jQuery"
https://www.104.com.tw/job/6iecb?app_jobsource=m_time4jobs&jobsource=new_map,韌體工程師,軟體工程師,C#
https://www.104.com.tw/job/8tj8z?app_jobsource=m_time4jobs&jobsource=new_map,美編人員,軟體工程師,"Excel,Illustrator,Photoshop,PowerPoint,Word"
https://www.104.com.tw/job/8afql?app_jobsource=m_time4jobs&jobsource=new_map,學習型的實習生（資訊軟體系統類）,AI 工程師,
https://www.104.com.tw/job/8oevo?app_jobsource=m_time4jobs&jobsource=new_map,【台中】Mobile App Native研發工程師｜跨平台整合,前端工程師,"Java,Kotlin,Node.js,React,Swift"
https://www.104.com.tw/job/8ou2t?app_jobsource=m_time4jobs&jobsource=new_map,學習型 資料科學/資料分析/數據分析 實習生,軟體工程師,
https://www.104.com.tw/job/899g4?app_jobsource=m_time4jobs&jobsource=new_map,內勤技術系統工程師,iOS 工程師,"Excel,MySQL,PowerPoint,TCP/IP,Word"
https://www.104.com.tw/job/4c62w?app_jobsource=m_time4jobs&jobsource=new_map,韌體工程師,軟體工程師,API
https://www.104.com.tw/job/8rc5j?app_jobsource=m_time4jobs&jobsource=new_map,貳輪嶼台中總公司｜徵【系統分析師｜System Analyst】,軟體工程師,"RESTful,Scrum"
https://www.104.com.tw/job/7rewx?app_jobsource=m_time4jobs&jobsource=new_map,系統開發部-機器學習工程師,UX 設計師,"API,Keras,Linux,NLP,Python,RESTful,tensorflow,機器學習"
https://www.104.com.tw/job/ozlr?app_jobsource=m_time4jobs&jobsource=new_map,程式設計師~ 歡迎新鮮人加入~,軟體工程師,SQL
https://www.104.com.tw/job/8q4ks?app_jobsource=m_time4jobs&jobsource=new_map,電腦課-資訊工程師,軟體工程師,
https://www.104.com.tw/job/75ofx?app_jobsource=m_time4jobs&jobsource=new_map,資深全端工程師,後端工程師,"C#,JavaScript,Node.js"
