網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/8mjh1?jobsource=joblist_search,外商跨國製造業 ERP Engineer / BI Engineer (遠距工作),AI 工程師,"Oracle,Power BI,Tableau"
https://www.104.com.tw/job/8e85h?jobsource=joblist_search,AI工程師(AI Engineer),前端工程師,"C#,LLM,Rust,SQL,機器學習"
https://www.104.com.tw/job/890yb?jobsource=joblist_search,【軟體開發處】AI工程師,AI 工程師,
https://www.104.com.tw/job/8a0qa?jobsource=joblist_search,資訊部 |AI工程師,AI 工程師,"AI,C#,PyTorch,Python,機器學習"
https://www.104.com.tw/job/8afql?jobsource=joblist_search,學習型的實習生（資訊軟體系統類）,AI 工程師,
https://www.104.com.tw/job/8mtdk?jobsource=joblist_search,研發高級工程師/工程師 (AI-AOI機器視覺),AI 工程師,"C#,Linux,機器學習"
https://www.104.com.tw/job/718r0?jobsource=joblist_search,資深影像主管,AI 工程師,"C#,Python,機器學習"
https://www.104.com.tw/job/8lrai?jobsource=joblist_search,AI工程師（台中）,AI 工程師,"AI,API,Python,RESTful"
https://www.104.com.tw/job/8nha5?jobsource=f_2025career,【2025校徵專區】CH-B03AIoT SI專案工程師,AI 工程師,
https://www.104.com.tw/job/6g3da?jobsource=joblist_search,資深Python程式課程講師-台中站前認證中心,全端工程師,Python
https://www.104.com.tw/job/8nxyk?jobsource=joblist_search,學習型 人工智慧物聯網 AIoT 實習生,AI 工程師,"PyTorch,機器學習"
https://www.104.com.tw/job/8nhja?jobsource=joblist_search,LLM 生成式 AI 軟體工程師(台中),AI 工程師,"AI,AWS,LLM,PyTorch,Python"
https://www.104.com.tw/job/8itad?jobsource=joblist_search,資料預測工程師,AI 工程師,"Linux,PyTorch,機器學習"
https://www.104.com.tw/job/8m9nw?jobsource=joblist_search,東海大學人工智慧中心誠徵【經濟部價創計畫】AI / ML Engineer,AI 工程師,"C#,Python,機器學習"
https://www.104.com.tw/job/8o1vs?jobsource=joblist_search,"【台中】Software Engineer, Legal Automation & AI Integration (Python/PHP) 法律自動化與AI整合軟體工程師 (月薪7-10萬)",後端工程師,"AI,API,LLM,PHP,Python,機器學習"
https://www.104.com.tw/job/8ejyz?jobsource=joblist_search,AI應用工程師(AI Application Engineer/Prompt Engineering/AI Model Applications),AI 工程師,"AI,AWS,Azure,Docker,Excel,Git,Kubernetes,PyTorch,Python,scikit-learn,機器學習"
https://www.104.com.tw/job/8935e?jobsource=joblist_search,NLP AI工程師,AI 工程師,"AI,Linux,PyTorch,Python,Word,機器學習"
https://www.104.com.tw/job/8o2ui?jobsource=joblist_search,AI工程師,後端工程師,"AI,API,Flask,Git,Linux,MySQL,Python,Redis,機器學習"
https://www.104.com.tw/job/6dwp1?jobsource=joblist_search,AI工程師,AI 工程師,"Git,JavaScript,LLM,Linux,MySQL,PyTorch,Python,機器學習"
https://www.104.com.tw/job/8nnvb?jobsource=joblist_search,IPAS 淨零碳規劃管理師(初級)講師-台中站前認證中心,AI 工程師,
https://www.104.com.tw/job/8ecvp?jobsource=joblist_search,AI應用工程師/AI管理師,AI 工程師,"C++,Linux,PyTorch,Python"
https://www.104.com.tw/job/8ifsy?jobsource=joblist_search,AI應用組 設計工程師-台中(前後端應用、數據分析演算法、視覺辨識演算法),前端工程師,"AJAX,ASP.NET,C++,CSS,Excel,Git,HTML,Javascript,MySQL,OpenCV,PHP,PowerPoint,Python,Scikit-learn,Word,機器學習"
https://www.104.com.tw/job/6dwp2?jobsource=joblist_search,學生實習(Internship) - AI工程師,AI 工程師,"AI,Git,JavaScript,LLM,Linux,PyTorch,Python,機器學習,統計學"
https://www.104.com.tw/job/8nm6t?jobsource=joblist_search,【數位技術】AI應用開發工程師-台中廠-R08,AI 工程師,"MySQL,Python,SQL"
https://www.104.com.tw/job/89r6n?jobsource=joblist_search,AOI機器視覺工程師,AI 工程師,"C#,PyTorch,機器學習"
https://www.104.com.tw/job/8nk0l?jobsource=joblist_search,1JA6-百萬人精準醫療計畫 生物資訊AI工程師(計畫),AI 工程師,
https://www.104.com.tw/job/8mcn4?jobsource=joblist_search,AI工程師,AI 工程師,"AI,C#,C++,Git,LLM,Python,Pytorch,SQL,機器學習"
https://www.104.com.tw/job/5c62e?jobsource=joblist_search,研發高級工程師/工程師 (自動化機構),AI 工程師,
https://www.104.com.tw/job/88w5r?jobsource=joblist_search,AI工程師,後端工程師,"Python,機器學習"
https://www.104.com.tw/job/83c4h?jobsource=joblist_search,【數位技術】CIM智慧系統開發工程師-台中廠-R08,全端工程師,"AI,C++,Java,LLM"
https://www.104.com.tw/job/8crzz?jobsource=joblist_search,AI Research Engineer,AI 工程師,"PyTorch,Python,機器學習"
https://www.104.com.tw/job/8n6ah?jobsource=joblist_search,2025 Corning Summer Internship Commercial Program 康寧暑期實習計劃 - 工程類,AI 工程師,"Power BI,Python"
https://www.104.com.tw/job/8n5cf?jobsource=joblist_search,【2025預聘暨研發替代役】智慧應用系統開發工程師(新鮮人限定)-台中廠-R08,全端工程師,"API,Azure,DevOps,Docker,Git,JavaScript,MySQL,Python,機器學習"
https://www.104.com.tw/job/8a1sz?jobsource=joblist_search,【企業實習生】AI應用實習生(限在校生，應徵請附自傳),AI 工程師,
https://www.104.com.tw/job/8ln24?jobsource=joblist_search,【數位技術】智慧應用系統開發工程師-台中廠-R08,前端工程師,"API,Azure,DevOps,Docker,Git,JavaScript,Python"
https://www.104.com.tw/job/8myaq?jobsource=joblist_search,TA4832資深軟體研發工程師_AI_台中,Android 工程師,"AI,C++,Linux,Python"
https://www.104.com.tw/job/6i2z7?jobsource=joblist_search,軟體工程師,AI 工程師,"C#,C++,Python,Ruby,機器學習"
https://www.104.com.tw/job/7x31y?jobsource=joblist_search,物聯網應用與開發工程師 （IoT Applications and Development Engineer）,全端工程師,"AI,C#,HTML,php,python"
https://www.104.com.tw/job/8irpd?jobsource=joblist_search,AI 工程師,後端工程師,"AI,Git,LLM,Linux,Node.js,python"
https://www.104.com.tw/job/84dnp?jobsource=joblist_search,AI專案工程師 [豐興鋼鐵關係企業-豐力互聯],AI 工程師,"HTML,Javascript,LLM,PyTorch,Python,機器學習"
https://www.104.com.tw/job/8nnur?jobsource=joblist_search,IPAS 資訊安全工程師(初級)講師-台中站前認證中心,AI 工程師,機器學習
https://www.104.com.tw/job/8nnu8?jobsource=joblist_search,IPAS AI應用規畫師(初級)講師-台中站前認證中心,AI 工程師,機器學習
