網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/8k2k2?jobsource=joblist_search,軟體開發實習生｜微程式資訊實習計畫(MP Internship Program，MPIP),全端工程師,"C#,Git"
https://www.104.com.tw/job/8eyh7?jobsource=joblist_search,半導体AOI光學影像工程師-后科廠,全端工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/494fw?jobsource=joblist_search,Software Engineer / Programmer 軟體工程師(台中市政府旁),全端工程師,"API,ASP.NET,Redis,SQL,Vue.js,docker"
https://www.104.com.tw/job/7kvyn?jobsource=joblist_search,全端軟體工程師,全端工程師,"ASP.NET,Agile,Ajax,Azure,Bootstrap,C#,CSS,Git,JQuery,JavaScript,NoSQL,SQL,SQLite"
https://www.104.com.tw/job/8hsph?jobsource=joblist_search,Backend Engineer 後端工程師,全端工程師,"API,GCP,Git,JavaScript,MongoDB,NoSQL,Node.js,PHP,RESTful,TypeScript"
https://www.104.com.tw/job/8anqx?jobsource=joblist_search,全端工程師Vue/Golang,全端工程師,
https://www.104.com.tw/job/8m985?jobsource=joblist_search,SW Frontend Engineer-React 前端工程師,全端工程師,"API,ES6,Git,HTML,JavaScript,React,SASS,Typescript"
https://www.104.com.tw/job/8o1vo?jobsource=joblist_search,"【台中】Full Stack Developer, AI LegalTech Platform (Python/PHP) AI法律科技平台全端工程師 (月薪7-10萬)",全端工程師,"AI,API,CI/CD,CSS,DevOps,Django,Docker,Flask,Git,HTML,LLM,Laravel,MySQL,Next.js,NoSQL,PHP,Python,RESTful,機器學習"
https://www.104.com.tw/job/8mufq?jobsource=joblist_search,ERP軟體開發工程師(薪50000~100000),全端工程師,"C#,Django,LLM,MySQL,PostgreSQL,Python,機器學習"
https://www.104.com.tw/job/8ecph?jobsource=joblist_search,後端工程師【保障年薪14個月】,全端工程師,Linux
https://www.104.com.tw/job/8d9uj?jobsource=joblist_search,遊戲全端工程師,全端工程師,"API,Go"
https://www.104.com.tw/job/88udx?jobsource=joblist_search,遊戲前端工程師,全端工程師,"Git,JavaScript,TypeScript"
https://www.104.com.tw/job/8ls9p?jobsource=joblist_search,golang後端工程師,全端工程師,"API,Git,MySQL,RESTful,Redis,Unix"
https://www.104.com.tw/job/8mz16?jobsource=joblist_search,前端工程師,全端工程師,CSS
https://www.104.com.tw/job/8nk42?jobsource=joblist_search,工程師 | FG04012356,全端工程師,"AWS,C#,JavaScript,MongoDB,MySQL,nosql"
