網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/72z57?jobsource=joblist_search,品管人員,軟體工程師,
https://www.104.com.tw/job/75fq8?jobsource=joblist_search,【台中/西屯】測試工程師（無相關工作經驗可）,UX 設計師,"PHP,Python,linux"
https://www.104.com.tw/job/6juxz?jobsource=joblist_search,日班品管檢驗員,軟體工程師,"Excel,Word"
https://www.104.com.tw/job/8kp5q?jobsource=joblist_search,241204品質管理部 品檢員(大甲幼獅工業區),軟體工程師,
https://www.104.com.tw/job/8gzan?jobsource=joblist_search,測試工程師(彈性上下班),軟韌體測試工程師,Python
https://www.104.com.tw/job/7vt7u?jobsource=joblist_search,CP_(早班)工程員,軟體工程師,
https://www.104.com.tw/job/85ygb?jobsource=joblist_search,研發行政助理,軟體工程師,
https://www.104.com.tw/job/8luoq?jobsource=joblist_search,高分子測試工程師(台中),軟體工程師,
https://www.104.com.tw/job/8nkco?jobsource=joblist_search,三次元量測員,軟體工程師,
https://www.104.com.tw/job/8n6jn?jobsource=joblist_search,品保工程師,軟體工程師,
https://www.104.com.tw/job/2hixt?jobsource=joblist_search,品保檢驗人員,軟體工程師,
https://www.104.com.tw/job/7670h?jobsource=joblist_search,產品測試工程師-台中,軟韌體測試工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8l6no?jobsource=joblist_search,【海外數資】QA測試工程師 (數數發_台中CDC)_I00020030,軟韌體測試工程師,"API,Agile,C#,Python"
https://www.104.com.tw/job/86o1v?jobsource=joblist_search,QA測試工程師,Android 工程師,
https://www.104.com.tw/job/8mg4z?jobsource=joblist_search,塑膠廠 - 夜班品管量測專業技術人員(台中),軟體工程師,Excel
https://www.104.com.tw/job/8mcaq?jobsource=joblist_search,QA測試實習生｜微程式資訊實習計畫(MP Internship Program，MPIP),AI 工程師,
https://www.104.com.tw/job/8hssb?jobsource=joblist_search,測試工程師 (QA Engineer),軟韌體測試工程師,API
https://www.104.com.tw/job/7nat6?jobsource=joblist_search,品保專案工程師,軟體工程師,
https://www.104.com.tw/job/8oa8z?jobsource=joblist_search,c-【台中大里】 日中夜班/零件組包裝/薪資32k~42k起/可學生,軟體工程師,
https://www.104.com.tw/job/8mt12?jobsource=joblist_search,產品工程師,軟體工程師,
https://www.104.com.tw/job/7az30?jobsource=joblist_search,HC11006_品管檢驗技術員_健康廠,軟體工程師,
https://www.104.com.tw/job/8kvnj?jobsource=joblist_search,自動化測試工程師 (台中)-線上面試,AI 工程師,"CI/CD,JavaScript,Python"
https://www.104.com.tw/job/8d4re?jobsource=joblist_search,軟體測試工程師(自動化),網頁設計師,"API,Git,Python"
https://www.104.com.tw/job/8b7zv?jobsource=joblist_search,自動化測試工程師,軟韌體測試工程師,Python
https://www.104.com.tw/job/8nk3s?jobsource=joblist_search,軟體測試人員,軟韌體測試工程師,"Excel,Word"
https://www.104.com.tw/job/7z4dg?jobsource=joblist_search,汽車電子零件測試人員,軟體工程師,"Excel,PowerPoint"
https://www.104.com.tw/job/6vdjc?jobsource=joblist_search,工讀生(測試人員),AI 工程師,"Excel,Illustrator,PowerPoint,Word"
https://www.104.com.tw/job/6roo6?jobsource=joblist_search,醫材研發測試工程師,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8nl1q?jobsource=joblist_search,品保人員,軟體工程師,
