網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/7o5dr?jobsource=joblist_search,PHP後端工程師,軟體工程師,"CSS,HTML,JavaScript,jQuery"
https://www.104.com.tw/job/67bic?jobsource=joblist_search,APP開發Android 軟體工程師,Android 工程師,"Git,Kotlin,SQL"
https://www.104.com.tw/job/7wmvi?jobsource=joblist_search,資安監控維運工程師(台中)-1XU11C,UX 設計師,"Linux,UNIX"
https://www.104.com.tw/job/6yhxz?jobsource=joblist_search,SEO工程師(海外市場)SEO Engineer (overseas market),軟體工程師,
https://www.104.com.tw/job/7xl0v?jobsource=joblist_search,資料庫管理師 (DBA),UX 設計師,"Linux,MongoDB,Mysql,Oracle,PostgreSQL"
https://www.104.com.tw/job/870j0?jobsource=joblist_search,"Senior Application Analyst (Oracle ERP, 遠距辨公)",AI 工程師,Oracle
https://www.104.com.tw/job/75uoj?jobsource=joblist_search,系統分析師,軟體工程師,
https://www.104.com.tw/job/7ab3m?jobsource=joblist_search,【巨鷗科技】系統分析師,軟韌體測試工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8iic9?jobsource=joblist_search,SRE工程師,軟體工程師,"AWS,CI/CD,Git,Jenkins"
https://www.104.com.tw/job/7hekj?jobsource=joblist_search,【顧問服務部】SAP ABAP 程式設計師/資深程式設計師 (台中/台南/高雄),軟體工程師,
https://www.104.com.tw/job/6p6tw?jobsource=joblist_search,【2025年度擴大徵才】台中_APP 開發工程師 【OS】,後端工程師,"CSS,Git,HTML,JavaScript,Jenkins,Swift,jQuery"
https://www.104.com.tw/job/811zr?jobsource=joblist_search,高級系統分析師(SA)-台中,網頁設計師,Oracle
https://www.104.com.tw/job/6ng6y?jobsource=joblist_search,YouBike-台中-機電創新研發工程師,Android 工程師,
https://www.104.com.tw/job/6v7ie?jobsource=joblist_search,APS系統導入顧問/技術顧問,Android 工程師,"C#,HTML,Java,Oracle"
https://www.104.com.tw/job/8nycq?jobsource=joblist_search,系統分析師,軟體工程師,
https://www.104.com.tw/job/8ia3x?jobsource=joblist_search,系統開發工程師_A05,軟體工程師,"ASP.NET,JavaScript,SQL,jQuery"
https://www.104.com.tw/job/82sqe?jobsource=joblist_search,【空間資訊與環境規劃處】系統分析師,軟體工程師,
https://www.104.com.tw/job/84j03?jobsource=joblist_search,SA_系統分析師 _(台中市分部),UX 設計師,API
https://www.104.com.tw/job/8m45v?jobsource=joblist_search,系統分析師(MIS.GIS),軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/7ywv9?jobsource=joblist_search,資訊軟體工程師,軟體工程師,"C++,JavaScript,MySQL,Oracle,Python"
https://www.104.com.tw/job/7reu5?jobsource=joblist_search,資訊部門-.Net程式設計師,前端工程師,"AJAX,ASP.NET,Angular,CSS,Git,JQuery,JavaScript,TypeScript"
https://www.104.com.tw/job/7hcwe?jobsource=joblist_search,台中-系統軟體處-運控資深/主任工程師,軟體工程師,"C#,C++"
https://www.104.com.tw/job/7w2je?jobsource=joblist_search,系統工程師(75-台中),UX 設計師,"Linux,SQL"
https://www.104.com.tw/job/84287?jobsource=joblist_search,系統分析師,軟體工程師,
https://www.104.com.tw/job/7ret8?jobsource=joblist_search,資訊部門-JAVA程式設計師,前端工程師,"AJAX,CI/CD,JavaScript,Kubernetes,Node.js,Redis"
https://www.104.com.tw/job/8kbfq?jobsource=joblist_search,雲端應用系統分析師(正職/約聘),前端工程師,"ASP.NET,C#,JAVA,ORACLE,jQuery"
https://www.104.com.tw/job/8jum1?jobsource=joblist_search,OA系統-BPM資訊工程師-台中,軟體工程師,Oracle
https://www.104.com.tw/job/7g394?jobsource=joblist_search,【總管理處】技術類-專案助理(實習),AI 工程師,
https://www.104.com.tw/job/7qcq5?jobsource=joblist_search,專案管理處 序列化 管理師（防偽追溯追蹤雲端系統使用）,網頁設計師,"JavaScript,Python"
