網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/8o5yv?jobsource=joblist_search,【海外通路】資料科學架構師 (數數發_台中CDC)_I00021070,後端工程師,"AI,CI/CD,DevOps,Git,Linux,ML,MongoDB,NoSQL,Oracle,PostgreSQL,Python,SQL"
https://www.104.com.tw/job/8k2jx?jobsource=joblist_search,資料庫 (DBA)資深工程師,後端工程師,"MongoDB,MySQL,SQL"
https://www.104.com.tw/job/8n5io?jobsource=joblist_search,"資深資料科學工程師 Sr. Data R&D Engineer (Backend) - 台中 數據技術發展 (數數發中心, DDT)_I00020704",前端工程師,"AI,API"
https://www.104.com.tw/job/8jxet?jobsource=joblist_search,Senior Data engineer/Developer/Architect (外商科技) - 台中 - TP11CO,AI 工程師,"AWS,Python,SQL"
https://www.104.com.tw/job/89v3p?jobsource=joblist_search,【海外通路】國際消金數據維運工程師 (數數發_台中CDC)_I00016651,後端工程師,"AWS,Git,Linux,MongoDB,NoSQL,Node.js,Oracle,PostgreSQL,Python,SQL"
https://www.104.com.tw/job/8o1xt?jobsource=joblist_search,系統工程師,軟體工程師,"C#,SQL"
https://www.104.com.tw/job/7spxo?jobsource=joblist_search,資訊部-BI系統工程師,軟體工程師,"Excel,MySQL,Power BI,PowerPoint,Tableau,Word"
https://www.104.com.tw/job/8nlhu?jobsource=joblist_search,DBA資料庫管理師,後端工程師,
https://www.104.com.tw/job/8itzp?jobsource=joblist_search,241001資料科學中心 機器學習工程師,軟體工程師,"OpenCV,PyTorch,Python,機器學習"
https://www.104.com.tw/job/6dwp1?jobsource=joblist_search,AI工程師,AI 工程師,"Git,JavaScript,LLM,Linux,MySQL,PyTorch,Python,機器學習"
https://www.104.com.tw/job/8k9ke?jobsource=joblist_search,2025研發替代役 (RDSS)_Process Control and Data Analytics Engineer (Taichung),iOS 工程師,"AWS,Azure,C#,Deep Learning,PyTorch,Python,機器學習"
https://www.104.com.tw/job/787uq?jobsource=joblist_search,數據資料分析及Power Platform開發工程師（台中）,後端工程師,"CSS,Excel,Git,HTML,HTTP,Power BI,Python,SQL,Word"
https://www.104.com.tw/job/8i95k?jobsource=joblist_search,APP工程師,Android 工程師,"API,Python,RESTful"
https://www.104.com.tw/job/8kbx1?jobsource=joblist_search,數據工程師,AI 工程師,"API,Docker,NoSQL,PostgreSQL,Python,SQL,mongoDB,redis,tableau,機器學習"
https://www.104.com.tw/job/8o5yu?jobsource=joblist_search,【海外通路】資深資料科學工程師 (數數發_台中CDC)_I00021071,後端工程師,"AWS,CI/CD,Docker,GCP,Git,Kubernetes,PostgreSQL,Python,機器學習"
https://www.104.com.tw/job/8k3gg?jobsource=joblist_search,2025研發替代役 (RDSS)_Data Integration and Automation Engineer (Taichung),AI 工程師,"C#,Excel,Python"
https://www.104.com.tw/job/8dox6?jobsource=joblist_search,漢翔航空工業股份有限公司-工程師,UX 設計師,"C#,C++,CSS,HTML,Linux,Python"
https://www.104.com.tw/job/8miow?jobsource=joblist_search,影像識別深度學習工程師,AI 工程師,"AI,API,AWS,C++,GCP,PyTorch,Python,Scikit-learn,機器學習,統計學"
https://www.104.com.tw/job/8c37o?jobsource=joblist_search,學習型 人工智能 AI 數位產業實習生,軟體工程師,
https://www.104.com.tw/job/8hglz?jobsource=joblist_search,漢翔航空工業股份有限公司-航電系統工程師,UX 設計師,"C#,Linux,Python"
https://www.104.com.tw/job/8e1z6?jobsource=joblist_search,營運部-系統設計與維護規劃師,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8lhk9?jobsource=joblist_search,研發工程師/資料庫維護工程師,軟體工程師,"C#,MySQL,Python"
https://www.104.com.tw/job/6dwp2?jobsource=joblist_search,學生實習(Internship) - AI工程師,AI 工程師,"AI,Git,JavaScript,LLM,Linux,PyTorch,Python,機器學習,統計學"
https://www.104.com.tw/job/86cet?jobsource=joblist_search,技術支援工程師,軟體工程師,
https://www.104.com.tw/job/8nnvm?jobsource=joblist_search,PLM系統工程師,UX 設計師,"ASP.NET,HTML,JavaScript,Linux,MySQL,SQL"
https://www.104.com.tw/job/8cynn?jobsource=joblist_search,製程課-軟體工程師,軟體工程師,"C++,Excel,Oracle,Python"
https://www.104.com.tw/job/8nqsc?jobsource=joblist_search,資料庫工程師(部分遠端工作)-視訊面試,軟體工程師,
https://www.104.com.tw/job/8aods?jobsource=joblist_search,數據工程師,軟體工程師,
https://www.104.com.tw/job/8laj5?jobsource=joblist_search,DBA 資料庫管理師,軟體工程師,"MariaDB,MySQL,Oracle,SQL"
https://www.104.com.tw/job/8k3u4?jobsource=joblist_search,華邦電子2025校園徵才-(竹北/中科)軟體類_大數據分析及演算法開發工程師,軟體工程師,"C#,Deep Learning,HTML,JavaScript"
https://www.104.com.tw/job/8mrko?jobsource=joblist_search,派遣至西門子歌美颯 - Reporting Specialist 數據分析企劃師,AI 工程師,"Excel,Power BI"
https://www.104.com.tw/job/8iu25?jobsource=joblist_search,241002資料科學中心 全端軟體工程師,全端工程師,"CSS,Docker,JavaScript,Kubernetes,Linux,MongoDB,MySQL,Node.js,PHP,PostgreSQL,Python,Redis,Vue.js,機器學習"
https://www.104.com.tw/job/8l12j?jobsource=joblist_search,【海外通路】數據商業分析師 (數數發_台中CDC)_I00013598,AI 工程師,
https://www.104.com.tw/job/864e7?jobsource=joblist_search,數據資料分析助理專員,AI 工程師,"Excel,Python,Word"
https://www.104.com.tw/job/87fmy?jobsource=joblist_search,台中中港廠-資訊工程師-W961101,軟體工程師,"ASP.NET,C#"
https://www.104.com.tw/job/8j2lp?jobsource=joblist_search,DevOps工程師,軟體工程師,CI/CD
https://www.104.com.tw/job/8cncr?jobsource=joblist_search,Oracle資料庫管理師,UX 設計師,"Excel,Linux,Oracle,UNIX"
https://www.104.com.tw/job/8d1n5?jobsource=joblist_search,人工智慧中心-研發工程師(資料庫),軟體工程師,"Power BI,Python"
https://www.104.com.tw/job/8o9t2?jobsource=joblist_search,系統工程師(兼職),軟體工程師,"C#,SQL"
https://www.104.com.tw/job/8nxal?jobsource=joblist_search,MTB Senior Operations Intelligence Engineer,AI 工程師,
https://www.104.com.tw/job/8k9nu?jobsource=joblist_search,"ERP Data engineer (希望有熟SAP系統的數據開發工程師)(台北,台中,台南)",AI 工程師,"AWS,Python,SQL"
https://www.104.com.tw/job/8e7ue?jobsource=joblist_search,【海外通路】數據工程師 (數數發_台中CDC)_I00008683,AI 工程師,
https://www.104.com.tw/job/8gblp?jobsource=joblist_search,Python工程師,軟體工程師,"API,Git,JavaScript,Python"
https://www.104.com.tw/job/74bkg?jobsource=joblist_search,集團 iWOW 數據工程師,AI 工程師,"AI,PyTorch,Python,SQL,機器學習,統計學"
https://www.104.com.tw/job/8mnjf?jobsource=joblist_search,資深雲端數據主管,軟體工程師,"AWS,Docker,GCP,Git,Java,Linux,MySQL,Python"
https://www.104.com.tw/job/8np2x?jobsource=joblist_search,資料工程師(部分遠端上班)-視訊面試,軟體工程師,
https://www.104.com.tw/job/8lfww?jobsource=joblist_search,數據分析師,軟體工程師,"AWS,Git,MySQL,Python,機器學習,統計學"
https://www.104.com.tw/job/8bqof?jobsource=joblist_search,IT大數據分析師,軟體工程師,"ASP.NET,C#,Git,HTML,JavaScript,Oracle,PHP,Power BI,Python,Tableau"
https://www.104.com.tw/job/88w4t?jobsource=joblist_search,資料工程師,軟體工程師,"MySQL,Python"
https://www.104.com.tw/job/8mx31?jobsource=joblist_search,數據工程師,AI 工程師,"Git,MySQL,PostgreSQL,Python"
https://www.104.com.tw/job/8l3iw?jobsource=joblist_search,資訊程式開發人員,軟體工程師,"C++,Excel,PowerPoint,Word"
https://www.104.com.tw/job/8o83d?jobsource=joblist_search,Senior Fraud Analyst (台中以外可遠端),後端工程師,"Excel,Python"
https://www.104.com.tw/job/7wt4y?jobsource=joblist_search,MongoDB 資料庫管理師(擴編),軟體工程師,MySQL
https://www.104.com.tw/job/8kwnr?jobsource=joblist_search,資深資料工程師,UX 設計師,"Git,Linux,MySQL,Oracle,PostgreSQL,Python"
https://www.104.com.tw/job/8jwp4?jobsource=joblist_search,nan,軟體工程師,"Excel,Power BI"
