網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/3mnho?jobsource=joblist_search,【中科后里】IT-INF資深工程師(Unix),UX 設計師,"Linux,UNIX"
https://www.104.com.tw/job/86d4p?jobsource=joblist_search,資深後端工程師,全端工程師,"API,Ajax,MySQL,PHP,Restful,Spring"
https://www.104.com.tw/job/7vg3l?jobsource=joblist_search,系統維運工程師,後端工程師,Tableau
https://www.104.com.tw/job/8anlo?jobsource=joblist_search,ASP.NET軟體工程師,網頁設計師,"AJAX,ASP.NET,C#,CSS,Git,HTML,Javascript,jQuery"
https://www.104.com.tw/job/8nlhu?jobsource=joblist_search,DBA資料庫管理師,後端工程師,
https://www.104.com.tw/job/787uq?jobsource=joblist_search,數據資料分析及Power Platform開發工程師（台中）,後端工程師,"CSS,Excel,Git,HTML,HTTP,Power BI,Python,SQL,Word"
https://www.104.com.tw/job/6ii2i?jobsource=joblist_search,MIS/資通網管師,網頁設計師,"Ajax,CSS,HTML,Illustrator,JQuery,Java,Javascript,MySQL,PHP,Photoshop,Spring"
https://www.104.com.tw/job/5ewjk?jobsource=joblist_search,ERP程式設計工程師,軟體工程師,"C#,MySQL"
https://www.104.com.tw/job/8fjoz?jobsource=joblist_search,資安專員,AI 工程師,"CSS,HTML,MySQL,Node.js,PHP,TCP/IP"
https://www.104.com.tw/job/8mt7r?jobsource=joblist_search,MIS/資通網管師助理,網頁設計師,"Ajax,CSS,HTML,Illustrator,JQuery,Java,Javascript,MySQL,PHP,Photoshop,Spring"
https://www.104.com.tw/job/5ewjj?jobsource=joblist_search,系統開發工程師,軟體工程師,C#
https://www.104.com.tw/job/892xx?jobsource=joblist_search,程式設計師,軟體工程師,"ASP.NET,C#,SQL"
https://www.104.com.tw/job/8cncr?jobsource=joblist_search,Oracle資料庫管理師,UX 設計師,"Excel,Linux,Oracle,UNIX"
https://www.104.com.tw/job/8d1n5?jobsource=joblist_search,人工智慧中心-研發工程師(資料庫),軟體工程師,"Power BI,Python"
https://www.104.com.tw/job/7g15i?jobsource=joblist_search,大數據工程師,軟體工程師,"Java,Python"
https://www.104.com.tw/job/7tpqw?jobsource=joblist_search,Oracle DBA顧問(台中),軟體工程師,Oracle
https://www.104.com.tw/job/6o6o4?jobsource=joblist_search,1A80-資訊室 系統工程師,軟體工程師,
https://www.104.com.tw/job/6muhz?jobsource=joblist_search,兼職電腦工程師(台中),UX 設計師,"JavaScript,Linux,MySQL,PHP"
https://www.104.com.tw/job/7wt4y?jobsource=joblist_search,MongoDB 資料庫管理師(擴編),軟體工程師,MySQL
https://www.104.com.tw/job/88w7t?jobsource=joblist_search,資料庫工程師,UX 設計師,Linux
https://www.104.com.tw/job/87ed3?jobsource=joblist_search,系統工程師/系統顧問(Oracle DBA)(工作地點台中、台北皆可),AI 工程師,"Excel,Linux,Oracle,PowerPoint,UNIX,Word"
https://www.104.com.tw/job/81d1s?jobsource=joblist_search,人工智慧中心-研發工程師 (影像),軟體工程師,"C#,OpenCV,PyTorch,Python,scikit-learn,機器學習"
https://www.104.com.tw/job/6pvuj?jobsource=joblist_search,系統工程師(台中),iOS 工程師,"Linux,Oracle,SQL,Unix"
https://www.104.com.tw/job/7pf0u?jobsource=joblist_search,全端工程師,前端工程師,"API,CSS,HTML,JavaScript,MySQL,PHP"
