網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/75fq8?jobsource=joblist_search,【台中/西屯】測試工程師（無相關工作經驗可）,UX 設計師,"PHP,Python,linux"
https://www.104.com.tw/job/8gvr3?jobsource=joblist_search,TEST SOLUTIONS ENGINEER (歡迎新鮮人/應屆畢業生）,AI 工程師,"C++,Linux,Python,Unix"
https://www.104.com.tw/job/8gzan?jobsource=joblist_search,測試工程師(彈性上下班),軟韌體測試工程師,Python
https://www.104.com.tw/job/6wysq?jobsource=joblist_search,QA工程師,軟韌體測試工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8jkeu?jobsource=joblist_search,研發工程師,軟體工程師,
https://www.104.com.tw/job/8l6no?jobsource=joblist_search,【海外數資】QA測試工程師 (數數發_台中CDC)_I00020030,軟韌體測試工程師,"API,Agile,C#,Python"
https://www.104.com.tw/job/86o1v?jobsource=joblist_search,QA測試工程師,Android 工程師,
https://www.104.com.tw/job/8mcaq?jobsource=joblist_search,QA測試實習生｜微程式資訊實習計畫(MP Internship Program，MPIP),AI 工程師,
https://www.104.com.tw/job/8hssb?jobsource=joblist_search,測試工程師 (QA Engineer),軟韌體測試工程師,API
https://www.104.com.tw/job/8dfj2?jobsource=joblist_search,【台中西屯◆前端工程師/後端工程師/自動化測試工程師】知名國際遊戲產業/管理系統開發商/主營歐美、東南亞市場/保障年薪14個月、福利完善、週休二日彈性上下班/可遠距工作/高級商辦大樓_TCS_670,前端工程師,"API,CI/CD,CSS,Git,HTML,Javascript,MySQL,Node.js,Python,Sass,Vue"
https://www.104.com.tw/job/8kvnj?jobsource=joblist_search,自動化測試工程師 (台中)-線上面試,AI 工程師,"CI/CD,JavaScript,Python"
https://www.104.com.tw/job/5cvae?jobsource=joblist_search,PLC軟體工程師(台中),軟體工程師,"C++,Excel,Word"
https://www.104.com.tw/job/8nunz?jobsource=joblist_search,Technical Project Manager (台中),AI 工程師,
https://www.104.com.tw/job/8b7zv?jobsource=joblist_search,自動化測試工程師,軟韌體測試工程師,Python
https://www.104.com.tw/job/8nk3s?jobsource=joblist_search,軟體測試人員,軟韌體測試工程師,"Excel,Word"
https://www.104.com.tw/job/76esx?jobsource=joblist_search,軟體開發工程師(LD),軟體工程師,
https://www.104.com.tw/job/8nnx4?jobsource=joblist_search,3D列印測試工程師(台中外埔),軟體工程師,
https://www.104.com.tw/job/8jx7q?jobsource=joblist_search,【海外通路】QA/QC工程師 (數數發_台中CDC)_I00018951,軟韌體測試工程師,"API,Agile,C#,Git,Kotlin,PostgreSQL,Python,SWIFT"
https://www.104.com.tw/job/8aifm?jobsource=joblist_search,"學習型的實習生(生產製造, 品管類)",軟體工程師,
https://www.104.com.tw/job/7ef5u?jobsource=joblist_search,【台中】QA工程師,Android 工程師,Azure
https://www.104.com.tw/job/7w5ff?jobsource=joblist_search,OO01-測試工程師 (台中/高雄),軟體工程師,
https://www.104.com.tw/job/8kju2?jobsource=joblist_search,【資訊板塊】QA/QC工程師(數數發， DDT)(台中)_I00008432,軟韌體測試工程師,"API,Agile,C#,Python"
https://www.104.com.tw/job/8e5xs?jobsource=joblist_search,測試工程師,軟體工程師,
https://www.104.com.tw/job/8ka8o?jobsource=joblist_search,【RD】QA工程師主管,Android 工程師,"API,CI/CD,Jenkins,Python"
https://www.104.com.tw/job/8ixa8?jobsource=joblist_search,測試工程師_台中,軟韌體測試工程師,"C#,Excel,JavaScript,PowerPoint,Python,Word"
https://www.104.com.tw/job/8numz?jobsource=joblist_search,Software Engineer (台中),軟韌體測試工程師,"C#,Python"
https://www.104.com.tw/job/7y0q5?jobsource=joblist_search,遊戲測試工程師,軟韌體測試工程師,
https://www.104.com.tw/job/8nwyz?jobsource=joblist_search,系統整合資深工程師_DSM先進運營技術(中科)*,UX 設計師,"C++,Linux,Python"
https://www.104.com.tw/job/8nxf7?jobsource=joblist_search,【企業實習生】平台測試實習生(台中大里) (限在校生，應徵請附自傳),軟體工程師,
https://www.104.com.tw/job/7iptx?jobsource=joblist_search,資深韌體工程師(控制器)【平均月所得7.5萬】,軟體工程師,C++
https://www.104.com.tw/job/8fjov?jobsource=joblist_search,軟體測試工程師,軟韌體測試工程師,
https://www.104.com.tw/job/8mwi3?jobsource=joblist_search,測試QA工程師,軟韌體測試工程師,"LINUX,Python,SCRUM,git"
https://www.104.com.tw/job/8jaxl?jobsource=joblist_search,軟體測試工程師,Android 工程師,
https://www.104.com.tw/job/753dk?jobsource=joblist_search,軟體測試工程師,Android 工程師,
