網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/83c89?jobsource=joblist_search,Unity 前端工程師,Android 工程師,"C#,CI/CD,Git,Jenkins"
https://www.104.com.tw/job/75fq8?jobsource=joblist_search,【台中/西屯】測試工程師（無相關工作經驗可）,UX 設計師,"PHP,Python,linux"
https://www.104.com.tw/job/494fw?jobsource=joblist_search,Software Engineer / Programmer 軟體工程師(台中市政府旁),全端工程師,"API,ASP.NET,Redis,SQL,Vue.js,docker"
https://www.104.com.tw/job/8jq6z?jobsource=joblist_search,派遣至西門子公司 - Service Engineer-BAU維護工程師-中央監控系統- 105 EL,UI 設計師,
https://www.104.com.tw/job/7sume?jobsource=joblist_search,前端工程師,前端工程師,"Angular,Git,Python,UNIX"
https://www.104.com.tw/job/8oaly?jobsource=joblist_search,網頁前端程式設計師-台中,前端工程師,"AJAX,API,ASP.NET,C#,CSS,HTML,JQuery,JavaScript,PostgreSQL,RESTful,Vue.js"
https://www.104.com.tw/job/7677f?jobsource=joblist_search,軟體開發工程師（影像）-台中,AI 工程師,"C++,Python"
https://www.104.com.tw/job/3vcwv?jobsource=joblist_search,研發替代役--影像工程師,軟體工程師,"C#,C++,Python"
https://www.104.com.tw/job/86kya?jobsource=joblist_search,【總部】軟體開發工程師,軟體工程師,"Angular,C#,JavaScript"
https://www.104.com.tw/job/8edd1?jobsource=joblist_search,前端工程師,前端工程師,"AJAX,API,Angular,CSS,ES6,Git,JavaScript,MySQL,Nuxt.js,PostgreSQL,Redux,Sass,Vue.js,jQuery"
https://www.104.com.tw/job/7i09v?jobsource=joblist_search,軟體研發工程師 (台中市北區),軟體工程師,"C#,C++"
https://www.104.com.tw/job/6wysm?jobsource=joblist_search,Java 工程師,前端工程師,"Java,MySQL,PostgreSQL,Spring"
https://www.104.com.tw/job/6j4th?jobsource=f_2025career,軟體工程師(Unity3D),軟體工程師,"C#,C++"
https://www.104.com.tw/job/76csy?jobsource=joblist_search,【春水堂】資訊部-資訊工程師,軟體工程師,
https://www.104.com.tw/job/8i3p6?jobsource=joblist_search,資深IT工程師,軟體工程師,Vmware
https://www.104.com.tw/job/5jat4?jobsource=joblist_search,Laravel PHP工程師 (網頁後端工程師),前端工程師,"HTML,JavaScript,MySQL,PHP"
https://www.104.com.tw/job/7d3yl?jobsource=joblist_search,軟體工程師(BLDC馬達控制),軟體工程師,"C#,C++"
https://www.104.com.tw/job/8m1db?jobsource=joblist_search,D4000 電商營運系統JAVA軟體開發工程師【台中】B,前端工程師,"Angular,HTML,JavaScript,React.js,Spring"
https://www.104.com.tw/job/7lstk?jobsource=joblist_search,D4000 momo購物網APP Android工程師【台中】,Android 工程師,"CI/CD,React"
https://www.104.com.tw/job/8l3u5?jobsource=joblist_search,前端工程師,前端工程師,"AJAX,API,Bootstrap,CSS,Git,HTML,JavaScript,Sass,jQuery"
https://www.104.com.tw/job/8n60i?jobsource=joblist_search,MES Senior System Analyst,AI 工程師,"C#,Excel,Oracle,Python,SQL"
