網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/8mep6?jobsource=joblist_search,軟體工程師,軟體工程師,
https://www.104.com.tw/job/6ls42?jobsource=joblist_search,"軟體開發工程師(C,C++)(二)",軟體工程師,"C++,TCP/IP"
https://www.104.com.tw/job/8jz5v?jobsource=joblist_search,網路傳輸工程師(烏日基地),軟體工程師,
https://www.104.com.tw/job/8dq8l?jobsource=joblist_search,iOS Android 工程師,前端工程師,"JavaScript,Kotlin,MySQL,Node.js,SWIFT"
https://www.104.com.tw/job/8axv7?jobsource=joblist_search,軟體設計工程師,軟體工程師,
https://www.104.com.tw/job/85n9z?jobsource=joblist_search,軟體開發工程師-1,前端工程師,"API,ASP.NET,C#,CSS,Git,HTML,MongoDB,Node.js,REST,React.js,Vue.js,javascript"
https://www.104.com.tw/job/7pmdr?jobsource=joblist_search,APP開發人員,Android 工程師,"C#,JavaScript,Kotlin"
https://www.104.com.tw/job/8ixa0?jobsource=joblist_search,全端軟體工程師_台中,UX 設計師,"Angular,C#,C++,Excel,Linux,Word"
https://www.104.com.tw/job/7h2z1?jobsource=joblist_search,Embedded Software Engineer 資深軟體工程師 -台中,UX 設計師,"C++,Java,Linux,TCP/IP"
https://www.104.com.tw/job/5fbmv?jobsource=joblist_search,【永慶北平】找想轉換跑道的業務員,軟體工程師,"PowerPoint,Word"
https://www.104.com.tw/job/2s06v?jobsource=joblist_search,電控工程師,軟體工程師,
https://www.104.com.tw/job/8jz5w?jobsource=joblist_search,話務系統通訊工程師(烏日基地),軟體工程師,
https://www.104.com.tw/job/834d1?jobsource=joblist_search,電聲產品-軟體設計資深工程師(台中),AI 工程師,
https://www.104.com.tw/job/8lcvz?jobsource=joblist_search,電源產品-軔體/軟體設計高級工程師(台中),軟體工程師,
https://www.104.com.tw/job/7h2yi?jobsource=joblist_search,軟體研發工程師 - New Graduate 畢業生 (台中),軟韌體測試工程師,"C++,Linux,TCP/IP"
https://www.104.com.tw/job/82ol6?jobsource=joblist_search,APP設計助理/開發工程師助理,前端工程師,"AJAX,C#,CSS,HTML,JAVA,Linux,MySQL,PHP,Swift,jQuery,javascript"
https://www.104.com.tw/job/8nmse?jobsource=joblist_search,[台中]Java軟體工程師,網頁設計師,"HTML,RESTful"
https://www.104.com.tw/job/8h3mb?jobsource=joblist_search,Android工程師,Android 工程師,Java
https://www.104.com.tw/job/8kq7b?jobsource=joblist_search,圖控軟體工程師,軟體工程師,"C#,TCP/IP"
https://www.104.com.tw/job/8k8pj?jobsource=joblist_search,【2025研發替代役/預聘】軟體設計工程師(台中),軟體工程師,
https://www.104.com.tw/job/6b0mq?jobsource=joblist_search,機器人軟體開發工程師,軟韌體測試工程師,C#
https://www.104.com.tw/job/7raj8?jobsource=joblist_search,APP設計助理/開發工程師助理,前端工程師,"AJAX,C#,CSS,HTML,JAVA,Linux,MySQL,PHP,Swift,jQuery,javascript"
https://www.104.com.tw/job/8967m?jobsource=joblist_search,(研發部系統發展組)軟體工程師 (中部),UX 設計師,"C#,C++,Oracle,PostgreSQL"
https://www.104.com.tw/job/4plsq?jobsource=joblist_search,Android APP 開發工程師,Android 工程師,"Java,Kotlin"
https://www.104.com.tw/job/7mo7l?jobsource=joblist_search,『台中』【工業物聯網】–軟體工程師,UX 設計師,
https://www.104.com.tw/job/8he6l?jobsource=joblist_search,C#全端軟體工程師,軟體工程師,C#
https://www.104.com.tw/job/8ka7i?jobsource=joblist_search,軟體工程師,軟體工程師,"AJAX,ASP.NET,C#,CSS,ES6,JavaScript,jQuery,typescript"
https://www.104.com.tw/job/8ndkh?jobsource=joblist_search,Android 短期駐點工程師(約半年)(台中烏日)(內部編號：SI1-ATC1),Android 工程師,"CI/CD,Java,Jenkins,Kotlin"
https://www.104.com.tw/job/6xcte?jobsource=joblist_search,圖控軟體工程師,軟體工程師,"C#,C++"
https://www.104.com.tw/job/8nnfw?jobsource=joblist_search,系統軟體工程師-視訊面試,後端工程師,"Java,Spring"
https://www.104.com.tw/job/85n8d?jobsource=joblist_search,軟體開發工程師-2,UI 設計師,"C#,MySQL"
https://www.104.com.tw/job/8kqqu?jobsource=joblist_search,Qt軟體工程師,UX 設計師,"API,C++,Linux,Restful,TCP/IP"
https://www.104.com.tw/job/4rqv9?jobsource=joblist_search,ERP軟體工程師,軟體工程師,"MYSQL,SQL"
https://www.104.com.tw/job/8hbr9?jobsource=joblist_search,軟體工程師,軟體工程師,"AWS,PHP,PYTHON"
https://www.104.com.tw/job/8fjoj?jobsource=joblist_search,iOS APP工程師,iOS 工程師,SWIFT
https://www.104.com.tw/job/839lr?jobsource=joblist_search,Unity 工程師 (2D遊戲專案),軟體工程師,C#
https://www.104.com.tw/job/7wv5e?jobsource=joblist_search,Android 工程師,Android 工程師,"API,Kotlin"
https://www.104.com.tw/job/7zzn5?jobsource=joblist_search,助理工程師,軟體工程師,
https://www.104.com.tw/job/8kpcg?jobsource=joblist_search,後端軟體設計工程師,後端工程師,"CI/CD,CSS,Git,Linux,Node.js"
https://www.104.com.tw/job/8j3uh?jobsource=joblist_search,助理工程師,後端工程師,"CI/CD,CSS,Git,Linux,Node.js"
https://www.104.com.tw/job/7no7p?jobsource=joblist_search,Sr. Software Development Engineer,AI 工程師,Excel
https://www.104.com.tw/job/8bgrq?jobsource=joblist_search,【APP & Web 前端開發工程師】｜UI 設計 ✦ 後台整合 ✦ 跨平台開發,後端工程師,"AJAX,ASP.NET,C#,CSS,Git,JavaScript,PHP,SQL,jQuery"
https://www.104.com.tw/job/8g7cx?jobsource=joblist_search,Java 程式設計師,UX 設計師,"API,JQuery,Java,JavaScript,Linux,Spring,Vue.js"
