job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/8k2k2?jobsource=joblist_search,軟體開發實習生｜微程式資訊實習計畫(MP Internship Program，MPIP),"▍實習期間

2025/02/05 起至 2025/06/30 止，每週至少四天以上可進公司，上午九點至下午六點。

▍申請資格

1. 大學四年級以上(含碩士)在學學生。
2. 可配合為期半年以上的實習。
3. 實習後將可優先轉正。

▍實習內容

1. 參與智慧單車及半導體相關專案，運用 C# 進行應用工具開發、維護及優化。
2. 參與軟體開發生命週期的完整流程，包含需求分析、設計、程式開發、測試及維護。
3. 參與團隊的 Code Review，學習如何提升程式碼品質，並參加技術分享會增強實務經驗。
4. 習使用 Git 進行版本控制，並參與跨部門團隊會議，了解專案運作模式及溝通協作流程。

▍條件要求

1. 熟悉 C# 程式語言基礎語法及物件導向程式設計概念。
2. 曾使用 Visual Studio 等開發工具。

▍加分項目

1. 具備 WinForm WPF MVVM 開發經驗。
2. TCP/RS232/BLE/Can/USB 通訊開發經驗。
3. 使用 GIT/GitFlow 進行版本控管，若有相關經驗者尤佳。

▍來這裡實習，你將會有

■ 1 on 1 Mentor：一位以上專屬導師帶領，給予及時的幫助與回饋。
■ Training Session：完整的新進、部門與專案教育訓練，並有機會與跨領域夥伴交流。
■ Monthly Workshop：實習生每月聚會，分享彼此實習所學的新知與技術。
■ Game Day：透過微程式各種體驗活動或競賽，更認識微程式文化與團隊夥伴。

▍我們希望你擁有的人格特質

1. 擁抱改變：對技術創新有敏銳洞察力、樂於學習，並具有推動變革與快速應用的熱情。
2. 擅於溝通：具備良好溝通能力與說服能力，擅長與跨團隊合作，打遍天下無敵手。
3. 主動積極：勇於接受挑戰，並能以正向積極的態度面對不同的商業模式與需求。

▍我們的優勢

微程式資訊創立於 1995 年，為台灣少數具有跨產業技術整合能力的資通訊設計服務提供商 (ICT Design House)。我們專注於電子支付、智慧單車與半導體感測監控三大領域，透過使用者研究、軟硬技術垂直整合、終端感應裝置、行動APP、雲端服務平台到大數據分析的核心技術，協助交通、金融、製造、半導體、自行車等產業進行創新升級。
同時，我們擁有：

■ 開放的企業文化：團隊年輕有活力，熱愛想法激盪、討論與付諸實現。
■ 開創性工作內容：創新、創意是我們的DNA，不斷追求產品更加卓越。
■ 夥伴的價值共創：我們深信 1+1>2，團隊夥伴並肩共創走的更快更遠。,不拘,Github、Git、C#、Visual Studio、WinForm
提升專業能力
提升專業能力,不拘","軟體工程師
、全端工程師","月薪30,000元以上",無需出差外派
https://www.104.com.tw/job/8eyh7?jobsource=joblist_search,半導体AOI光學影像工程師-后科廠,"秉持客人須求，提供專業光學、光源、成像。相關器材選用設置、保管、檢測、維修、操作；維護電腦系統效能，保持系統正常運作並進行除錯；其他主管交辦事宜。
歡迎有AOI行業的應聘者加入我們的團隊，共同創造出更美好的活動現場！請將您的履歷表發送至指定郵箱，期待您的加入！,未填寫,Excel、Outlook、PowerPoint、Word
提升專業能力
提升專業能力,模組化系統設計","全端工程師
、前端工程師","月薪46,000~62,000元",需出差，一年累積時間約三個月以下
https://www.104.com.tw/job/494fw?jobsource=joblist_search,Software Engineer / Programmer 軟體工程師(台中市政府旁),"在鈦坦科技，我們將工程師視為「產品開發者」（PD, Product Developer）。這不僅是關於編寫【程式】，還包括全面考慮產品的效能、安全、使用性、維護成本及所需資源和時間。我們致力於開發但不只是完成功能，更在意創造出能讓客戶滿意的產品。對於敏捷開發，我們重視其真正的含義，而不是快速交付或空洞的術語。如果你具有熱忱、追求極致和樂於團隊合作的特質，歡迎你加入我們。在這裡，你將在專業顧問的指導下深入學習敏捷開發的精髓，與團隊共創卓越產品。我們相信，追求的不僅是最好，而是不斷進步。

我們在日常開發使用到的【四大核心技術領域】有以下幾項
軟體開發和版本控制：ASP.NET Core, Vue.js, Microsoft SQL Server, GitLab, etc.
自動化測試： NUnit, Vitest, K6, etc.
容器化和分散式系統: docker, K8s, Redis, Kafka, etc.
監控和日誌系統：ELK, Grafana, Prometheus, etc.

【工作職責】
• 依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
• 整合網站應用程式至資料庫導向或 API 導向的後台系統。
• 提供 24x7 的技術支援。
• 開發、改善所有軟體產品，並提供維護所需的所有必要文件。

【工作規範】
基本要求
• 熟悉物件導向設計
• 對於前端、後端有一定程度了解與基本實踐
• 良好的團隊合作能力，能夠融入多元化的工作環境
• 積極的學習態度，願意不斷探索新技術和方法

【加分項目】
• 參與過實際發布給終端用戶使用的產品開發以及維護經驗
• 於上述四大核心技術領域中對其中一個領域有深入的知識與實戰經驗
• 熟悉 ASP.NET Core 或 Vue.js 的開發,【加分項目】
• 參與過實際發布給終端用戶使用的產品開發以及維護經驗
• 於上述四大核心技術領域中對其中一個領域有深入的知識與實戰經驗
• 熟悉 ASP.NET Core 或 Vue.js 的開發,不拘,不拘","軟體工程師
、Internet程式設計師
、全端工程師","月薪56,000~75,000元",需出差外派，一年累積時間約一個月以下
https://www.104.com.tw/job/7kvyn?jobsource=joblist_search,全端軟體工程師,"所需專長(1~2點可展示作品優):
1.C#.Net - 使用 Visual Studio
.WebService
.WebForm (ASP.NET)
.SqlClient
.HttpWebRequest
.JSON

2.
Android(JAVA) - 使用Android Studio
.BluetoothSocket
.WebService
.jdbc
.JSON

3.
DataBase
.Microsoft SQL Server
.SQLite
.Access

「前端＋後端＋雲端＋資料庫」
◆C#與.NET Framework 
◆.NET 物件導向程式開發 
◆ADO.NET 
◆.NET
◆LINQ 
◆ASP.NET MVC 
◆ASP.NET Web Form 
◆Azure 
◆資料庫設計 RDB&NoSQL 
◆SQL Server 
◆Git 版本控制 
◆Agile 
◆CSS 
◆JavaScript 
◆HTML5 
◆Ajax 
◆JQuery 
◆RWD 
◆Bootstrap

需有實際相關工作兩年以上經驗,可獨立作業完成者優
面試時請備專題(影片及簡報或實際可操作者),未填寫,Android、ASP.NET、C#、Java、Visual Studio、WinForm、MS SQL
提升專業能力
提升專業能力,資料備份與復原、資訊設備環境設定、系統整合分析、軟體工程系統開發、軟體程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用、系統架構規劃與維護","軟體工程師
、全端工程師
、軟體助理工程師","月薪40,000~60,000元",無需出差外派
https://www.104.com.tw/job/8hsph?jobsource=joblist_search,Backend Engineer 後端工程師,"1. 後端開發，維護並優化各伺服器系統
2. 協助處理主管交辦文書、事項，妥善撰寫相關專案文件需求


# 經驗條件
1. TypeScript：熟悉 TypeScript 語言，能夠提升程式碼的可維護性和可讀性。例如，曾在大型專案中使用 TypeScript 替代 JavaScript 進行開發，顯著降低了錯誤率。
2. 了解 npm、pnpm 等常見的套件管理工具
3. 使用 Express 開發 MVC 架構經驗
4. MongoDB、Firestore 等 NoSQL 資料庫串接經驗
5. RESTful API 開發經驗
可擴展的後端服務，提升開發效率。
6. 授權方式：了解 OAuth、JWT 等常見的授權方式。例如，曾在一個多用戶系統中實現基於 OAuth 的安全授權流程，提升系統安全性。


【其他福利】
寵物友善環境：我們的辦公室有可愛的貓咪陪伴，讓您的工作不再枯燥。
酷酷零食櫃：提供各種酷酷零食，隨時補充能量，保持高效工作狀態。
團隊活動：定期組織團隊建設活動，增進同事之間的交流與合作。


# 加分條件
1. GCP：具有使用 GCP 雲端平台的經驗。例如，曾在專案中使用 GCP 部署和管理應用，實現自動擴展和高可用性。
2. 測試經驗：具備 Unit test / E2E test 的經驗。例如，曾使用 Jest 和 Cypress 進行全面的單元測試和端到端測試，確保應用的高品質和穩定性。
3. monorepo：具有使用 monorepo 進行專案管理的經驗。例如，曾在一個大型企業專案中使用 monorepo 管理多個相關聯的子專案，提高了程式碼共享和版本控制的效率。
4. NestJS：具有使用 NestJS 框架的經驗，例如，曾在過去的專案中利用 NestJS 快速構建,不拘,Git、Java、PHP、JavaScript、Node.js
提升專業能力
提升專業能力,軟體工程系統開發、軟體品質與保證、軟體程式設計、結構化程式設計、模組化系統設計、資料庫程式設計","後端工程師
、全端工程師
、軟體工程師","月薪40,000~55,000元",無需出差外派
https://www.104.com.tw/job/8anqx?jobsource=joblist_search,全端工程師Vue/Golang,"1.執行軟體架構設計，並繪製相關架構圖、服務佈署圖，搭配測試工具，確保服務與資料正確性、穩定性。 
2.以Vue為主要前端開發語言，依需求/UIUX文件，進行功能拆解，運用圖表套件執行前端畫面與功能開發，並評估前端畫面功能與 資料呈現效能，進行適當優化。 
3.以Golang為主要後端開發語言，進行整體後端服務架構設計，與前端及資料工程師協作，進行資料結構與彈性的設計與協作、服務壓測，並以GCP相關工具進行基礎設施建置。 
4.建立服務追蹤機制，監控基礎建設、服務負載狀態、相關Log集成、事件警示。 
5.其他主管交辦事項執行。,不拘,不拘,不拘","前端工程師
、後端工程師
、全端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8m985?jobsource=joblist_search,SW Frontend Engineer-React 前端工程師,"1.用Typescript + React開發後台網站 
2.設定webpack、設計並操作Redux 
3.透過drone做cicd的部屬 
4.與後端工程師合作，串接API及socket.io 
5.與設計師合作，用figma作切版 
6.用Git做程式碼的管控 
7.參與使用情境的開發討論,1.具備前端框架經驗（React 佳），並熟悉其生態系。 
2.熟悉 JavaScript / ES6+ / Typescript 語法特性。 
3.熟悉 HTML、CSS3、SASS 。
4.熟悉 API 串接概念並有串接經驗。 
5.熟悉 Git、GitFlow 版本控制流程與多人協作開發經驗。,Git、HTML、JavaScript、Sass
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計、結構化程式設計","前端工程師
、軟體工程師
、全端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8o1vo?jobsource=joblist_search,"【台中】Full Stack Developer, AI LegalTech Platform (Python/PHP) AI法律科技平台全端工程師 (月薪7-10萬)","*Job Overview
We’re building a smart LegalTech platform combining AI with legal knowledge management. The position entails end-to-end development, encompassing front-end UX design and back-end AI integration, aimed at enhancing user efficiency in managing legal documents and workflows.

*Responsibilities
1) Build and maintain frontend and backend platform features.
2) Develop intuitive and user-friendly interfaces.
3) Integrate data and AI models into document workflows.
4) Work closely with AI teams.
5) Troubleshoot across the stack and iterate quickly.

*Requirements
1) Proficient in Python or PHP, with front-end experience (React/Vue/HTML/CSS).
2) Familiarity with full-stack frameworks like Laravel or Django.
3) Experience with API and database design.
4) Comfortable with version control, Docker, and basic DevOps concepts.
5) Strong problem-solving ability and team collaboration skills.

*Nice to Have
1) Experience with Next.js or related UI frameworks.
2) Experience with legal document processing or NLP projects.
3) Familiarity with cloud deployment and security concerns.
4) Familiarity with Agentic AI, AI agents, n8n, crewAI, prompting, tool use, or related NLP/LLM/RAG/machine learning technologies.
5) Experience in data annotation or data labeling for AI model training.

【職位概述】
我們正在打造一套智慧法律平台，融合AI與法律知識管理。此職位將參與從前端使用者體驗設計，到後端AI系統整合的全端開發，幫助使用者更有效率地處理法律相關文件與事務。

【主要職責】
1) 負責設計與開發前後端系統，實現AI輔助的法律服務平台。
2) 前端開發（React/Vue）與後端 API 開發（Python/PHP）。
3) 開發使用者介面與互動流程，提升使用者體驗（UX/UI）。
4) 協助資料流程串接、模型呼叫、文件處理流程整合。
5) 協同設計、AI 團隊合作，快速交付可用功能。

【必要條件】
1) 熟悉 Python 或 PHP，並具備前端開發經驗（React/Vue/HTML/CSS）。
2) 熟悉全端框架如 Laravel、Django、或 Flask。
3) 具備 RESTful API 與資料庫設計經驗（SQL/NoSQL）。
4) 熟悉 Git、Docker 或 CI/CD 流程。
5) 良好的問題解決能力與團隊合作精神。

【加分條件】
1) 熟悉Next.js 或類似 UI 框架。
2) 有 AI / 機器學習 / NLP 整合經驗。
3) 有處理法律相關資料或文件格式經驗。
4) 熟悉 Agentic AI、AI 智能代理、n8n、crewAI、提示工程、工具調用，或其他相關的 NLP／LLM／RAG／機器學習技術。
5) 有 AI 模型訓練所需的資料標註經驗。,未填寫,NLP、LLM、Python、PHP、ReactJS、VueJS、HTML、MySQL、CSS
提升專業能力
提升專業能力,自然語言處理、機器學習、系統架構規劃、AI、深度學習、模組化系統設計、軟體工程系統開發、資料庫軟體應用","AI工程師
、軟體工程師
、全端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8mufq?jobsource=joblist_search,ERP軟體開發工程師(薪50000~100000),"1. 熟悉C#編程語言及其相關框架 ( 如 .NET Framework )
    或  熟悉Python編程語言及其相關框架（如Django、Flask等）
2. 使用C#或Python進行ERP系統設計、開發與維護。
3. 具備MS SQL數據庫的設計與管理經驗，且有管理和優化能力
4. 了解並能建立 LLM 本地知識庫及其應用。
5. 具備機器學習或自然語言處理的相關知識。
6. 熟悉其他數據庫技術（如MySQL、PostgreSQL等）。
7. 撰寫技術文件和操作手冊。
8. 有團隊合作精神、良好的溝通能力，能夠與不同部門協作。
9. 具解決的問題能力和分析、設計系統需求。

有ERP系統開發經驗者優先考慮。,不拘,MS SQL、Python、Django、PostgreSQL、LLM、MySQL、C#
提升專業能力
提升專業能力,軟體程式設計、資料庫程式設計、資料庫系統管理維護、資料庫軟體應用、MES工廠執行系統規劃管理、企業資源規劃管理(ERP)","全端工程師
、資料庫管理人員
、資安工程師","月薪50,000~100,000元",無需出差外派
https://www.104.com.tw/job/8ecph?jobsource=joblist_search,後端工程師【保障年薪14個月】,"【工作內容】 
1.服務器維護優化提升效能
2.Linux、Windows系統操作
3.資料庫系統經驗
4.網站debug處理
5.二年以上後端管理維護經驗
 
【具備技能】 
1.Amazon Web Service
2.Google Cloud Platform
3.Godaddy
4.及其他主機服務器商維護開發經驗

*良好的溝通能力。
*對工作有熱情，並且持續吸收相關知識與學習新事物。
*喜歡接受挑戰，能獨立作業，也能與團隊合作。

+ 固定年終獎金2個月、
+ 過試用期後一年2次考核獎金
+ 三節獎金及生日禮金
+ 穩定年度調薪
+ 優於勞基法的休假制度：每年12天以上的特別休假+不扣薪病假5天
+ 年度體檢福利
+ 部門聚餐
+ 健身房補助專案,未填寫,不拘,不拘","後端工程師
、前端工程師
、全端工程師","月薪60,000元以上",無需出差外派
