job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/8eyh7?jobsource=joblist_search,半導体AOI光學影像工程師-后科廠,"秉持客人須求，提供專業光學、光源、成像。相關器材選用設置、保管、檢測、維修、操作；維護電腦系統效能，保持系統正常運作並進行除錯；其他主管交辦事宜。
歡迎有AOI行業的應聘者加入我們的團隊，共同創造出更美好的活動現場！請將您的履歷表發送至指定郵箱，期待您的加入！,未填寫,Excel、Outlook、PowerPoint、Word
提升專業能力
提升專業能力,模組化系統設計","全端工程師
、前端工程師","月薪46,000~62,000元",需出差，一年累積時間約三個月以下
https://www.104.com.tw/job/8nw1b?jobsource=joblist_search,Vue前端工程師,"1. 熟悉Vue3、Vue2、HTML、JavaScript語法，可獨立進行網頁開發。
2. 串接API經驗。
3. 維護其他現行專案。
4. 配合後端人員進行開發。
5. 對 RWD (Responsive Web Design) 響應式網站技術熟悉。,不拘,JavaScript、HTML、CSS、jQuery、VueJS、Sass
提升專業能力
提升專業能力,不拘","前端工程師
、Internet程式設計師","月薪35,000~40,000元",無需出差外派
https://www.104.com.tw/job/8n4xe?jobsource=joblist_search,前端網頁設計師 / 前端網頁工程師,"熟悉 HTML5、JavaScript（ES6+）
一、熟悉前端建置工具 (Webpack、Vue、npm、yarn…等)
二. 設計與製作公司形象規範、網站視覺風格。
三. 使用各種軟體製作專案網頁。
四. 與業務、企劃、程式設計等相關人員配合，協同執行專案。
五. 規劃與掌控專案時程及成本。
六. 負責網頁程式的開發設計與修正更新。
七. 負責網站更新與管理。
八. 發想新的思維與創意，並應用於作品中。
、具備良好的溝通協作能力，能與設計師、後端工程師高效合作,不拘,JavaScript、VueJS、Node.js
提升專業能力
提升專業能力,網頁語法撰寫","前端工程師
、Internet程式設計師
、網頁設計師",待遇面議,無需出差外派
https://www.104.com.tw/job/8k5hw?jobsource=joblist_search,React Native工程師,"☑️為加速履歷審核流程，建議具體列出擅長及會使用的技能哦

✅ 關於任務
◆ 負責產品開發及維護線上專案
◆ 提升解決界面技術優化
◆ 前端框架與編碼規範模塊化
◆ 相關專案文件撰寫
◆ 為公司提供相關的技術支持

⭕ 關於技能
◆ 熟悉 React Native 開發環境和生態
◆ 至少兩年以上開發經驗
◆ 了解現代React開發模式
◆ 了解前端基本觀念（HTML5、CSS3、JavaScript  ES6+ )
◆ Git、Subversion等版控經驗
◆ API 串接經驗,不拘,不拘,不拘","軟體工程師
、前端工程師
、Internet程式設計師",待遇面議,無需出差外派
https://www.104.com.tw/job/8nh0a?jobsource=joblist_search,數位行銷部-廣告投放網頁前端工程師,"鄉林集團是橫跨房地產及國際觀光旅遊兩個產業中，別具一格的先行者！

集團體系包含『鄉林建設』及『涵碧樓酒店集團』，其中鄉林建設是垂直整合的建設公司，上從土地開發、規劃設計、營造水電，下至行銷企劃、業務銷售、售後服務等，皆一手包辦，尤以規劃設計及服務更得到大眾認同，因此集團極度重視品牌形象及行銷企劃！
隨著數位廣告的趨勢越發成熟，集團成立全新的數位行銷部門，運用數位行銷工具及會員經營等數據分析方法，提升公司業務專案推動一系列數位化變革，歡迎有志於行銷廣告、熟悉數位廣告生態、廣告投放策略的菁英前來挑戰！

【基礎技術能力】
※HTML/CSS/JavaScript：掌握語意化HTML標籤（如<header>、<footer>、<article>等），這些標籤不僅提升網頁結構，還能幫助搜尋引擎更好地理解內容
※響應式網頁設計：確保網站在各種裝置上都能良好顯示，Google特別重視行動裝置友好的網站
※版本控制：熟練使用Git等版本控制系統，有助於團隊協作和代碼管理

【SEO專業知識】
※關鍵字研究與應用：了解如何在網頁結構中合理放置關鍵字，避免過度優化
※網頁速度優化：能夠最小化CSS和JavaScript文件、優化圖片、利用瀏覽器快取等方式提升網頁載入速度
※Core Web Vitals：了解並優化Google核心網頁指標，包括最大內容繪製時間(LCP)、首次輸入延遲(FID)和累積版面位移(CLS)

【技術實踐】
※URL結構優化：創建簡潔、描述性的URL，包含目標關鍵字，避免動態參數
※圖片優化：為所有圖片添加alt屬性，幫助搜尋引擎理解圖片內容
※元標籤實現：正確實現title標籤、meta描述等，這些對搜尋引擎結果頁面顯示至關重要
※結構化數據標記：實現schema.org標記，幫助搜尋引擎更好地理解網頁內容,1、具數位廣告投放2年以上經驗。
2、對數字敏感度佳，有基本Office文書處理能力（尤其是excel）。
3、清晰的邏輯思考能力及文案撰寫能力。
4、具備敏銳的市場嗅覺，能夠掌握最新的數位行銷趨勢。
5、具備良好的學習能力，能夠快速吸收新知。 

加分條件
1、有數位代理商，廣告投放工作經驗。
2、有數據統計經驗或相關數據工具分析能力。,不拘,不拘","網站行銷企劃
、前端工程師
、數位行銷",待遇面議,無需出差外派
https://www.104.com.tw/job/8oaly?jobsource=joblist_search,網頁前端程式設計師-台中,"【職務說明】
    本職務的工作範疇是運用前端網頁開發技術，與專案經理溝通確認實作需求，配合Figma設計稿件，與後端工程師提供之API，合作建構出完整的網頁應用程式服務，並於規劃時程內完成工作。
應徵者應具備相關前端資料串接與應用系統建置能力與實務經驗，同時我們也期許在過程中多思考及善於溝通，主動自我學習與發掘問題。

【必要條件】
◇ HTML、CSS、JavaScript、JQuery、AJAX、Vue.js或其他前端框架
◇ 能掌握程式碼品質及可維護性
◇ 具備資訊安全意識並能與團隊共同維護程式碼品質，包括無障礙認證通過
◇ 因應資安政策，配合客戶資安稽核規範，透過弱點掃描工具，定期排除資安風險

【加分條件】
◇ 具備網路地圖API、RESTful API 相關開發經驗，並具備串接及整合不同第三方系統服務的能力,不拘,GIS、VueJS、CSS、HTML、PostgreSQL、MS SQL、C#、ASP.NET、AJAX、Github
提升專業能力
提升專業能力,作業系統基本操作、系統架構規劃與維護、資料庫軟體應用、系統整合分析","軟體工程師
、Internet程式設計師
、前端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8anqx?jobsource=joblist_search,全端工程師Vue/Golang,"1.執行軟體架構設計，並繪製相關架構圖、服務佈署圖，搭配測試工具，確保服務與資料正確性、穩定性。 
2.以Vue為主要前端開發語言，依需求/UIUX文件，進行功能拆解，運用圖表套件執行前端畫面與功能開發，並評估前端畫面功能與 資料呈現效能，進行適當優化。 
3.以Golang為主要後端開發語言，進行整體後端服務架構設計，與前端及資料工程師協作，進行資料結構與彈性的設計與協作、服務壓測，並以GCP相關工具進行基礎設施建置。 
4.建立服務追蹤機制，監控基礎建設、服務負載狀態、相關Log集成、事件警示。 
5.其他主管交辦事項執行。,不拘,不拘,不拘","前端工程師
、後端工程師
、全端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8jayr?jobsource=joblist_search,Cocos Creator開發工程師,"1. 開發 iOS, android 平台手機App。
2. 負責用戶端產品的開發和維護。
3. 與後端工程師配合，串接 API以完成產品研發。
4. 與視覺設計師及其他軟體開發工程師協作。,不拘,不拘,不拘","電玩程式設計師
、遊戲企劃
、前端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8m985?jobsource=joblist_search,SW Frontend Engineer-React 前端工程師,"1.用Typescript + React開發後台網站 
2.設定webpack、設計並操作Redux 
3.透過drone做cicd的部屬 
4.與後端工程師合作，串接API及socket.io 
5.與設計師合作，用figma作切版 
6.用Git做程式碼的管控 
7.參與使用情境的開發討論,1.具備前端框架經驗（React 佳），並熟悉其生態系。 
2.熟悉 JavaScript / ES6+ / Typescript 語法特性。 
3.熟悉 HTML、CSS3、SASS 。
4.熟悉 API 串接概念並有串接經驗。 
5.熟悉 Git、GitFlow 版本控制流程與多人協作開發經驗。,Git、HTML、JavaScript、Sass
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計、結構化程式設計","前端工程師
、軟體工程師
、全端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8jayp?jobsource=joblist_search,前端網頁工程師,"【 工作內容 】
1、根據 UI/UX 的設計, 切出需求所需的 layout 以及組件。
2、建構高複用性組件及模組化的程式碼的 Vue 組件，和設計及後端團隊協同分析並優化現有 Web 專案。
3、編寫可測試化的程式碼。
4、能使用相關除錯工具來偵錯，如Vue/Chrome debugging tools。
5、要有處理大量資料的經驗。


【 希望你/妳具備 (加分) 】
1、熟悉 ES5/ES6 前端框架與後端 API 串接。
2、熟悉VUE3的經驗。
3、熟悉 HTML/JavaScript/CSS/Sass。
4、了解 state-management framework。
5、能使用相關除錯工具來偵錯，如Vue/Chrome debugging tools。
6、擁有Git版本控制實務經驗。
7、擁有解決mobile瀏覽器支援性的經驗。



＊＊＊來信應徵時，請附上作品連結網址＊＊＊
         ＊＊＊面試時，請攜帶作品集＊＊＊,不拘,Git、AJAX、Python、DHTML、HTML、JavaScript、jQuery、CSS、VueJS、EDM
提升專業能力
提升專業能力,視覺設計相關知識、多媒體影像處理、使用者介面設計、設計表現能力、網頁語法撰寫","UI設計師
、網頁設計師
、前端工程師","月薪36,000~45,000元",無需出差外派
