job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/899g4?jobsource=joblist_search,內勤技術系統工程師,"1. 系統及軟硬體安裝/檢測/故障排除。
2. 網路設備安裝/檢測/故障排除。
3.軟體優化升級，協助進行版更客戶系統。
4.熟資料庫。
5.其它交辨事項。
6.熟悉作業系統OS：Win10、Win11。
7.熟悉軟體操作office：Excel、Word、PPT。
8.夜間就讀中工讀生可。,不拘,Windows 7、Windows 10、Access、MS SQL、MySQL、DNS、LAN、PPPoE、TCP/IP、VPN、Excel、Outlook、PowerPoint、Word
提升專業能力
提升專業能力,電腦設備裝配、資訊設備環境設定、BIOS程式偵錯與維護、系統整合分析、軟體整合測試、測試環境建置規劃、資料庫系統管理維護、撰寫可靠度分析測試軟體程式","系統工程師
、FAE工程師
、資訊助理","月薪35,000元以上",無需出差外派
https://www.104.com.tw/job/7iqjq?jobsource=joblist_search,資訊助理,"主要工作內容
1. 負責電腦維護等工作。
2. 協助公司改善內部系統及各項資訊相關事務。 
3. 協助開發生產管理相關程式。 

其他工作內容
1. 其他臨時支援與交辦事項。
2. 守時、有禮貌、有責任心。,不拘,PHP、PL/SQL、VueJS、Excel、PowerPoint、Word
提升專業能力
提升專業能力,資訊設備操作檢修、企業資源規劃管理(ERP)",資訊助理,"月薪30,000~33,000元",無需出差外派
https://www.104.com.tw/job/2bs4y?jobsource=joblist_search,資訊網路工程人員,"(1)無經驗可
(2)須具備汽車駕駛執照(手排/自排)
(3)可配合公司加班
(4)具備電腦硬體組裝及維修經驗(有簡易基礎.網路概念)
(5)可配合資訊建置案(電腦教室、電源網路佈線、投影設備安裝、擴音設備安裝),不拘,不拘,不拘","網路管理工程師
、系統工程師
、資訊助理","月薪30,000~40,000元",無需出差外派
https://www.104.com.tw/job/4jywo?jobsource=joblist_search,PM助理,"資訊/資工相關系所畢，需有網路客服工程師相關經驗
1.執行PM工作交派事項。
2.協助PM釐清客戶端問題，並帶領客戶操作系統
3.協助PM測試客戶端問題
4.協助PM問題清單文書處理
5.完成專案測試。
6.願意學習，邏輯思考強。
7.具備細心有耐心。
8.有電商平台操作經驗者佳。,不拘,Excel、PowerPoint、Word、Draw、Xmind、中文打字50~75
提升專業能力
提升專業能力,不拘","系統工程師
、資訊助理
、助理工程師","月薪32,000~35,000元",無需出差外派
https://www.104.com.tw/job/7m0tr?jobsource=joblist_search,系統櫃拆料人員(經驗不拘),"※預計於2025年9月-12月遷廠，新廠地址為在南投縣草屯鎮御富路

將客戶的系統家具設計圖面，進行資訊整合成可讓廠內生產的專業性工作 

1.需有良好空間概念(三視圖觀念)
2.數字邏輯清晰
3.細心且富有責任感
4.對軟體操作不排斥，有使用過3D繪製軟體為佳(如AutoCad,3D-max,Sketchup...等) 
5.相關經驗不拘，公司有良好的培訓制度，肯學習，肯努力者為佳
6.此職位非繪圖(設計)人員，請了解工作內容後再投。



【加分條件】 

- 具備外語能力,英語為佳 (多益成績730分以上佳)，有機會可以參與國外的展覽

- 具備國貿相關業務之基本概念為佳 

- 若有語言能力的應徵者，面試請自備多益成績

※相關經歷豐富者, 可依照經歷調整起薪

發展/遠景：
公司一直致力於自動化生產的優化，工作事項並非一成不變，隨著科技進步、新的技術，公司不斷嘗試新的作法、新的方向，不斷學習新事務，也會參與國內國外的軟體展或機械展。

※相關經歷豐富者, 可依照經歷調整起薪,不拘,AutoCAD
提升專業能力
提升專業能力,不拘","資訊助理
、行政助理
、室內設計助理","月薪31,000~42,000元",無需出差外派
https://www.104.com.tw/job/8n5q2?jobsource=joblist_search,資訊工讀生,"1.依年度計畫執行(1)集團老舊電腦(win7)汰換約20台 (2)公用手機資料備份與檢查
2.執行ESG資安政策(1)辦公環境文件管理安全 (2)定期盤點內部網路使用行為 (3)新世代資安軟體部署、測試與安裝 (4)其他政策配合執行
3.日常電腦軟、硬體安裝與維護、資訊設備定期保養、使用者故障排除等
4.其它主管交辦事項,不拘,不拘,資訊設備操作檢修、電腦設備裝配","資訊助理
、工讀生",時薪190元,依公司規定
https://www.104.com.tw/job/6yci1?jobsource=joblist_search,行政助理,"1.郵寄DM整理
2.ERP軟體客服與教育訓練
3.線上客服、回覆、進度追踪
4.客戶需求服務與處理
5.報表修改
6.撰寫操作手冊，與系統測試。,不拘,Windows XP、Windows 7、Windows 8、Excel、PowerPoint、Word、中文打字20~50
提升專業能力
提升專業能力,不拘","電話客服
、業務助理
、資訊助理","月薪30,000~35,000元",無需出差外派
https://www.104.com.tw/job/7e47t?jobsource=joblist_search,助理工程師,"1.協助處理客戶所提出產品相關應用的技術問題及支援服務。
2.配合業務與客戶需求，協助安裝設備與處理系統問題。
3.需配合出差。
4.需對電腦有一定的基礎概念。,不拘,Excel、PowerPoint、Word
提升專業能力
提升專業能力,不拘","其他資訊專業人員
、資訊助理
、業務助理","月薪30,000~35,000元",需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/8bd6g?jobsource=joblist_search,專職客服專員,"1. 獨立執行網站以及協助專案經理人處理客戶反應軟體上使用的問題。
2. 處理網站相關所有例行事務。
3. 需參予輪值的調度。(白天班08:00~20:00、夜班20:00~08:00)
4. 月休10天( 排班制),1. 專科以上學歷，英語能力讀寫略懂。 
2. 客服相關工作經驗者驗尤佳。 
3. 正面積極，有熱誠且EQ高，學習意願高，穩定度高者尤佳。,Apple、Mac OS、Windows XP、Android、iOS、中文打字20~50、英文打字20~50
提升專業能力
提升專業能力,文書處理軟體操作","其他客服人員
、資訊助理","月薪35,000~45,000元",無需出差外派
https://www.104.com.tw/job/84o62?jobsource=joblist_search,中班系統客服,"1. 線上即時以文字協助顧客排解問題等相關業務。
2. 提供專業產品諮詢服務。
3. 彙整顧客意見回饋、紀錄回報，並協助流程提升及改善。
4. 協助客服系統及平臺優化。
5. 每日工作交接並完成主管交辦事項。
6. 具備高敏銳觀察力與應變能力。
7. 內部溝通、跨部門溝通、交接。
8. 例行報表紀錄、彙整。

*本職缺上班時間以中班15:00~23:00為主，但需配合人力需求調動班別。
*本職缺需配合排休，投遞前請務必留意,1. 具備基本電腦操作（Windows & MS Office）及系統運用能力
2. 具備良好的溝通及協調能力
3. 對客戶服務工作有熱情和耐心
4. 做事細心認真、態度積極主動
5. 具備團隊合作精神及負責任的態度。
6. 具備基本手機（iOS & Android）與電腦概念。
7，具備API知識佳,Android、iOS、Windows 10、Excel、PowerPoint、Word、中文打字20~50、英文打字20~50
提升專業能力
提升專業能力,客訴案件處理、作業系統基本操作、功能測試(function test)、壓力測試(stress test)、測試計劃及測試報告書撰寫、文書處理軟體操作、電子試算表軟體操作、簡報軟體操作、問題追蹤處理(Bug tracking)","其他客服人員
、資訊助理
、系統工程師","月薪33,000~40,000元",無需出差外派
