job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/4w6sp?jobsource=joblist_search,MIS Engineer(台中市政府旁),"Windows, Linux, AD Server, Google GSuite 系統管理。
你是個對於各種電腦及網路設備都感興趣的人嗎？ 喜歡玩新技術，喜歡學新東西，然後在現實中又可以靠這些新技術來解決使用者的問題會讓你感覺到很有成就感嗎？
你認為玩技術不單只是會玩單品項的產品、只滿足於會安裝、懂基本設定，你還期望能綜合不同的技術，來兜出足以解決現實問題的方案嗎？
我們專門為國外客戶開發及維護跨國大型網站，我們在乎任何形式的技術解決方案，「既使是速度快一秒，可靠度高 0.1%，也對我們的營運有極大的幫助」，所以我們有足夠的營運動機，可以讓你發揮你對技術上的各種熱情。
加入我們，你將會知道什麼叫跨國大型網站的維運，你不再是外商公司放在台灣幫忙看機器的機器人，不是見樹不見林的螺絲釘，只要你願意自我學習、向上提升，你就是我們的主角
謝絕想要來安穩吃大鍋飯的高材生，歡迎有【熱忱】、【追求極致】、【樂於團隊合作】的夥伴一同打造一流的服務!

【Job Responsibilities】
1. 分析、解決辦公室IT 設備相關問題
2. MIS 相關系統維護，自動化流程與操作
3. 管理與維護公司網路和資料，並進行備份工作
4. 控管、備份網路伺服器內的檔案，並設定用戶端權限，以確保檔案安全
5. 監控系統運作，並建立危機處理的標準流程
6. 具備辦公室IT支援工作及 Windows 系統管理工作兩年以上經驗
7. 主管分配事項

【Qualification】
1. 二年以上 Windows AD Server 管理經驗為佳
2. 一年以上辦公室網路維護經驗
3. Google Workspace 實務管理經驗
4. 辧公室無線網路架設暨管理經驗
5. MacBook 基本操作及維護
6. Experience in managing a Virtulization Environment

【Skills】
1. Linux, Windows Server 2016 
2. Firewall, SAN/NAS
3. Windows Deployment Service (WDS)
4. Powershell/Bash Scripting,【Nice to have】
1. 具Windows 相關認證 (MCSE) 加分
2. 具Google Professional Workspace Administrator Certificate 加分
3. Service-oriented 服務精神
4. Good Communication skills 良好的溝通能力
5. Experience working in cross-functional teams and contributing to a positive team culture.,Linux、Firewall、SAN、SAN/NAS
提升專業能力
提升專業能力,伺服器網站管理維護、作業系統基本操作、資訊設備操作檢修、資訊設備環境設定、安裝與維護網路安全系統、規劃與管理防火牆、網路系統配置","資訊設備管制人員
、系統工程師
、網路管理工程師","月薪40,000~70,000元",需出差，一年累積時間約三個月以下
https://www.104.com.tw/job/3mnho?jobsource=joblist_search,【中科后里】IT-INF資深工程師(Unix),"Linux/UNIX Server、NAS/SAN storage設備規劃、建置與維運管理，含: 日常維護、監控維護、效能調校、異常處理、安全管理、備份備援(HA/DR)、權限管理。,1. Linux/UNIX server 4年以上管理經驗；NAS storage、SAN storage及SAN Switch 1年以上管理經驗
2.具半導體廠或資通訊產業相關工作經驗佳,不拘,不拘","資訊設備管制人員
、網路安全分析師
、資料庫管理人員","月薪51,000~96,000元",無需出差外派
https://www.104.com.tw/job/8lzd1?jobsource=joblist_search,系統網路工程師,"工作內容：
1.規劃與管理L2/L3交換機、防火牆（Firewall）、RouteOS、Load Balancer等網路設備，並負責DNS、CA、CDN、WireGuard、L2TP等資安技術的應用與維護，確保網路架構的穩定性與安全性。
2.負責Linux/Windows系統的安裝、維護及資安調校，並管理虛擬化平台（如VMware）及雲端環境（AWS、GCP、Linode等VPS）的應用與運行。
3.管理與維護伺服器、NAS及各種服務應用（如gitea、gitlab、drone、nginx、haproxy、grafana、graylog、librenms、redis、docker等），並負責系統運行的穩定性與資安防護。


技術條件：
1. 具有系統安裝與操作經驗(Linux為主，Windows為輔)
2. 具有 Web service架設經驗 (Nginx)尤佳
3. 具有資料庫安裝經驗 (MySQL/Mariadb/MSSQL)尤佳
4. 具有 VMWare/PVE 虛擬化系統安裝與操作經驗尤佳
5. 具有撰寫scripts經驗尤佳(Bash shell/Python/Perl)
6. 具有Server及用戶端Windows系統 操作及建置，障礙排除
7. 熟悉操作Router路由器、Firewall防火牆、Switch交換器、無線分享器AP等，建置過辦公室網路環境以及障礙排除,不拘,Linux、Shell、Perl、Python、MS SQL、MySQL、Vmware、Firewall
提升專業能力
提升專業能力,伺服器網站管理維護、資訊設備環境設定、資料庫系統管理維護、安裝與維護網路安全系統、規劃與管理防火牆、網路系統配置、網路設備設定安裝","網路管理工程師
、系統工程師
、資訊設備管制人員",待遇面議,無需出差外派
https://www.104.com.tw/job/88oo4?jobsource=joblist_search,【臺中總公司】網路系統工程師,"1.建置、維護雲端服務架構、Docker、Linux、Tomcat、Apache、資料庫系統(DB2為主),不拘,Linux、Shell、Java
提升專業能力
提升專業能力,伺服器網站管理維護、作業系統基本操作、資料備份與復原、資訊設備操作檢修、資訊設備環境設定、資料庫系統管理維護、規劃與管理防火牆","系統工程師
、網路管理工程師
、資訊設備管制人員","月薪35,000元以上",無需出差外派
https://www.104.com.tw/job/503lg?jobsource=joblist_search,(台中) IT HELP DESK 組/課級主管,"1.負責公司內部資訊網路、電腦硬體及伺服器之規劃與管理。
2.直接管理部門人力運作。,不拘,Linux、Windows 2000、Windows 2003、Windows 95、Windows 98、Windows NT、Windows Vista、Windows XP
提升專業能力
提升專業能力,伺服器網站管理維護、作業系統基本操作、資料備份與復原、電腦設備裝配、資訊設備操作檢修、資訊設備環境設定、網路系統配置、網路配線工具使用、網路元件安裝及管理、網路架設佈線、網路規劃管理、網路設備設定安裝、網路應用軟體操作、文書處理軟體操作、流程圖軟體操作、專案管理軟體操作、電子試算表軟體操作、簡報軟體操作","MIS／網管主管
、資訊設備管制人員",待遇面議,無需出差外派
https://www.104.com.tw/job/8krle?jobsource=joblist_search,【臺中總公司】資深網路系統工程師,"1.建置、維護雲端服務架構、Docker、Linux、Tomcat、Apache、資料庫系統(DB2)為主。
2.Bash Shell等系統端語言，提升系統監控、維護穩定性。
3.主要工作維護客戶系統，穩定服務與備份作業。,不拘,Linux、Shell、Java
提升專業能力
提升專業能力,伺服器網站管理維護、作業系統基本操作、資料備份與復原、資訊設備操作檢修、資訊設備環境設定、資料庫系統管理維護、規劃與管理防火牆","系統工程師
、網路管理工程師
、資訊設備管制人員","月薪50,000元以上",無需出差外派
https://www.104.com.tw/job/8gm63?jobsource=joblist_search,GY04-智慧監控-客服工程師/專案工程師(台中),"【職務說明】
1. 專案文書製作，需熟悉微軟文書軟體使用 
2. 專案時程管理，跟進各專案進度及協助主管派工 
3. 報表彙總，協助主管評估及估算成本 
4. 需經常與客戶聯繫相關事務

因北中南部都有專案
＊必要時需自行或配合主管出差


註1：工作地點 – 泰宇網通股份有限公司
註2：工作地點台中(臺灣大道四段925號15樓之7),IT相關服務/弱電建置安裝與規劃工作經驗。
需自備汽車，可申請公司補助。,不拘,不拘","電信／通訊系統工程師
、系統工程師
、資訊設備管制人員","月薪36,000~40,000元",需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/8afql?jobsource=joblist_search,學習型的實習生（資訊軟體系統類）,"★非在學學生請勿投遞，此實習機會僅提供實習時數。

★可配合學校實習生計畫，請於自傳最後說明實習時數及期程。 

【實習內容】：
★藉由參與實務工作，學習相關產業領域專業技能，未來就業可順利接軌，充實就業即戰力。
★在職期間將規劃各類專業課程，同步提升職場軟實力。 


1. 確保公司的資訊設備運作正常
2. 管理與維護公司的網路基礎架構和系統
3. 監控事件和事故以確保安全和性能
4. 提供技術支援和培訓給其他部門的員工
5. 處理和解決資訊設備相關的問題

資訊設備管制人員在公司中扮演著重要的角色，負責確保資訊設備的適當運作和安全性。這個職位具有良好的發展前景，因為隨著公司業務擴張，資訊設備管制人員的需求也越來越大。
歡迎符合上述條件的人才加入我們的團隊，請將您的履歷發送至指定電子郵箱。,不拘,不拘,不拘","AI工程師
、資訊設備管制人員
、軟體工程師",部分工時(月薪)0元,無需出差外派
https://www.104.com.tw/job/8khs3?jobsource=joblist_search,【RD】MIS 工程師,"MIS
- 資訊管理、資訊科學或相關領域的大學或同等以上學歷。
- 具備至少3年以上相關工作經驗，有遊戲開發/包網/雲端SaaS行業經驗者優先。
- 熟悉雲端技術（如GCP、AWS、Azure、Aliyun、TencentCloud、Cloudflare）及虛擬化技術。
- 熟悉各式伺服器與網路設備管理、設定與除錯。
- 熟悉各類操作系統（如Windows、Linux）的安裝、配置及故障排除。
- 熟悉網絡結構、協議及安全性措施，了解防火牆、VPN、IDS等安全技術。
- 對於網域管理與設定有豐富經驗。
- 有偵查DDoS與L4或L7相關攻擊的經驗，並且能知道解決的方式。
- 熟悉WordPress相關設定。
- 熟悉常見的資料庫管理系統（如MySQL、PostgreSQL）及SQL語言。
- 具備優秀的問題分析和解決能力，能在壓力下高效工作。
- 良好的溝通協調能力，能夠有效與團隊及其他部門合作。
- 英語聽說讀寫能力佳者優先。
- 具備相關專業認證（如Cisco CCNA、Microsoft MCSA等）為佳。
-Server manager + CDN / cloud,不拘,不拘,伺服器網站管理維護、資料備份與復原、電腦設備裝配、資訊設備操作檢修、資訊設備環境設定、安裝與維護網路安全系統、規劃與管理入侵防護系統（IPS）、規劃與管理防火牆、規劃與管理網路入侵檢測系統（NIDS）、網路系統危機管理、網路系統配置、網路設備設定安裝","資訊設備管制人員
、網路管理工程師
、系統工程師","月薪50,000~60,000元",無需出差外派
https://www.104.com.tw/job/8i7y1?jobsource=joblist_search,資訊技術工程師 (台中),"工作內容
1. 設備檢查與維護
        ●定期檢查和維護影印機、主機及網路設備，確保其正常運作。
        ●監控機房環境，包括各類系統的運行情況。
2. 用戶支持與辦公室維護
  ●提供員工技術支持，解決電腦、軟體及網路相關問題。
 ●協助新員工入職，進行設備發放與安裝，並提供 IT 規則及使用指導。
 ●管理個人電腦的作業系統與應用程式的安裝與設定。
3. 網路和系統管理
 ●設計、部署及維護公司內部網路基礎設施，確保網路穩定性與安全性。
 ●管理公司使用的業務系統和資料庫，進行系統備份與資料恢復。
4. 資訊安全管理
     ●實施並維護安全策略，保護公司數據與系統免受未授權訪問。
 ●定期進行安全風險評估與漏洞掃描，確保資訊安全。
5. IT 項目與資源管理
 ●參與或領導 IT 項目的規劃與執行，滿足業務需求。
 ●管理 IT 資產與供應商，負責相關採購與庫存管理。
6. 文檔與報告
 ●維護 IT 系統與流程的文檔記錄。
 ●定期向管理層匯報 IT 工作進展與建議。
7. 雲端管理與虛擬機架設
 ●設計、部署及維護雲端基礎設施（Google Cloud）。
 ●管理虛擬機的架設與運維，確保資源的高效利用。
8. CI/CD 流程建立與維護
 ●建立和優化持續整合與持續部署（CI/CD）流程(Gitlab CI)，提升開發與部署效率。
 ●協調開發與運維團隊，確保部署流程的自動化與穩定性。,不拘,Jenkins、Git、MySQL
提升專業能力
提升專業能力,伺服器網站管理維護、資料備份與復原、電腦設備裝配、資訊設備操作檢修、資訊設備環境設定、資料庫系統管理維護、系統架構規劃與維護、安裝與維護網路安全系統、規劃與管理防火牆、網路系統危機管理、網路系統配置","雲端工程師
、資訊設備管制人員
、網路管理工程師","月薪40,000~70,000元",無需出差外派
