job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/83c89?jobsource=joblist_search,Unity 前端工程師,"【工作內容】
配合專案時程完成項目需求
與團隊成員協作完成系統功能及遊戲開發
持續優化及重構內部框架

【必備技能】
熟悉 Unity 引擎應用 及 C# 語言特性
熟悉 UGUI
熟悉 Git 版本控制
具備良好溝通表達能力、理解力、協作能力

【加分項目】
具備跨平台開發與上架經驗 (Android、iOS)
具備 CI/CD 相關經驗 (Jenkins、Github Action、GitLab CI)
具備第三方 SDK 串接經驗
具備資源優化、性能優化經驗
熟悉 Unity 編輯器、工具開發,不拘,C#、Unity3D
提升專業能力
提升專業能力,軟體程式設計","軟體工程師
、多媒體開發主管
、電玩程式設計師","年薪990,000元以上",無需出差外派
https://www.104.com.tw/job/75fq8?jobsource=joblist_search,【台中/西屯】測試工程師（無相關工作經驗可）,"工作內容
1. 研擬產品測試計畫。
2. 參與產品測試（手動／自動化）。
3. 提出改善建議與撰寫測試報告。
4. 協助自動化測試流程規劃與開發。

能力需求
1. Python,C,PHP 至少一種程式語言開發經驗。
2. 具網路基本概念相關知識（具CCNA者佳）。
3. 能在 linux 系統環境作業。
3. 善溝通協調，具良好的分析能力，工作主動積極，並嚴謹執行測試任務。
加分條件：有自動化測試相關經驗者。,不拘,C、PHP、Python
提升專業能力
提升專業能力,不拘","軟韌體測試工程師
、測試人員
、軟體工程師","月薪36,000~45,000元",無需出差外派
https://www.104.com.tw/job/494fw?jobsource=joblist_search,Software Engineer / Programmer 軟體工程師(台中市政府旁),"在鈦坦科技，我們將工程師視為「產品開發者」（PD, Product Developer）。這不僅是關於編寫【程式】，還包括全面考慮產品的效能、安全、使用性、維護成本及所需資源和時間。我們致力於開發但不只是完成功能，更在意創造出能讓客戶滿意的產品。對於敏捷開發，我們重視其真正的含義，而不是快速交付或空洞的術語。如果你具有熱忱、追求極致和樂於團隊合作的特質，歡迎你加入我們。在這裡，你將在專業顧問的指導下深入學習敏捷開發的精髓，與團隊共創卓越產品。我們相信，追求的不僅是最好，而是不斷進步。

我們在日常開發使用到的【四大核心技術領域】有以下幾項
軟體開發和版本控制：ASP.NET Core, Vue.js, Microsoft SQL Server, GitLab, etc.
自動化測試： NUnit, Vitest, K6, etc.
容器化和分散式系統: docker, K8s, Redis, Kafka, etc.
監控和日誌系統：ELK, Grafana, Prometheus, etc.

【工作職責】
• 依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
• 整合網站應用程式至資料庫導向或 API 導向的後台系統。
• 提供 24x7 的技術支援。
• 開發、改善所有軟體產品，並提供維護所需的所有必要文件。

【工作規範】
基本要求
• 熟悉物件導向設計
• 對於前端、後端有一定程度了解與基本實踐
• 良好的團隊合作能力，能夠融入多元化的工作環境
• 積極的學習態度，願意不斷探索新技術和方法

【加分項目】
• 參與過實際發布給終端用戶使用的產品開發以及維護經驗
• 於上述四大核心技術領域中對其中一個領域有深入的知識與實戰經驗
• 熟悉 ASP.NET Core 或 Vue.js 的開發,【加分項目】
• 參與過實際發布給終端用戶使用的產品開發以及維護經驗
• 於上述四大核心技術領域中對其中一個領域有深入的知識與實戰經驗
• 熟悉 ASP.NET Core 或 Vue.js 的開發,不拘,不拘","軟體工程師
、Internet程式設計師
、全端工程師","月薪56,000~75,000元",需出差外派，一年累積時間約一個月以下
https://www.104.com.tw/job/8jq6z?jobsource=joblist_search,派遣至西門子公司 - Service Engineer-BAU維護工程師-中央監控系統- 105 EL,"JD:
• 負責西門子中央監控系統的維護工作執行，確保系統運作的穩定性
• 負責西門子智慧建築中央監控系統與設備檢修、故障排除，維持系統運作之正常
• 小型工程推展，確保工程進度，與施工品質控管
• 負責執行上級交辦的專案事項，提供即時支援
• 視專案需求，配合台中、苗栗、新竹的案件執行

Requirements:
• 大專畢業以上學歷，機電、資工相關科系
•具備SCADA系統操作及維護經驗/HVAC控制邏輯相關知識/PLC可程式控制器程式編輯經驗 2年（含）以上,不拘,不拘,不拘","自動控制工程師
、軟體工程師
、軟體專案管理師","月薪45,000~75,000元",完全遠端
https://www.104.com.tw/job/7sume?jobsource=joblist_search,前端工程師,"1.資料視覺化及向量地圖運用功能。 
2.各項圖資運用、第三方API串接。 
3.偕同相關部門共同合作專案開發。
4.熟悉響應式網站開發(RWD)，為網站（包含內部和外部客戶端）的UI/UX體驗提供概念及設計。
5.依據產品UI/UX規格，開發使用者介面並配合後端API串接。
6.優化前端網頁功能設計，解決各種瀏覽器的相容性問題。
7.依產品規格文件，進行切版、前端模組和元件開發及測試。,不拘,UNIX、Git、Python、ReactNative、ReactJS、VueJS、Angular
提升專業能力
提升專業能力,不拘","Internet程式設計師
、網頁設計師
、軟體工程師","月薪40,000元以上",無需出差外派
https://www.104.com.tw/job/8oaly?jobsource=joblist_search,網頁前端程式設計師-台中,"【職務說明】
    本職務的工作範疇是運用前端網頁開發技術，與專案經理溝通確認實作需求，配合Figma設計稿件，與後端工程師提供之API，合作建構出完整的網頁應用程式服務，並於規劃時程內完成工作。
應徵者應具備相關前端資料串接與應用系統建置能力與實務經驗，同時我們也期許在過程中多思考及善於溝通，主動自我學習與發掘問題。

【必要條件】
◇ HTML、CSS、JavaScript、JQuery、AJAX、Vue.js或其他前端框架
◇ 能掌握程式碼品質及可維護性
◇ 具備資訊安全意識並能與團隊共同維護程式碼品質，包括無障礙認證通過
◇ 因應資安政策，配合客戶資安稽核規範，透過弱點掃描工具，定期排除資安風險

【加分條件】
◇ 具備網路地圖API、RESTful API 相關開發經驗，並具備串接及整合不同第三方系統服務的能力,不拘,GIS、VueJS、CSS、HTML、PostgreSQL、MS SQL、C#、ASP.NET、AJAX、Github
提升專業能力
提升專業能力,作業系統基本操作、系統架構規劃與維護、資料庫軟體應用、系統整合分析","軟體工程師
、Internet程式設計師
、前端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/7677f?jobsource=joblist_search,軟體開發工程師（影像）-台中,"1. 協助AI影像相關訓練及Label動作。
2. 測試AI影像判別相關穩定性。
3. 自動化機台軟/硬體協助開發/測試。
4.光學系統相關測試。,不拘,C++、Python、LabVIEW
提升專業能力
提升專業能力,不拘",軟體工程師,"月薪35,000~70,000元",需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/3vcwv?jobsource=joblist_search,研發替代役--影像工程師,"1.影像處理演算法開發
2.影像檢測系統開發,1. 無色盲及色弱
2. 需配合加班,C、C#、C++、Python
提升專業能力
提升專業能力,不拘","演算法工程師
、軟體工程師
、其他資訊專業人員",待遇面議,無需出差外派
https://www.104.com.tw/job/86kya?jobsource=joblist_search,【總部】軟體開發工程師,"1、派工系統與自動化設備資訊整合
2、產線報工及生產設備數據蒐集
3、協助使用者系統操作與問題排除,不拘,C#、Java、JavaScript、Angular
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計","軟體工程師
、MIS程式設計師
、系統工程師","月薪32,000~50,000元",需出差，一年累積時間未定
https://www.104.com.tw/job/8edd1?jobsource=joblist_search,前端工程師,"1. 網站前端開發與維護
   - 使用 Vue.js 和 Nuxt.js 框架開發和維護網站前端功能。
   - 編寫和維護高效、可重用、可擴展的 CSS 和 SCSS 代碼。

2. UI/UX 設計與實現
   - 與設計師合作，將設計稿轉化為高質量的前端界面。
   - 確保網站在各種裝置和瀏覽器上的一致性和相容性。

3. 前端性能優化
   - 優化網站的載入速度和響應時間。
   - 實現和優化前端的互動效果和動畫。

4. API 整合
   - 與後端工程師協作，整合和調用後端 API。
   - 確保前後端資料交換的順暢和高效。

5. 測試與除錯
   - 使用各種測試工具和框架進行前端代碼的測試和除錯。
   - 及時修復前端問題和錯誤。

6. 團隊協作
   - 與其他工程師、設計師和產品經理協作完成專案。
   - 使用版本控制系統（如 Git）管理和協作代碼。

技能需求

1. CSS 與 SCSS
   - 熟練掌握 CSS 和 SCSS，了解其特性和最佳實踐。
   - 能夠編寫模塊化、可維護的樣式代碼。

2. Vue.js 與 Nuxt.js
   - 熟練掌握 Vue.js 框架，能夠使用其進行高效開發。
   - 熟悉 Nuxt.js 框架，能夠開發和部署伺服器端渲染（SSR）的應用。

3. JavaScript
   - 熟練掌握 JavaScript 語言，了解其特性和最佳實踐。
   - 熟悉 ES6+ 語法和現代前端開發工具。

4. 前端工具鏈
   - 能夠使用各種前端開發和調試工具（如 Chrome DevTools）。

5. 版本控制
   - 熟悉 Git 版本控制系統，能夠使用其進行代碼管理和協作。

6. 問題解決與學習能力
   - 具備良好的問題解決能力，能夠快速學習新技術和工具。
   - 能夠在高壓環境下有效地處理多個任務。

加分技能
1. 其他前端框架
   - 有使用其他前端框架（如 React, Angular）的經驗。

2. 性能優化
   - 有網站性能優化和前端監控的經驗。,● 至少1-2年獨立開發經驗（例如：架構設計 / 流程設計 / 除錯 / 效能調整）
● 精通前端開發框架Vue
● 重點精通程式語言，包含HTML、CSS、JavaScript 
● 熟悉RWD網頁設計與開發
● API 製作及串接
● 須具備獨立作業的能力，已有經驗的工程師為佳
● 具備解決問題的能力，創造性思考並超越標準化模板的能力
● 具備積極的心態，能快速適應各種變動，並勇於面對各種未知的挑戰,Github、Git、AJAX、MySQL、PostgreSQL、RDBMS、JavaScript、jQuery、CSS、Sass、AngularJS、VueJS、Redux、Angular、Figma
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計、資料庫程式設計","前端工程師
、軟體工程師","月薪45,000~100,000元",無需出差外派
