job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/7r1f2?jobsource=joblist_search,Unity 遊戲開發工程師,"職務內容：

◆協助開發營運手機遊戲專案
◆和非技術人員討論需求並且實作
◆能夠獨自完成交辦的工作項目


必要條件：

◆三年以上開發經驗
◆能夠獨立解決各種問題
◆熟悉 Git 使用 (pull, push, rebase, reset, revert, history, blame)
◆熟悉 C# 各種特性、並且可以講出各種功能的優缺點和使用時機
◆熟悉 Unity，UGUI、Animator、Timeline、Frame Debugger、Profiler、Nested Prefab、Addressable、Editor 工具開發、光照系統、New Input System 等，至少熟練3種以上
◆熟悉物件導向三大特性和五大原則
◆理解設計模式
◆良好的文字表達能力
◆願意多溝通，能夠與他人合作，勇於表達意見、想法
◆主動、有責任感、具備獨立思考的能力
◆能夠持續吸收與分享新知、不斷提升自我技術
◆至少玩過3款營運型手機遊戲，並持續遊玩3個月以上且有消費習慣


加分條件：

◆完整參與開發營運手機遊戲的經驗
◆有使用過 CI/CD 自動打包 Unity 專案的經驗
◆有使用過 Odin
◆有使用過 DOTween
◆有使用過 UniTask
◆對 Shader 有一定程度上的理解
◆熟悉 Unity 6 的 Render Graph,未填寫,Github、Jenkins、Git、C#、Unity3D
提升專業能力
提升專業能力,遊戲開發、系統架構規劃、軟體工程系統開發、軟體程式設計、模組化系統設計","軟體工程師
、電玩程式設計師","月薪53,000~60,000元",無需出差外派
https://www.104.com.tw/job/8mxwo?jobsource=joblist_search,遊戲企劃師,"『工作內容』
觀察市場生態變化，分析市場文化、消費群需求與喜好
分析玩家遊戲體驗，量化或具體提出玩家對遊戲體驗的亮點、痛點與癢點。
跨部門盤溝通點資源，定義可執行技術範圍。
創作並營造遊戲體驗，具體提出遊戲的價值主張，並能依目標修改。
監控製作，必要時協調各單位資源解決問題。
分析舊有遊戲 ，提出優化方案。
規劃上述工作流程，及其文案撰寫

『知識』
能解析或量化產品的特色，讓其他人明白為什麼他討喜或討厭。
能提出別人想不到的組合或想法，讓產品更討喜。
習慣與不同領域專業人士溝通，即便不熟悉該專業，也會設法訂出共通的詞彙或流程。
了解設計思維或價值主張,不拘,Figma、Excel、PowerPoint
提升專業能力
提升專業能力,數值設計、遊戲營運、遊戲開發、遊戲分析、產品營運、競品分析、產品策略、產品開發","遊戲企劃
、電玩程式設計師
、產品企劃","月薪40,000~86,000元",無需出差外派
https://www.104.com.tw/job/6g2t9?jobsource=joblist_search,【軟體開發處】Unity遊戲開發工程師(新鮮人可，須附作品集),"※請附上【程式作品集】與【展示程式的連結網址】，未提供者不予面談。

【工作內容】
● 專案需求開發、維護，產品上架等項目。
● Unity功能擴充與優化。
● 工具製作、效能分析。
● 插件與API介接。

【工作技能】
● 熟悉C#、OOP、具嚴謹的邏輯思維能力。
● 了解資料結構。
● 具Unity引擎開發經驗。
● 具版控使用、雙平台上架(任一)經驗。

【加分項目】
● 具原生Android或iOS開發。
● 具Shader或Game Server開發經驗。
● 曾參與博奕類遊戲開發尤佳。曾參與已上線營運之博奕產品者，優先面試。

【人格特質】
● 擁有自學並解決問題的能力，不懼改變，願意挑戰新技術。
● 積極主動，有責任感，良好的溝通及專案協作技巧，願意分享，協助夥伴。
☆欲應徵者請投遞履歷後等待書面初審合格後之面試通知。
初審未通過者，恕不另行通知。,不拘,不拘,不拘","電玩程式設計師
、軟體工程師","月薪36,000~50,000元",無需出差外派
https://www.104.com.tw/job/7pd0z?jobsource=joblist_search,前端工程師,"【工作內容】
1.與視覺設計、後端工程師協作，開發網頁前端互動。
2.具網頁版面規劃，套版，特效互動。
3.具前端框架VUE實作經驗。(會Nuxt佳)
4.具Javascript , JQuery , HTML , CSS開發經驗。
5.了解ChatGPT應用。,不拘,HTML、JavaScript、jQuery、CSS
提升專業能力
提升專業能力,軟體程式設計、網路程式設計","電玩程式設計師
、軟體工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8j5kt?jobsource=joblist_search,遊戲機率工程師,"【工作內容】
1. 機率規劃：規劃遊戲機率機制與流程
2. 數學計算：驗證機率，參數調整及優化
3. 統計分析：依照模擬結果，統計與驗證樣本

【必要條件】
1. 熟悉機率理論、排列組合、期望值、馬可夫鏈
2. 精通Excel應用，進行複雜的數據運算與統計分析
3. 表達清晰、良好的跨部門溝通，解說設計需求
4. 主動發現與解決問題，思考邏輯嚴謹與獨立作業

【加分條件】
1. 有Python、R、SQL、C++、Go等任一種語言經驗
2. 具備遊戲產業數值機率或產品企劃經驗

【薪資範圍】
1. Senior：月薪 NTD 55,000 以上
2. Junior：月薪 NTD 40,000 以上
3. 年終、福利等另計
4. 配發MacBook,不拘,Python、R、Excel
提升專業能力
提升專業能力,不拘","數學研究員
、電玩程式設計師
、統計精算人員","月薪55,000元以上",無需出差外派
https://www.104.com.tw/job/7i5sg?jobsource=joblist_search,Cocos Creator 助理工程師(無經驗可),"你對程式語言充滿好奇，卻不知道如何開始嗎？我們正在尋找充滿熱情的程式語言新手，無需經驗，只要有學習的熱情與好奇心，一起來加入我們:
1.參與專案開發 
2.負責遊戲優化及維護
3.協助遊戲軟體測試
4.對程式語言有興趣，想要深入學習,不拘,不拘,軟體工程系統開發、軟體程式設計","電玩程式設計師
、軟體工程師
、助理工程師","月薪32,000~40,000元",無需出差外派
https://www.104.com.tw/job/8jpr9?jobsource=joblist_search,【系統研發部】技術指導,"【工作職責】
● 擔任技術窗口，在開發過程中進行需求規格確認、跨組別對接討論及組內任務分配，確保研發過程及交付內容的高質量與正確性。
● 擔任技術管理者，制定技術規範、維護技術文件、檢視日常任務，確保團隊協作順暢，職務代理成本最小化及開發效率最佳化。
● 異常問題排查，若非上班時間發生線上異常需配合 on call 或指派相關人員進行處理，確保產品盡速恢復正常運作。


【其他條件】
● 容器化管理 (K8S 為主)
● 雲服務操作及管理 (GCP 為主)
● 具全端開發或設計經驗佳
● 資料庫管理系統：MySQL、PostgreSQL、Redis
● 其他接觸之程式語言：C#.Net Core、Node.js、Docker、Kafka、GoLang
● 專案管理與溝通協調能力,不拘,不拘","軟體工程師
、電玩程式設計師","月薪70,000元以上",無需出差外派
https://www.104.com.tw/job/4nvhx?jobsource=joblist_search,【Android APP軟體工程師】加入台中矽谷、挑戰工程師巔峰,"1. 負責 Android APP之開發設計以及程式撰寫
2. 執行軟體架構及模組之設計
3. 軟體測試與修改
4. 規劃、執行與維護 APP

*尋找夥伴*
a. 我們需要對工作充滿熱情的夥伴
b. 對一切事物都充滿好奇心
c. 善於溝通,並具有團隊精神
d. 願意吃苦,敢於接受最嚴厲的磨練
e. 正面思考,積極的人
f.  謝絕草莓族

發展遠景：打造全球化服務，進軍國際市場！
成就樂趣：拓展你的視野，挑戰不可能任務！,不拘,Android
提升專業能力
提升專業能力,不拘","Internet程式設計師
、軟體工程師
、電玩程式設計師","月薪40,000~50,000元",無需出差外派
https://www.104.com.tw/job/7gavn?jobsource=joblist_search,前端工程師,"職責：
- 遊戲產品前端的遊戲內容與運營需求的系統功能設計研發
- 遊戲產品前端的軟體問題分析、除錯、效能提升及製程優化
- 對負責之遊戲產品的交付時間、產品上線維運相關工作及軟體品質負責
- 為重要的商業流程撰寫單元測試
- 具備團隊溝通能力，能獨立分析問題並解決
- 對技術有興趣，願意橫跨多種遊戲開發技術領域

必要條件：
- 一年以上網站或APP開發經驗
- 具備 HTML5 與 CSS 開發架構
- 熟悉Javascript語法

加分條件：
- 有Angular/React/Vuejs前端開發經驗，配合API方式動態呈現頁面資料
- 有單元測試基礎，例如：Jest, Jasmine,不拘,HTML、JavaScript、CSS
提升專業能力
提升專業能力,軟體程式設計","軟體工程師
、電玩程式設計師
、Internet程式設計師","月薪35,000~70,000元",無需出差外派
https://www.104.com.tw/job/8izne?jobsource=joblist_search,Cocos Creator 開發工程師(Cocos Creator Developer),"1. 負責Cocos Creator遊戲引擎的開發與日常維護。
2. 參與遊戲客戶端的功能設計與開發。
3. 負責遊戲客戶端的性能優化與調試，確保遊戲運行流暢。
4. 與策劃、美術、後端等團隊緊密合作，保證遊戲的品質與開發進度。
5. 針對遊戲客戶端的技術問題和bug進行排查與解決。,不拘,C++、JavaScript
提升專業能力
提升專業能力,遊戲開發、系統架構規劃、軟體工程系統開發、軟體程式設計","軟體工程師
、全端工程師
、電玩程式設計師",待遇面議,無需出差外派
