網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/865t7?jobsource=joblist_search,維運駐點工程師(台中-新社),軟體工程師,
https://www.104.com.tw/job/8lu8o?jobsource=joblist_search,資訊專員,軟體工程師,"MySQL,SQL"
https://www.104.com.tw/job/865ci?jobsource=joblist_search,系統維運工程師(需輪班),軟體工程師,Vmware
https://www.104.com.tw/job/83a3q?jobsource=joblist_search,資訊專員,軟體工程師,TCP/IP
https://www.104.com.tw/job/6muhq?jobsource=joblist_search,客服工程師,Android 工程師,"Linux,MySQL"
https://www.104.com.tw/job/7g3en?jobsource=joblist_search,S010-網管工程師(台中),軟體工程師,
https://www.104.com.tw/job/2v9nw?jobsource=joblist_search,網管助理工程師 -總廠,UX 設計師,
https://www.104.com.tw/job/7ts1m?jobsource=joblist_search,外勤-台中-維修工程師(歡迎應屆畢業生)-日商-自動化板金機械設備,軟體工程師,
https://www.104.com.tw/job/81zxq?jobsource=joblist_search,MIS資訊工程師,軟體工程師,
https://www.104.com.tw/job/8mw5a?jobsource=joblist_search,中高階運維工程師,UX 設計師,"AWS,Azure,CI/CD,Docker,Git,Jenkins,Linux,NoSQL,Python,TCP/IP"
https://www.104.com.tw/job/7vfva?jobsource=joblist_search,資訊人員,軟體工程師,
https://www.104.com.tw/job/8mswb?jobsource=joblist_search,約聘-駐點工程師(立法院民主議政園區)-F75C,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/468vv?jobsource=joblist_search,MIS資管人員,軟體工程師,
https://www.104.com.tw/job/8nv4j?jobsource=joblist_search,MIS 工程師,軟體工程師,
https://www.104.com.tw/job/8dkza?jobsource=joblist_search,系統維運工程師-台中,軟體工程師,"AWS,Excel,Vmware"
https://www.104.com.tw/job/8lzp7?jobsource=joblist_search,（中區）工程師/技術主任．系統整合一部技術服務處技術服務課,UX 設計師,"Linux,UNIX"
https://www.104.com.tw/job/5vz6u?jobsource=joblist_search,「 歡迎企業實習」派駐科技大廠-資訊助理人員-(台中市/大雅區)-【JD-00000085】,軟體工程師,"Excel,Word"
https://www.104.com.tw/job/8aruz?jobsource=joblist_search,助理工程師 (籌備處),iOS 工程師,"Linux,Vmware"
https://www.104.com.tw/job/6ii2i?jobsource=joblist_search,MIS/資通網管師,網頁設計師,"Ajax,CSS,HTML,Illustrator,JQuery,Java,Javascript,MySQL,PHP,Photoshop,Spring"
https://www.104.com.tw/job/7wi9q?jobsource=joblist_search,資安威脅及事件分析師-M212,軟體工程師,
https://www.104.com.tw/job/83eli?jobsource=joblist_search,MIS資訊工程師,UX 設計師,Linux
https://www.104.com.tw/job/8fwsz?jobsource=joblist_search,Devops 維運工程師,UX 設計師,"CI/CD,Docker,GCP,Kubernetes,Linux"
https://www.104.com.tw/job/8khf0?jobsource=joblist_search,DevOps工程師,軟體工程師,"AWS,CI/CD"
https://www.104.com.tw/job/43iri?jobsource=joblist_search,【中科】IT-AP工程師,軟體工程師,"C#,SQL"
https://www.104.com.tw/job/71s0h?jobsource=joblist_search,系統維運工程師,軟體工程師,SQL
https://www.104.com.tw/job/8nf03?jobsource=joblist_search,MIS⼯程師,UX 設計師,Linux
https://www.104.com.tw/job/7wmvi?jobsource=joblist_search,資安監控維運工程師(台中)-1XU11C,UX 設計師,"Linux,UNIX"
https://www.104.com.tw/job/7gde9?jobsource=joblist_search,資訊部門-網路管理工程師,網路管理工程師,TCP/IP
https://www.104.com.tw/job/8lzd1?jobsource=joblist_search,系統網路工程師,UX 設計師,"AWS,GCP,Linux,Mariadb,MySQL,Python,VMWare,redis"
https://www.104.com.tw/job/89mjw?jobsource=joblist_search,資訊工程師,軟體工程師,SQL
https://www.104.com.tw/job/8o7tt?jobsource=joblist_search,系統工程師 (AI & RPA),AI 工程師,"Excel,PowerPoint,Python,Word"
https://www.104.com.tw/job/7rs2i?jobsource=joblist_search,機房網管工程師,軟體工程師,
https://www.104.com.tw/job/8la4q?jobsource=joblist_search,IT資訊工程師,軟體工程師,"TCP/IP,Vmware"
https://www.104.com.tw/job/6y95u?jobsource=joblist_search,維運工程師-技術客服,軟體工程師,
https://www.104.com.tw/job/7r2u4?jobsource=joblist_search,主任工程師/技術經理(台中)-M127,UX 設計師,"SQL,TCP/IP"
