網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/4w6sp?jobsource=joblist_search,MIS Engineer(台中市政府旁),UI 設計師,Linux
https://www.104.com.tw/job/3mnho?jobsource=joblist_search,【中科后里】IT-INF資深工程師(Unix),UX 設計師,"Linux,UNIX"
https://www.104.com.tw/job/8lzd1?jobsource=joblist_search,系統網路工程師,UX 設計師,"AWS,GCP,Linux,Mariadb,MySQL,Python,VMWare,redis"
https://www.104.com.tw/job/88oo4?jobsource=joblist_search,【臺中總公司】網路系統工程師,UX 設計師,"Docker,Java,Linux"
https://www.104.com.tw/job/503lg?jobsource=joblist_search,(台中) IT HELP DESK 組/課級主管,UX 設計師,Linux
https://www.104.com.tw/job/8krle?jobsource=joblist_search,【臺中總公司】資深網路系統工程師,UX 設計師,"Docker,Java,Linux"
https://www.104.com.tw/job/8gm63?jobsource=joblist_search,GY04-智慧監控-客服工程師/專案工程師(台中),軟體工程師,
https://www.104.com.tw/job/8afql?jobsource=joblist_search,學習型的實習生（資訊軟體系統類）,AI 工程師,
https://www.104.com.tw/job/8khs3?jobsource=joblist_search,【RD】MIS 工程師,UX 設計師,"AWS,Azure,Linux,PostgreSQL,Word"
https://www.104.com.tw/job/8i7y1?jobsource=joblist_search,資訊技術工程師 (台中),軟體工程師,"CI/CD,Git,Jenkins,MySQL"
https://www.104.com.tw/job/7oz5z?jobsource=joblist_search,專案IT Infra及網路工程師-台中,軟體工程師,"TCP/IP,Vmware"
https://www.104.com.tw/job/8huod?jobsource=joblist_search,SRE / DevOps 維運系統工程師,軟體工程師,"AWS,Azure,CI/CD,Devops,Git,Linux,Node.js,Python,TCP/IP"
https://www.104.com.tw/job/8mb6a?jobsource=joblist_search,電腦硬體維修與採購工程師【薪資4萬起】,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8m35y?jobsource=joblist_search,台中【全台最大外貿機構-資安工程師】辦公環境優/資通訊安全維護/台中會展中心 _TCS_810,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/895t6?jobsource=joblist_search,駐點維護工程師_(大雅區),網路管理工程師,"Excel,Word"
https://www.104.com.tw/job/79d0b?jobsource=joblist_search,MIS硬體及網路管理工程師,AI 工程師,
https://www.104.com.tw/job/8l6kr?jobsource=joblist_search,資訊助理人員,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8nmyx?jobsource=joblist_search,資深INFRA/網管/硬體工程師_【台中】,軟體工程師,
https://www.104.com.tw/job/8iacf?jobsource=joblist_search,MIS網管人員 網路管理工程師,UX 設計師,"GIT,linux"
https://www.104.com.tw/job/8jedv?jobsource=joblist_search,IT System Engineer (網路系統工程師-台中),UX 設計師,"GCP,Linux,TCP/IP"
https://www.104.com.tw/job/8nhyf?jobsource=joblist_search,資訊工程師,軟體工程師,
https://www.104.com.tw/job/6i1on?jobsource=joblist_search,資訊助理人員(台中),軟體工程師,
https://www.104.com.tw/job/8lytg?jobsource=joblist_search,駐點維護工程師_(豐原區),UX 設計師,
https://www.104.com.tw/job/81u3g?jobsource=joblist_search,資安副工程師,UX 設計師,"Linux,TCP/IP"
https://www.104.com.tw/job/7um1z?jobsource=joblist_search,系統工程師-中區,軟體工程師,
https://www.104.com.tw/job/7gs7j?jobsource=joblist_search,網路資安工程師(台中)-B831,UX 設計師,"Linux,Vmware"
https://www.104.com.tw/job/6xrbn?jobsource=joblist_search,P271-CE 電腦工程師[駐點專約](大甲),軟體工程師,
https://www.104.com.tw/job/7lszc?jobsource=joblist_search,系統維運工程師,UX 設計師,"Linux,Vmware"
https://www.104.com.tw/job/8o0cb?jobsource=joblist_search,集團網路管理維運工程師,UX 設計師,"Linux,TCP/IP"
https://www.104.com.tw/job/8k5vl?jobsource=joblist_search,MIS網管技術員 (台中海洋館),軟體工程師,
https://www.104.com.tw/job/8dsjt?jobsource=joblist_search,資深硬體工程師,軟體工程師,
https://www.104.com.tw/job/8mplh?jobsource=joblist_search,IT 資訊人員,軟體工程師,MySQL
https://www.104.com.tw/job/8nf03?jobsource=joblist_search,MIS⼯程師,UX 設計師,Linux
https://www.104.com.tw/job/8nqrg?jobsource=joblist_search,雲端系統工程師(部分遠端工作)-視訊面試,軟體工程師,"AWS,CI/CD,GCP,Kubernetes,Python"
https://www.104.com.tw/job/88xan?jobsource=joblist_search,ISO27001資訊安全管理系統主任稽核員(派駐台中),軟體工程師,
https://www.104.com.tw/job/8mklp?jobsource=joblist_search,T236系統工程師[駐點專約],軟體工程師,
https://www.104.com.tw/job/7m4ed?jobsource=joblist_search,資訊專員,軟體工程師,
https://www.104.com.tw/job/8ad93?jobsource=joblist_search,MIS資訊軟體助理工程師,前端工程師,"C#,Oracle,sql"
https://www.104.com.tw/job/8ee17?jobsource=joblist_search,雲端架構與MIS工程師,AI 工程師,"AJAX,AWS,Angular,Azure,CSS,GCP,Git,JavaScript,Jenkins,Kubernetes,Linux,MySQL,Node.js,Redux,Sass,TCP/IP,UNIX,Vmware,jQuery"
https://www.104.com.tw/job/76csy?jobsource=joblist_search,【春水堂】資訊部-資訊工程師,軟體工程師,
https://www.104.com.tw/job/8nc5d?jobsource=joblist_search,網管人員(台中),軟體工程師,"MySQL,PHP,Python"
https://www.104.com.tw/job/8e2no?jobsource=joblist_search,infra網管工程師,UX 設計師,"Linux,Vmware"
https://www.104.com.tw/job/7fosj?jobsource=joblist_search,(台中)資訊弱電工程管理師,UX 設計師,Linux
https://www.104.com.tw/job/8o2gc?jobsource=joblist_search,網路工程師,UX 設計師,"Linux,TCP/IP"
https://www.104.com.tw/job/5fok0?jobsource=joblist_search,資安工程師(台中),UX 設計師,"Linux,TCP/IP,UNIX"
https://www.104.com.tw/job/8c07f?jobsource=joblist_search,行政美工專員(幼兒園),軟體工程師,"Excel,Illustrator,Photoshop,PowerPoint,Word"
https://www.104.com.tw/job/74x7u?jobsource=joblist_search,網路工程師,UX 設計師,"Linux,Vmware"
https://www.104.com.tw/job/8d37v?jobsource=joblist_search,"資訊工程師, 資訊管理人員",軟體工程師,
https://www.104.com.tw/job/8ncox?jobsource=joblist_search,程式設計工程師/助理工程師,軟體工程師,"Excel,Java,Oracle,PowerPoint,Word"
https://www.104.com.tw/job/898ru?jobsource=joblist_search,GY03-智慧監控-客服工程師(台中),軟體工程師,
https://www.104.com.tw/job/8bxik?jobsource=joblist_search,MIS資訊軟體工程師,前端工程師,"C#,Oracle,sql"
https://www.104.com.tw/job/7tkqq?jobsource=joblist_search,MIS工程師,軟體工程師,
https://www.104.com.tw/job/8ngo1?jobsource=joblist_search,MIS培訓工程師,軟體工程師,
https://www.104.com.tw/job/89job?jobsource=joblist_search,資訊人員,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8au9u?jobsource=joblist_search,資訊專員,軟體工程師,
https://www.104.com.tw/job/8hssq?jobsource=joblist_search,資訊工程師(台中),軟體工程師,
https://www.104.com.tw/job/8nv4j?jobsource=joblist_search,MIS 工程師,軟體工程師,
https://www.104.com.tw/job/8jgsy?jobsource=joblist_search,資訊專員,UX 設計師,VMware
https://www.104.com.tw/job/8mwwi?jobsource=joblist_search,資訊管理工程師(霧峰廠區),UX 設計師,"Excel,HTTP,Linux,MySQL,PowerPoint,Python,TCP/IP,Word"
https://www.104.com.tw/job/8n98x?jobsource=joblist_search,MIS 工程師,UX 設計師,"GCP,Linux"
https://www.104.com.tw/job/8koi5?jobsource=joblist_search,【RD】資深MIS工程師,UX 設計師,"Python,VMware,aws"
https://www.104.com.tw/job/83eli?jobsource=joblist_search,MIS資訊工程師,UX 設計師,Linux
https://www.104.com.tw/job/8m4vr?jobsource=joblist_search,資訊人員,網頁設計師,C#
