job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/89088?jobsource=joblist_search,ASP.NET MVC 程式設計師-台中,"1. 熟悉 C# 
2. 熟悉MS SQL Server資料庫及語法，懂react者尤佳
3. 懂HTML、JavaScript、jQuery、CSS、AJAX、JSON等相關應用
4. 熟悉懂MVC架構佳
5. 有團隊意識 善於溝通, 具有敬業精神 
6. 有團隊開發能力與獨立開發經驗 
7. 面試備作品佳 
8. 想知道更多，請參閱創創官網徵才資訊：https://cc-work.com,- 曾應用及研究及延伸使用開放性 AI 工具者佳。
- 主動積極，自我學習能力強，可接受工作挑戰。,AJAX、ASP.NET、C#、Visual C#、Visual Studio .net、MS SQL、MySQL、HTML、JavaScript、jQuery
提升專業能力
提升專業能力,軟體程式設計、網路程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用","Internet程式設計師
、MIS程式設計師
、軟體工程師","月薪30,000~60,000元",無需出差外派
https://www.104.com.tw/job/807gm?jobsource=joblist_search,創新研發工程師(台中市),"工作內容：
1. 前後端系統設計、開發、測試、優化與維護。
2. 資料庫設計、佈署、管理與維護。 
3. 視覺介面與功能元件的佈局、開發、優化頁面效能等。 
4. 多瀏覽器版面相容性處理與響應式網頁設計。
5. 具有團隊合作精神。
6.    主管交辦事項

工作條件：(至少兩項)
1. 前端開發: CSS3、SCSS、javascript、Ajax、RWD、Bootstrap、Vue.js、Angular、TypeScript。
2. 後端開發: C#、ASP.Net MVC、.Net Core、Entitiy Framwork、LINQ、WebService、RESTful API 等。
3. 資料庫:  MS SQL、MySQL、Oracle、DB2 等。
4.    版本控制: Git
5.    需有程式開發相關經驗滿三年以上(含)
 

加分條件:
1.    可獨當一面。
2.    喜歡創新與挑戰新技術。
3.    自主學習能力。,不拘,Windows Server 2012、OOAD、OOP、UML、Git、ASP.NET、C#、Visual C#、Visual Studio、MS SQL、MySQL、Oracle、JavaScript、jQuery、CSS、VueJS、Angular、IIS
提升專業能力
提升專業能力,伺服器網站管理維護、資料備份與復原、系統架構規劃、軟體工程系統開發、軟體程式設計、網路程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用","Internet程式設計師
、MIS程式設計師
、軟體工程師","月薪40,000~80,000元",需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/6rlag?jobsource=joblist_search,後端PHP網頁程式設計師 - 加入台中矽谷,"工作內容：
1.專案進行系統分析、資料庫設計且可獨立運作開發。
2.網站的相關API及前後端開發與串接。
3.維護系統

工作要求：
1能透過Linux 維謢/開發 PHP 網站
2.軟體版本管理經驗 （Git）。
3.熟悉MySQL語法，有獨立資料庫作業能力。
4.基本前端網頁能力如: AJAX。
5.對 PHP 且有Web開發經驗, 至少使用過任一種 PHP Framework(Laravel ， CodeIgniter)

加分技能需求：
AWS使用經驗, Docker, Phalcon, React, Git, Node.js


*尋找夥伴* 
a. 我們需要對工作充滿熱情的夥伴 
b. 對一切事物都充滿好奇心 
c. 善於溝通,並具有團隊精神 
d. 願意吃苦,敢於接受最嚴厲的磨練 
e. 謝絕草莓族,不拘,AJAX、PHP、MySQL、HTML、JavaScript、jQuery
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、網路程式設計","Internet程式設計師
、軟體工程師
、網頁設計師","月薪34,000~44,000元",無需出差外派
https://www.104.com.tw/job/6cs3w?jobsource=joblist_search,APP系統工程師(台中市),"工作內容：
1. APP應用程式設計、開發、測試、優化與維護。
2. 撰寫API與串接外部API資料。
3. 研究APP相關技術，並學習新的skills/framework/library。
4. 視覺介面與功能元件的佈局、開發、優化系統效能等。 
5. 研發創新應用技術與功能。
6. 以團隊分工或獨立的工作模式處理每一個專案。

工作條件：
1. 豐富的APP應用程式開發經驗。
2. APP應用程式開發的程式語言。
3. 曾上架過原創的APP應用程式。
4. 精通開發APP應用程式的推播、REST與JSON等功能。
5. 擁有third-party libraries與Web API的開發經驗。

薪水30000起，依能力與實務經驗敘薪。,不拘,C#、Java、Visual C#、Objective-C、SWIFT、MS SQL、MySQL、ODBC
提升專業能力
提升專業能力,軟體程式設計、網路程式設計、資料庫程式設計","軟體工程師
、Internet程式設計師
、通訊軟體工程師","月薪30,000~80,000元",無需出差外派
https://www.104.com.tw/job/8mxgz?jobsource=joblist_search,資深VUE前端工程師（全遠端）,"【工作內容說明】
1. 使用 Vue 3 及 Vuex、Pinia、Vue Router、Composition API 進行前端開發
2. 參與前端架構設計，提升系統穩定性與可維護性
3. 優化前端效能，確保良好的用戶體驗
4. 參與開發流程改進，例如自動化測試、CI/CD 部署等
5. 與 UI/UX、PM、後端工程師協作，確保開發流程順暢

【基本條件】
1. 精通 Vue.js，具備 3 年以上 Vue 前端開發經驗
2. 熟悉前端技術（HTML5、SCSS、JavaScript/TypeScript）
3. 具備 正式環境軟體上線的完整開發生命週期經驗
4. 熟悉 Git 版本控制，並具備多人協作開發經驗
5. 具備 API 串接與前後端分離開發經驗
6. 熟悉響應式設計與跨瀏覽器相容性調整
7. 熟悉 Vite 前端工具

【希望具備的態度與特質】
1. 自律、主動、積極，良好的時間與專案管理能力
2. 良好的溝通能力，樂於與團隊合作
3. 關注前端測試（Unit Test、E2E Test），確保程式穩定性
4. 抗壓性強，勇於接受挑戰，熱衷學習新技術
5. 擁有獨立解決問題的能力
6. 對使用者體驗有高度敏感度，能優化 UI/UX 表現,不拘,Github、JavaScript、jQuery、ReactJS、AngularJS、VueJS
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計、軟體品質與保證、結構化程式設計","前端工程師
、Internet程式設計師
、軟體工程師","月薪50,000~80,000元",無需出差外派
https://www.104.com.tw/job/859ff?jobsource=joblist_search,Golang工程師,"1.遊戲開發與維護
2.串接第三方服務
3.客製化系統開發

※基本要求：
-對開發與技術學習有熱忱，且願意不斷挑戰自我
-熟悉技術：Golang、Postgresql、Redis、Mongodb、Git、RabbitMQ、Websocket
-具Web服務(WCF服務/SOAP/Web API)等開發與串接經驗，並具備良好物件導向程式設計能力，及解決問題能力
-熟悉git版控，並有多人協作經驗
-有高併發、高可用、分散式服務開發經驗者為佳
-熟悉並能靈活運用設計模式優化專案架構
-具大型網站或後端系統架構規劃與設計開發經驗、資料庫規劃能力
-熟悉部署流程，CI/CD建置
-熟悉Docker相關技術
-建置過開發SOP文件、規範、流程,不拘,Linux、Github、Go、MySQL
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計","後端工程師
、軟體工程師
、Internet程式設計師",待遇面議,無需出差外派
https://www.104.com.tw/job/8i8vd?jobsource=joblist_search,系統開發工程師_A04,"工作內容
1.網站系統開發與維護(以.NET專案程式為主)
2.資料庫建置與規劃 
3.系統技術文件撰寫

需熟悉:
1.ASP.NET網站開發(尤其是.Net Framework)。
2.MS SQL資料庫應用、管理與指令。
3.SQL Server資料庫設計


公司以執行政府機關專案為主，我們需要具備以下特質的你：
1.熱愛程式設計，具耐心應付需求。
2.具獨立開發能力與經驗。,不拘,ASP.NET、MS SQL、JavaScript、jQuery
提升專業能力
提升專業能力,軟體工程系統開發、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用","Internet程式設計師
、系統分析師
、軟體工程師","月薪40,000~60,000元",需出差，一年累積時間約三個月以下
https://www.104.com.tw/job/88p5x?jobsource=joblist_search,【臺中總公司】JAVA 網頁程式設計師,"1. Web 前、後端程式撰寫。 
2. 具備Java, JavaScript, HTML, CSS 知識。 
3. 具備資料庫使用經驗。
4. 具備良好的物件導向概念及優秀的邏輯能力。
5. 具備一定前端技術背景，與後端RESTful API對話能力。,不拘,Java、Angular、AngularJS、Node.js、Sass、CSS、JavaScript、J2EE、HTML、DB2
提升專業能力
提升專業能力,資料庫程式設計、模組化系統設計、網路程式設計、結構化程式設計、軟體程式設計、軟體工程系統開發、系統整合分析、系統架構規劃","軟體工程師
、Internet程式設計師
、網頁設計師","月薪40,000元以上",無需出差外派
https://www.104.com.tw/job/8j3u5?jobsource=joblist_search,資深軟體設計工程師,"1. 開發高效能、高安全性、使用者易用的網站應用程式。
2. 前後端的資料串接。
3. 設計及實作後端的需求。
4. 功能測試及效能監控。
5. 資料庫資料的新增、查詢、修改、刪除。
6. CI/CD 自動化整合與部署。
7. 協助客戶解決系統問題。
8. 開發、改善所有軟體產品，並提供維護所需的所有必要文件。,不拘,Linux、Shell、Git、CSS、Node.js、VueJS
提升專業能力
提升專業能力,軟體程式設計、資料庫程式設計","軟體工程師
、通訊軟體工程師
、Internet程式設計師","月薪60,000~100,000元",無需出差外派
https://www.104.com.tw/job/7vo2i?jobsource=joblist_search,【全遠端 Remote】Senior Software Engineer / 資深軟體工程師,"美商黑科林有限公司 (PNDLM) is a boutique west-coast American software design and development group.  Since our founding in 2011, we have produced beautiful, top-notch software products and solutions for clients across a variety of industries.  We have an excellent working environment in which our people are able to truly enjoy their work and also achieve optimal work/life balance.  We welcome you to submit your application to join our growing presence in Taiwan.

We are looking to hire senior level full-stack software engineers and architects from a variety of backgrounds.  Experience with these specific technologies is useful but not required.

• React/Redux
• Flutter
• Go
• MySQL/Maria/SQL Server
• PHP/Laravel
• Swift/Kotlin
• Docker
• Ubuntu Linux
• AWS/Azure/Google Cloud

All positions are work-from-home.

Other Requirements:
• Eligible for work in Taiwan or the United States
• Proficiency in written and spoken English (Interview will be in English)
• Please submit an English cover letter when applying

Benefits:
• 勞健保
• 兩個月年終獎金
• 特休依勞基法 Plus additional PTO upon request,未填寫,Kotlin、Redux、ReactJS、CSS、JavaScript、HTML、AWS、MySQL、MS SQL、Dart、Flutter、Go、SWIFT、PHP、iOS、Android、Linux
提升專業能力
提升專業能力,系統架構規劃、資料庫程式設計、網路程式設計、軟體程式設計、軟體工程系統開發","軟體工程師
、Internet程式設計師
、網頁設計師","月薪120,000~180,000元",無需出差外派
