job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/8ifpt?jobsource=joblist_search,【2025預聘暨研發替代役】CIM系統開發工程師-台中廠-R08,"在友達，CIM工程師負責設計、開發和維護製造執行系統，工作任務包括系統開發、問題解決、系統優化和技術支持。CIM工程師的貢獻對友達至關重要，CIM工程師讓公司生產過程得以順利運作，並提高生產效率、減少成本。

我們正在找尋樂於透過數據分析與機器學習，優化CIM系統的夥伴加入我們！

【你在這裡將負責】
1. 開發CIM系統應用軟體，包括機器介面、數據管理和報告功能。例如：ETL/BC/Report等
2. 將現有CIM系統的改進和維護，解決系統錯誤和故障。
3. 與需求單位合作，了解業務需求，並根據需求設計和實施新的CIM系統功能。
4. 針對智能化專案進行規劃，並協調、整合相關單位資源，以確保智能化專案落地

【我們在尋找這樣的你】
- 2025年應屆碩博士畢業生 (不符此條件者請投遞新鮮人限定以外職缺)
- 資工、資管相關科系或具備相關技能之執照
- 技能要求：
1. 熟悉Java/C++/.Net/Web相關程式語言開發 
2. 對機台運作/自動化開發及工廠作業流程有興趣者 
3. 具 AI 相關應用/知識 
4. 有責任感及主動追根究底的精神

【新鮮人早鳥限定】
│早鳥履歷享有優先履歷審理之資格
│加強您的履歷曝光度，搶先讓主管看到哦！,不拘,不拘,不拘","MES工程師
、系統工程師
、演算法工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/7njwn?jobsource=joblist_search,智慧製造CAM軟體開發工程師,"1.撰寫並維護各產業CAM核心技術開發
2.協助各產業別開發控制器CAM程式與整合電機動作,不拘,C、C++
提升專業能力
提升專業能力,不拘","軟體工程師
、演算法工程師
、軟韌體測試工程師",待遇面議,需出差，一年累積時間未定
https://www.104.com.tw/job/8ll7r?jobsource=joblist_search,Tech Lead / 全端開發專家,"奇點無限是一家以「數學最佳化」與「資料科學」為核心技術的軟體公司，致力於智慧交通及綠色物流領域。透過頂尖數學家與工程師的合作，提供全球永續發展的最佳化解決方案。


【職務說明】
我們正在尋找一位技術領袖（Tech Lead），負責帶領開發團隊，設計並實施高效的系統架構，同時親自參與全端開發工作。在快速發展的創新環境中，您將以技術實力驅動專案成功，推動團隊實現台灣智慧交通與綠色物流配送最佳化的新里程碑，共同實現永續發展的願景。
這個職位非常適合對新創充滿熱情，並渴望前瞻性職涯發展的您！

※ 投遞此職缺需附上作品集 ※


【職責內容】
• 技術領導與團隊管理：帶領團隊協調跨部門合作，確保專案高效執行與成功交付。
• 全端技術開發：設計並實作穩定高效的前後端架構，必要時支援技術實作。
• 雲端架構與效能優化：設計可擴展雲端架構，提升系統效能與穩定性。
• 資訊安全管理：預防並解決安全風險，保護用戶與公司數據安全。
• 技術支持與商業優化：提供技術方案支持業務需求，並優化相關流程。



【基本條件】
1. 全端開發能力：
• 精通 HTML、CSS、JavaScript（ES6+）、TypeScript，以及 Vue.js 等框架，具備 SPA 和 RWD 經驗。
• 熟悉 Node.js 與 API 設計，具備 SQL 與 NoSQL 資料庫管理能力。
• 具備微服務架構與分佈式系統經驗。
2. 雲端架構與效能優化：
• 熟悉 AWS、Azure 或 GCP，具備雲端架構設計與效能優化經驗。
3. 資訊安全：
• 熟悉資料加密與身份驗證技術，能有效設計防範機制。
4. 團隊管理與專案推進：
• 有敏捷開發與 DevOps 實踐經驗，能有效領導團隊並協調資源。


【加分條件】
• 基本了解或具備 Optimization 背景。
• 具備物流或供應鏈管理經驗。
• 基本了解並能運用人工智慧、大數據處理或機器學習技術。
• 具備商業敏銳度，能優化技術方案支持業務發展。
• 能自主學習新技術並應用於實際問題，定期更新技術知識與測試新技術。
• 具備架構設計經驗，能夠主導並設計高效的系統架構。
• 具有大流量高併發處理經驗，能有效應對高負載情境。


【應徵方式】
請提供以下資訊，幫助我們更了解你：

簡歷：分享你的技術經驗與成就。
GitHub 或作品連結：展示你的程式碼與專案成果。
應徵動機：用簡短文字告訴我們，你希望在團隊中實現什麼。


如果您具備上述條件，擁有豐富的想像力與創新思維，並希望在充滿挑戰的環境中，運用數學與資料科學，與我們共同開創智慧交通與綠色物流的未來，立即加入我們！,1. 具備商業思維
2. 具備最佳化(Optimization)經驗
3. 具備軟體架構師(Software architect)能力
4. 熟悉規劃與設計系統開發流程
5. 熟悉Linux開發管理維運
6. 熟悉公有雲部署服務維運
7. 追蹤舊技術的迭代與新技術的發展，並評估是否能夠導入公司使用或是促使團隊升級
8. 熟悉雲端平台的解決方案
9. 能夠評估各方案的開發資源與營運成本,不拘,不拘","全端工程師
、資料科學家
、演算法工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8ifsy?jobsource=joblist_search,AI應用組 設計工程師-台中(前後端應用、數據分析演算法、視覺辨識演算法),"目前主要負責協助化工及焚化爐等相關客戶，相關製程設備進行AI軟體開發，專案執行及技術服務。

目前工作內容如下:

1.協助工業設備小組，將所設計機械，經過熱流模擬分析後，實際製作成品之
〔壓力容器、蒸餾塔、廢熱鍋爐、發電機、或AQCS廢氣觸媒相關設施〕，安裝上線後，搭配公司化工領域AI工程師，開發出套裝AI軟體應用，進行品質預測、設備效率預測、設備產能等預測方案。

2.數據分析演算法型的工程師，主要技能為可在AutoML 平台上維護和測試監督式/非監督式學習演算法・以及了解 : 遞歸神經網路(RNN model)、長短期記憶模型(LSTM model)、
序列對序列式模型(Sequence to Sequence model)，甚至於具空間概念的卷積神經網絡(CNN model)等模型，進行開發、異常檢測、流程優化等，並將其部署到對應軟體中，

3.視覺辨識演算法型的工程師，主要工作為影像應用開發，例如YOLOv5、YOLOv8、YOLOv9、OpenCV等深度學習 ，進行進行影像辨識和處理技術的優化，照片標記，多目標追蹤等應用；或是搭配合作夥伴Linker vision平台進行影像分析開發導入。

4.前後端應用型的工程師，能以開發套裝軟體方式，進行前後端WEB應用設計工作技能，或是經公司內訓，學習部屬在客戶OSISOFT-PI 系統戰情室上，作為AI數據端呈現之UI/UX介面。

5.與公司同仁夥伴一同規劃創新合作工程及設備案，將開發AI實際安裝在設備或產線上，進行機械智慧預保、生產製程模型控制MPC優化，搭配所開發人工智慧，進行虛擬工廠，及在未來時間，製程方向智慧判斷等協作導入。

6.代表公司參與原廠等AI相關外商台灣研討會，及受訓活動。

7.進行完整的專案管理、教育訓練、以及人員調度分配等管理相關工作。
(主要為服務焚化爐及化工產業客戶，若有意願能配合出差，協助北區及中區客戶服務，
公司將安排辦公室及同仁宿舍，提供居住)

8.我們是一間年輕，充滿衝勁和熱情的公司，帶著新創產業AI方案的能量，讓同仁與技術夥伴及客戶一起前進；

未來將安排北.中.南同仁不同社團活動方式聯絡，或是每年一到兩次整週不工作，進行戶外Team Building體驗營，可能去花東，也可能去外島，讓大家的工作與生活，希望可以互相平衡的。,希望具有以下不同領域專業，或多重領域技能人才，會其中專業即可。

網頁端：HTML5、CSS、Figma、RWD、PHP、Figma.

前端：Javascript、VueJS.

後端：ASP.NET、MySQL.

版本程式控管端：GitHub、Git Graph.

程式設計類：C、ASP.NET、AJAX、PHP、Python、R、Visual C++、Visual Studio.

ＡＩ應用類：Pandas、Numpy、Scikit-learn、Matplotlib、Tensorflow、Keras、YOLOv9、OpenCV.

提供想發揮舞台的AI工程師們，願意嘗試真正的與工業結合，驗證大家的想法是否可行；

我們有機械設備端，或是工廠產線的實際Data數據提供模擬，讓大家年輕資料科學家的
學習，及相關演算法工具開發經驗的高手，能真正地把軟體可以應用在工廠端客戶，希望利用AI協助改善製程空汙、廢水排放、減少環境所需用藥、降低碳排放等綠色應用。

目前，正朝向利用人工智慧幫客戶進行節能減碳及減汙的ESG型AI公司前進，希望能把
各位學習AI的技能初衷，跟我們願景結合，來進行新型態挑戰。

有志一同的工程師們，歡迎你們的加入!,Git、AJAX、HTML、JavaScript、VueJS、Excel、PowerPoint、Word
提升專業能力
提升專業能力,功能測試(function test)、安全性測試(Security test)、使用者測試(Usability test)、問題追蹤處理(Bug tracking)、軟體整合測試、測試環境建置規劃、測試計劃及測試報告書撰寫、軟體程式設計、結構化程式設計、模組化系統設計、機器學習、AI、資料庫程式設計","AI工程師
、資料科學家
、演算法工程師",待遇面議,需出差，一年累積時間未定
https://www.104.com.tw/job/8ed3s?jobsource=joblist_search,工研院智慧機械科技中心_軟體開發工程師(C200),"{實體面談}
1. 可視化人機介面開發：負責系統開發、測試。 
2. 跨平台軟體模組整合：確認開發內容，並具備軟體介面跨域系統整合能力。 
3. AI軟體應用開發: 熟悉影像處理技術，針對系統問題進行除錯、分析與解決，能導入自動化產線整合與應用。 

此外，軟體開發工程師還需要負責軟體文檔的撰寫，參與系統測試，並與團隊成員協作溝通，確保軟體開發項目的順利進行。

【HR貼心提醒】若有意願應徵，請附上個人作品，提升履歷能見度，加速主管們對您的認識，謝謝。,1.碩士畢業，資工/資訊/電機/電子等相關系所。
2.加分條件
   (1) 具備軟體開發經驗
   (2) 具備訊號處理、影像處理、自動化控制、人機設計...等專業知識
3.重視團隊合作、主動積極、負責任
4.面試時請檢附相當於TOEIC 650分之英語測驗成績證明, 如無法提供, 將安排參加本院英文檢測。,C#、C++、Python、tensorflow、JavaScript
提升專業能力
提升專業能力,不拘","軟體工程師
、演算法工程師
、自動控制工程師","月薪50,000元以上",需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/7b7ye?jobsource=joblist_search,視覺系統評估工程師,"擔任工程師與客戶間的橋樑，提供技術方面與產品導入客戶端的支援，確保產品能依需求及進度完成。
光學系統評估：攝影機規格、鏡頭規格、缺陷打光驗證及實驗平台架設，進行AOI驗證。
熟悉公司作業流程、產品、評估或業務上所需之相關工程知識
回覆顧客應用技術的問題、回饋給相關單位，並提供產品技術諮詢
撰寫並提供客戶正確的產品規格與應用資訊，以供客戶參考
追蹤公司產品客戶端的進度，包括試用、試點、量產出貨等各階段客戶端的問題點，並加以收集、處理
提供客戶測試工具，分析並解決量產時發生的問題
負責技術支援文件的更新維護,懂電腦組裝、軸控控制、影像處理、資訊/工程背景尤佳。,C#、Python
提升專業能力
提升專業能力,問題追蹤處理(Bug tracking)、系統架構規劃與維護、產品規格書編制管理、自動化設備／系統介面之維護改善、客戶服務品保程序規劃、規劃並執行品質管理系統、維護與設置測試系統與設備校正",演算法工程師,待遇面議,需出差，一年累積時間約三個月以下
https://www.104.com.tw/job/8nc4r?jobsource=joblist_search,【研發替代役】工研院智慧機械科技中心_AI智慧製造軟體開發工程師(D400),"1.開發AI影像處理系統，包含瑕疵檢測、動作辨識及物件追蹤 
2.實現工具機聯網與通訊系統，串接OT與IT系統 
3.設計大數據分析架構，進行預測性維護提升設備壽命 
4.開發數據可視化儀表板，提供直覺化分析結果 
5.整合3D模擬與數位雙生技術，提升製造品質及生產效能,不拘,C#、C++、Python、IoT、AWS、HTML、JavaScript、CSS
提升專業能力
提升專業能力,不拘","軟體工程師
、演算法工程師
、AI工程師","月薪52,000元以上",需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/6rqbd?jobsource=joblist_search,AI演算法工程師-T,"【工作內容】
1. AI 演算法開發和應用：機器學習、深度學習
2. 工具機智慧化應用軟體開發

【必要技能】
1. 熟悉 Python Python 或 C# 語法
2. 熟悉常用機器學習算法（如回歸、決策樹、集成學習、神經網絡等）
3. 電腦能力：熟 MS Office,1. 具備 AI 演算法、機器學習深度專業知識
2. 具 AP I通訊相關 經驗者佳 
3. 具政府計畫執行經驗者、簡報製作專案管理能力 
4. 有工作熱忱、善於溝通 ，喜愛研究、討論分享與學習新技 術 
5. 碩博士尤佳,C#、Python
提升專業能力
提升專業能力,不拘","演算法工程師
、軟體工程師","月薪40,000~50,000元",無需出差外派
https://www.104.com.tw/job/8nje7?jobsource=joblist_search,【2025_A+種子暑期實習】系統平台開發實習生-龍潭廠,"面對未來的迷茫與不安，你缺的只是一個探索跟實踐自我的機會。
今年暑假加入友達，給自己一次成長茁壯的機會！

A+種子暑期實習提供：
❶「專案式」實習 ❱ 發揮專業，揮別打雜
❷實習津貼 ❱ 具競爭力的實習津貼(月薪)
❸貼心福利 ❱ 免費宿舍、午晚餐費補助
❹豐富活動 ❱ 免費完善運動設施、不定期家庭日、名人演講

友達的好，等你親自體驗！
--------
▍實習期間：6/30-8/29
▍實習工作內容：
【專案一】產品良率持續改善分析系統
1. 整合日常資料分析流程系統化
2. 報廢/良率資料系統分析

【專案二】Array 報廢分析系統
設計by sheet 的資料倉儲架構, 分析報廢的強相關因子,【專案一】
1. 前端網頁技術
2. 後台資料庫應用
【專案二】
1. C#/.Net+MVC/SQL
2. Python/Flask
3. SQL Server/MySQL/Oracle
4. Computer vision/Image Processing/Image Analysis

欲申請此實習職缺，建議先至友達光電GOLF學用接軌聯盟，申請帳號並完成實習指定必修線上學程【工程學程】。

投履歷時，請附上學習完課畫面，可優先取得面試機會。
申請帳號請前往GOLF官方網站：https://www.golfedu.org/login/,不拘,不拘","軟體工程師
、演算法工程師","月薪34,500~54,000元",無需出差外派
https://www.104.com.tw/job/4o7zn?jobsource=joblist_search,【中科】數據應用工程師,"1.蒐集工廠資料庫中之數據或影像資料，進行適當之過濾及資料前處理。
2.運用數學工具及演算法建置各種應用模型或系統，提供分析運用或決策判斷資訊。
3.新技術-建構、維護及管理系統性數據收集工具、應用模型並追蹤應用成效持續改善。,具以下經驗者佳：
1.資料探勘/機器學習/深度學習/電腦視覺應用相關工作與研究經驗
2.具備基本程式撰寫能力: Python/R/SAS/Matlab/C/C++/C#/Java,不拘,不拘","MES工程師
、其他資訊專業人員
、演算法工程師","月薪35,000~56,000元",無需出差外派
