job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/7o5dr?jobsource=joblist_search,PHP後端工程師,"1. 輔助參與需求調研、項目可行性分析、技術可行性分析和需求分析
2. 參與系統的功能定義,系統設計
3. 根據設計文檔或需求說明完成代碼編寫，調試，測試和維護
4. 參與技術評審、撰寫相關的技術文檔
5. 負責系統的高穩定性，業務需求複雜等帶來的各種挑戰及技術難關
6. 提升業務線産品的用戶體驗，降低業務開發成本
7. 提升團隊的技術實力和影響力,不拘,HTML、JavaScript、jQuery、CSS
提升專業能力
提升專業能力,網路程式設計、系統架構規劃與維護","Internet程式設計師
、網頁設計師
、系統分析師",待遇面議,無需出差外派
https://www.104.com.tw/job/67bic?jobsource=joblist_search,APP開發Android 軟體工程師,"【工作內容】

１、開發Android的應用程式 。
２、與UI/UX設計團隊合作開發介面 。
３、開發生產、設計、構建、測試系統實用與穩定度 。
４、與其他開發人員協作，創建及維護可靠的開發架構用以支持不同的應用程式。


【具備技能】

  Android、Java、MS SQL、Kotlin

【加分條件】

  Flutter、Git、Redmine,不拘,Android、Java、MS SQL
提升專業能力
提升專業能力,不拘","軟體工程師
、Internet程式設計師
、系統分析師",待遇面議,無需出差外派
https://www.104.com.tw/job/7wmvi?jobsource=joblist_search,資安監控維運工程師(台中)-1XU11C,"1. 資安監控維運作業
2. 資安事件判斷分析與通報
3. 資安事件處理追蹤、客戶問題回應
4. 資安設備Log分析,不拘,Linux、UNIX
提升專業能力
提升專業能力,不拘","網路管理工程師
、網路安全分析師
、系統分析師",待遇面議,無需出差外派
https://www.104.com.tw/job/6yhxz?jobsource=joblist_search,SEO工程師(海外市場)SEO Engineer (overseas market),"工作內容： 
1. 負責公司網站的SEO優化，包含：關鍵字部署、內部連結調整、頁面結構、外鏈建
    設等等。
2. 對行業熱點和趨勢進行分析，及研究、監控同行競爭對手優化手段進行分析。
3. 主動研究搜尋引擎變化，即時提出調整方案。
4. 製定SEO優化方案，定位關鍵字的難易度及操作排名所需時間，組織實施優化方
    案。
5. 善於利用多種SEO推廣手段及工具軟體，保持並逐步提升網站在搜尋引擎的權重和
    流量引入。
6. 對網站流量進行數據監控和數據統計，分析頁面流量轉化數據和用戶行為提
    出改善建議。
7. 擁有良好的溝通能力、執行力、積極及強烈的責任心，並具備團隊合作能力者。
8. 規劃站群TKD、佈局長尾字。
9. 利用CMS或PHP腳本建立站群。
10. 定期更新站群內容，提升搜尋引擎(主要為百度)友好度。
11. 讓站群在收尋引擎(主要為百度)的收錄頁數增加並取得良好排名。
12. 批量建站，維護網站排名，並建立自動或半自動化工具維持推廣成效。
13. 其它主管交辦事項。

(合適者則會通知面試，不合適者恕不另行通知！謝謝您應徵104職缺！),不拘,不拘,不拘","軟體工程師
、網站行銷企劃
、系統分析師","月薪40,000~70,000元",無需出差外派
https://www.104.com.tw/job/7xl0v?jobsource=joblist_search,資料庫管理師 (DBA),"職責：
- 資料庫日誌監控和分析、資料庫系統性能優化、資料庫空間監控和管理、資料庫使用者許可權管理、資料庫的備份和恢復、存儲管理、平臺資料庫系統的安裝部署調試等工作。
- 負責資料庫安裝、性能調校、資源擴充與安全性管理工作。
- 保證資料庫完整性、安全性、穩定與高可用性。
- 負責資料庫備份與災難備援機制以達成業務連續性的不間斷服務。

必要條件：
- 有責任感能負擔與處理相應的變更及隨時檢查狀態並達到確保資料庫連續性。
- 能獨立作業並能建立技術相關基礎架構、操作與標準作業流程文件。
- Linux與Windows操作經驗。
- 熟悉SQL語法、Function、Stored Procedure、Trigger、Partition。
- 擅於追蹤問題並提供解決方案。
- 有責任感、理解力強、有時間觀念並自學能力強。

加分條件：
- 有Oracle、MongoDB、PostgresSql、Mysql 管理經驗，有MongoDB管理經驗尤佳。
- 有資料庫管理經驗2年以上優先考慮。
- 遇到緊急技術問題能on call協助解決問題優先。,未填寫,Linux、MySQL、Oracle、PostgreSQL
提升專業能力
提升專業能力,資訊設備環境設定、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用","資料庫管理人員
、系統分析師
、系統工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/870j0?jobsource=joblist_search,"Senior Application Analyst (Oracle ERP, 遠距辨公)","1.負責亞洲(越南/中國/東南亞)Oracle ERP相關專案導入與支援
2.有系統開發及整合經驗，並能跨系統及跨模組考慮整合和解決方案
3.越南/中國/台灣/墨西哥皆有IT團隊且有出差需求,需敢開口說英文
4.具備Oracle Fusion經驗為佳

Responsible for the implementation and support of Oracle ERP-related projects across Asia, including Vietnam, China, and Southeast Asia.
Experienced in system development and integration, with the ability to design cross-system and cross-module integration solutions.
Collaborate with IT teams in Vietnam, China, Taiwan, and Mexico. Occasional business travel may be required—must be comfortable communicating in English.
Experience with Oracle Fusion is a plus.

• Feasibility study and solution design:
1. Conduct requirement study and suggest feasible technical solution alternatives
2. Recommend solution proposal and design the system solutions that fit TTI application portfolio and roadmap

• Project management and execution:
1. Lead functional meetings to provide solution, identify prioritization issues/concerns.
2. Lead and work with cross functional teams through the execution, monitoring, and achievement of the Project Plan.,• English requirement: fair
• 5+ years on Oracle ERP implementation, support.
• Experience with Oracle Fusion is a plus.,Oracle、Oracle ERP
提升專業能力
提升專業能力,資料庫系統管理維護、企業資源規劃管理(ERP)、系統架構規劃與維護","軟體專案主管
、系統分析師
、營運管理師／系統整合／ERP專案師","年薪1,000,000元以上",需出差，一年累積時間未定
https://www.104.com.tw/job/75uoj?jobsource=joblist_search,系統分析師,"1.需求訪談
2.分析設計
3.整合測試
4.文件撰寫,1.具備系統分析經驗。
2.具備程式設計經驗尤佳。
3.良好溝通與邏輯能力。
4.熟悉資料庫軟體。
5.具相關經驗尤佳。,不拘,不拘","軟體工程師
、系統分析師","月薪30,000~60,000元",無需出差外派
https://www.104.com.tw/job/7ab3m?jobsource=joblist_search,【巨鷗科技】系統分析師,"1. 承接業務簽約的專案，完成系統分析書。
2. 建立軟體開發環境及撰寫系統應用程式。
3. 負責專案之規劃、執行、監控、管理與協調。,不拘,MS SQL、Excel、Outlook、PowerPoint、Project、Word、Axure RP
提升專業能力
提升專業能力,專案人力資源管理、專案成本╱品質╱風險管理、專案時間╱進度控管、專案採購管理、專案規劃執行╱範圍管理、專案溝通╱整合管理、專案管理架構及專案說明、系統架構規劃、系統整合分析、功能測試(function test)、安全性測試(Security test)、使用者測試(Usability test)、問題追蹤處理(Bug tracking)、軟體整合測試、測試計劃及測試報告書撰寫、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用、系統架構規劃與維護","系統分析師
、軟體專案管理師
、專案管理主管","月薪38,000元以上",需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/8iic9?jobsource=joblist_search,SRE工程師,"【工作內容】
1. 建置GCP/AWS雲端機器資源
2. 設定gitlab repo CI/CD部署
3. 設定監控monitor與告警推送功能

【工作技能】
1 gitlab CI/CD實作
2 具有操作雲端服務GCP, AWS的實務經驗
3 熟悉Docker操作與部署
4 熟悉helm撰寫與實作
5 熟悉terraform或terragrunt撰寫與實作,不拘,Jenkins、Git、Cloud、AWS
提升專業能力
提升專業能力,伺服器網站管理維護、資訊設備操作檢修、資訊設備環境設定、安裝與維護網路安全系統、規劃與管理防火牆","系統分析師
、網路管理工程師
、雲端工程師","月薪40,000~85,000元",無需出差外派
https://www.104.com.tw/job/7hekj?jobsource=joblist_search,【顧問服務部】SAP ABAP 程式設計師/資深程式設計師 (台中/台南/高雄),"1. SAP 系統模組程式 Bug、CR 問題解決
2. 負責 SAP 模組流程設計、改善、系統分析與設計
3. 負責模組 ABAP 程式開發、介面設計
4. SD、程式文件撰寫
5. 協助主管進行投影片製作,不拘,不拘,不拘","軟體工程師
、營運管理師／系統整合／ERP專案師
、系統分析師","月薪40,000~100,000元",需出差，一年累積時間未定
