網址,工作名稱,工作標籤,關鍵字,date
https://www.104.com.tw/job/7banv?app_jobsource=m_time4jobs&jobsource=new_map,【台中】Jr.PHP Laravel Developer後端工程師-C04J,後端工程師,"AI,API,CSS,Git,HTML,IoT,Laravel,MVC,PHP,Queue,RESTful,後端,文件,框架,物件導向,資料庫,軟體,重構,電商",2026-03-09
https://www.104.com.tw/job/8yluh?app_jobsource=m_time4jobs&jobsource=new_map,【企業實習生】遊戲前端實習生(台中大里)(限在校生，應徵請附自傳),前端工程師,"API,Java,cocos,前端",2026-03-09
https://www.104.com.tw/job/8w8x1?app_jobsource=m_time4jobs&jobsource=new_map,MIS網管工程師,AI 工程師,"Linux,TCP/IP,Vmware,部署",2026-03-09
https://www.104.com.tw/job/8njuw?app_jobsource=m_time4jobs&jobsource=new_map,"FW工程師,高級工程師,影像工程師",UX 設計師,"C++,Git,Linux,介面,嵌入式系統,軟體",2026-03-09
https://www.104.com.tw/job/8k2b9?app_jobsource=m_time4jobs&jobsource=new_map,程式設計工程師,全端工程師,"AJAX,API,Bootstrap,CSS,HTML,JQuery,JavaScript,MariaDB,MySQL,PHP,全端,前端,效能,監控,資料庫,軟體,追蹤",2026-03-09
https://www.104.com.tw/job/83c89?app_jobsource=m_time4jobs&jobsource=new_map,Unity 前端工程師,前端工程師,"3D,Android,C#,CI/CD,Git,GitLab,GitLab CI,Github,Jenkins,SDK,Unity,iOS,前端,框架,軟體,重構",2026-03-09
https://www.104.com.tw/job/8ywe0?app_jobsource=m_time4jobs&jobsource=new_map,全端工程師,全端工程師,"API,CSS,Java,JavaScript,Node.js,Python,Vue,jQuery,全端,後端,資料庫,軟體",2026-03-09
https://www.104.com.tw/job/8ykny?app_jobsource=m_time4jobs&jobsource=new_map,全端工程師 | 台中 | 教育產業,全端工程師,"Figma,全端,前端,單元測試,後端,文件,註解",2026-03-09
https://www.104.com.tw/job/87ncm?app_jobsource=m_time4jobs&jobsource=new_map,【專案駐點】Java工程師Ｆ（台中）,後端工程師,"JSP,Java,JavaScript,Spring,Vue,jQuery,後端,軟體",2026-03-09
https://www.104.com.tw/job/67bf1?app_jobsource=m_time4jobs&jobsource=new_map,【系統分析工程師｜誠徵加入智慧物流核心開發團隊】,軟體工程師,".NET,ASP,ASP.NET,C#,SQL,圖,文件,資料庫,軟體",2026-03-09
