網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/8rbw7?app_jobsource=m_time4jobs&jobsource=new_map,【遊戲設計部】資深機率工程師,軟體工程師,"文件,模組,統計學,軟體"
https://www.104.com.tw/job/7jsaw?app_jobsource=m_time4jobs&jobsource=new_map,軟體自動化測試工程師,軟韌體測試工程師,"API,Appium,Cypress,Framework,Postman,Python,Selenium,回歸測試,效能,整合測試,框架,自動化,軟體,迭代,追蹤"
https://www.104.com.tw/job/8l1s4?app_jobsource=m_time4jobs&jobsource=new_map,後端工程師,全端工程師,"API,CI/CD,DevOps,Jenkins,Linux,MySQL,PHP,Shell,全端,後端,文件,自動化,資料庫,部署"
https://www.104.com.tw/job/8s6of?app_jobsource=m_time4jobs&jobsource=new_map,資訊行政助理,軟體工程師,"Excel,Word,文件,軟體"
https://www.104.com.tw/job/8ofqb?app_jobsource=m_time4jobs&jobsource=new_map,ORACLE ERP 資訊人員,軟體工程師,"Oracle,SQL,模組,資料庫,軟體"
https://www.104.com.tw/job/7kj88?app_jobsource=m_time4jobs&jobsource=new_map,研發部-韌體工程師(資深),UI 設計師,"HTML,HTTP,MQTT,SQL,VS Code,介面,整合測試,樹,樹莓派,軟體"
https://www.104.com.tw/job/7lau8?app_jobsource=m_time4jobs&jobsource=new_map,Software Engineer 軟體工程師,軟體工程師,"C++,GO,Git,Software,軟體"
https://www.104.com.tw/job/7x2qr?app_jobsource=m_time4jobs&jobsource=new_map,10R0-大數據中心 程式設計師,UX 設計師,"Linux,Python,品質,大數據,資料庫"
https://www.104.com.tw/job/6lecv?app_jobsource=m_time4jobs&jobsource=new_map,資訊工程師,軟體工程師,
https://www.104.com.tw/job/8uvqy?app_jobsource=m_time4jobs&jobsource=new_map,[台中北區] 遊戲前端開發工程師,前端工程師,"介面,前端,效能,軟體"
https://www.104.com.tw/job/7x53m?app_jobsource=m_time4jobs&jobsource=new_map,自動化技術支援工程師(中部),軟體工程師,"3D,C#,C++,Python,自動化,軟體"
