job-href,job,content,types,salary,business_trip,date,position_text,position_href,company
https://www.104.com.tw/job/8rs9v?jobsource=new_map&app_jobsource=m_time4jobs,高級軟體工程師,"所需專長(1~2點可展示作品優):
1.C#.Net - 使用 Visual Studio
.HttpWebRequest
.JSON
DataBase
.Microsoft SQL Server
.Access
WinForm
MSSQL
系統整合分析
 
2. 使用 C#.NET 開發 Winform （財務模組）
發票管理
票據管理
固定資產管理
零用金/總務費用管理
傳票管理
會計明細表：日記帳、分類帳、試算表
財務報表：綜合資產負債表、綜合損益表、綜合損益表(二期)
進行軟體之測試、修改與後續維護、 撰寫系統各模組之操作手冊

3.「前端＋後端＋雲端＋資料庫」
◆C#與.NET Framework 
◆.NET 物件導向程式開發 
◆ADO.NET 
◆.NET
◆LINQ 
◆ASP.NET MVC 
◆ASP.NET Web Form 
◆Azure 
◆資料庫設計 RDB&NoSQL 
◆SQL Server 
◆Git 版本控制
◆SVN
◆Agile 
◆CSS 
◆JavaScript 
◆HTML5 
◆Ajax 
◆JQuery 
◆RWD 
◆Bootstrap

需有實際(財務模組)相關1.2.項工作五年以上經驗者佳
面試時請備專題(影片及簡報或實際可操作者),未填寫,Android、ASP.NET、C#、Java、Visual Studio、WinForm、MS SQL
提升專業能力
提升專業能力,資料備份與復原、資訊設備環境設定、系統整合分析、軟體工程系統開發、軟體程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用、系統架構規劃與維護","軟體工程師
、全端工程師","月薪60,000元以上",無需出差外派,2025-09-09,,,
https://www.104.com.tw/job/865t1?jobsource=new_map&app_jobsource=m_time4jobs,維運駐點工程師(台中-北屯),"負責駐點單位網路、電腦周邊維運

※薪資依學經歷敘薪,不拘,不拘,不拘","MES工程師
、網路管理工程師
、電腦組裝／測試",待遇面議,無需出差外派,2025-09-09,,,
https://www.104.com.tw/job/8ehv7?jobsource=new_map&app_jobsource=m_time4jobs,Android/iOS APP工程師(工作地點: 台中/台北),"工作內容:
1.設計、開發、除錯和維護 Android、iOS 應用程序。
2.第三方服務與API整合。
3.支援團隊其他成員的技術需求。
4.持續精進產品開發，提升開發效率和技術能力。 

條件要求:
1.Android、iOS 應用程式開發經驗。
2.熟悉 Java、Kotlin（Android）、Swift（iOS）。
3.掌握Android、iOS元件、介面繪製、後台運行、資料存儲等原理
4.良好的問題解決能力和程式碼優化技巧。
5.良好的團隊合作和溝通能力。,不拘,不拘,不拘","UI設計師
、前端工程師
、全端工程師",待遇面議,無需出差外派,2025-09-09,,,
https://www.104.com.tw/job/6boe6?jobsource=new_map&app_jobsource=m_time4jobs,Java程式設計講師-台中三民認證中心,"【業界經驗】有獨立完成Java程式設計專案開發經驗5年以上。
【授課經驗】具備一年以上教學經驗尤佳，若無則需準備教材試教以確認教學能力。
【專業證照】具備OCPJP國際認證及相關作品尤佳。,不拘,Android、Java、Python、Spring、Kotlin、JDBC、MySQL
提升專業能力
提升專業能力,軟體程式設計","電腦補習班老師
、軟體工程師
、講師","時薪350~1,000元",依公司規定,2025-09-09,,,
https://www.104.com.tw/job/8owdy?jobsource=new_map&app_jobsource=m_time4jobs,美工行銷專員,"打造一個開心、學習與成就感的職場環境，歡迎有理念、有熱誠的您加入我們的行列。
1. 資訊能力：維護、更新及管理各式系統及網頁粉絲頁管理。
2. 訓練考核：主動參與教育訓練與考核，參加職等能力評核。
3. 第一年加入依照工作與教學經驗享有分紅及獎金，擁有專業職能證照另加發獎金。
4. 需要具備下列相關能力：
●Microsoft Office Word、Excel、PowerPoint
●Adobe 系列、AE、AI、PS
●Line@經營
●Facebook粉絲頁經營、ig經營
●拍照、攝影及影片剪輯
●需配合北屯、太平區校區工作地點拍攝調整
工作地點：台中市北屯區、太平區,不拘,Illustrator、Adobe Photoshop、After Effects
提升專業能力
提升專業能力,不拘","行政人員
、網站行銷企劃
、資訊設備管制人員","月薪32,000元以上",無需出差外派,2025-09-09,,,
https://www.104.com.tw/job/8pwvo?jobsource=new_map&app_jobsource=m_time4jobs,SEO工程師,"【工作內容】
1.負責公司網站的SEO策略規劃與執行
2.進行關鍵字研究、分析與有效部署
3.優化網站內部連結架構，提升使用者體驗
4.規劃與建置高品質外部連結，提升網站權威性
5.定期追蹤與分析SEO成效，提出改善方案

專業技能
具有實戰SEO經驗，曾成功將非品牌關鍵字優化至Google搜尋結果前2頁
熟練操作SEO分析工具，如Ahrefs、關鍵字規劃工具、SimilarWeb等

擁有邏輯思考能力，對於SEO趨勢與演算法變化具有高度關注，有電商或特定產業SEO優化經驗者





**遠端工作者，請勿投遞，謝謝**.,不拘,SEO、Google Analytics、Google Tag Manager、ChatGPT、Canva、Wordpress、HTML、Google Trend
提升專業能力
提升專業能力,演算法設計、內容行銷、網站流量成效追蹤、數位媒體行銷、網站企劃能力、行銷策略擬定、數據分析","全端工程師
、網頁設計師",待遇面議,無需出差外派,2025-09-09,,,
https://www.104.com.tw/job/8nnvb?jobsource=new_map&app_jobsource=m_time4jobs,IPAS 淨零碳規劃管理師(初級)講師-台中站前認證中心,"【業界經驗】業界五年以上相關經驗﹅能夠獨立開發專案﹅專案經驗分享。
【授課經驗】具備一年以上教學經驗尤佳，若無則需準備教材試教以確認教學能力。
【證照需求】IPAS 淨零碳規劃管理師(初級)。,不拘,不拘,不拘","講師
、AI工程師
、電腦補習班老師","時薪500~1,000元",依公司規定,2025-09-09,,,
https://www.104.com.tw/job/71s0h?jobsource=new_map&app_jobsource=m_time4jobs,系統維運工程師,"1. 負責公司會員相關系統維運
2. 熟SQL語法、SSMS工具
3. 協助用戶端問題處理、系統測試
4. 上線與維運階段問題回應與處理
5. 具團隊合作與良好溝通能力,不拘,MS SQL
提升專業能力
提升專業能力,網路程式設計","系統工程師
、軟體工程師
、網路管理工程師","月薪34,500~37,000元",無需出差外派,2025-09-09,,,
https://www.104.com.tw/job/752v7?jobsource=new_map&app_jobsource=m_time4jobs,軟體工程師,"1. 負責軟體編寫，與部門同事共同完成產品開發及測試。
2. 熟悉Raspberry Pi 及Arduino。
3. 熟悉可在Raspberry Pi 開發之程式語言。
4. 具備軟、硬體整合基礎能力。
5. 樂於分享、積極學習。
6. 完成主管交辦事項。,不拘,不拘,不拘","軟體工程師
、通訊軟體工程師","月薪30,000~45,000元",無需出差外派,2025-09-09,,,
https://www.104.com.tw/job/8pqd5?jobsource=new_map&app_jobsource=m_time4jobs,IPAS 資訊安全工程師(初級)講師-台中三民分校,"【業界經驗】業界五年以上相關經驗﹅能夠獨立開發專案﹅專案經驗分享。
【授課經驗】具備一年以上教學經驗尤佳，若無則需準備教材試教以確認教學能力。
【證照需求】IPAS 資訊安全工程師(初級)。,不拘,不拘,AI、機器學習、生成式AI、深度學習","講師
、AI工程師
、電腦補習班老師","時薪500~1,000元",依公司規定,2025-09-09,,,
