網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/6ivgl?jobsource=new_map&app_jobsource=m_time4jobs,D4000 網站前端開發工程師/資深工程師【台中】,軟體工程師,"AJAX,CSS,HTML,JavaScript"
https://www.104.com.tw/job/8a4ld?jobsource=new_map&app_jobsource=m_time4jobs,前端工程師,全端工程師,"CSS,HTML,JavaScript,Node.js,Sass,jQuery"
https://www.104.com.tw/job/72c1k?jobsource=new_map&app_jobsource=m_time4jobs,初階軟體工程師(PC base)-台中潭子,軟體工程師,"C#,C++"
https://www.104.com.tw/job/85wad?jobsource=new_map&app_jobsource=m_time4jobs,資訊專員,軟體工程師,TCP/IP
https://www.104.com.tw/job/7y7kj?jobsource=new_map&app_jobsource=m_time4jobs,PHP Laravel 後端工程師 或 DevOps SRE 工程師,軟體工程師,"ASP.NET,C#,CSS,Git,HTML,JavaScript,Laravel,Linux,MySQL,PHP,Python"
https://www.104.com.tw/job/8o1sf?jobsource=new_map&app_jobsource=m_time4jobs,電商訂購系統前端開發工程師,UX 設計師,"API,ES6,JavaScript,React,Redux,Webpack"
https://www.104.com.tw/job/8nnur?jobsource=new_map&app_jobsource=m_time4jobs,IPAS 資訊安全工程師(初級)講師-台中站前認證中心,AI 工程師,機器學習
https://www.104.com.tw/job/88jl9?jobsource=new_map&app_jobsource=m_time4jobs,後端工程師,AI 工程師,"API,Docker,Git,HTTP,PostgreSQL,Redis,TCP/IP"
https://www.104.com.tw/job/8nnu8?jobsource=new_map&app_jobsource=m_time4jobs,IPAS AI應用規畫師(初級)講師-台中站前認證中心,AI 工程師,機器學習
https://www.104.com.tw/job/7ts1m?jobsource=new_map&app_jobsource=m_time4jobs,外勤-台中-維修工程師(歡迎應屆畢業生)-日商-自動化板金機械設備,軟體工程師,
https://www.104.com.tw/job/57voc?jobsource=new_map&app_jobsource=m_time4jobs,「歡迎企業實習」電腦軟硬體外點維護工程師(台中市)-【JD-00000003】,軟體工程師,
https://www.104.com.tw/job/8ig24?jobsource=new_map&app_jobsource=m_time4jobs,【擴編】PHP工程師 台中/台北分公司,全端工程師,"Ajax,JavaScript,MySQL,PHP,jQuery"
https://www.104.com.tw/job/75fyc?jobsource=new_map&app_jobsource=m_time4jobs,軟體工程師(★作息正常),Android 工程師,"API,HTML,JavaScript,Linux,Unix,jQuery"
https://www.104.com.tw/job/8bap3?jobsource=new_map&app_jobsource=m_time4jobs,軟體開發工程師（潭子廠）,軟體工程師,
https://www.104.com.tw/job/7v37e?jobsource=new_map&app_jobsource=m_time4jobs,【資通安全部】資訊安全工程師,網頁設計師,"AWS,GCP"
https://www.104.com.tw/job/8ilro?jobsource=new_map&app_jobsource=m_time4jobs,電子商務前端工程師,UI 設計師,"CSS,JavaScript,Laravel,Nuxt.js,PHP,SASS,Vue.js,jQuery"
https://www.104.com.tw/job/6megu?jobsource=new_map&app_jobsource=m_time4jobs,Laravel 後端工程師,軟韌體測試工程師,"AWS,CI/CD,Docker,Git,Laravel,Linux,MongoDB,MySQL,NoSQL,PHP,PostgreSQL"
