網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/8bie4?jobsource=joblist_search,nan,Android 工程師,"API,CSS,Git,HTML,JavaScript,Linux,MySQL,PHP,RESTful,Vue.js,jQuery,webpack"
https://www.104.com.tw/job/8i95k?jobsource=joblist_search,APP工程師,Android 工程師,"API,Python,RESTful"
https://www.104.com.tw/job/7hesn?jobsource=joblist_search,Flutter App 工程師,後端工程師,"Git,Kotlin"
https://www.104.com.tw/job/6g319?jobsource=joblist_search,資深Kotlin Android APP講師-台中三民認證中心,Android 工程師,"Git,Kotlin,MySQL"
https://www.104.com.tw/job/8mwh4?jobsource=joblist_search,Flutter App工程師 可遠端,後端工程師,"API,CI/CD,Git,GraphQL,HTTP,Kotlin,RESTful,Swift,WebSocket"
https://www.104.com.tw/job/8h3mb?jobsource=joblist_search,Android工程師,Android 工程師,Java
https://www.104.com.tw/job/7q8gi?jobsource=joblist_search,Flutter 工程師,Android 工程師,"MySQL,Swift"
https://www.104.com.tw/job/4qdrw?jobsource=joblist_search,Android 工程師,Android 工程師,"Git,Java,Kotlin"
https://www.104.com.tw/job/8kuvi?jobsource=joblist_search,【TenMax】軟體工程師 (Andriod Developer),Android 工程師,"API,CI/CD,Git,Java,Jenkins,Kotlin,RESTful"
https://www.104.com.tw/job/8dk2b?jobsource=joblist_search,APP工程師,前端工程師,"Git,Kotlin,Swift"
https://www.104.com.tw/job/87ow9?jobsource=joblist_search,【海外通路】數位金融APP開發工程師(iOS/Android) (數數發_台中CDC)_I00008675,Android 工程師,"CI/CD,Git,KOTLIN,PostgreSQL,SWIFT,Scrum"
https://www.104.com.tw/job/81z01?jobsource=joblist_search,Android研發工程師,後端工程師,"API,Ajax,JavaScript,Kotlin,Restful"
https://www.104.com.tw/job/7lstk?jobsource=joblist_search,D4000 momo購物網APP Android工程師【台中】,Android 工程師,"CI/CD,React"
https://www.104.com.tw/job/84hez?jobsource=joblist_search,資深前端 App 工程師 (React / React Native),前端工程師,"API,Git,Kotlin,React,Swift"
https://www.104.com.tw/job/8nxyf?jobsource=joblist_search,學習型 行動應用程式 實習生 iOS / Android APP,全端工程師,"Git,Kotlin,Node.js,SWIFT"
https://www.104.com.tw/job/84pyn?jobsource=joblist_search,Flutter 程式設計師【有經驗者優先錄取】#154158,前端工程師,"Git,HTTP,SWIFT,TCP/IP"
https://www.104.com.tw/job/8l2ic?jobsource=joblist_search,APP工程師,前端工程師,"CI/CD,CSS,Git,HTML,Jenkins,Vue.js"
https://www.104.com.tw/job/8dq8l?jobsource=joblist_search,iOS Android 工程師,前端工程師,"JavaScript,Kotlin,MySQL,Node.js,SWIFT"
https://www.104.com.tw/job/86rtq?jobsource=joblist_search,Android工程師(台中市),Android 工程師,"API,Git,Java,Kotlin,RESTful"
https://www.104.com.tw/job/8ndkh?jobsource=joblist_search,Android 短期駐點工程師(約半年)(台中烏日)(內部編號：SI1-ATC1),Android 工程師,"CI/CD,Java,Jenkins,Kotlin"
https://www.104.com.tw/job/35h9b?jobsource=joblist_search,Kotlin Android APP講師-台中三民認證中心,Android 工程師,"Git,Kotlin,MySQL"
https://www.104.com.tw/job/8li8w?jobsource=joblist_search,APP 工程師（Android & iOS）,後端工程師,"API,Git,Kotlin,React,Swift"
https://www.104.com.tw/job/86uzp?jobsource=joblist_search,Android 開發工程師,Android 工程師,"Git,Kotlin"
https://www.104.com.tw/job/5c51f?jobsource=joblist_search,總部研發-Android工程師,Android 工程師,"C++,Java,Kotlin"
https://www.104.com.tw/job/8jyaf?jobsource=joblist_search,【RD】軟體逆向工程工程師,Android 工程師,
https://www.104.com.tw/job/6qm0o?jobsource=joblist_search,APP 工程師,Android 工程師,"API,Git,HTTP,JAVA,Kotlin,Linux,RESTful"
https://www.104.com.tw/job/8lj7g?jobsource=joblist_search,資訊部 APP開發工程師(台中),後端工程師,Git
https://www.104.com.tw/job/887m4?jobsource=joblist_search,Flutter APP工程師,前端工程師,"API,Git,Restful"
https://www.104.com.tw/job/7a5r8?jobsource=joblist_search,Android兼任講師-台中站前認證中心,Android 工程師,Java
https://www.104.com.tw/job/85t94?jobsource=joblist_search,Flutter軟體工程師,後端工程師,"CI/CD,Kotlin,Swift"
https://www.104.com.tw/job/8ig2d?jobsource=joblist_search,Android程式設計師 台中/台北分公司,Android 工程師,"API,C#,Git,Node.js,RESTful"
https://www.104.com.tw/job/8k05x?jobsource=joblist_search,Flutter 程式設計師,後端工程師,"Kotlin,SWIFT"
https://www.104.com.tw/job/8n20h?jobsource=joblist_search,影音APP工程師（Android & iOS）,前端工程師,"AJAX,API,Angular,C#,CSS,Git,JavaScript,Kotlin,Node.js,RESTful,Redux,Sass,Swift,jQuery"
