網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/89088?jobsource=joblist_search,ASP.NET MVC 程式設計師-台中,AI 工程師,"AI,AJAX,ASP.NET,C#,CSS,HTML,JavaScript,MySQL,SQL,jQuery"
https://www.104.com.tw/job/807gm?jobsource=joblist_search,創新研發工程師(台中市),前端工程師,"API,ASP.NET,Ajax,Angular,Bootstrap,C#,CSS,Git,MySQL,Oracle,RESTful,TypeScript,Vue.js,jQuery,javascript"
https://www.104.com.tw/job/6rlag?jobsource=joblist_search,後端PHP網頁程式設計師 - 加入台中矽谷,前端工程師,"AJAX,Docker,Git,HTML,JavaScript,Laravel,MySQL,Node.js,PHP,jQuery"
https://www.104.com.tw/job/6cs3w?jobsource=joblist_search,APP系統工程師(台中市),網頁設計師,"C#,MySQL,SWIFT"
https://www.104.com.tw/job/8mxgz?jobsource=joblist_search,資深VUE前端工程師（全遠端）,前端工程師,"API,CI/CD,Git,JavaScript,TypeScript,Vue,Vue.js,jQuery"
https://www.104.com.tw/job/859ff?jobsource=joblist_search,Golang工程師,後端工程師,"API,CI/CD,Git,Linux,Mongodb,MySQL,Postgresql,Redis,SOAP,Websocket"
https://www.104.com.tw/job/8i8vd?jobsource=joblist_search,系統開發工程師_A04,軟體工程師,"ASP.NET,JavaScript,SQL,jQuery"
https://www.104.com.tw/job/88p5x?jobsource=joblist_search,【臺中總公司】JAVA 網頁程式設計師,前端工程師,"Angular,CSS,HTML,JavaScript,Node.js,Sass"
https://www.104.com.tw/job/8j3u5?jobsource=joblist_search,資深軟體設計工程師,後端工程師,"CI/CD,CSS,Git,Linux,Node.js"
https://www.104.com.tw/job/7vo2i?jobsource=joblist_search,【全遠端 Remote】Senior Software Engineer / 資深軟體工程師,Android 工程師,"AWS,Azure,CSS,Docker,Excel,Go,HTML,JavaScript,Kotlin,Laravel,Linux,MySQL,PHP,Redux,SQL,Swift"
https://www.104.com.tw/job/87gf5?jobsource=joblist_search,【台中/西屯】PHP軟體工程師（無相關工作經驗可）,後端工程師,"CSS,HTML,JQuery,JavaScript,MariaDB,Mysql,PHP,SQL,linux"
