網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/84z3h?jobsource=joblist_search,系統分析師 (UIUX設計師),前端工程師,"Illustrator,Photoshop"
https://www.104.com.tw/job/8az3m?jobsource=joblist_search,WordPress網站設計師(台中),UI 設計師,"CSS,HTML,Word"
https://www.104.com.tw/job/6i07v?jobsource=joblist_search,Web/App UI/UX 設計師 (台中),Android 工程師,"CSS,HTML,Illustrator,Photoshop"
https://www.104.com.tw/job/897ni?jobsource=joblist_search,動畫製作人員,UI 設計師,"C#,C++"
https://www.104.com.tw/job/82kgh?jobsource=joblist_search,UI/UX設計師,後端工程師,
https://www.104.com.tw/job/8ltsl?jobsource=joblist_search,UI/UX設計師,前端工程師,
https://www.104.com.tw/job/86kdl?jobsource=joblist_search,UI/UX 設計師,前端工程師,
https://www.104.com.tw/job/86rft?jobsource=joblist_search,網頁設計師(台中),UI 設計師,"HTML,Illustrator,JavaScript,Photoshop,jQuery"
https://www.104.com.tw/job/8jv4t?jobsource=joblist_search,軟體暨雲端事業處-UI/UX設計師,前端工程師,"CSS,HTML,JavaScript"
https://www.104.com.tw/job/8daop?jobsource=joblist_search,UIUX設計師**週休二日**台中,前端工程師,"CSS,HTML,Illustrator,JavaScript,Photoshop"
https://www.104.com.tw/job/80516?jobsource=joblist_search,UIUX設計師,UI 設計師,"Illustrator,Photoshop"
https://www.104.com.tw/job/8el5t?jobsource=joblist_search,【PM】用戶介面設計師 (UI/UX Designer),AI 工程師,"HTML,Illustrator,Photoshop"
https://www.104.com.tw/job/8m7ww?jobsource=joblist_search,OMO數位產品經理,AI 工程師,
https://www.104.com.tw/job/84tsd?jobsource=joblist_search,網頁設計師｜視覺 + 體驗 = 讓使用者愛不釋手！,前端工程師,"AI,CSS,HTML,Illustrator,Photoshop,Word"
https://www.104.com.tw/job/8bh75?jobsource=joblist_search,UI/UX設計師,前端工程師,"CSS,HTML,Illustrator,Photoshop"
https://www.104.com.tw/job/8krai?jobsource=joblist_search,UX企劃人員 (User Experience Planner),UI 設計師,
https://www.104.com.tw/job/7ycse?jobsource=joblist_search,UIUX設計師(擴編),UI 設計師,"CSS,HTML,Illustrator,Photoshop"
https://www.104.com.tw/job/8hr6p?jobsource=joblist_search,前端工程師,前端工程師,"AJAX,API,Bootstrap,CSS,Git,HTML,JavaScript,SASS,TypeScript,Vue,jQuery"
https://www.104.com.tw/job/8ms4z?jobsource=joblist_search,Product Designer（台中 / 台北）,Android 工程師,
https://www.104.com.tw/job/8m7wo?jobsource=joblist_search,【UI/UX 設計師】｜Figma ✦ 網頁 & APP 設計 ✦ 介面體驗,前端工程師,"AI,CSS"
https://www.104.com.tw/job/8beo2?jobsource=joblist_search,【WD01】網頁設計師 Web Design/UI/UX,前端工程師,"CSS,HTML"
https://www.104.com.tw/job/88fbz?jobsource=joblist_search,Senior Web/App UI/UX 設計師 (台中),Android 工程師,"CSS,HTML,Illustrator,Photoshop"
https://www.104.com.tw/job/8dsqr?jobsource=joblist_search,【台中辦公室】UIUX設計師 (需附上作品集),前端工程師,"Illustrator,Photoshop"
https://www.104.com.tw/job/8o6d6?jobsource=joblist_search,PCG250065-開發_數位行銷設計師(台中),UI 設計師,
https://www.104.com.tw/job/8nxae?jobsource=joblist_search,uiux設計師,UI 設計師,"CSS,Sass"
https://www.104.com.tw/job/8njft?jobsource=joblist_search,UI UX【需進辦公室上班】,前端工程師,"CSS,JavaScript,Node.js"
https://www.104.com.tw/job/8hto9?jobsource=joblist_search,產品經理,UX 設計師,
https://www.104.com.tw/job/7xxuh?jobsource=joblist_search,網頁設計美編人員,UI 設計師,"CSS,Photoshop"
https://www.104.com.tw/job/8o52j?jobsource=joblist_search,美編設計UI / UX,後端工程師,"CSS,JavaScript"
https://www.104.com.tw/job/3bcfk?jobsource=joblist_search,UI UX 網頁設計師,UI 設計師,"CSS,HTML,Illustrator,Photoshop,http"
https://www.104.com.tw/job/8m5zq?jobsource=joblist_search,UI/UX設計師,UI 設計師,
https://www.104.com.tw/job/8msu5?jobsource=joblist_search,UI/UX設計師,Android 工程師,"Bootstrap,HTML,Illustrator,Photoshop"
https://www.104.com.tw/job/83o5k?jobsource=joblist_search,遊戲2d美術,AI 工程師,
https://www.104.com.tw/job/8dfc3?jobsource=joblist_search,UIUX設計師,UI 設計師,
https://www.104.com.tw/job/8j7ji?jobsource=joblist_search,PM 軟體專案/產品經理,UX 設計師,"JavaScript,Python"
https://www.104.com.tw/job/8hk4n?jobsource=joblist_search,1MC0-人工智慧中心 系統研發工程師(UI/UX Engineer),前端工程師,Photoshop
https://www.104.com.tw/job/8lirh?jobsource=joblist_search,UIUX設計師,UI 設計師,"Illustrator,Photoshop"
https://www.104.com.tw/job/8imhp?jobsource=joblist_search,WINDOS導控開發人員,前端工程師,"API,C#,C++"
https://www.104.com.tw/job/8isyg?jobsource=joblist_search,UI/UX設計師,前端工程師,"Illustrator,Photoshop"
https://www.104.com.tw/job/8jrgl?jobsource=joblist_search,【海外數資】UIUX用戶體驗設計師 (數數發_台中CDC)_I00018890,前端工程師,"Angular,Bootstrap,HTML,Illustrator,Photoshop"
https://www.104.com.tw/job/82uz0?jobsource=joblist_search,【平台開發處】網頁UI/UX設計師(台中大里),後端工程師,"Illustrator,Photoshop"
https://www.104.com.tw/job/8j3vl?jobsource=joblist_search,UIUX網頁設計師,UI 設計師,
https://www.104.com.tw/job/6neke?jobsource=joblist_search,美術設計,前端工程師,"Illustrator,Photoshop"
https://www.104.com.tw/job/8iuni?jobsource=joblist_search,UIUX網頁設計師,UI 設計師,
https://www.104.com.tw/job/892fm?jobsource=joblist_search,Wordpress網站設計師,UI 設計師,"CSS,HTML,Word"
https://www.104.com.tw/job/8edd4?jobsource=joblist_search,UI設計師,前端工程師,"Illustrator,Photoshop"
