網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/8ifpt?jobsource=joblist_search,【2025預聘暨研發替代役】CIM系統開發工程師-台中廠-R08,AI 工程師,"AI,C++,機器學習"
https://www.104.com.tw/job/7njwn?jobsource=joblist_search,智慧製造CAM軟體開發工程師,軟體工程師,C++
https://www.104.com.tw/job/8ll7r?jobsource=joblist_search,Tech Lead / 全端開發專家,全端工程師,"API,AWS,Azure,CSS,DevOps,ES6,GCP,HTML,JavaScript,NoSQL,Node.js,SQL,TypeScript,Vue.js,機器學習"
https://www.104.com.tw/job/8ifsy?jobsource=joblist_search,AI應用組 設計工程師-台中(前後端應用、數據分析演算法、視覺辨識演算法),前端工程師,"AJAX,ASP.NET,C++,CSS,Excel,Git,HTML,Javascript,MySQL,OpenCV,PHP,PowerPoint,Python,Scikit-learn,Word,機器學習"
https://www.104.com.tw/job/8ed3s?jobsource=joblist_search,工研院智慧機械科技中心_軟體開發工程師(C200),AI 工程師,"C#,C++,JavaScript,Python"
https://www.104.com.tw/job/7b7ye?jobsource=joblist_search,視覺系統評估工程師,軟體工程師,"C#,Python"
https://www.104.com.tw/job/8nc4r?jobsource=joblist_search,【研發替代役】工研院智慧機械科技中心_AI智慧製造軟體開發工程師(D400),AI 工程師,"AWS,C#,C++,CSS,HTML,JavaScript,Python"
https://www.104.com.tw/job/6rqbd?jobsource=joblist_search,AI演算法工程師-T,AI 工程師,"AI,C#,Python,機器學習"
https://www.104.com.tw/job/8nje7?jobsource=joblist_search,【2025_A+種子暑期實習】系統平台開發實習生-龍潭廠,前端工程師,"C#,Flask,MySQL,Oracle,Python,SQL"
https://www.104.com.tw/job/4o7zn?jobsource=joblist_search,【中科】數據應用工程師,軟體工程師,"C#,C++,Python,機器學習"
https://www.104.com.tw/job/8fjon?jobsource=joblist_search,Golang 開發工程師,軟體工程師,"mariadb,mongodb,redis"
https://www.104.com.tw/job/8njdx?jobsource=joblist_search,【2025_A+種子暑期實習】系統平台開發實習生-后里廠,前端工程師,"CSS,HTML,JavaScript,MongoDB,MySQL,Node.js,PostgreSQL,Python,Redis"
https://www.104.com.tw/job/8kzf5?jobsource=joblist_search,影像處理工程師(嵌入式開發組),軟體工程師,"C++,OpenCV"
https://www.104.com.tw/job/7sn8y?jobsource=joblist_search,AES / IPsec Software Engineer (Taichung),AI 工程師,"AI,C++,Java,Linux,Python"
https://www.104.com.tw/job/7ys7x?jobsource=joblist_search,IoT設備軟韌體工程師,軟體工程師,C++
https://www.104.com.tw/job/6nkqb?jobsource=joblist_search,薪45K~75K↑Asp.Net程式設計師/一般/資深/高階工程師A-3,網頁設計師,"ASP.NET,C#"
https://www.104.com.tw/job/8k3h1?jobsource=joblist_search,"2025 研發替代役 (RDSS)_Inspection System Engineer_Control, PLC (Taichung)",AI 工程師,"C#,Excel,PowerPoint,Python,Word"
https://www.104.com.tw/job/6qa4t?jobsource=joblist_search,RD_AI工程師,AI 工程師,"Git,Python,機器學習"
https://www.104.com.tw/job/5ewjj?jobsource=joblist_search,系統開發工程師,軟體工程師,C#
https://www.104.com.tw/job/8o3vi?jobsource=joblist_search,Algorithm Engineer - Medical Imaging & Vision Intelligence,AI 工程師,"C++,PyTorch,Python,機器學習"
https://www.104.com.tw/job/8ejyz?jobsource=joblist_search,AI應用工程師(AI Application Engineer/Prompt Engineering/AI Model Applications),AI 工程師,"AI,AWS,Azure,Docker,Excel,Git,Kubernetes,PyTorch,Python,scikit-learn,機器學習"
https://www.104.com.tw/job/7u0dg?jobsource=joblist_search,*視覺工程師F【114研替】,軟體工程師,"C#,C++"
https://www.104.com.tw/job/8no8n?jobsource=joblist_search,影像韌體工程師 Novatek SoC 聯詠 (熱影像部 ),UI 設計師,"C++,機器學習"
https://www.104.com.tw/job/7g15i?jobsource=joblist_search,大數據工程師,軟體工程師,"Java,Python"
https://www.104.com.tw/job/8a4yk?jobsource=joblist_search,Android-AI研發工程師,Android 工程師,"Kotlin,Python"
https://www.104.com.tw/job/6zwrh?jobsource=joblist_search,數值演算法工程師,軟體工程師,C++
https://www.104.com.tw/job/8mtdk?jobsource=joblist_search,研發高級工程師/工程師 (AI-AOI機器視覺),AI 工程師,"C#,Linux,機器學習"
https://www.104.com.tw/job/8njin?jobsource=joblist_search,【2025_A+種子暑期實習】演算法開發實習生-台中廠,軟體工程師,"C#,C++,Deep Learning,Python,Pytorch"
https://www.104.com.tw/job/88w5r?jobsource=joblist_search,AI工程師,後端工程師,"Python,機器學習"
https://www.104.com.tw/job/6b5x2?jobsource=joblist_search,AI演算法工程師,AI 工程師,"C++,Python"
https://www.104.com.tw/job/8nb3t?jobsource=joblist_search,遊戲機率設計工程師(無經驗可),軟體工程師,Excel
https://www.104.com.tw/job/7ancr?jobsource=joblist_search,10R0-大數據中心 演算法工程師,UX 設計師,"Deep Learning,Python,機器學習"
https://www.104.com.tw/job/8nm6t?jobsource=joblist_search,【數位技術】AI應用開發工程師-台中廠-R08,AI 工程師,"MySQL,Python,SQL"
https://www.104.com.tw/job/8jb2n?jobsource=joblist_search,網站後端工程師,後端工程師,
https://www.104.com.tw/job/7vuwf?jobsource=joblist_search,影像處理工程師(AI開發組),AI 工程師,"C++,Python"
https://www.104.com.tw/job/8miow?jobsource=joblist_search,影像識別深度學習工程師,AI 工程師,"AI,API,AWS,C++,GCP,PyTorch,Python,Scikit-learn,機器學習,統計學"
https://www.104.com.tw/job/81axy?jobsource=joblist_search,機率工程師,軟體工程師,Excel
https://www.104.com.tw/job/7xe3e?jobsource=joblist_search,1MC0-人工智慧中心 演算法開發工程師(三維建模),軟體工程師,"C++,機器學習"
https://www.104.com.tw/job/786dw?jobsource=joblist_search,演算法開發工程師,軟體工程師,"C#,C++,Excel,PowerPoint,Python,Word"
https://www.104.com.tw/job/85n7v?jobsource=joblist_search,AMR軟體研發工程師,UX 設計師,"C#,C++,Linux,Python"
https://www.104.com.tw/job/7ja0i?jobsource=f_2025career,半導體自動化＿視覺影像設備(AOI)研發工程師_【台中】,AI 工程師,"C#,C++,OpenCV"
https://www.104.com.tw/job/7672d?jobsource=joblist_search,軟韌體工程師-台中,AI 工程師,"C#,C++,Python,機器學習"
https://www.104.com.tw/job/3h6x5?jobsource=joblist_search,高精度智慧型機器設備/機器人研發工程師,軟體工程師,
https://www.104.com.tw/job/8fwsz?jobsource=joblist_search,Devops 維運工程師,UX 設計師,"CI/CD,Docker,GCP,Kubernetes,Linux"
https://www.104.com.tw/job/7de45?jobsource=joblist_search,AOI自動化控制工程師,軟體工程師,"C#,C++,Python"
https://www.104.com.tw/job/8a0qa?jobsource=joblist_search,資訊部 |AI工程師,AI 工程師,"AI,C#,PyTorch,Python,機器學習"
https://www.104.com.tw/job/734i6?jobsource=joblist_search,GUI介面軟體設計工程師,UI 設計師,C#
https://www.104.com.tw/job/8mcn4?jobsource=joblist_search,AI工程師,AI 工程師,"AI,C#,C++,Git,LLM,Python,Pytorch,SQL,機器學習"
https://www.104.com.tw/job/6jm35?jobsource=joblist_search,【生產製造】智慧製造工程師-台中廠-R10,AI 工程師,Python
https://www.104.com.tw/job/8l56s?jobsource=joblist_search,軟體工程師(台中),軟體工程師,"C++,Python,機器學習"
https://www.104.com.tw/job/7efbu?jobsource=joblist_search,【台中】數據工程師,軟體工程師,"C#,NoSQL,Python,Tableau"
https://www.104.com.tw/job/6kutq?jobsource=joblist_search,AOI/AI影像深度學習工程師,AI 工程師,"C#,C++,OpenCV,Python,Pytorch,機器學習"
https://www.104.com.tw/job/6zwfx?jobsource=joblist_search,1MC0-人工智慧中心 演算法研發工程師(NLP),AI 工程師,"AI,C++,Deep Learning,Python,Pytorch,機器學習"
https://www.104.com.tw/job/7z465?jobsource=joblist_search,*視覺實習工程師F【學年/學期類】,AI 工程師,"AI,C#,C++"
https://www.104.com.tw/job/88h1r?jobsource=joblist_search,演算法工程師(台中后里),AI 工程師,"PyTorch,Python,deep learning"
https://www.104.com.tw/job/7yp4l?jobsource=joblist_search,(DR41- ) 演算法工程師(台中),軟體工程師,
https://www.104.com.tw/job/82kkp?jobsource=joblist_search,程式軟體工程師,後端工程師,"C#,C++"
https://www.104.com.tw/job/7qi9w?jobsource=joblist_search,影像視覺工程師,軟體工程師,"C#,C++"
https://www.104.com.tw/job/8m9nw?jobsource=joblist_search,東海大學人工智慧中心誠徵【經濟部價創計畫】AI / ML Engineer,AI 工程師,"C#,Python,機器學習"
https://www.104.com.tw/job/8nji3?jobsource=joblist_search,【2025_A+種子暑期實習】影像處理與辨識實習生-台中廠,軟體工程師,"Deep Learning,Python"
https://www.104.com.tw/job/7b5po?jobsource=joblist_search,(AC10103) 控制軟體工程師,軟體工程師,
https://www.104.com.tw/job/8n5cf?jobsource=joblist_search,【2025預聘暨研發替代役】智慧應用系統開發工程師(新鮮人限定)-台中廠-R08,全端工程師,"API,Azure,DevOps,Docker,Git,JavaScript,MySQL,Python,機器學習"
https://www.104.com.tw/job/7l670?jobsource=joblist_search,驅動器軟體開發工程師,軟體工程師,
https://www.104.com.tw/job/7lkdb?jobsource=joblist_search,CAD/CAM軟體開發工程師,軟體工程師,C++
https://www.104.com.tw/job/7hcwe?jobsource=joblist_search,台中-系統軟體處-運控資深/主任工程師,軟體工程師,"C#,C++"
https://www.104.com.tw/job/8jeqg?jobsource=joblist_search,光機電整合工程師,軟體工程師,"C#,C++,Python"
https://www.104.com.tw/job/84dnp?jobsource=joblist_search,AI專案工程師 [豐興鋼鐵關係企業-豐力互聯],AI 工程師,"HTML,Javascript,LLM,PyTorch,Python,機器學習"
https://www.104.com.tw/job/8oa0p?jobsource=joblist_search,軟體工程師,AI 工程師,"C#,C++,JavaScript,PHP,Python"
https://www.104.com.tw/job/8nnyu?jobsource=joblist_search,演算法工程師,軟體工程師,"C++,PyTorch,Python,機器學習"
https://www.104.com.tw/job/6lbpr?jobsource=joblist_search,影像處理工程師,UX 設計師,C++
https://www.104.com.tw/job/7i09v?jobsource=joblist_search,軟體研發工程師 (台中市北區),軟體工程師,"C#,C++"
https://www.104.com.tw/job/718r0?jobsource=joblist_search,資深影像主管,AI 工程師,"C#,Python,機器學習"
https://www.104.com.tw/job/8kk36?jobsource=joblist_search,軟體工程師(台中),軟體工程師,"C#,C++,Opencv"
https://www.104.com.tw/job/6ct4d?jobsource=joblist_search,深度(機器)學習資料科學家(台中),UX 設計師,"C#,C++,Linux,Python,統計學"
https://www.104.com.tw/job/6zssz?jobsource=joblist_search,研發助理工程師,軟體工程師,C++
https://www.104.com.tw/job/67x57?jobsource=joblist_search,演算法工程師(數學家工程師),AI 工程師,"C++,Linux,機器學習"
https://www.104.com.tw/job/85es1?jobsource=joblist_search,高級軟體工程師,軟體工程師,"C#,C++"
https://www.104.com.tw/job/8mnr8?jobsource=joblist_search,軟體工程師,AI 工程師,"C#,C++,Python"
https://www.104.com.tw/job/8nl6f?jobsource=joblist_search,資訊應用開發課經理,前端工程師,"Angular,CI/CD,CSS,Docker,GCP,HTML,JavaScript,Kubernetes,MongoDB,MySQL,Spring"
https://www.104.com.tw/job/48x0r?jobsource=joblist_search,AI硬體.打光客服工程師,AI 工程師,
https://www.104.com.tw/job/7rwdm?jobsource=joblist_search,*視覺工程師F,軟體工程師,"C#,C++"
https://www.104.com.tw/job/7k16b?jobsource=joblist_search,FAE工程師,軟體工程師,Python
https://www.104.com.tw/job/3vcwv?jobsource=joblist_search,研發替代役--影像工程師,軟體工程師,"C#,C++,Python"
https://www.104.com.tw/job/737y0?jobsource=joblist_search,AOI影像開發工程師/助理工程師,軟體工程師,"C++,Python"
https://www.104.com.tw/job/8njsi?jobsource=joblist_search,機率工程師(無經驗可),軟體工程師,Excel
https://www.104.com.tw/job/82x1j?jobsource=joblist_search,新創團隊/ FPGA研發工程師,軟體工程師,
https://www.104.com.tw/job/72zcr?jobsource=joblist_search,遊戲機率設計工程師(擴編),軟體工程師,Excel
https://www.104.com.tw/job/7ow3z?jobsource=joblist_search,程式軟體工程師,UX 設計師,C++
https://www.104.com.tw/job/8crzz?jobsource=joblist_search,AI Research Engineer,AI 工程師,"PyTorch,Python,機器學習"
https://www.104.com.tw/job/8n4qy?jobsource=joblist_search,工研院智慧機械科技中心_AI智慧製造軟體開發工程師(D400),AI 工程師,"AWS,C#,C++,CSS,HTML,JavaScript,Python"
https://www.104.com.tw/job/6pz77?jobsource=joblist_search,資深軟體工程師,UX 設計師,"C++,Linux"
https://www.104.com.tw/job/7677e?jobsource=joblist_search,軟體工程師-台中,AI 工程師,"C#,C++"
https://www.104.com.tw/job/4gi8f?jobsource=joblist_search,大數據丶AI軟體工程師,UX 設計師,
https://www.104.com.tw/job/74ilx?jobsource=joblist_search,AI應用工程師(遠距兼職),AI 工程師,"AI,API,Python"
https://www.104.com.tw/job/76enj?jobsource=joblist_search,軟體工程師,UX 設計師,"C++,Linux"
https://www.104.com.tw/job/8nzby?jobsource=joblist_search,排程系統演算法工程師,軟體工程師,C#
https://www.104.com.tw/job/6plpw?jobsource=joblist_search,【生產製造】智慧製造工程師-后里廠-R10,AI 工程師,"MySQL,Python"
https://www.104.com.tw/job/74pnu?jobsource=joblist_search,Embedded system engineer,UX 設計師,"Excel,Linux,PowerPoint,Python,Vmware,Word"
https://www.104.com.tw/job/7sdxi?jobsource=joblist_search,研發替代役--先進機器人研發工程師,演算法工程師,"C++,Python"
https://www.104.com.tw/job/5a5et?jobsource=joblist_search,【大數據分析工程師】分析萬事萬物！加入台中矽谷,軟體工程師,MySQL
https://www.104.com.tw/job/6kvz0?jobsource=joblist_search,軟體開發工程師,軟體工程師,"ASP.NET,C#,C++,Oracle"
https://www.104.com.tw/job/8k9ke?jobsource=joblist_search,2025研發替代役 (RDSS)_Process Control and Data Analytics Engineer (Taichung),iOS 工程師,"AWS,Azure,C#,Deep Learning,PyTorch,Python,機器學習"
https://www.104.com.tw/job/7m790?jobsource=joblist_search,CAD - AI研發工程師,AI 工程師,"C++,Python,機器學習"
https://www.104.com.tw/job/8ml39?jobsource=joblist_search,【擴編】SEO工程師 SEO Engineer,UI 設計師,"HTML,JavaScript,Word,jQuery"
https://www.104.com.tw/job/7qm9w?jobsource=joblist_search,自動化軟體設計工程師,AI 工程師,"C#,C++"
https://www.104.com.tw/job/8a00p?jobsource=joblist_search,演算法工程師,UX 設計師,"C++,Linux,Python"
https://www.104.com.tw/job/89r6n?jobsource=joblist_search,AOI機器視覺工程師,AI 工程師,"C#,PyTorch,機器學習"
https://www.104.com.tw/job/76esr?jobsource=joblist_search,影像處理工程師(LD),軟體工程師,
https://www.104.com.tw/job/6u3no?jobsource=joblist_search,後端工程師,後端工程師,"API,C++,Docker,Linux,MongoDB,MySQL,Node.js,PostgreSQL,Python,RESTful"
https://www.104.com.tw/job/831tc?jobsource=joblist_search,AOI影像資深工程師,軟體工程師,"C#,C++,Python"
https://www.104.com.tw/job/73rht?jobsource=joblist_search,演算法工程師,UX 設計師,Python
https://www.104.com.tw/job/80w4k?jobsource=joblist_search,遊戲策略工程師,AI 工程師,
https://www.104.com.tw/job/4nvhg?jobsource=joblist_search,演算法資料／大數據 工程師！加入台中矽谷,軟體工程師,
https://www.104.com.tw/job/7iza5?jobsource=joblist_search,先進機器人研發工程師,演算法工程師,"C++,Python"
https://www.104.com.tw/job/5kyje?jobsource=joblist_search,科服處-資深工程師,網頁設計師,"API,ASP.NET,C#,CSS,Git,JQuery,JavaScript"
https://www.104.com.tw/job/8npsl?jobsource=joblist_search,AI實習工程師（遠端上班）,AI 工程師,機器學習
https://www.104.com.tw/job/839p3?jobsource=joblist_search,視覺軟體工程師,軟體工程師,C#
https://www.104.com.tw/job/8ln24?jobsource=joblist_search,【數位技術】智慧應用系統開發工程師-台中廠-R08,前端工程師,"API,Azure,DevOps,Docker,Git,JavaScript,Python"
https://www.104.com.tw/job/7gx5r?jobsource=joblist_search,AI影像工程師,AI 工程師,
https://www.104.com.tw/job/8mfbq?jobsource=joblist_search,資深機率工程師(儲備幹部),軟體工程師,Excel
https://www.104.com.tw/job/6i2z7?jobsource=joblist_search,軟體工程師,AI 工程師,"C#,C++,Python,Ruby,機器學習"
https://www.104.com.tw/job/8e32n?jobsource=joblist_search,自動化軟體整合工程師,軟體工程師,"C#,C++"
