job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/84z3h?jobsource=joblist_search,系統分析師 (UIUX設計師),"1.資訊系統分析設計工作。
2.熟悉使用UI/UX設計工具，如Adobe XD、Figma等，會基礎資料庫使用尤佳。
3.熟悉使用設計軟體，如Adobe Photoshop和Illustrator，用於圖像處理、向量圖形設計和視覺設計。
4.瞭解UI/UX設計原則和實踐，包括佈局設計、色彩搭配、字體選擇、前端切版等，以提供一致性和易用性的用戶界面。
5.具備良好的溝通和團隊合作能力，能夠與資訊人員、專案經理和其他相關角色密切合作。,不拘,Adobe Photoshop、Illustrator、Zeplin、Adobe XD、Figma
提升專業能力
提升專業能力,不拘","UX設計師
、UI設計師
、系統分析師","月薪48,000元以上",無需出差外派
https://www.104.com.tw/job/8az3m?jobsource=joblist_search,WordPress網站設計師(台中),"*任職言瑞關係企業（超網智慧有限公司）主營業項目為幫客戶架設網站*

1. Wordpress建站，網站設計、維護網站、提升網站性能、Seo優化 (靈活運用外掛) 
2. 競爭對手調查、關鍵字部署規劃、內部連結調整、頁面結構、外部連結建設，並提升google關鍵字排名 
3.熟悉 GA、GSC、Ahrefs、MOZ等相關工具，定期追蹤、分析，找出能優化、改善的地方。 
4.對 HTML / CSS / Wordpress 有修改能力 

【加分項目】
◆能獨立作業(環境與網站) 
◆了解灰/黑帽方式
◆與不同部門溝通合作佳 
◆耐心、細心、責任心,不拘,不拘,不拘","網頁設計師
、UI設計師
、UX設計師","月薪35,000~45,000元",無需出差外派
https://www.104.com.tw/job/6i07v?jobsource=joblist_search,Web/App UI/UX 設計師 (台中),"【工作內容】
1. 規劃網頁及APP設計規格與user flow
2. 完成可實際交付的Hi-Fi Mockup, Prototype
3. 掌握市場與設計趨勢，確立公司產品市場定位
4. 與產品經理、工程團隊等跨部門協作，分享設計與研究成果
5. 使用者體驗優化

【必備技能】
1. 具備三年以上軟體相關設計經驗 (包含Website/ iOS/Android App的設計經驗)
2. 對軟體產品(Website, App) UI/UX 設計有深入認識，理解 iOS 及 Android UI 設計發展方向，熟悉不同平台的設計方法與限制
3. 具備Hi-Fi Mockup設計，注重細節與美感
4. 擁有能產出wireframe頁面流程與獨立完成prototype的經驗
5. 擅長設計工具 Figma、Photoshop、illustrator，製作與維護Design System的經驗
6. 熟悉軟體產品開發及專案時程
7. 具備與產品經理、工程團隊協作的經驗
【此項職務非單純平面設計、工業設計或網頁設計，無軟體UI/UX相關經驗者請勿投遞】

【加分技能】
1. 了解軟體程式設計開發流程及基本系統架構
2. 了解網頁技能 HTML、CSS 
3. 熟悉 Apple Human Interface Guidelines、Android Design Guidelines
4. 曾參與過餐飲產業產品規劃、設計、開發的經驗

【申請準備資料】
    個人作品集：請將具備職缺所期待的作品呈現出來，可幫助團隊更了解你的設計喔,不拘,Adobe Photoshop、Illustrator、Sketch、Zeplin、Adobe XD
提升專業能力
提升專業能力,色彩調配設計、視覺設計相關知識、電腦繪圖軟體操作、繪圖工具與軟體操作、使用者介面設計、設計表現能力","網頁設計師
、UI設計師
、UX設計師","月薪45,000~50,000元",無需出差外派
https://www.104.com.tw/job/897ni?jobsource=joblist_search,動畫製作人員,"1. UI/UX 設計與製作。
2. 3D/2D/FX 製作/剪輯/音效設計與製作。
3. 須有VR相關經驗。
4. 請提供作品集。
5. 臨時交辦事項。
6. 須有相關工作經歷。,不拘,C、C#、C++、Unity3D、Unreal Engine
提升專業能力
提升專業能力,不拘","多媒體動畫設計師
、UI設計師
、UX設計師","月薪34,800~70,000元",無需出差外派
https://www.104.com.tw/job/82kgh?jobsource=joblist_search,UI/UX設計師,"1. 製作RWD響應式網站和公司自有服務平臺網站
2. 與業務、企劃、前後端工程師等相關人員配合，協同設計功能畫面
3. 製作操作介面和物件，確實處理細節並提出完成度
4. 偶有廣宣品、活動美術製作需求
5. 處理主管交辦任務

UI/UX設計師是公司業務發展不可或缺的一環，隨著科技日新月異的發展，UI設計師的職務也越來越重要。本職位提供各種挑戰性的網頁視覺設計專案和機會，歡迎有網頁設計經驗和對設計有熱情的您加入我們的團隊。

＊＊應徵前煩請深入瞭解 Trainge，若您認可 Trainge 的理念與模式，歡迎加入我們！
➤ 官方網站 https://trainge.info/web/104/


【產品介紹】

Trainge - 全台最大運動平台

找課程、找教練、找場地
在Trainge彈指間找到想要的一切

各類運動場館、教練都通用的好工具
讓消費者用LINE就能預約你的課程


免費使用所有功能
* 免系統建置費
* 免上架費
* 免月租費

➤ Trainge詳情 https://trainge.info/web/104/,不拘,不拘,視覺設計相關知識、電腦排版設計、使用者介面設計、設計表現能力","UX設計師
、UI設計師
、視覺設計師","月薪40,000元以上",無需出差外派
https://www.104.com.tw/job/8ltsl?jobsource=joblist_search,UI/UX設計師,"【工作內容】
1. 製作wireframe，UI flow 與 Prototype。
2. 使用者界面規格制定與相關文件產出。
3. 跨部門溝通協作：與PM/工程師等相關人員溝通配合協作，進行產品/專案設計。
4. 協助進行產品設計，創造並提升產品交互能力，優化用戶體驗。
5. 協助建立和維護產品的UI Style Guide，整合產品UI的一致性與易用性。
6. 其他主管交辦事項。

【職務要求】
1. 具備2年以上相關 UI/UX 設計經驗，有成功案例可展示，履歷請附帶作品集。
2. 熟悉Figma設計軟體。
3. 具備協作精神，能夠與多個團隊合作，共同推動產品發展。
4. 充滿好奇心、勇於接受挑戰、有責任感、以解決問題為導向。
5. 有企劃相關經驗。,不拘,Figma
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計","UX設計師
、UI設計師
、前端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/86kdl?jobsource=joblist_search,UI/UX 設計師,"【能力需求】
1. 至少有3年以上的 UI/UX 設計經驗。
2. 熟悉 Adobe XD / Figma / Axure RP / Sketch 任一等工具。
3. 熟悉 UI/UX 切圖與規劃規則、網站/app 前端的互動特效設計。
4. 有實際操作 RWD 和自適應設計的經驗。
5. 強大的視覺設計和用戶中心設計思維。
6. 有能力同時管理多個項目，並在緊迫的時限內達成目標。

【加分項】
*有與網站前端工程師或APP工程師溝通製作網頁經驗。,不拘,Sketch、Axure RP、Adobe XD、Figma
提升專業能力
提升專業能力,視覺設計相關知識、電腦排版設計、使用者介面設計","網頁設計師
、UX設計師
、UI設計師","月薪40,000元",無需出差外派
https://www.104.com.tw/job/86rft?jobsource=joblist_search,網頁設計師(台中),"職務需求：
1. 平面設計、網站視覺設計與網站切版。
2. 優化並創新網頁設計，多元設計風格。
3. 舊網站設計調整與維護。
4. 精通Photoshop、Illustrator等繪圖與切版工具。
5. 與企劃、工程等相關人員配合，協同執行專案。

加分條件：
1. 熟悉UI/UX設計。
2. 熟悉 javascript與JQuery。,不拘,HTML、JavaScript、jQuery、Adobe Photoshop、Illustrator、Figma
提升專業能力
提升專業能力,視覺設計相關知識、電腦繪圖軟體操作、廣告設計概念、繪圖工具與軟體操作、多媒體影像處理、設計表現能力","網頁設計師
、UI設計師
、UX設計師","月薪40,000~70,000元",無需出差外派
https://www.104.com.tw/job/8jv4t?jobsource=joblist_search,軟體暨雲端事業處-UI/UX設計師,"【工作內容】

1、雛型設計與繪製
      (1)使用 Axure 繪製網站、系統的雛型，擁有Web/APP全新建置或擴充優化專案 實務經驗，製作Wireframe、Prototype，以及熟悉繪製流程圖、泳道圖。
      (2)邏輯清晰且對專案雛形的設計流程有足夠的概念。
      (3)重視UX的使用者體驗進行設計，且能夠梳理專案UI設計及交互邏輯並且製成規範文件。
2、需求分析與溝通
       (1)與業務、專案經理到客戶端進行需求訪談與分析，將業務需求轉化為實際設計規範與雛型。
       (2)與內部團隊成員、前後端開發工程師密切合作，確保開發及設計成果能準確反映需求並高效實現。
       (3)重視細節能夠清楚表達自己的想法，也能接受他人意見後，綜整適當的意見決議至雛型落實。
3、系統測試與系統教育訓練
       (1)進行系統測試及蒐集使用者回饋，確認雛型規劃及功能落實符合品質標準。
       (2)與專案經理至客戶端進行系統教育訓練說明。

【加分技能與經驗】
1.曾參與Scrum敏捷開發流程，能快速適應專案節奏
2.具備切版能力，將設計轉化為前端樣式（HTML/CSS/JavaScript）有基礎的底子
3.具備視覺設計能力，能協助製作UI設計稿
4. 製作Mockup

 
【鑫捷科技生力軍需求特質】
※公司工作環境氣氛良好，熱情、專業開發團隊群※
1、具備團隊合作精神及工作熱忱。
2、個性積極進取，熱情、外向。
3、良好溝通協調能力。
4、持續學習與成長。

【職務規劃】
1、前三個月為試用期，將有試用期KPI簡報。
2、考核通過後將另訂今年度KPI。
 
※歡迎參閱公司網站：https://www.webplus.com.tw/
若具備以上條件，歡迎加入鑫捷，Work hard ! Play hard !,不拘,Axure RP、Adobe XD、Figma
提升專業能力
提升專業能力,專案成本╱品質╱風險管理、專案時間╱進度控管、專案溝通╱整合管理、功能測試(function test)、使用者介面設計","UX設計師
、UI設計師
、軟體專案管理師","月薪40,000~50,000元",需出差，一年累積時間未定
https://www.104.com.tw/job/8daop?jobsource=joblist_search,UIUX設計師**週休二日**台中,"*工作內容**
1、具 UI/UX 領域的直接工作經驗，並曾參與上線產品 (Web/APP) 設計。
2、熟悉商城系統設計，能基於可用性原則提出方案。
3、熟設計工具：Figma、Photoshop跟Illustrator 
4、了解 Web/App UI 製作流程，能使用相關工具製作過程所需內容。
5、至少需要具備二年以上UI/UX設計的直接工作經驗；若沒有UIUX直接工作經驗者，請勿投遞此職缺。
6、面試會進行上機筆電實測軟體(本公司提供Figma線上版)操作能力，於正式面試時請準備個人電腦。

**技能必要條件**
1、有良好溝通協調能力，且個性積極主動。
2、 熟悉介面設計工具、平面設計軟體。
3、具設計細節處理能力與美感表現力，具備邏輯思考能力。
4、能與產品PM主管、開發團隊，通力合作完成專案。

**錄取加分條件**
1、擁有 Web / App 產品經驗，易用性測試經驗者。
2、工作配合度高、能獨立作業、具備敬業且負責任的精神。,不拘,HTML、JavaScript、CSS、Adobe Photoshop、CorelDraw、Illustrator、Adobe XD、Figma、Wireframe
提升專業能力
提升專業能力,視覺設計相關知識、電腦排版設計、使用者介面設計、設計表現能力、使用者體驗設計","UX設計師
、UI設計師
、前端工程師","月薪40,000~52,000元",無需出差外派
