job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/8botw?jobsource=joblist_search,後端工程師 (C# .NET Core),"工作地點：台灣（香港商天天國際物流有限公司台灣分公司）
工作內容隸屬於香港昭津集團（SJ Group-SJ Holding Limited）
公司官網：www.suijun.com

【職務內容】
 • 參與 物流系統後端開發，包含 API 設計、資料處理與系統架構優化
 • 開發與維護後端服務，建置與管理相關運行環境
 • 使用 C# (.NET Framework / .NET Core) 進行開發，並持續改善系統架構
 • SQL Server 資料庫設計與效能優化
 • 開發 RESTful API / GraphQL 服務
 • 遵循 Clean Code 與 OOP（物件導向）設計原則，進行程式重構
 • 系統效能分析與優化，確保穩定性與可擴展性
 • 緊急狀況時提供技術支援
 • 依需求使用 Low-code 開發工具（OutSystems）

【必要條件】
1. 3 年以上 C# (.NET Framework / .NET Core) 開發經驗
2. 熟悉 SQL Server，具備資料庫設計與效能調校能力
3. 熟悉 RESTful API 服務開發
4. 物件導向（OOP）設計概念，遵循 Clean Code 原則
5. 能獨立分析並解決後端效能問題
6. 系統架構優化與持續改善的能力
 
【加分條件】
1. 熟悉雲端平台（AWS, Azure, GCP）
2. 熟悉微服務架構技術（Ocelot, Consul, K8s）
3. Message Queue / Redis / NoSQL / JWT Token 使用經驗
4. 良好的英文溝通能力（可與國際團隊協作）
5. 過往專案作品（App, 網站, GitHub）可附加參考
6. Java開發經驗 / 前端開發經驗
7. 有機器學習 / 深度學習相關經驗

【我們提供】
1. 參與系統架構重構與技術升級，適合喜歡技術挑戰的夥伴
2. 國際化團隊，與香港總公司技術團隊合作
3. 完善的員工福利（依台灣勞基法，享勞健保、勞退）
4. 彈性上班制度，每天 7.5 小時，兼顧生活與工作
5. 不定期 Team Building，促進團隊合作與成長

有興趣者請投遞履歷，期待您的加入！,未填寫,Github、Git、ASP.NET、C#、MS SQL、PL/SQL
提升專業能力
提升專業能力,軟體程式設計","後端工程師
、系統工程師
、軟體工程師","月薪60,000~90,000元",無需出差外派
https://www.104.com.tw/job/8i3hx?jobsource=joblist_search,C# 軟體工程師,"我們正在尋找經驗豐富的C#軟體工程師，以協助我們開發和維護我們的Web網站應用。

▍職責：

1. 開發和維護 .NET Core 應用程式，以滿足客戶需求
2. 協助設計和實施高效的後端解決方案
3. 優化網站應用程式、後端服務性能，並解決潛在的問題
4. 與前端開發人員合作，確保順暢的前後端整合
5. 支援線上緊急問題處理
6.其他主管交辦事項

▍要求：

1. 熟練掌握 ASP.NET MVC框架
2. 具有 C# Coding 經驗
3. 熟悉Web API開發
4. 良好的資料庫知識，如MySQL
5. 良好的溝通能力，能夠遠端協作
6. 自我管理能力，能夠按時交付工作成果
7. 具備 EF、LINQ、Dapper開發經驗

▍加分條件：

1. 具備 Nginx、Linux 使用經驗
2. 具備 GCP使用經驗
3. 具備 Vue、Element-UI 經驗

▍福利待遇：

1. 有競爭力的薪資
2. 彈性的工作時間，遠端工作機會
3. 專業發展和培訓支持

如果您對這個職缺感興趣，投遞時請附上您的 Github 及相關作品。,不拘,Linux、Git、ASP.NET、C#、MySQL、JavaScript、jQuery、CSS、VueJS
提升專業能力
提升專業能力,系統整合分析、軟體程式設計、資料庫軟體應用","軟體工程師
、Internet程式設計師
、後端工程師","月薪45,000~90,000元",無需出差外派
https://www.104.com.tw/job/8n7h2?jobsource=joblist_search,電子商務後端工程師,"【工作編制說明】
本職缺屬[蒙恩聽障烘焙坊]旗下子公司-信實資訊有限公司的職缺
目前蒙恩的官網由信實資訊有限公司開發建置與維護

【工作內容】
1. 負責客戶官網系統的維護與開發
2. 優化現有後端架構，提高效能與穩定性
3. 參與新功能開發與串接第三方服務
4. 其他主管交辦事項

【需求條件】
1. PHP後端框架開發經驗（Laravel）
2. 具備MySQL或MariaDB或其他關聯式數據庫的管理與優化經驗
3. Git版本控制系統 
4. 具備良好的溝通及團隊合作能力

【經驗需求】
1. 具備2年以上後端開發經驗
2. 有大型系統開發或SaaS經驗者優先

【加分條件】
1. Google Cloud Platform（GCP）
2. DevOps
3. 前端框架開發經驗 (Vue.js、Nuxt.js)


【上班時間及地點】
地點：台中市北屯區北屯路210號B1
時間：周一至周五 上午9點至下午6點(含休息一小時)

【應徵流程】
1. 應徵報名：
請先在104應徵，並且下戴本公司專用履歷表，
https://www.deaf.com.tw/files/resume.doc
填寫完畢後寄到HR@deaf.com.tw，信件標題(或主旨)請寫應徵職務名稱
**請注意，104應徵及寄送專屬屨歷兩者皆需完成。

2. 履歷初審：
完成初審後，會寄發面試通知信給您，請留意信件訊息。
初審不符合，將不會通知,不拘,PHP、JavaScript、jQuery、CSS、Sass
提升專業能力
提升專業能力,軟體工程系統開發、模組化系統設計、資料庫程式設計","Internet程式設計師
、軟體工程師
、後端工程師","月薪40,000~60,000元",無需出差外派
https://www.104.com.tw/job/8hsph?jobsource=joblist_search,Backend Engineer 後端工程師,"1. 後端開發，維護並優化各伺服器系統
2. 協助處理主管交辦文書、事項，妥善撰寫相關專案文件需求


# 經驗條件
1. TypeScript：熟悉 TypeScript 語言，能夠提升程式碼的可維護性和可讀性。例如，曾在大型專案中使用 TypeScript 替代 JavaScript 進行開發，顯著降低了錯誤率。
2. 了解 npm、pnpm 等常見的套件管理工具
3. 使用 Express 開發 MVC 架構經驗
4. MongoDB、Firestore 等 NoSQL 資料庫串接經驗
5. RESTful API 開發經驗
可擴展的後端服務，提升開發效率。
6. 授權方式：了解 OAuth、JWT 等常見的授權方式。例如，曾在一個多用戶系統中實現基於 OAuth 的安全授權流程，提升系統安全性。


【其他福利】
寵物友善環境：我們的辦公室有可愛的貓咪陪伴，讓您的工作不再枯燥。
酷酷零食櫃：提供各種酷酷零食，隨時補充能量，保持高效工作狀態。
團隊活動：定期組織團隊建設活動，增進同事之間的交流與合作。


# 加分條件
1. GCP：具有使用 GCP 雲端平台的經驗。例如，曾在專案中使用 GCP 部署和管理應用，實現自動擴展和高可用性。
2. 測試經驗：具備 Unit test / E2E test 的經驗。例如，曾使用 Jest 和 Cypress 進行全面的單元測試和端到端測試，確保應用的高品質和穩定性。
3. monorepo：具有使用 monorepo 進行專案管理的經驗。例如，曾在一個大型企業專案中使用 monorepo 管理多個相關聯的子專案，提高了程式碼共享和版本控制的效率。
4. NestJS：具有使用 NestJS 框架的經驗，例如，曾在過去的專案中利用 NestJS 快速構建,不拘,Git、Java、PHP、JavaScript、Node.js
提升專業能力
提升專業能力,軟體工程系統開發、軟體品質與保證、軟體程式設計、結構化程式設計、模組化系統設計、資料庫程式設計","後端工程師
、全端工程師
、軟體工程師","月薪40,000~55,000元",無需出差外派
https://www.104.com.tw/job/8anqx?jobsource=joblist_search,全端工程師Vue/Golang,"1.執行軟體架構設計，並繪製相關架構圖、服務佈署圖，搭配測試工具，確保服務與資料正確性、穩定性。 
2.以Vue為主要前端開發語言，依需求/UIUX文件，進行功能拆解，運用圖表套件執行前端畫面與功能開發，並評估前端畫面功能與 資料呈現效能，進行適當優化。 
3.以Golang為主要後端開發語言，進行整體後端服務架構設計，與前端及資料工程師協作，進行資料結構與彈性的設計與協作、服務壓測，並以GCP相關工具進行基礎設施建置。 
4.建立服務追蹤機制，監控基礎建設、服務負載狀態、相關Log集成、事件警示。 
5.其他主管交辦事項執行。,不拘,不拘,不拘","前端工程師
、後端工程師
、全端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8mkzu?jobsource=joblist_search,ERP程式設計,"1.開發Web版的ERP企業內部系統，執行系統技術研究與專案推動上線。
2.編寫Java代碼並完成單元測試。
3.系統開發測試、部署和集成。
4.維護已上線系統、排除線上問題。
5.系統優化、完成設計。,不拘,Java
提升專業能力
提升專業能力,不拘","後端工程師
、軟體工程師
、MIS程式設計師",待遇面議,無需出差外派
https://www.104.com.tw/job/8hwoq?jobsource=joblist_search,後端工程師 Junior/Senior,"(1)設計並實作後端服務，確保系統性能與擴展性
(2)使用 C# 開發、維護後端程式與 API
(3)與 MSSQL 數據庫互動，進行數據管理、查詢優化
(4)與第三方服務進行整合，包括支付系統、身份驗證、雲端服務等，確保順暢的對接
(5)熟悉Web based應用開發、Client-Server開發經驗，熟悉HTTP等連線方式，Backend API開發
(5)提供技術解決方案並優化現有系統
(6)進行單元測試及自動化測試，確保程式碼品質
(7)定期進行系統安全及效能的評估與改善

加分項
(1)與前端協同開發經驗佳
(2)有高併發處理、多執行緒開發經驗佳
(3)有巨量資料環境開發經驗佳,不拘,Git、C#、MS SQL
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計",後端工程師,"月薪36,000元以上",無需出差外派
https://www.104.com.tw/job/8m5ki?jobsource=joblist_search,後端工程師,"職務內容
協助客戶網頁開發，包含後端程式撰寫、API整合。

工作項目：
1. 開發 RESTful API
2. 開發後端產品功能
3. 串接第三方服務
4. 串接硬體周邊
5. 優化執行效率與可維護性
6. 撰寫 Unit Test 確保品質

條件要求
1. 一年或以上後端開發經驗
2. 熟悉 REST API
3. 熟悉 WebSocket 網路協定
4. 熟悉 JAVA (我們使用 Spring Boot)
5. 熟悉 C#
6. 熟悉 Git 版本控制
7. 熟悉 MySQL 或其他關聯式資料庫
8. 串接電子支付，如Line Pay、全支付...相關經驗

[公司福利制度]
1. 提供中餐 
2. 保障年薪14個月
3. 零食、咖啡及飲料暢飲
4. 上班時間: 10:00-18:00,未填寫,Git、C#、Java、MySQL、Socket
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、網頁軟體操作、網頁語法撰寫","軟體工程師
、網頁設計師
、後端工程師","月薪40,000~60,000元",無需出差外派
https://www.104.com.tw/job/8mxph?jobsource=joblist_search,D4000 共用服務JAVA後端工程師,"我們正在尋找數位熱情且富有創造力的JAVA程式設計師加入我們的購物網站團隊。作為一個快速成長的電子商務平台，我們致力於提供優質的購物體驗，並將技術應用於創新和發展。如果你熱愛技術並希望參與構建一個成功的電子商務平台，這是一個絕佳的機會。

【工作職責】
1. 主要開發與維護網站系統/內部營運平台
2. 分析設計和開發，持續程式碼和系統性能優化
3. 純後端API功能串接開發
4.高流量、高併發的模組功能開發
5.日常系統維運作業，進階工作負責架構規劃與需求分析



【技術要求】
1. 熟練掌握Java編程語言及相關框架，如Spring、Spring MVC、Spring Boot、Hibernate等框架，具有豐富的開發經驗，並能夠應用到大型項目中。
2. 能夠設計並開發高效、可靠的 Java 應用程序，並且熟練應用各種 Java 相關的工具和框架。
3. 具備良好的數據結構和演算法知識，能夠有效地優化系統性能。


【加分項目】
1. 具有 Docker 和 Kubernetes 使用和管理經驗
2. 熟悉SQL語法且具備Oracle、Postgre、mongoDB使用經驗
3. 熟悉微服務架構和相關的設計和實施。
4. 對於 GCP 雲端服務有實際使用經驗，如 GCE、GKE、Cloud Pub/Sub 等。,不拘,不拘,不拘","軟體工程師
、後端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8oafr?jobsource=joblist_search,資訊部-資深POS系統開發工程師,"王品集團 誠徵【資訊部-資深POS系統開發工程師】
【工作職掌】
負責 POS 系統的開發與維護，主要使用 C# 與 MSSQL 進行應用程式開發，確保系統穩定運行，並持續優化效能與功能。
【工作內容】
1.使用 C# 進行 POS 系統的前後端開發，帳務開發及維護集團內部應用系統。
2.撰寫與維護 API，確保POS系統與周邊設備、第三方支付、點餐模組等系統的整合。
3.設計、開發及維護 MSSQL 資料庫，包括資料庫架構設計、效能調校與查詢優化。
4.進行 POS 系統的分析與需求訪談，與團隊成員協作規劃技術解決方案。
5.撰寫技術文件，包括系統架構、程式碼說明與使用手冊。
6.進行單元測試與錯誤修正，確保 POS 系統的穩定性與安全性。
7.定期更新與維護系統，並根據使用者回饋進行優化與功能開發。,不拘,Git、ASP.NET、C#、MS SQL、Excel、PowerPoint、Word
提升專業能力
提升專業能力,不拘","前端工程師
、後端工程師
、其他資訊專業人員",待遇面議,需出差，一年累積時間未定
