job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/75fq8?jobsource=joblist_search,【台中/西屯】測試工程師（無相關工作經驗可）,"工作內容
1. 研擬產品測試計畫。
2. 參與產品測試（手動／自動化）。
3. 提出改善建議與撰寫測試報告。
4. 協助自動化測試流程規劃與開發。

能力需求
1. Python,C,PHP 至少一種程式語言開發經驗。
2. 具網路基本概念相關知識（具CCNA者佳）。
3. 能在 linux 系統環境作業。
3. 善溝通協調，具良好的分析能力，工作主動積極，並嚴謹執行測試任務。
加分條件：有自動化測試相關經驗者。,不拘,C、PHP、Python
提升專業能力
提升專業能力,不拘","軟韌體測試工程師
、測試人員
、軟體工程師","月薪36,000~45,000元",無需出差外派
https://www.104.com.tw/job/8gvr3?jobsource=joblist_search,TEST SOLUTIONS ENGINEER (歡迎新鮮人/應屆畢業生）,"JOB DESCRIPTION

As a High Bandwidth Memory Test Engineer at Micron, you will develop, debug, and maintain code that enables the parallel testing of advanced memory devices. Micron Test Engineers support R&D, interacting closely with global teams, as well as taking part in the designing and debugging of test hardware. In this position, you will constantly learn new device specifications and operations in order to develop efficient and innovative solutions of production test flows thru test algo optimization. Additionally, you will take responsibility to gain a firm understanding of the functionality of advanced memory devices as defined in product data sheets.

RESPONSIBILITIES AND TASKS:

Independency of development of new tests and test algorithms for HBM, which covers test software and hardware requirements, defect coverage, characterization, trending, process flow, and test times.
Experienced on test programs development for products using primarily Python and C coding on automated test equipment in the given area followed by test program release to manufacturing area.
Be a lead to new product introduction (NPI) as well as pre/post silicon tasks management.
Develop test Automation solutions as electrical validation and qualification of new test equipment and tools.
Independently debug and identify root causes on test issues and provide solutions across internal/external groups.
Provide meaningful statistical data analysis, analytics and justification on program validation and its release to ensure program quality.
Evaluate and verify yields/quality with global teams to ensure we are shipping the highest quality product to our customers with enforce to all data sheet specification.
Support both internal and external groups on experiments designed to improve yield or capacity by resolving test issues that impact site in a timely manner.
Maintain tactical and project updates on daily and weekly basis, respectively. Updates should show progress against the timelines.
Drive Innovation and Improvement with the end goal of reducing the Cost of Test for Micron in the Test Department.
Support intra-departmental (and multi-site) teams in development of new processes and capabilities to support product roadmap; lead teams and drive development where necessary.

SUCCESSFUL CANDIDATES for THIS POSITION MUST DEMOSTRATE:

Experienced with electrical engineering, as applicable to memory devices and test hardware.
Well know of digital systems and digital logic for DRAM or HBM.
Strong logical thinking, as applied to general programming and problem solving.
Experienced with testing logic and leading products/projects. Familiar on cross groups communication.

SKILLS:

Familiar for problem solving with experienced programming logic.
Familiar with C/C++, and python for APG programing and test hardware architecture.
Influent communication with English speaking and ability to work in a multi-national multi-functional team.
Familiar working on Unix/Linux terminal.
Familiar semiconductor device knowledge and semiconductor process manufacturing.
Familiar with HBM product architecture or DRAM operation logic.,不拘,不拘","軟韌體測試工程師
、半導體工程師
、測試人員",待遇面議,無需出差外派
https://www.104.com.tw/job/8gzan?jobsource=joblist_search,測試工程師(彈性上下班),"1. 測試計畫規劃撰寫
2. 測試環境建立
3. 產品測試與問題分析
4. 測試報告相關文件撰寫
5. 測試程式撰寫(Python, Labview)
6. 測試項目 : 觸覺感測器 (例如 : 訊號及功能、基礎RF測試、突波測試、電池測試等) 、成品測試。
7. 使用儀器：示波器等
8.可配合短期出差優先
其他：
1.有測試Wi-Fi, Bluetooth通訊、電池相關經歷佳
2.具主動積極、正向思考、謹慎細心

備註：本職缺未來工作地點會移至中部科學園區,不拘,不拘,功能測試(function test)、使用者測試(Usability test)、問題追蹤處理(Bug tracking)、軟體整合測試、測試環境建置規劃、測試計劃及測試報告書撰寫","硬體測試工程師
、軟韌體測試工程師
、測試人員","月薪39,000~49,000元",需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/6wysq?jobsource=joblist_search,QA工程師,"★工作內容：
1. 進行產品各項功能測試與後續問題追蹤，確保產品品質。
2. 找出問題及其原因，並協助進行Bug的重現操作流程。
3. 協助建立測試環境、準備測試數據及編寫測試報告等作業。
4. 獨立規劃並撰寫測試案例、測試需求。
5. 獨立閱讀產品規格需求，並提出想法。
6. 了解專案進程的安排，且能與專案管理師溝通專案風險。

★能力需求:
1. 具備文書處理能力(Excel、Word 、PPT )。
2. 具備團隊合作精神與良好溝通能力，能獨立解決問題，與各團隊進行溝通。
3. 擁有學習自動測試相關之熱誠(撰寫程式腳本)。
4. 具電腦Web與手機App測試經驗為佳。

★加分:
1. 具Selenium腳本撰寫經驗。
2. 具Java撰寫JUnit測試案例經驗。
3. 具python 撰寫 Unittest測試案例經驗。
4. 熟悉JMeter測試工具或其它相關測試軟體之經驗。,不拘,Excel、PowerPoint、Word
提升專業能力
提升專業能力,功能測試(function test)、使用者測試(Usability test)、問題追蹤處理(Bug tracking)、壓力測試(stress test)、測試計劃及測試報告書撰寫","軟韌體測試工程師
、測試人員","月薪32,000~50,000元",無需出差外派
https://www.104.com.tw/job/8jkeu?jobsource=joblist_search,研發工程師,"大銀為傳動控制與系統科技之機電整合專家，
是全球少數能同時提供線性馬達、力矩馬達及奈米級定位平台等解決方案之廠家；
客戶群涵蓋半導體、面板、工具機、自動化及醫療等產業，銷售實績遍佈全球。
✨誠摯邀請優秀的您加入，共創璀璨美好的未來！

◆機構類：產品開發設計、模擬分析、功能測試驗證、生產問題排查分析
◆電磁類：電磁模擬分析、電機電磁性能測試驗證、馬達製程研究
◆硬體類：電子電路設計、電子產品專案開發、驗證測試
◆軟韌體：控制器運動功能開發、軟韌體維護,不拘,不拘,不拘","機構工程師
、電機技師／工程師
、軟韌體測試工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8l6no?jobsource=joblist_search,【海外數資】QA測試工程師 (數數發_台中CDC)_I00020030,"【部門簡介】
國泰金控為臺灣服務客戶數最多的領先金融服務業者，並致力於成為亞洲最佳金融機構。其中**國泰資訊開發中心-台中**致力於海外市場的發展，透過於國內累積的豐富數位金融服務經驗，拓展東南亞市場的數位金融服務體驗。 我們重視團隊合作文化，期待以多元團隊組成賦予金融服務更多前所未有的可能。 我們相信廣納多元背景人才是金融業在這波潮流邁向頂尖的關鍵，誠摯邀請優秀人才加入我們，一起跟上東南亞數位金融市場的快速成長！

【職務說明 What you will do】
1. 負責東南亞數位金融 Web／API／Mobile App的各項功能需求類別，進行業務上與技術面的軟體測試 Software Quality Assurance 工作。
2. 透過需求設計與系統規格書等資訊，設計、撰寫並執行測試計畫與各類型測試案例。
3. 針對各類金融交易 Web／API／Mobile App 執行測試工作、缺陷追蹤與提供測試報告等。
4. 維護 QA 相關系統或工具程式 ex. 測試案例管理、缺陷追蹤與自動化測試工具之類。

【值得你加入】 
1. 專屬新人指導員進行輔導，讓新人快速瞭解公司組織文化及各項業務運作。
2. 提供完善在職專業訓練，提升員工專業服務能力。
3. 提供工作輪調或專案參與之多元學習機會，開拓員工全方位發展潛質。
4. 活潑的工作氣氛，有沙發、看板、討論區、臥榻、咖啡吧台、部門活動，豐富的軟硬體設施，滿足你的喜好需求。,【職位要求 Qualifications】
1. 2年以上於資訊或軟體產業的軟體測試經驗（Web／API／Mobile App 皆可） 
2. 對於軟體測試與品質要求具有熱忱 
3. 了解基本軟體開發生命週期 SDLC 的工作流程 
4. 具有良好職場上的自我要求、團隊合作與問題排除能力

【加分條件】 
1. 熟悉敏捷式（Agile）軟體開發流程 
2. 曾經參與過相關金融產業商品的開發／測試 
3. 曾經使用或開發過測試自動化相關工具或系統 
4. 具有 API Testing 或 Load Testing 相關經驗 
5. 具備至少一項程式或腳本語言的開發經驗，如 Java, C#, Python 或 Shell Script,C#、Java、Python
提升專業能力
提升專業能力,問題追蹤處理(Bug tracking)、測試環境建置規劃、壓力測試(stress test)、測試計劃及測試報告書撰寫","軟韌體測試工程師
、其他資訊專業人員
、測試人員","月薪44,000元以上",無需出差外派
https://www.104.com.tw/job/86o1v?jobsource=joblist_search,QA測試工程師,"來！招募軟體測試小天使！
我們在找尋對科技充滿好奇心、熱愛挑戰的你！

工作內容：
-寫寫計畫，玩轉測試案例： 為產品做個驚險刺激的測試計畫，玩轉測試案例，每次都像再說一個精采的故事。
-測試iOS/Android/Web，與團隊密切互動： 在測試中發現問題，跟團隊即時討論，讓每次測試都充滿驚奇。
-數據分析報告，提出潮流建議： 透過數據分析，寫出酷炫的測試報告，成為團隊中的數據達人。
-現象推導，再現用戶問題： 推敲問題，重現事件，猶如用戶本身一般，是不是很像解謎遊戲？


你必須要有的：
-對科技充滿好奇心，樂於接受挑戰。
-有過功能測試、整合測試、使用者測試經驗，那就更棒了！
-擁有無限耐心，善於溝通，和團隊一起達成目標是你的己任。

我們提供給你：
-極具吸引力的薪資與福利。
-專業培訓，不怕你是新手。
-年輕活力的團隊，和你一起打怪升級。

快點投履歷來挑戰吧！ 等你的加入！,不拘,不拘,功能測試(function test)、測試計劃及測試報告書撰寫","測試人員
、軟韌體測試工程師","月薪32,000~50,000元",無需出差外派
https://www.104.com.tw/job/8mcaq?jobsource=joblist_search,QA測試實習生｜微程式資訊實習計畫(MP Internship Program，MPIP),"你對資通訊產品與技術充滿熱情嗎？希望深入了解系統整合與智慧化解決方案的開發與測試流程嗎？加入微程式資訊股份有限公司，我們正在尋找熱愛挑戰的QA實習生！

在這裡，你將有機會參與各類創新科技的測試工作。我們的產品涵蓋智慧支付系統、智慧單車解決方案、半導體感測器等尖端技術，讓你學習如何執行完整的測試計畫，並深入理解這些產品在各種應用場景中的優化過程。

▍實習期間

即日起至 2025/06/30 止，每週至少四天以上可進公司，上午九點至下午六點。

▍申請資格

1. 大學四年級以上(含碩士)在學學生。
2. 可配合為期半年以上的實習。
3. 實習後將可優先轉正。

▍實習內容

1. 協助執行資通訊相關產品的測試計劃，確保產品功能與效能達到需求。
2. 進行軟硬體整合測試，包括功能測試、回歸測試等，並詳述軟體Bug的描述與重現步驟。
3. 協助撰寫測試報告，參與跨部門溝通，討論與改進測試結果。
4. 支援產品上市、用戶體驗、問題排除、出貨測試及相關工作整理。

▍來這裡實習，你將會有

■ 1 on 1 Mentor：一位以上專屬導師帶領，給予及時的幫助與回饋。
■ Training Session：完整的新進、部門與專案教育訓練，並有機會與跨領域夥伴交流。
■ Monthly Workshop：實習生每月聚會，分享彼此實習所學的新知與技術。
■ Game Day：透過微程式各種體驗活動或競賽，更認識微程式文化與團隊夥伴。

▍我們希望你擁有的人格特質

1. 擁抱改變：對技術創新有敏銳洞察力、樂於學習，並具有推動變革與快速應用的熱情。
2. 擅於溝通：具備良好溝通能力與說服能力，擅長與跨團隊合作，打遍天下無敵手。
3. 主動積極：勇於接受挑戰，並能以正向積極的態度面對不同的商業模式與需求。

▍我們的優勢

微程式資訊創立於 1995 年，為台灣少數具有跨產業技術整合能力的資通訊設計服務提供商 (ICT Design House)。我們專注於電子支付、智慧單車與半導體感測監控三大領域，透過使用者研究、軟硬技術垂直整合、終端感應裝置、行動APP、雲端服務平台到大數據分析的核心技術，協助交通、金融、製造、半導體、自行車等產業進行創新升級。
同時，我們擁有：

■ 開放的企業文化：團隊年輕有活力，熱愛想法激盪、討論與付諸實現。
■ 開創性工作內容：創新、創意是我們的DNA，不斷追求產品更加卓越。
■ 夥伴的價值共創：我們深信 1+1>2，團隊夥伴並肩共創走的更快更遠。,不拘,不拘,不拘","測試人員
、軟韌體測試工程師
、硬體測試工程師","月薪30,000元以上",無需出差外派
https://www.104.com.tw/job/8hssb?jobsource=joblist_search,測試工程師 (QA Engineer),"微程式資訊 (Microprogram，股票代號7721)，為具備跨產業技術整合能力的資通訊設計服務提供商 (ICT Design House)，三大核心發展領域為電子支付、智慧單車及半導體感測控制。我們從產業需求評估、服務設計、解決方案規劃到軟硬體開發，提供垂直式整合服務，並持續推動產業的永續發展與科技創新。

▍團隊使命
　
作為微程式資訊的測試夥伴，你將成為我們團隊的「品質守護者」與「協作推動者」，將與開發、產品管理和維運團隊緊密合作，共同規劃並執行嚴謹的測試流程，確保產品功能的卓越與穩定品質，實現團隊與客戶的共同夢想！

▍工作內容

1. 規劃測試計畫(Test plan)、撰寫測試案例 (Test Case) 、維護測試腳本。
2. 執行 Web/App、API 測試，回歸測試、整合測試、壓力承載、軟韌體可靠度測試等。 
3. 協助研發人員複製、釐清問題、歸納問題發生步驟、撰寫測試報告並追蹤處理。

▍工作技能

1. 具兩年以上測試相關經驗( APP/ Web 測試經驗尤佳)。
2. 能獨立與開發團隊確認測試需求與了解產品功能規格，並設計/執行軟韌體測試。

▍具備特質

1. 具備良好溝通能力與說服能力，擅長與跨團隊合作，打遍天下無敵手。
2. 具備優秀的邏輯思維和分析能力，能在壓力下冷靜應對，找到最佳解決方案。
3. 對技術創新有敏銳的洞察力、樂於學習，並具有推動變革與快速應用的熱情。
4. 勇於接受挑戰，積極提出創新想法和解決方案。

▍你將會收穫
　
1. 參與智慧支付、智慧單車與半導體控制的多元化專案。
2. 與業界頂尖的開發團隊、設計團隊及經營團隊等合作，培養跨領域的溝通與協作能力。
3. 在動態的科技產業中，不斷學習與成長，成為 ICT Design 產品的領航者。
4. 體驗微程式創新創意的企業文化，成為創新科技發展的一員。
　
▍我們的文化
　
1. 開放的企業文化：團隊年輕有活力，熱愛想法激盪、討論與付諸實現。
2. 開創性工作內容：創新、創意是我們的DNA，不斷追求產品更加卓越。
3. 夥伴的價值共創：我們深信 1+1>2，團隊夥伴並肩共創走的更快更遠。,未填寫,不拘,問題追蹤處理(Bug tracking)、軟體整合測試、測試計劃及測試報告書撰寫","測試人員
、軟韌體測試工程師
、硬體測試工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8dfj2?jobsource=joblist_search,【台中西屯◆前端工程師/後端工程師/自動化測試工程師】知名國際遊戲產業/管理系統開發商/主營歐美、東南亞市場/保障年薪14個月、福利完善、週休二日彈性上下班/可遠距工作/高級商辦大樓_TCS_670,"資訊系統服務產業，主要針對資訊系統之研發，包含客戶管理系統，廣告演算法開發及數據分析系統，以協助客人針對網路上的廣告推廣至數據分析，經營理念秉持著『精益求精』的態度以研發出滿足目前及未來市場需要的產品。

【前端工程師】
主要職責
1.熟悉網站前端技術 HTML、Javascript、CSS，與視覺設計團隊配合開發網頁專案
2.善於溝通，將與平面設計團隊、企劃、互動工程跨部門合作
3.串接後端 API 給予的資料呈現網頁上
4.前端團隊目前主要使用 Vue + Pug + Sass 組合開發
職務要求
◆熟悉工具: HTML / CSS / Javascript / Git
◆加分條件: 1. API 串接經驗 2. Web Framework 使用經驗

【後端工程師】
主要職責
1.後端系統開發，包含 API 與後端各項服務，與外部系統介接
2.開發與維護資料庫資料
3.分析各項資料用來除錯，產生相關報表
4.參與部分管理系統的介面開發
5.即時處理線上問題
6.與各個團隊合作處理需求與問題，並主動回報進度與狀況
職務要求
◆1-2年 Node.js 開發經驗，或相關的後端服務開發與維護經驗
◆MySQL 或其他關聯式資料庫(RDBMS)使用經驗
◆第三方服務與模組使用與介接經驗
◆了解版本控制的概念並有 Git 使用經驗

【自動化測試工程師】
主要職責
1.與開發團隊確認測試需求與了解產品功能規格。
2.開發與維護Web及APP⾃動化測試、系統壓⼒測試與效能測試。
3.測試計劃(test plan)規劃、撰寫測試案例（E2E）、建置、維護測試環境
4.追蹤並記錄產品問題，且可透過工具分析，回饋相關人員進行修正
5.發現產品缺陷、產出測試報告以及問題修復後的驗證。
6.學習求知欲強，主動積極，擅⻑團隊合作
職務要求
1.熟悉程式語言：Java、JavaScript、Python..等
2.熟悉Appium、Selenium、Airtest、Cypress.io..等自動化工具
3.具有Git或相關版本控制工具使用經驗
4.具資料庫操作能力
*加分條件
◆具備系統壓⼒測試、效能與API測試相關經驗者
◆具備Web或⼿遊測試相關經驗，熟悉軟體測試流程者
◆具備CI/CD整合相關經驗者
◆具備網路基本知識


【福利制度】
◆薪資面議，保障年薪14個月
◆績效獎金(視個人績效+年度營運狀況)
(期中,期末.依據當年公司成長及考績,考績一年四次,有兩次訪談,決定績效獎金及調薪）
◆法定勞健保、員工團險
◆到職即享有預給特休(按比例)
 1月報到7天/ 2月報到6天
 3-4月報到5天/5-6月報到4天/7月以後報到3天
◆過試用期補助六千元健檢費用
◆結婚禮金一萬二/生日禮金一千/彌月禮金三千六/住院補助金
 /奠儀補助依照個親等/介紹獎金
◆三個月一次部門聚餐(一人一千五)
◆員工旅遊補助(年資滿一年員工補助三萬)
◆華得福學費補助,每學期實報實銷至多五萬(年資需滿一年)
◆每週五16點 運動日(工作進度ＯＫ羽球 桌球 游泳 健身可報公司帳),不拘,Git、HTML、JavaScript、CSS、AngularJS、VueJS、Outlook
提升專業能力
提升專業能力,不拘","前端工程師
、後端工程師
、軟韌體測試工程師",待遇面議,部分遠端，初期教育訓練需進辦公室
