網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/7xau3?jobsource=joblist_search,前端工程師(台中)-B856,前端工程師,"Angular,React.js,TypeScript,Vue.js"
https://www.104.com.tw/job/8js1o?jobsource=joblist_search,台中分公司-程控軟體工程師,軟體工程師,"Excel,SQL,Word"
https://www.104.com.tw/job/87w9i?jobsource=joblist_search,【TWJOIN．台中】Front-end Developer 前端工程師(React),前端工程師,"AI,API,Bootstrap,CSS,Git,HTML,Javascript,Node.js,React,RestFul,Sass,jQuery"
https://www.104.com.tw/job/8jajn?jobsource=joblist_search,東海大學人工智慧中心誠徵Python開發工程師,AI 工程師,"Git,LLM,Python"
https://www.104.com.tw/job/5ri5m?jobsource=joblist_search,D4000 Coupon Mongodb系統後端Java工程師【台中】,UX 設計師,"API,CSS,Docker,GCP,HTML,Java,JavaScript,Kubernetes,Linux,MongoDB,NoSQL,Oracle,RESTful,Redis,Spring,Vue.js"
https://www.104.com.tw/job/7x2qr?jobsource=joblist_search,10R0-大數據中心 程式設計師,UX 設計師,
https://www.104.com.tw/job/72se5?jobsource=joblist_search,Micron 2025 身心障礙人才招募專區 (台中),軟體工程師,
https://www.104.com.tw/job/3vcwv?jobsource=joblist_search,研發替代役--影像工程師,軟體工程師,"C#,C++,Python"
https://www.104.com.tw/job/6s44w?jobsource=joblist_search,視覺及人工智慧工程師,AI 工程師,"AI,C#,C++,Python"
https://www.104.com.tw/job/5km1l?jobsource=joblist_search,銑床控制器開發工程師,軟體工程師,
https://www.104.com.tw/job/8oafr?jobsource=joblist_search,資訊部-資深POS系統開發工程師,前端工程師,"API,ASP.NET,C#,Excel,Git,PowerPoint,Word"
https://www.104.com.tw/job/8ir4f?jobsource=joblist_search,Unity 遊戲工程師,後端工程師,"ASP.NET,C#,Scrum"
https://www.104.com.tw/job/8i4em?jobsource=joblist_search,系統工程師(台中),軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8l6no?jobsource=joblist_search,【海外數資】QA測試工程師 (數數發_台中CDC)_I00020030,軟韌體測試工程師,"API,Agile,C#,Python"
https://www.104.com.tw/job/89l3k?jobsource=joblist_search,【TWJOIN．台中】Sr. Front-end Developer 資深前端工程師,前端工程師,"AI,API,Bootstrap,CSS,Git,HTML,JavaScript,React,RestFul,Sass,Typescript,Vue,jQuery"
https://www.104.com.tw/job/858ww?jobsource=joblist_search,Back-End Developer 後端工程師【台中市西屯區】,前端工程師,"Git,HTTP,PostgreSQL,Spring"
https://www.104.com.tw/job/6p6tw?jobsource=joblist_search,【2025年度擴大徵才】台中_APP 開發工程師 【OS】,後端工程師,"CSS,Git,HTML,JavaScript,Jenkins,Swift,jQuery"
https://www.104.com.tw/job/6megu?jobsource=joblist_search,Laravel 後端工程師,前端工程師,"AWS,CI/CD,Docker,Git,Laravel,Linux,MongoDB,MySQL,NoSQL,PHP,PostgreSQL"
https://www.104.com.tw/job/8k1xx?jobsource=joblist_search,Unity(C#)工程師,Android 工程師,"API,C#,Git,JavaScript,RestFul,Websocket"
https://www.104.com.tw/job/8kipn?jobsource=joblist_search,IT資訊人員,軟體工程師,
https://www.104.com.tw/job/7e47t?jobsource=joblist_search,助理工程師,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/2ri8y?jobsource=joblist_search,資訊技術員,UX 設計師,
https://www.104.com.tw/job/7us1o?jobsource=joblist_search,資訊工程師,軟體工程師,"Excel,TCP/IP,Word"
