網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/899g4?jobsource=joblist_search,內勤技術系統工程師,iOS 工程師,"Excel,MySQL,PowerPoint,TCP/IP,Word"
https://www.104.com.tw/job/7iqjq?jobsource=joblist_search,資訊助理,軟體工程師,"Excel,PHP,PowerPoint,Word"
https://www.104.com.tw/job/2bs4y?jobsource=joblist_search,資訊網路工程人員,軟體工程師,
https://www.104.com.tw/job/4jywo?jobsource=joblist_search,PM助理,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/7m0tr?jobsource=joblist_search,系統櫃拆料人員(經驗不拘),軟體工程師,
https://www.104.com.tw/job/8n5q2?jobsource=joblist_search,資訊工讀生,軟體工程師,
https://www.104.com.tw/job/6yci1?jobsource=joblist_search,行政助理,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/7e47t?jobsource=joblist_search,助理工程師,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8bd6g?jobsource=joblist_search,專職客服專員,Android 工程師,
https://www.104.com.tw/job/84o62?jobsource=joblist_search,中班系統客服,Android 工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8a97j?jobsource=joblist_search,資訊專案助理,軟體工程師,"Excel,Word"
https://www.104.com.tw/job/8bcbq?jobsource=joblist_search,【空間資訊與環境規劃處】助理規劃師,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/600ye?jobsource=joblist_search,ERP系統服務專員（台中）,軟體工程師,"Excel,Word"
https://www.104.com.tw/job/7ebj6?jobsource=joblist_search,委任技術客服人員 (晚上長期兼職為主),Android 工程師,"Excel,PowerPoint"
https://www.104.com.tw/job/886sv?jobsource=joblist_search,短期約聘駐點人員,軟體工程師,"Excel,Word"
https://www.104.com.tw/job/81t8l?jobsource=joblist_search,10104_BI.EF開發工程師,後端工程師,"API,ASP.NET,Excel,MySQL,PowerPoint,Word"
https://www.104.com.tw/job/8ko2e?jobsource=joblist_search,資訊人員-Helpdesk人員,軟體工程師,
https://www.104.com.tw/job/8lqvy?jobsource=joblist_search,精品銷售門巿助理-台中店【有經驗者尤佳】,軟體工程師,"Excel,Word"
https://www.104.com.tw/job/8m3gj?jobsource=joblist_search,助理工程師,AI 工程師,http
https://www.104.com.tw/job/8je17?jobsource=joblist_search,資訊助理人員,軟體工程師,"CSS,Excel,HTML,JavaScript,MySQL,PHP,PowerPoint,Word"
https://www.104.com.tw/job/35k3d?jobsource=joblist_search,研發工讀生,軟體工程師,
https://www.104.com.tw/job/7hzhm?jobsource=joblist_search,AI影像資料處理人員(兼職),軟體工程師,
https://www.104.com.tw/job/8ishg?jobsource=joblist_search,【行政管理部】資訊人員,軟體工程師,
https://www.104.com.tw/job/8nhvo?jobsource=joblist_search,電腦人員,軟體工程師,
https://www.104.com.tw/job/7fosj?jobsource=joblist_search,(台中)資訊弱電工程管理師,UX 設計師,Linux
https://www.104.com.tw/job/8afqc?jobsource=joblist_search,夜班系統客服,Android 工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/7yab0?jobsource=joblist_search,【系統維運部】資訊行政助理-台中,軟體工程師,
https://www.104.com.tw/job/7udp4?jobsource=joblist_search,GIS分析師(台中)-TBU-2,前端工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/7jqwl?jobsource=joblist_search,台中_工程部門助理,軟體工程師,"Excel,Word"
https://www.104.com.tw/job/8d37v?jobsource=joblist_search,"資訊工程師, 資訊管理人員",軟體工程師,
https://www.104.com.tw/job/7z47k?jobsource=joblist_search,資訊工讀生(長期),軟體工程師,"ASP.NET,C#,MySQL"
https://www.104.com.tw/job/7z2n3?jobsource=joblist_search,駐點人員,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/84413?jobsource=joblist_search,資訊專案助理,軟韌體測試工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/7x7fx?jobsource=joblist_search,VVG 資訊專員/助理 (in 台中歌劇院),軟體工程師,
https://www.104.com.tw/job/8bcbx?jobsource=joblist_search,助理規劃師,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/87wwu?jobsource=joblist_search,【台中】ERP系統工程師,軟體工程師,
https://www.104.com.tw/job/7y6bi?jobsource=joblist_search,資訊助理工程師,軟體工程師,"Excel,Word"
https://www.104.com.tw/job/8irgm?jobsource=joblist_search,系統工程師,軟體工程師,"Oracle,PostgreSQL"
https://www.104.com.tw/job/7t3n1?jobsource=joblist_search,義力營造總公司-總務專員(兼司機),軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/7w7lc?jobsource=joblist_search,【統合決策處】規劃師(台中),軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/7066l?jobsource=joblist_search,QA助理★歡迎應屆畢業生、轉職新手加入★,軟韌體測試工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/7me6r?jobsource=joblist_search,人資系統客服專員(台中),軟體工程師,
https://www.104.com.tw/job/84phr?jobsource=joblist_search,CACO 資訊助理【台中_資訊組】,Android 工程師,"Excel,PowerPoint,TCP/IP,Word"
https://www.104.com.tw/job/750wm?jobsource=joblist_search,資訊行政管理人員（不需要會寫程式，只需熟悉運用線上會議軟體、錄影檔剪輯、多媒體運用。,軟體工程師,"Excel,Word"
https://www.104.com.tw/job/8klgh?jobsource=joblist_search,資訊維護外勤工程師(臺中）,軟體工程師,
https://www.104.com.tw/job/7ojlk?jobsource=joblist_search,開發助理,後端工程師,"Git,MySQL"
https://www.104.com.tw/job/823z3?jobsource=joblist_search,台積電-中科區-駐廠工程師(網路設備),軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/78mh9?jobsource=joblist_search,行政業務助理,軟體工程師,
https://www.104.com.tw/job/7g39t?jobsource=joblist_search,【總管理處】專管類-專案助理(實習),UI 設計師,
https://www.104.com.tw/job/7estk?jobsource=joblist_search,紙器業ERP軟體客服人員,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/79d7v?jobsource=joblist_search,資訊工程師,UI 設計師,Oracle
https://www.104.com.tw/job/w6wi?jobsource=joblist_search,研發助理,軟體工程師,
https://www.104.com.tw/job/8n2w7?jobsource=joblist_search,行政助理 (資深人員、需孰悉鼎新ERP),AI 工程師,"Excel,Flash,Illustrator,Photoshop,PowerPoint,Word"
