網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/8gbdd?jobsource=joblist_search,【企劃處】遊戲機制開發企劃,UI 設計師,"Excel,Photoshop,PowerPoint,Word"
https://www.104.com.tw/job/8mxwo?jobsource=joblist_search,遊戲企劃師,軟體工程師,"Excel,PowerPoint"
https://www.104.com.tw/job/87ikn?jobsource=joblist_search,【平台開發處】Web開發企劃(台中大里),Android 工程師,
https://www.104.com.tw/job/7ok7g?jobsource=joblist_search,遊戲企劃,軟體工程師,
https://www.104.com.tw/job/858qi?jobsource=joblist_search,遊戲推廣專員(4萬),AI 工程師,"Excel,Word"
https://www.104.com.tw/job/8jksa?jobsource=joblist_search,行銷專員,軟體工程師,
https://www.104.com.tw/job/8bd6y?jobsource=joblist_search,遊戲企劃(休閒棋牌類）,軟體工程師,
https://www.104.com.tw/job/6ji5k?jobsource=f_2025career,遊戲企劃師,UI 設計師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8izd7?jobsource=joblist_search,棋牌遊戲產品經理(Product Manager),軟體工程師,
https://www.104.com.tw/job/8jlj2?jobsource=joblist_search,遊戲企劃產品PM,軟體工程師,
https://www.104.com.tw/job/8n1pa?jobsource=joblist_search,遊戲測試專員,軟韌體測試工程師,
https://www.104.com.tw/job/7o21a?jobsource=joblist_search,遊戲企劃人員-視訊面試,軟韌體測試工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/7w12r?jobsource=joblist_search,【企劃處】英文遊戲開發企劃,UI 設計師,Photoshop
https://www.104.com.tw/job/8m3m2?jobsource=joblist_search,線上遊戲直播主,軟體工程師,
https://www.104.com.tw/job/8l70r?jobsource=joblist_search,智慧販賣機系統與遊戲開發全端工程師,全端工程師,"C++,HTML,HTTP,JavaScript,Node.js,Python,TCP/IP"
https://www.104.com.tw/job/7tsru?jobsource=joblist_search,【遊戲設計部】資深遊戲企劃,軟體工程師,
https://www.104.com.tw/job/8lrln?jobsource=joblist_search,遊戲活動行銷,軟體工程師,
https://www.104.com.tw/job/83f00?jobsource=joblist_search,遊戲企劃,軟韌體測試工程師,
https://www.104.com.tw/job/7n2w2?jobsource=joblist_search,【企劃處】遊戲開發企劃,UI 設計師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/872qo?jobsource=joblist_search,【營運一部】平台活動企劃專員,軟體工程師,
https://www.104.com.tw/job/7y0pb?jobsource=joblist_search,資深遊戲企劃,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8nbed?jobsource=joblist_search,機率工程師,軟體工程師,"Excel,Go,PowerPoint,Word"
https://www.104.com.tw/job/5hawq?jobsource=joblist_search,【永慶北平】不動產經紀人友善的環境,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8li8j?jobsource=joblist_search,AM專案經理,軟體工程師,"Illustrator,Photoshop"
https://www.104.com.tw/job/57kcm?jobsource=joblist_search,【營運部-手遊產品】遊戲營運企劃,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/706it?jobsource=joblist_search,【遊戲】企劃人員,軟韌體測試工程師,"Excel,Photoshop,PowerPoint,Word"
https://www.104.com.tw/job/6zvcp?jobsource=joblist_search,遊戲產品企劃(擴編),軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8jksp?jobsource=joblist_search,廣告投放專員,軟體工程師,
https://www.104.com.tw/job/8m1a9?jobsource=joblist_search,遊戲企劃,軟體工程師,
https://www.104.com.tw/job/7n2vp?jobsource=joblist_search,【企劃處】遊戲開發助理企劃(新鮮人可，經驗不拘),UI 設計師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/80oto?jobsource=joblist_search,遊戲企劃(擴編),軟韌體測試工程師,Photoshop
https://www.104.com.tw/job/8mkbq?jobsource=joblist_search,遊戲營運助理,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/2slai?jobsource=joblist_search,電腦遊戲企劃,軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8n7wf?jobsource=joblist_search,【營運一部】海外營運專員,軟體工程師,
https://www.104.com.tw/job/8nvqy?jobsource=joblist_search,遊戲實況直播主,軟體工程師,
https://www.104.com.tw/job/817d6?jobsource=joblist_search,品質管理師,後端工程師,"Excel,Word"
https://www.104.com.tw/job/8jwmc?jobsource=joblist_search,遊戲企劃專員(無經驗可),軟體工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8iry3?jobsource=joblist_search,廣告遊戲推廣人員,軟體工程師,
https://www.104.com.tw/job/7x71x?jobsource=joblist_search,遊戲企劃專員,軟韌體測試工程師,"Excel,Illustrator,Photoshop"
https://www.104.com.tw/job/7aekn?jobsource=joblist_search,【遊戲研發一部】遊戲數值企劃,軟體工程師,統計學
https://www.104.com.tw/job/8lf2e?jobsource=joblist_search,遊戲營運PM,軟體工程師,"Excel,PowerPoint"
https://www.104.com.tw/job/8djaj?jobsource=joblist_search,遊戲數值企劃,前端工程師,"Excel,Git,Word"
https://www.104.com.tw/job/8o5pr?jobsource=joblist_search,遊戲客服人員(4萬),軟體工程師,
https://www.104.com.tw/job/8mr7r?jobsource=joblist_search,資深遊戲企劃,軟體工程師,
https://www.104.com.tw/job/8k22n?jobsource=joblist_search,遊戲企劃人員,軟韌體測試工程師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8obfw?jobsource=joblist_search,遊戲數值企劃助理,前端工程師,"Excel,Git,Word"
https://www.104.com.tw/job/7zmxr?jobsource=joblist_search,資深遊戲企劃,Android 工程師,"Excel,PowerPoint"
https://www.104.com.tw/job/7v3ba?jobsource=joblist_search,【台中】APM遊戲營運助理 (約聘制1年期),軟體工程師,
https://www.104.com.tw/job/8kn27?jobsource=joblist_search,【中軟開發處】資深遊戲開發企劃(台中大里),UI 設計師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/86ls4?jobsource=joblist_search,【遊戲企劃】參數設計、遊戲關卡設計！加入台中矽谷,AI 工程師,"Illustrator,Photoshop"
https://www.104.com.tw/job/85nks?jobsource=joblist_search,【企劃處】資深遊戲開發企劃,UI 設計師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8la2h?jobsource=joblist_search,【營運一部】產品營運企劃,軟體工程師,
https://www.104.com.tw/job/84ta6?jobsource=joblist_search,遊戲推廣專員(3.5萬),軟體工程師,
https://www.104.com.tw/job/8izdt?jobsource=joblist_search,棋牌遊戲機率與數值企劃(Game Numerical Designer),軟體工程師,
https://www.104.com.tw/job/8jayr?jobsource=joblist_search,Cocos Creator開發工程師,前端工程師,
https://www.104.com.tw/job/82wh0?jobsource=joblist_search,【中軟開發處】遊戲開發企劃(台中大里),UI 設計師,"Excel,PowerPoint,Word"
https://www.104.com.tw/job/8lewv?jobsource=joblist_search,客服小編,軟體工程師,
