網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/7r1f2?jobsource=joblist_search,Unity 遊戲開發工程師,UI 設計師,"C#,CI/CD,Git,Jenkins"
https://www.104.com.tw/job/8mxwo?jobsource=joblist_search,遊戲企劃師,軟體工程師,"Excel,PowerPoint"
https://www.104.com.tw/job/6g2t9?jobsource=joblist_search,【軟體開發處】Unity遊戲開發工程師(新鮮人可，須附作品集),Android 工程師,C#
https://www.104.com.tw/job/7pd0z?jobsource=joblist_search,前端工程師,前端工程師,"CSS,HTML,JQuery,JavaScript"
https://www.104.com.tw/job/8j5kt?jobsource=joblist_search,遊戲機率工程師,軟體工程師,"C++,Excel,Python"
https://www.104.com.tw/job/7i5sg?jobsource=joblist_search,Cocos Creator 助理工程師(無經驗可),軟體工程師,
https://www.104.com.tw/job/8jpr9?jobsource=joblist_search,【系統研發部】技術指導,全端工程師,"C#,Docker,GCP,MySQL,Node.js,PostgreSQL,Redis"
https://www.104.com.tw/job/4nvhx?jobsource=joblist_search,【Android APP軟體工程師】加入台中矽谷、挑戰工程師巔峰,Android 工程師,
https://www.104.com.tw/job/7gavn?jobsource=joblist_search,前端工程師,前端工程師,"CSS,HTML,JavaScript"
https://www.104.com.tw/job/8izne?jobsource=joblist_search,Cocos Creator 開發工程師(Cocos Creator Developer),全端工程師,"C++,JavaScript"
https://www.104.com.tw/job/87ino?jobsource=joblist_search,Unreal Engine 【電玩遊戲程式設計師】工程師！加入台中矽谷,軟體工程師,"C#,C++,Git"
https://www.104.com.tw/job/8m8qn?jobsource=joblist_search,【軟體開發處】Unity技術研發工程師,Android 工程師,"C#,C++"
https://www.104.com.tw/job/76cz8?jobsource=joblist_search,前端工程師(台中總部),前端工程師,"AJAX,CSS,JQuery,JavaScript"
https://www.104.com.tw/job/865sz?jobsource=joblist_search,系統全端工程師,軟體工程師,"API,Angular,CI/CD,JavaScript,MySQL,Node.js,docker"
https://www.104.com.tw/job/3dd4c?jobsource=joblist_search,遊戲程式設計人員,軟體工程師,"ActionScript,C#,Flash,Illustrator,Photoshop"
https://www.104.com.tw/job/7il95?jobsource=joblist_search,遊戲前端工程師 - Cocos Creator,軟體工程師,"Node.js,git,javascript,typescript"
https://www.104.com.tw/job/8iry3?jobsource=joblist_search,廣告遊戲推廣人員,軟體工程師,
https://www.104.com.tw/job/8ml6j?jobsource=joblist_search,【系統研發部】資深主任後端工程師,全端工程師,"C#,GCP,Go,JavaScript,MongoDB,MySQL,PostgreSQL,Redis,TypeScript"
https://www.104.com.tw/job/8m220?jobsource=joblist_search,Unity(C#) 助理工程師,Android 工程師,"C#,Git"
https://www.104.com.tw/job/8l30w?jobsource=joblist_search,Golang後端工程師【全遠端工作】,後端工程師,"Linux,MySQL,PostgreSQL,Restful"
https://www.104.com.tw/job/6v4bo?jobsource=f_2025career,遊戲機率工程師(碩士),軟體工程師,"C++,Excel,PowerPoint,Python,Word"
https://www.104.com.tw/job/7c0bx?jobsource=joblist_search,遊戲開發工程師,AI 工程師,"C#,C++"
https://www.104.com.tw/job/8m214?jobsource=joblist_search,資深Unity(C#) 工程師,Android 工程師,"AI,API,C#,Git,JavaScript,RestFul,Websocket"
https://www.104.com.tw/job/8ir4f?jobsource=joblist_search,Unity 遊戲工程師,後端工程師,"ASP.NET,C#,Scrum"
https://www.104.com.tw/job/76171?jobsource=joblist_search,資深前端開發工程師,前端工程師,"API,Bootstrap,ES6,JavaScript,Vue.js,jQuery"
https://www.104.com.tw/job/8ksh3?jobsource=joblist_search,【軟體開發處】遊戲技術美術(TA),前端工程師,"C#,C++,JavaScript,Photoshop,Python,api"
https://www.104.com.tw/job/7rfu6?jobsource=joblist_search,Vue.js 資深前端工程師,前端工程師,"API,CI/CD,CSS,Git,JavaScript,SASS,docker"
https://www.104.com.tw/job/8k1xx?jobsource=joblist_search,Unity(C#)工程師,Android 工程師,"API,C#,Git,JavaScript,RestFul,Websocket"
https://www.104.com.tw/job/8n1pa?jobsource=joblist_search,遊戲測試專員,軟韌體測試工程師,
https://www.104.com.tw/job/7uzv8?jobsource=joblist_search,Unity 遊戲開發工程師,軟體工程師,
https://www.104.com.tw/job/8e94e?jobsource=joblist_search,遊戲開發工程師(遠端工作),網頁設計師,"Git,JavaScript"
https://www.104.com.tw/job/7o26c?jobsource=joblist_search,Cocos遊戲前端開發工程師,網頁設計師,"Git,HTTP,WebSocket,html,javascript"
