job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/8mjh1?jobsource=joblist_search,外商跨國製造業 ERP Engineer / BI Engineer (遠距工作),"ERP Engineer
●負責跨國製造業集團的IT相關製造與配銷專案導入與支援，需具備 Oracle ERP 製造模組經驗，若有 ASCP 或 WMS 經驗尤佳。
●具備系統開發與整合經驗，熟悉系統開發流程，能夠查詢並分析異常問題，並能從跨系統與跨模組的角度考量整合與解決方案。
BI Analyst
●透過 BI 工具（如 Power BI、Tableau、Oracle BI 等）設計並開發儀表板與報表。
●針對業務需求提取、整理、分析數據，提供決策支援。
●優化現有報表，確保數據準確性與即時性。

須具備中等以上英文溝通能力,未填寫,Oracle ERP、Oracle、Power BI、MES
提升專業能力
提升專業能力,不拘","數據分析師
、AI工程師
、系統分析師",待遇面議,完全遠端
https://www.104.com.tw/job/8e85h?jobsource=joblist_search,AI工程師(AI Engineer),"※ 工作環境：
1. 提供雙螢幕提昇開發體驗
2. 自由、開放的工作風氣
3. 新技術學習及研究

※ 工作基本需求：
1. 良好的邏輯以及溝通能力 (必備)
2. 具有獨立作業能力及團隊合作精神 (必備)
3. 良好的學習能力 (加分)
4. 熟悉開發流程，懂得做程式檢查，並習慣將程式精簡化以及模組化 (加分)
5. 理解編寫清晰易懂且容易維護之程式碼的重要性 (加分)
6. 具英文讀寫能力 (加分)

※ 工作專業需求：
1. 熟悉C#(或任何一種程式語言，如Java, Go, Rust...) (必備)
2. 了解SVN(或任何一種版本管理工具) (必備)
3. 熟悉MS SQL Server(或任何一種DBMS)安裝、設定及使用 (必備)
4. 熟悉TensorFlow(或任何一種深度學習Framework，如PyTorch 等）(必備)
5. Machine Learning 與 Deep Learning基礎相關知識  (必備)
6. 熟悉T-SQL語法 (加分)
7. 熟悉MS SQL Server(或任何一種DBMS)安裝、設定及使用 (加分)
8. 中文輸入每分鐘30字以上 (加分)

※ 工作內容說明：
1. 設計、開發並部署利用大型語言模型（LLM）解決實際商業問題
2. 協助評估專案可行性以及討論相關需求規格，並與其他團隊合作完成模型部署
3. 維護深度學習和機器學習模型的訓練程式、數據清理、模型訓練
4. 確保訓練管道的可維護性和可擴展性
5. 整理開發過程之文檔，包括設計規格、測試計劃和性能指標
6. 與後端和前端工程師合作，將AI解決方案整合至公司系統中

公司預計開始導入AI於自有系統中來提升各部門業務之效率，歡迎對於將AI有熱情並且將AI應用到產業實際環境中有熱誠的你/妳的加入

※ 其他：
1. 年薪保證十三個月
2. 績效獎金另計,1. 請參照職務說明
2. 或有可能因工作需求需至美國總公司或中國分公司出差,不拘,不拘","軟體工程師
、其他資訊專業人員
、AI工程師",待遇面議,需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/890yb?jobsource=joblist_search,【軟體開發處】AI工程師,"應徵時請檢附相關作品

【工作內容】  
● AI相關工具應用，透過AI技術和工具協助優化開發流程。
● 運用AI專業做資源整合，並且負責專案項目，進行跨部門溝通協調
● 熟悉Python 為基礎，能夠開發AI系統和模型。 
● 隨時追蹤和提供最新AI技術和資訊，並提供評估和佈局AI之應用策略。
 
【職務條件】
● 具AI相關知識。
● 熟悉AI相關工具使用。
● 具程式開發能力。
 
【加分項目】
● AI本科系尤佳。
● 有遊戲開發經驗尤佳。
● 有遊戲美術經驗尤佳。

☆欲應徵者請投遞履歷後等待書面初審合格後之面試通知。  
初審未通過者，恕不另行通知。,不拘,不拘","AI工程師
、軟體工程師","月薪50,000~80,000元",無需出差外派
https://www.104.com.tw/job/8a0qa?jobsource=joblist_search,資訊部 |AI工程師,"1.相關工作項目
(1) 深入了解機器學習和神經網絡
(2) 熟悉常見的 AI 框架（如 TensorFlow、PyTorch 等）
(3) Python 編程能力
(4) 數據分析和數據處理技能
(5)熟悉相關的數學知識，如線性代數、概率統計等
(6) 內部行政事務辦理。
(7) 其他主管交辦事項

2.人格特質需求
(1)工作態度積極
(2)良好的溝通能力及理解能力
(3)具同理心與樂觀態度。


如有需要安排面試將會主動聯繫，未聯繫者之履歷將轉入人才庫中。,1. 具AI應用服務開發及上線營運經驗者佳。
2. 具數據分析相關經驗者佳。
2024career,C#、Python
提升專業能力
提升專業能力,系統架構規劃、系統整合分析、軟體程式設計、資料庫程式設計","AI工程師
、演算法工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8afql?jobsource=joblist_search,學習型的實習生（資訊軟體系統類）,"★非在學學生請勿投遞，此實習機會僅提供實習時數。

★可配合學校實習生計畫，請於自傳最後說明實習時數及期程。 

【實習內容】：
★藉由參與實務工作，學習相關產業領域專業技能，未來就業可順利接軌，充實就業即戰力。
★在職期間將規劃各類專業課程，同步提升職場軟實力。 


1. 確保公司的資訊設備運作正常
2. 管理與維護公司的網路基礎架構和系統
3. 監控事件和事故以確保安全和性能
4. 提供技術支援和培訓給其他部門的員工
5. 處理和解決資訊設備相關的問題

資訊設備管制人員在公司中扮演著重要的角色，負責確保資訊設備的適當運作和安全性。這個職位具有良好的發展前景，因為隨著公司業務擴張，資訊設備管制人員的需求也越來越大。
歡迎符合上述條件的人才加入我們的團隊，請將您的履歷發送至指定電子郵箱。,不拘,不拘,不拘","AI工程師
、資訊設備管制人員
、軟體工程師",部分工時(月薪)0元,無需出差外派
https://www.104.com.tw/job/8mtdk?jobsource=joblist_search,研發高級工程師/工程師 (AI-AOI機器視覺),"1、歡迎無經驗畢業生應徵
2、將機器學習應用于計算機視覺及AOI領域。
3、具備影像處理、Edge AI應用、深度學習分析能力為佳。
4、具備 C# / QT 軟體介面的跨平台開發經驗( Window / Linux )。
5、加分項1：熟Halcon或OpenCV等應用套件，有底層開發、修改演算法的能力。
6、加分項2：能閱論文並實現演算法者
7、加分項3：具備深度學習模型應用與AI硬體整合經驗,不拘,不拘,不拘","AI工程師
、演算法工程師
、軟體工程師",待遇面議,需出差，一年累積時間未定
https://www.104.com.tw/job/718r0?jobsource=joblist_search,資深影像主管,"1. 機器視覺辨識 軟體 開發
2. 3D檢測量測系統開發與設計
3. 將機器學習應用於電腦視覺及 AOI領域 .
4. 視覺運算法、程式撰寫及試機能力
5. 光學調整能力。
6. CCD及鏡頭元件選用能力。
7. 硬體故障維修判斷能力。,1.具備良好的溝通能力及獨立作業能力。
2.配合無塵室機台調整作業、可配合短期出差 。
3.出差:須配合出差(一年出差累計時間約1個月)。
4.工作經歷：具3年以上AOI影像辨識軟體經驗者尤佳。
5.擅長工具：C# 、 Python、 VB.net 软件技能。,C#、Python、Visual Basic .net
提升專業能力
提升專業能力,不拘","軟體工程師
、AI工程師
、演算法工程師",待遇面議,需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/8lrai?jobsource=joblist_search,AI工程師（台中）,"工作內容

1. 負責公司內部業務場景的 AI 解決方案落地，包括需求分析、技術實現與測試部署。
2. 參與第三方 AI 平台（如 API 或 SaaS 服務）的集成工作
3. 參與基於大型語言模型或圖像識別技術的應用開發與優化

必要條件

1. 熟悉 Python 程式開發，能運用基礎數據處理工具（如 Pandas、NumPy）
2. 具備基礎 RESTful API 對接經驗
3. 具備良好的學習能力與邏輯思維,加分條件

1. 了解AI 最前沿技術，如 AI Agent等
2. 了解於雲端運算應用AI技術
3. 有2D影像前處理或OCR等相關技術經驗,Python
提升專業能力
提升專業能力,軟體程式設計、AI",AI工程師,待遇面議,需出差，一年累積時間約六個月以下
https://www.104.com.tw/job/8nha5?jobsource=f_2025career,【2025校徵專區】CH-B03AIoT SI專案工程師,"一、【學歷科系要求】
國內外大學、研究所畢業(資訊、資工、電子等相關系所；若非理工相關科系，需具備IT或網路專業領域證照)。

二、【工作內容】
1.AIoT專案整合，客戶訪談、需求分析、系統規劃及專案執行。
2.解決方案規劃，協助業務經理前往客戶端進行方案說明。
3.專案評估、規劃、分工、介面管理，詢商及成本估價。

三、【所需條件與專長】(需附佐證資料)
1.具有AIoT專案整合，具備需求分析、系統規劃及專案執行能力。
2.具備物聯網設備、網路系統、行動網路與資訊系統等整合能力，有實務工作經驗尤佳。

四、【工作地點】
台中市/高雄市

五、【應徵方式】請至本公司人才招募網進行報名應徵
研究所
https://rmis.cht.com.tw/portal/jobs/jobdetail.jsp?verno=11402D&idno=CH-B03A

大學
https://rmis.cht.com.tw/portal/jobs/jobdetail.jsp?verno=11402D&idno=CH-B03B

六、【應徵所需資料】
1.履歷表、自傳。
2.所需專長及經驗相關佐證資料。
3.相關學歷之畢業證書(應屆畢業生請檢附學生證)。
4.歷年學業成績單(應屆畢業生可無最後一學期成績)。
4.論文、著作或研究計畫等。
5.技能檢定、證照。
6.如具原住民身分或身心障礙者，需檢附證明文件。,不拘,不拘,不拘","AI工程師
、其他資訊專業人員",待遇面議,無需出差外派
https://www.104.com.tw/job/6g3da?jobsource=joblist_search,資深Python程式課程講師-台中站前認證中心,"【業界經驗】業界五年以上相關經驗﹅能夠獨立開發專案﹅專案經驗分享。
【授課經驗】具備一年以上教學經驗尤佳，若無則需準備教材試教以確認教學能力。
【作品需求】備作品。,不拘,Python
提升專業能力
提升專業能力,不拘","電腦補習班老師
、全端工程師
、AI工程師","時薪400~1,200元",依公司規定
