job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/7ay2f?jobsource=joblist_search,Product Designer 產品設計師-台中,"【職務說明】

一‧產品方向研究（20%）：
     1. 研究環安衛領域、永續等相關趨勢。
     2. 研究市場趨勢、競品比較。
     3. 理解使用者需求與痛點，進一步優化產品。
     4. 需跟 客服、業務、顧問 密切合作。

二‧產品規劃與UI/UX設計（40%）：
     1. 運用Figma設計並優化產品功能、用戶介面和體驗。
     2. 能夠將需求轉換為用戶流程、線框稿、設計稿、規格等相關文件 。
     3. 持續對產品規劃、迭代方向、驗證測試等相關流程提出建議，優化產品設計。
     4. 需跟 主管、前後端工程師、客服 密切合作。

三‧產品與功能（30%）：
     1. 專案進度管理與相關文件撰寫
     2. 產品上線前測試。
     3. 協助系統測試和驗收，確保系統功能符合需求。
     4. 需跟 主管、前後端工程師、客服 密切合作。

四‧文件維護（10%）：
     1. 產品介紹文件。
     2. 規格文件。
     3. 其他相關文件。

【我們希望你/妳擁有的特質】
 
 一‧硬實力
      1. 2年以上產品設計經驗。
      2. 曾有與產品團隊共同規劃。
      3. 熟悉使用產品設計工具和軟體，例如Adobe XD、Figma等。
      4. 具有撰寫完整且邏輯清晰的產品需求與規格文件的能力。
 
 二‧軟實力
     1. 具備獨立作業和邏輯思考的能力
     2. 溝通、協調與組織能力，能夠和企劃討論出符合雙方需求的最佳設計方案。
     3. 具有敏銳度，能針對專案主動提出優化方案
     4. 具有耐心和樂於學習的態度。（因為環安衛領域需要了解相關法規知識）
     5. 善於從市場趨勢、公司策略、用戶需求中探索掌握需求 。
     6. 在快速變動的環境和隨時變化的客戶需求下，具有敏捷思維，能夠靈活應對變化。

【加分條件】
    1. 有環安衛、化學品管理、永續等知識。
    2. 有軟體開發專案管理、B2B 軟體產品的優化與迭代的經驗。
    3. 熟悉開發流程、具備RD背景。
    4. 規劃系統功能與資料流程，撰寫分析與程式設計文件。

【應徵前準備】
   若您對本職務內容感興趣，歡迎先到官網了解我們：https://www.wishingsoft.com/
    1. 自我介紹。
    2. 產品設計規劃作品集。
    3. 對於我們公司及產品的了解。
    4. 備註：我們會印出104履歷，如有其他履歷格式或資料可自行準備。,不拘,Adobe XD、Figma
提升專業能力
提升專業能力,使用者介面設計","產品設計師
、UI設計師
、軟體專案管理師","月薪40,000元以上",無需出差外派
https://www.104.com.tw/job/8o3p4?jobsource=joblist_search,UI/UX 設計師,"【工作內容】
1. 一年以上UI 設計工作經驗。
2. 具備基礎 RWD, HTML, CSS 概念。
3. 熟悉 Figma 、Photoshop、Illustrator 等設計軟體。
4. 優化產品介面設計，提升使用者體驗。
5. 依企業形象和風格設計網站UI、Banner與logo。
6. 注重設計細節，並維持產品的視覺一致性。
7. 主動搜集設計新知與關注設計趨勢。
8. 主管交辦事項。,不拘,CSS、Figma、Illustrator、HTML、JavaScript
提升專業能力
提升專業能力,視覺設計相關知識、廣告設計概念、多媒體影像處理、設計表現能力、電腦繪圖軟體操作、繪圖工具與軟體操作","UI設計師
、美術設計
、平面設計／美編","月薪38,000~52,000元",無需出差外派
https://www.104.com.tw/job/84z3h?jobsource=joblist_search,系統分析師 (UIUX設計師),"1.資訊系統分析設計工作。
2.熟悉使用UI/UX設計工具，如Adobe XD、Figma等，會基礎資料庫使用尤佳。
3.熟悉使用設計軟體，如Adobe Photoshop和Illustrator，用於圖像處理、向量圖形設計和視覺設計。
4.瞭解UI/UX設計原則和實踐，包括佈局設計、色彩搭配、字體選擇、前端切版等，以提供一致性和易用性的用戶界面。
5.具備良好的溝通和團隊合作能力，能夠與資訊人員、專案經理和其他相關角色密切合作。,不拘,Adobe Photoshop、Illustrator、Zeplin、Adobe XD、Figma
提升專業能力
提升專業能力,不拘","UX設計師
、UI設計師
、系統分析師","月薪48,000元以上",無需出差外派
https://www.104.com.tw/job/8az3m?jobsource=joblist_search,WordPress網站設計師(台中),"*任職言瑞關係企業（超網智慧有限公司）主營業項目為幫客戶架設網站*

1. Wordpress建站，網站設計、維護網站、提升網站性能、Seo優化 (靈活運用外掛) 
2. 競爭對手調查、關鍵字部署規劃、內部連結調整、頁面結構、外部連結建設，並提升google關鍵字排名 
3.熟悉 GA、GSC、Ahrefs、MOZ等相關工具，定期追蹤、分析，找出能優化、改善的地方。 
4.對 HTML / CSS / Wordpress 有修改能力 

【加分項目】
◆能獨立作業(環境與網站) 
◆了解灰/黑帽方式
◆與不同部門溝通合作佳 
◆耐心、細心、責任心,不拘,不拘,不拘","網頁設計師
、UI設計師
、UX設計師","月薪35,000~45,000元",無需出差外派
https://www.104.com.tw/job/6i07v?jobsource=joblist_search,Web/App UI/UX 設計師 (台中),"【工作內容】
1. 規劃網頁及APP設計規格與user flow
2. 完成可實際交付的Hi-Fi Mockup, Prototype
3. 掌握市場與設計趨勢，確立公司產品市場定位
4. 與產品經理、工程團隊等跨部門協作，分享設計與研究成果
5. 使用者體驗優化

【必備技能】
1. 具備三年以上軟體相關設計經驗 (包含Website/ iOS/Android App的設計經驗)
2. 對軟體產品(Website, App) UI/UX 設計有深入認識，理解 iOS 及 Android UI 設計發展方向，熟悉不同平台的設計方法與限制
3. 具備Hi-Fi Mockup設計，注重細節與美感
4. 擁有能產出wireframe頁面流程與獨立完成prototype的經驗
5. 擅長設計工具 Figma、Photoshop、illustrator，製作與維護Design System的經驗
6. 熟悉軟體產品開發及專案時程
7. 具備與產品經理、工程團隊協作的經驗
【此項職務非單純平面設計、工業設計或網頁設計，無軟體UI/UX相關經驗者請勿投遞】

【加分技能】
1. 了解軟體程式設計開發流程及基本系統架構
2. 了解網頁技能 HTML、CSS 
3. 熟悉 Apple Human Interface Guidelines、Android Design Guidelines
4. 曾參與過餐飲產業產品規劃、設計、開發的經驗

【申請準備資料】
    個人作品集：請將具備職缺所期待的作品呈現出來，可幫助團隊更了解你的設計喔,不拘,Adobe Photoshop、Illustrator、Sketch、Zeplin、Adobe XD
提升專業能力
提升專業能力,色彩調配設計、視覺設計相關知識、電腦繪圖軟體操作、繪圖工具與軟體操作、使用者介面設計、設計表現能力","網頁設計師
、UI設計師
、UX設計師","月薪45,000~50,000元",無需出差外派
https://www.104.com.tw/job/8kqgh?jobsource=joblist_search,2D美術設計師,"▍創造視覺震撼，定義遊戲魅力！
如果你對遊戲視覺設計充滿熱情，並渴望在遊戲領域中施展創意，這是為你量身打造的機會！在這個角色中，你將負責設計娛樂性遊戲的整體視覺，專注於遊戲中的各種畫面與介面元素，確保每一個細節都能吸引玩家的眼球，帶來引人入勝的遊戲體驗。

▍你的挑戰與機會
 ◆ 美術風格與主題設計：根據遊戲機制，設計美術主題，並將遊戲畫面與視覺風格無縫結合，提升整體遊戲體驗。
 ◆ 視覺元素製作：設計並製作遊戲的原畫、UI元素、介面設計等視覺資源，為遊戲增添豐富的美術層次。
 ◆ 視覺設計與編排：負責遊戲內各項內容的設計，包括切圖、活動網頁、橫幅等，確保遊戲畫面具有強烈的視覺吸引力。
 ◆ 跨部門協作：與美術、策劃、程式工程師及音效師密切合作，確保設計方案的完美實現。

▍你需要具備的技能
◆ 原畫設計能力：具備原畫設計能力，能根據遊戲需求進行高質量的角色與場景創作。
 ◆ 遊戲開發經驗：至少具備2年的遊戲開發背景，了解視覺設計的完整流程，具備遊戲UI或介面設計經驗者尤佳。
 ◆ 設計能力：熟練使用Photoshop、Illustrator等設計軟體，能創作高品質的遊戲視覺元素。
 ◆ 多元視覺設計風格：具有多樣化的設計風格，能根據遊戲需求進行風格切換。

▍加分條件
 ◆ UI/UX設計能力：擁有出色的UI/UX設計能力，能為遊戲創造吸引人的介面並提升用戶體驗。

※作品集展示：請附上包含原畫作品、遊戲UI及介面設計的作品集或鏈接，展示你的設計實力與創意，請確保「作品連結網址」可正常開啟。

加入我們，讓你的設計作品成為遊戲的核心視覺亮點，與我們一起創造令人難忘的遊戲體驗！,不拘,Adobe Photoshop、Illustrator、Figma、Wireframe
提升專業能力
提升專業能力,色彩調配設計、色彩應用繪製、素材辨識與處理、視覺設計相關知識、設計表現能力","美術設計
、視覺設計師
、UI設計師",待遇面議,無需出差外派
https://www.104.com.tw/job/8npvc?jobsource=joblist_search,網頁設計師(wordpress),"1.負責使用 WordPress 平台製作並維護網站，包含版面設計、外觀調整及內容編輯。
2.具備網頁美感與使用者體驗概念，能獨立完成響應式 (RWD) 網頁製作與優化。
3.熟悉 WordPress 外掛 (Plugin) 及主題 (Theme) 安裝、設定與客製化調整。
4.熟悉 HTML、CSS、JavaScript 等前端語言，能進行必要的程式碼修改與調校。
5.具備基礎的SEO知識，能協助網站進行SEO架構優化與設定。
6.定期檢測網站效能，提升網站載入速度及安全性。,不拘,HTML、CSS、Adobe Photoshop、Illustrator、PHP
提升專業能力
提升專業能力,設計表現能力、網頁軟體操作","網頁設計師
、前端工程師
、UI設計師","月薪36,000~52,000元",無需出差外派
https://www.104.com.tw/job/897ni?jobsource=joblist_search,動畫製作人員,"1. UI/UX 設計與製作。
2. 3D/2D/FX 製作/剪輯/音效設計與製作。
3. 須有VR相關經驗。
4. 請提供作品集。
5. 臨時交辦事項。
6. 須有相關工作經歷。,不拘,C、C#、C++、Unity3D、Unreal Engine
提升專業能力
提升專業能力,不拘","多媒體動畫設計師
、UI設計師
、UX設計師","月薪34,800~70,000元",無需出差外派
https://www.104.com.tw/job/82kgh?jobsource=joblist_search,UI/UX設計師,"1. 製作RWD響應式網站和公司自有服務平臺網站
2. 與業務、企劃、前後端工程師等相關人員配合，協同設計功能畫面
3. 製作操作介面和物件，確實處理細節並提出完成度
4. 偶有廣宣品、活動美術製作需求
5. 處理主管交辦任務

UI/UX設計師是公司業務發展不可或缺的一環，隨著科技日新月異的發展，UI設計師的職務也越來越重要。本職位提供各種挑戰性的網頁視覺設計專案和機會，歡迎有網頁設計經驗和對設計有熱情的您加入我們的團隊。

＊＊應徵前煩請深入瞭解 Trainge，若您認可 Trainge 的理念與模式，歡迎加入我們！
➤ 官方網站 https://trainge.info/web/104/


【產品介紹】

Trainge - 全台最大運動平台

找課程、找教練、找場地
在Trainge彈指間找到想要的一切

各類運動場館、教練都通用的好工具
讓消費者用LINE就能預約你的課程


免費使用所有功能
* 免系統建置費
* 免上架費
* 免月租費

➤ Trainge詳情 https://trainge.info/web/104/,不拘,不拘,視覺設計相關知識、電腦排版設計、使用者介面設計、設計表現能力","UX設計師
、UI設計師
、視覺設計師","月薪40,000元以上",無需出差外派
https://www.104.com.tw/job/8ltsl?jobsource=joblist_search,UI/UX設計師,"【工作內容】
1. 製作wireframe，UI flow 與 Prototype。
2. 使用者界面規格制定與相關文件產出。
3. 跨部門溝通協作：與PM/工程師等相關人員溝通配合協作，進行產品/專案設計。
4. 協助進行產品設計，創造並提升產品交互能力，優化用戶體驗。
5. 協助建立和維護產品的UI Style Guide，整合產品UI的一致性與易用性。
6. 其他主管交辦事項。

【職務要求】
1. 具備2年以上相關 UI/UX 設計經驗，有成功案例可展示，履歷請附帶作品集。
2. 熟悉Figma設計軟體。
3. 具備協作精神，能夠與多個團隊合作，共同推動產品發展。
4. 充滿好奇心、勇於接受挑戰、有責任感、以解決問題為導向。
5. 有企劃相關經驗。,不拘,Figma
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計","UX設計師
、UI設計師
、前端工程師",待遇面議,無需出差外派
