job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/8b4pt?jobsource=joblist_search,網站設計師,"沃德設計事業群提供客戶品牌形象塑造、網站設計、影像製作，及廣告行銷等整合服務，幫助企業創造更大價值。
邀請您觀看下方影片介紹，快速了解我們
△ 品牌顧問全新形象影片：https://vimeo.com/966450153/ 
△ 沃德事業群影片介紹：https://vimeo.com/664626629/

我們認為：
做出能為客戶創造效益的網站，才是設計的目的;
建立能引導設計師主動進步的體系，才是對人才培育有幫助的環境。

沃德設計的網站設計師兼具視覺與技術概念，同時具備數位銷售的思維。擅長視覺設計、多方溝通、以邏輯思考解決問題的你/妳，將非常適合這個團隊。

網站設計是與時俱進的職業，發現突破點力求進步是網站設計部的價值觀。如果你/妳對自己的專業面有期許，喜歡團隊合作並樂於接受挑戰、展現實力，誠摯邀請你/妳加入成為我們的夥伴。期待多元整合的人才加入團隊，創造更多可能！



●網站設計師●

【職務內容】
1. 主要為RWD網站視覺設計與語法編寫
2. 跨部門任務協作(例如：開發層面的視覺需求、銷售文宣設計)

【基本條件】
1. 具有視覺構成與版面編排美感設計能力
2. 熟悉HTML、CSS，有手刻RWD切版實務經驗
3. 擅於多方溝通合作
4. 兩年以上設計實務經驗，能獨立作業

【加分條件】
1. 具前端動態技術實務經驗
2. 具品牌平面設計實務經驗
3. 具企業社群行銷素材製作經驗
4.具AI導入專案執行之實務經驗(請展示過程與成果)

※ 請於面試前提供相關作品集
※ 履歷介紹有自學語法者，請提供實際學習歷程或作業,不拘,HTML、JavaScript、jQuery、CSS、Adobe Photoshop、Illustrator
提升專業能力
提升專業能力,視覺設計相關知識、多媒體影像處理、使用者介面設計、設計表現能力、網頁軟體操作、網頁語法撰寫","網頁設計師
、平面設計／美編
、商業設計","月薪35,000~42,000元",無需出差外派
https://www.104.com.tw/job/5jat4?jobsource=joblist_search,Laravel PHP工程師 (網頁後端工程師),"我們正在尋找具有網頁技術熱情的後端工程師來加入我們的團隊。

作為愛貝斯的網頁後端工程師，你將負責使用PHP + Mysql語法建置各類型的網站。
從專案維護到獨立系統開發，過程中與企劃、前端工程師緊密合作，確保我們的網站具有優秀的使用體驗和功能。

我們的團隊注重創新和技術的發展，鼓勵每個人參與技術研討和知識分享，不斷學習和探索最新的後端技術和工具。你將有機會運用你的創意和技能，實現你的專業成長和個人發展。

我們提供完整的培訓和發展機會，讓你不斷成長和進步。

如果你想加入一個充滿挑戰和機會的團隊，將你的技能發揮到極致，請盡快提交你的簡歷和作品集，加入愛貝斯！

【工作內容】
1. 與PM、企劃、網頁設計等相關人員配合，協同執行專案
2. 針對PHP+Mysql使用開發的網站進行程式開發與維護
3. 優化程式模組

【基本技能】
1. 熟悉PHP與Mysql語法
2. 熟悉Ajax、Json使用
3. 具備Javascript、JQuery撰寫經驗
4. 具社群網站、金流API串接開發經驗
5. 具備Laravel開發經驗

【加分條件】
1. 具PHP其他MVC框架開發經驗者加分
2. 會使用CSS修改樣式者加分
3. 願意學習前端切版技術，或有前端相關經驗者

【其他條件】
1.能主動積極學習，習慣團隊合作，抗壓性高。
2.有資料庫網頁的相關作品
3.個性積極進取，會主動學習新知。
4.愛好學習網路新技術，樂於分享，關心網路發展
5.個性開朗與同事互動,不拘,PHP、MySQL、HTML、JavaScript
提升專業能力
提升專業能力,網路程式設計、資料庫程式設計","Internet程式設計師
、軟體工程師
、網頁設計師","月薪36,000~50,000元",無需出差外派
https://www.104.com.tw/job/7vmu5?jobsource=joblist_search,【擴編】UI Designer,"【工作內容】 
1.網站維護(新增、修改、刪除，需懂html／css)  
2.網頁 RWD UI／改版／優化／流程規劃、後台系統 UI 規劃、平面設計 、行銷活動
3.跨部門溝通-與業務、PM、IT溝通系統流程與需求
43可獨立完成作業、並配合團隊合作/溝通完成專案  
5.其他主管交辦事項  

【必備條件】  
- 請檢附個人作品集  
- 熟悉 Figma、Photoshop、Illustrator...設計軟體操作  

【加分條件】  
- RWD網頁切版html／css、Bootstrap  
- 獨立完成專案的經驗  
- 對線上預約／兌換／購物系統與流程有經驗者
- 有手繪能力佳,不拘,HTML、CSS、Adobe Photoshop、Illustrator、Figma
提升專業能力
提升專業能力,網路程式設計、視覺設計相關知識、電腦繪圖軟體操作、繪圖工具與軟體操作、設計表現能力","網頁設計師
、美術設計
、平面設計／美編","月薪34,000~45,000元",無需出差外派
https://www.104.com.tw/job/71lev?jobsource=joblist_search,網頁前端工程師,"基本要求：
1、基本HTML5、CSS、JavaScript與JSON應用
2、JS前端任一種框架(EX:Vue、React等等)
3、有與後端串接經驗
4、有UI/UX設計概念與想法
5、與業務、企劃、程式設計等相關人員配合，協同執行專案

工作內容：
1、參與平台(產品)的UI/UX設計
2、前端規劃與設計,加分：
1.熟悉three.js、GIS、cesiumJS優先考慮
2.操作繪圖軟體
3.了解產品行銷
4.了解設計的流行趨勢
5.有經驗者佳,不拘,不拘","Internet程式設計師
、軟體工程師
、網頁設計師","月薪32,000~50,000元",無需出差外派
https://www.104.com.tw/job/8kmay?jobsource=joblist_search,網頁設計師/切版設計工程師 (台中-設計部)【具部分遠端工作制度】,"我們提供【網站開發設計】及【企業形象識別】等專業服務。
邀請熱情活潑且喜愛發揮創意的你，加入我們默聲團隊！
【每月7天行動辦公】，工作之餘也不忘文青一下！
【此職務屬團隊跨部門溝通角色，歡迎善於溝通、專注問題解決的你加入我們！】

【工作內容】
．網站架構及頁面製作設計
．熟悉 HTML、CSS、JS 或函式庫應用
．具 WordPress 設計開發及套件運用經驗
．使用者介面體驗優化 (UI、RWD)
．略懂動態介面互動設計 (Lottie、SVGator、HTML Canvas..等)
．團隊與主管任務支援

【必備特質】
．跨部溝通協做能力強、動作快
．善於溝通，具團隊合作意識
．具豐富設計提案規劃經驗能力
．高效執行力與邏輯思考
．注重細節
．善於解決問題
．高度自我驅動力
．獨立學習力

【加分項】
．具行銷企劃或跨領域經驗
．具 AI、No-Code 工具使用經驗
．具設計軟體應用能力 (Adobe Photoshop、Illustrator..等)
．參與學校社團，擔任社團幹部

＊投遞履歷時請附上作品集，無作品集勿試,不拘,Mac OS、HTML、JavaScript、jQuery、CSS、Wordpress
提升專業能力
提升專業能力,電腦排版設計、電腦繪圖軟體操作、網頁軟體操作、網頁語法撰寫","網頁設計師
、前端工程師
、Internet程式設計師","月薪40,000~50,000元",無需出差外派
https://www.104.com.tw/job/84tsd?jobsource=joblist_search,網頁設計師｜視覺 + 體驗 = 讓使用者愛不釋手！,"『 網站不只是畫面，而是使用者與品牌的對話。』


思想家正在尋找中．．．

✦ 如果你熱愛網頁設計，擅長讓畫面兼具美感與功能
✦ 如果你喜歡嘗試不同的工具與方法，提升設計效率與創意
✦ 如果你希望在自由開放的環境中，與夥伴們互相成長、突破設計界限

那麼，你可能就是我們在找的網頁設計師！



▎思想設計人的特質關鍵字

•　周密程度： ＃ 細心 ＃ 謹慎 ＃洞察
•　合作力： ＃ 溝通 ＃ 協作
•　抗壓力： ＃ 適應 ＃ 靈敏
•　設計力： ＃ 創意
•　執行力： ＃ 責任感 ＃ 自律
•　自省力： ＃ 問題解決 ＃ 反思
•　態度：＃ 好學 ＃ 尊重多元



▎思想家網頁組的核心能力

•　創意思考：從視覺到使用者體驗，確保設計不只是好看，而是有意義、有影響力。
•　設計專業：熟悉網頁設計工具與流程，能夠高效執行並維持高品質標準。
•　團隊合作：擅長與不同角色溝通，共同完成專案目標。
•　時間管理：能評估需求、安排優先順序，確保交付準時且精準。
•　持續學習：對新技術、新工具保持好奇心，並樂於將學習轉化為實際應用。
•　情緒管理：能調節工作壓力與情緒，保持專業，客觀看待反饋，持續改進提升



▎你的日常挑戰（工作內容）

1.網頁視覺設計
•　設計符合專案需求，並能吸引使用者的網站版面與視覺元素。
•　使用 Figma（主要）、Photoshop（主要）、Illustrator（輔助） 進行設計與視覺優化。
•　透過 UI / UX 設計提升網站易用性與互動體驗。

2.網站架設與技術整合
•　透過 WordPress、Webflow 或其他建站工具 進行網站開發與維護。
•　確保網站在不同裝置與瀏覽器上的兼容性，提升流暢度。

3.專案協作與執行
•　與前端工程師、行銷團隊、內容創作者等多方溝通，確保設計符合需求。
•　運用基本 SEO 設計思維，讓網站不只是好看，還能帶來更多流量與轉換。

4.設計資源管理
•　遵循標準化流程，確保設計資產有條理、易於維護與追蹤。
•　優化 UI 設計系統，提高團隊設計效率與一致性。

5.持續優化與創意分享
•　接受回饋並持續優化設計，讓每一次的作品都比前一次更好。
•　定期分享設計趨勢、工具技巧，讓團隊保持創新動能。



▎必須具備的條件

專業技能

•　Figma（主要）、Photoshop（主要）、Illustrator（輔助）
•　熟悉 UI / UX 設計原則


【加分條件】

•　熟悉 Webflow / WordPress
•　具備基礎 HTML / CSS 知識（加分）
•　了解 AI 生成設計工具（如 Midjourney、GPT 等）
•　有前端開發經驗



▎面試注意事項

▪️上機測驗：請自備筆電，確保相關設計軟體可正常運行
▪️時間安排：請預留 2.5 小時 完成面試（含上機測驗與討論）
▪️文件準備：攜帶電子作品集或提供線上連結，方便現場展示
▪️通勤建議：大樓週邊停車位有限，建議提早到場或使用大眾交通工具




Be a Thinker｜設計不只是美學，而是創造價值！

在這裡，你將有機會參與各式專案，挑戰不同的設計領域
在團隊互助與學習中，不斷成長、突破自己
如果你熱愛設計、喜歡探索新技術、渴望在自由開放的環境中發揮創意


｜加入思想家，讓你的設計成為帶來價值與回饋的力量！｜,不拘,Adobe Photoshop、Illustrator、Figma、Wordpress、HTML、SEO、CSS
提升專業能力
提升專業能力,視覺設計相關知識、使用者介面設計、設計表現能力、使用者體驗設計","網頁設計師
、UI設計師
、UX設計師","月薪36,000~52,000元",無需出差外派
https://www.104.com.tw/job/85dag?jobsource=joblist_search,【企業實習生】網頁前端實習生(台中大里)(限在校生，應徵請附自傳),"【實習內容】
● 負責網站前端開發及維護。
● 與UI/企劃及後端工程師合作，開發前端互動功能。
● 與後端團隊合作Axios串接API。
● 支援各種瀏覽器(Chrome、Edge、Safari)、行動裝置(RWD)。
● 獨立具問題分析能力、擅溝通協調，重視團隊合作。

【條件特質】
● 對程式與系統開發有熱忱，並願意以團隊開發需求與效率為優先考量者。
● 認同技術為商業模式後盾且樂於團隊合作。
● 有一顆開放的心，善於溝通，願意自我學習成長。
● 熟悉 HTML5、CSS3、JavaScript。
● 熟悉 Vue-cli.js、Vuex、Vue-router、Vue-meta(Nuxt.js優先佳)。
● 熟悉 SCSS (flex/grid)切版、Vuetify.js。
● Gitlab or GitHub flow 版控經驗。

【加分技能】
● Nuxt/PWA 開發經驗。
● Service Worker 調效經驗。
● 調整網頁渲染效能 (SSR)。
● Websocket 開發經驗。
● Socket.io 開發經驗。
● 第三方登入 開發經驗。

※ 網銀國際 113、114學年度實習計畫 Catch Your Dream! ※
● 實習期間：即日起 至 2026/6/30。
● 週一至週五，每週至少3天。
● 上班時間：08:30~17:30
● 實習期間需具有在校生身分。
● 免費提供午餐、咖啡、養身茶及不定期下午茶點心。
● 實習期滿表現良好，有機會轉任正職員工。

◇ 歡迎各大專院校在學生踴躍報名 ◇

☆欲應徵者請投遞履歷後等待書面初審合格後之面試通知。
初審未通過者，恕不另行通知。,不拘,不拘,不拘","Internet程式設計師
、網頁設計師
、軟體助理工程師","月薪30,000元",白天
https://www.104.com.tw/job/8j3vl?jobsource=joblist_search,UIUX網頁設計師,"1. 設計和優化網站/APP/行銷活動頁等的用戶體驗
2. 與行銷企劃及工程師跨部門溝通合作
3. 能夠制定適合用戶的UI設計流程與規範
4. 能夠獨立處理各類設計風格與解決方案
5. 廣告行銷素材處理
6. 網頁視覺設計、維護、CIS相關視覺設計
7. 其他主管交辦事項,不拘,不拘,不拘","網頁設計師
、UI設計師
、UX設計師","月薪30,000~60,000元",無需出差外派
https://www.104.com.tw/job/8gckb?jobsource=joblist_search,美編（遠端兼職）,"1. 設計美化官網，有wix經驗者佳。
2. 網站SEO維護。
3. 進行圖稿、文案的排版設計。
4. 協助設計信封、資料夾等文具用品LOGO。
5. 協助接洽事務所客製化用品廠商。
6. 能具視覺設計概念、創意發想及設計理念表達能力。
7. 其他交辦事項。,不拘,Adobe Photoshop、Illustrator
提升專業能力
提升專業能力,各式封面設計、視覺設計相關知識、電腦排版設計、電腦繪圖軟體操作、廣告設計概念、繪圖工具與軟體操作、多媒體影像處理、設計表現能力","美術設計
、網頁設計師
、平面設計／美編",時薪190元以上,依公司規定
https://www.104.com.tw/job/6ugst?jobsource=joblist_search,程式設計師,"我們是一個程式開發的團隊,
除了有產品,也有專案開發.
歡迎對網站系統開發有興趣,有客戶服務熱忱.
接受挑戰,學習新事物的夥伴們加入我們的行列~

工作內容如下:
1.負責軟體之程式開發
2.進行軟體之開發,維護,測試與修改
3.熟悉 SQL語法,JSP,JAVA程式語言
4.解決開發過程中的技術問題
5.學習能力,對自我有要求
6.參與系統的詳細功能設計,撰寫相關手冊文件
7.提供教育訓練及外部課程訓練補助
8.有程式開發經驗者佳,不拘,AJAX、Java、JSP、MS SQL、MySQL、DHTML、JavaScript、XML、jQuery、CSS
提升專業能力
提升專業能力,伺服器網站管理維護、軟體程式設計、網路程式設計","Internet程式設計師
、軟體工程師
、網頁設計師","月薪34,000~50,000元",無需出差外派
