job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/8o5yv?jobsource=joblist_search,【海外通路】資料科學架構師 (數數發_台中CDC)_I00021070,"【公司部門簡介 About Us】
「國泰金控」為臺灣服務客戶數最多的領先金融服務業者，並致力於成為亞洲最佳金融機構。「國泰世華銀行」為全臺灣數位服務用戶數的領先銀行，其中「國際消金發展部」致力於海外消金市場的發展，透過國內累積的豐富數位金融服務經驗，持續在東南亞市場打造高品質、創新的數位金融服務體驗。

「國際消金發展部」集結了金融及非金融領域的多元菁英，包括商業開發、網路科技、數據分析、數位行銷等專業人才。我們重視團隊合作文化，以實現東南亞金融生態圈為目標，深入了解世界各國金融服務文化與特色，期待透過多元團隊創造金融服務更多前所未有的可能。

我們是台灣數位金融的領導品牌，為了進一步拓展東南亞市場，現正積極尋找對愛好自我學習探索的維運內部與雲端的數據分析人才加入我們的團隊！
這個職位將會扮演重要角色，致力於數據分析環境佈建與數據分析相關應用。

【 職務需求 Job Requirements 】
1. 數據架構設計：負責數據湖、數據倉庫與數據中台的架構設計與規劃
2. 數據技術選型：規劃並最佳化數據處理流程（ETL/ELT），選擇合適的數據工程技術，評估與導入雲端數據服務
3. 跨部門協作與技術顧問：與數據科學家、數據工程師、業務團隊合作，確保數據架構符合分析與 AI 需求
4. 數據平台優化與創新：持續研究新技術，如 Data Mesh、Data Fabric、Lakehouse 架構，提升數據價值，並監控數據平台效能，確保查詢與存取效率

必要條件 : 
1.熟悉 Linux 的程式開發環境與 Shell Script 的使用、 Linux 作業系統與網路工具
2.熟悉監控指標設定及預警機制系統佈署，如 Prometheus
3.具備系統、網路、資料庫與應用程式服務的效能調教能力
4.熟悉 Python 程式語言、SQL 與 NoSQL 資料庫軟體 (TeraData、Oracle、MongoDB)

【發展與培訓 Development & Training】
我們提供多元的集團培訓資源，包含產品知識、數位行銷、資料分析、使用者體驗等相關專業講座與實戰工作坊，同時也有申請外部進修的補助管道。此外，藉由橫跨業務部門與不同市場的工作環境，助您深化專業領域。

國泰正積極拓展海外市場，我們相信廣納多元背景人才是銀行業在這波潮流邁向頂尖的關鍵，我們誠摯邀請您加入我們，一同踏上這個充滿發展機會的旅程，成為台灣金融業發展海外數位消金平台的引領者! 期待您在這個嶄新且具有挑戰性的環境下，實現個人專業成長、累積市場能見度，一起跟上東南亞數位金融市場的快速成長!,加分條件
1. 具備雲端數據架構相關證照
2. 熟悉 MLOps、AI/ML 數據架構
3. 具備 DevOps、CI/CD 能力，能夠自動化數據基礎設施,PostgreSQL、Github、MS SQL、Git、Data Modeling、Data Architect、Python、Teradata、Data Marts
提升專業能力
提升專業能力,不拘","資料工程師
、後端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8k2jx?jobsource=joblist_search,資料庫 (DBA)資深工程師,"1. 熟 SQL Server、MySQL、MongoDB 建置、管理、維護。 
2. T-SQL 及 Stored Procedure 效能調校。 
3. 資料庫日常監控、異常排除及系統性能優化。 
4. 具 DB HA 架構建置和維護經驗。 
5. 提供 RD 諮詢並給予建議，進行 DB-Schema 建置與異動的工作。 
6. 資料庫備份管理、災難復原及定期系統升級或更新。

職責：
- 資料庫日誌監控和分析、資料庫系統性能優化、資料庫空間監控和管理、資料庫使用者許可權管理、資料庫的備份和恢復、存儲管理、平臺資料庫系統的安裝部署調試等工作。

- 保證資料庫完整性、安全性、穩定與高可用性。

【必要條件】
1. 富責任心
2. 出色的溝通能力，抗壓性強，注重團隊合作
3. 具有邏輯思維，能夠同時處理多項任務並有效安排工作優先順序
4. 完成日常交代的任務，並及時反饋任務進度,不拘,MySQL
提升專業能力
提升專業能力,系統整合分析、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用","後端工程師
、資料工程師
、軟體工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8n5io?jobsource=joblist_search,"資深資料科學工程師 Sr. Data R&D Engineer (Backend) - 台中 數據技術發展 (數數發中心, DDT)_I00020704","[工作內容]
資深後端工程師職務可能包含但不限如下相關內容：
- 開發與維護現有應用服務
- 與前端人員合作設計 API 接口
- 熟悉資料與 AI 模型應用服務開發，與資料科學家合作解決商業命題
- 具有 Open Source 研究與使用經驗，依照團隊情境導入適合工具
- 持續改善與精進後端系統，打造簡潔架構

我們 台中 數據技術發展小組（Data Science & Technology）正在尋找資深後端工程菁英，歡迎在後端的領域具備深度與廣度的朋友來挑戰。這個職位將開發 AI 和資料結合的創新應用服務系統、進行概念性產品設計與後端架構規劃，打造投資市場的研究與資料服務

[我們的團隊介紹與文化特色]
- 我們是集團於中部研發中心的資料科學團隊，特別針對中部的資料科學人才好手提供優質的新創研發環境
- 有實驗室的理論研究精神，也有業界專業務實落地的應用
- 從各個產業的生活化資料上，使用高度自動化的人工智慧與資料科學技術，讓客戶體驗最佳化
- 從專案的開發來接地氣，從新技術的研究來保持創新，從產品的發展來規模化
- 擁抱雲端技術，更重視開放的資料技術
- 重視由下往上的團隊溝通，在自律的前提下享受自由的研發風氣
- 重視團隊與個人在創新與技術深入成長的平衡發展
- 在技術研究目標上，採有彈性的團隊模式規範，讓創新與成果導向可以並重平衡
- 開放與分享是我們的基因，要有主動挖掘問題、主動解決問題的能力，也要有主動分享、傳承學習並追求進步的特質條件
- 進步快速的團隊，能夠因應組織任務需求來調整工作內容,不拘,不拘,部門人力成本控制、預算編製與成本控管、專案採購管理、專案規劃執行╱範圍管理、專案人力資源管理、危機與議題管理、專案管理架構及專案說明、專案溝通╱整合管理、專案成本╱品質╱風險管理、規劃、組織、指導及協調組織內部行政作業、工作任務╱業績項目分配、督導人員工作績效、業績目標達成、培育人員職涯發展、專案時間╱進度控管、部門績效目標管理、協商談判能力","後端工程師
、資料工程師
、AI工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8jxet?jobsource=joblist_search,Senior Data engineer/Developer/Architect (外商科技) - 台中 - TP11CO,"【Key Responsibilities】
• Develop, construct, test, and maintain data architectures in AWS/Databricks environment
• Implement data flow processes and monitor performance.
• Collaborate with cross-functional teams to collect business analyst/system analyst requirements and set priorities.
• Design and implement data warehouses and data pipelines.
• Optimize data manipulation using SQL and Python, with a focus on performance optimization techniques.
• Utilize PySpark and Spark SQL for large-scale data handling.

【Qualifications】
• Minimum of 5 years' experience in programming languages (SQL/Python).
• Hands-on experience in CICD implementation (Gitlab/GitHub).
• Experience in object analysis (AWS/Databricks).
• Strong analytical thinking and communication skills.
• Good business sense and logical thinking.
• Proficiency in PySpark and Spark SQL for large-scale data handling.
• Comprehensive understanding of data modeling and ETL processes.,未填寫,不拘,不拘","資料工程師
、資料科學家
、數據分析師",待遇面議,無需出差外派
https://www.104.com.tw/job/89v3p?jobsource=joblist_search,【海外通路】國際消金數據維運工程師 (數數發_台中CDC)_I00016651,"【公司部門簡介 About Us】
「國泰金控」為臺灣服務客戶數最多的領先金融服務業者，並致力於成為亞洲最佳金融機構。「國泰世華銀行」為全臺灣數位服務用戶數的領先銀行，其中「國際消金發展部」致力於海外消金市場的發展，透過國內累積的豐富數位金融服務經驗，持續在東南亞市場打造高品質、創新的數位金融服務體驗。

「國際消金發展部」集結了金融及非金融領域的多元菁英，包括商業開發、網路科技、數據分析、數位行銷等專業人才。我們重視團隊合作文化，以實現東南亞金融生態圈為目標，深入了解世界各國金融服務文化與特色，期待透過多元團隊創造金融服務更多前所未有的可能。

我們是台灣數位金融的領導品牌，為了進一步拓展東南亞市場，現正積極尋找對愛好自我學習探索的維運內部與雲端的數據分析人才加入我們的團隊！
這個職位將會扮演重要角色，致力於數據分析環境佈建與數據分析相關應用。

【發展與培訓 Development & Training】
我們提供多元的集團培訓資源，包含產品知識、數位行銷、資料分析、使用者體驗等相關專業講座與實戰工作坊，同時也有申請外部進修的補助管道。此外，藉由橫跨業務部門與不同市場的工作環境，助您深化專業領域。

國泰正積極拓展海外市場，我們相信廣納多元背景人才是銀行業在這波潮流邁向頂尖的關鍵，我們誠摯邀請您加入我們，一同踏上這個充滿發展機會的旅程，成為台灣金融業發展海外數位消金平台的引領者! 期待您在這個嶄新且具有挑戰性的環境下，實現個人專業成長、累積市場能見度，一起跟上東南亞數位金融市場的快速成長!

【 職務需求 Job Requirements 】
1.維運內部與雲端的數據分析相關應用與數據中台/平台系統服務
2.數據分析環境佈建與資料處理自動化
3.數據營運環境效能測試、監控與分析調校
4.安全與權限管控設計
5.建立數據服務管理中心化
擅長工具 : 
1.熟悉 Linux 的程式開發環境與 Shell Script 的使用、 Linux 作業系統與網路工具
2.熟悉監控指標設定及預警機制系統佈署，如 Prometheus
3.具備系統、網路、資料庫與應用程式服務的效能調教能力
4.熟悉 Python 程式語言、SQL 與 NoSQL 資料庫軟體 (TeraData、Oracle、MongoDB),不拘,Linux、UML、Github、Git、Python、ANSI SQL、Data Modeling、ETL、MS SQL、PostgreSQL、hadoop、AWS、XML、Node.js、ArcGis、GIS、Data Architect、Hive、Teradata
提升專業能力
提升專業能力,伺服器網站管理維護、作業系統基本操作、軟體工程系統開發、功能測試(function test)、問題追蹤處理(Bug tracking)、軟體整合測試、測試環境建置規劃、壓力測試(stress test)、測試計劃及測試報告書撰寫、軟體程式設計、結構化程式設計、資料庫系統管理維護","資料工程師
、後端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8o1xt?jobsource=joblist_search,系統工程師,"1.熟悉資料 ETL 流程的規劃、設計、開發與維護
2.熟悉MS SQL 
3.具有Visual Studio C#開發經驗
4.具有資料分析經驗、細心
5.具有ChatGPT  詢問經驗,不拘,Visual C#、MS SQL、Visual Studio、WinForm、C#
提升專業能力
提升專業能力,不拘","資料工程師
、系統工程師
、數據分析師","月薪33,000元以上",無需出差外派
https://www.104.com.tw/job/7spxo?jobsource=joblist_search,資訊部-BI系統工程師,"王品集團 誠徵【資訊部-BI系統工程師】
【職責內容】
1. 深入了解 BI 專案需求，進行用戶訪談與系統分析，並撰寫相關技術文件。
2. ETL 流程設計與開發，確保數據準確性與高效傳遞。
3. 運用 MSSQL 建構 Data Warehouse 和 Data Mart。
4. 利用 Tableau 開發數據分析報表，清晰呈現模型結果，支持管理決策。
5. 負責 BI 系統的穩定運行及即時支援，確保業務持續性。,不拘,ETL、MySQL、Excel、PowerPoint、Word、Tableau、Power BI
提升專業能力
提升專業能力,不拘","軟體工程師
、資料工程師
、資料科學家",待遇面議,需出差，一年累積時間未定
https://www.104.com.tw/job/8nlhu?jobsource=joblist_search,DBA資料庫管理師,"1. 依據使用者需求，參與資料庫架構的設計，並針對整體系統架構提供建議，以創建最佳資料庫架構。
2. 規劃、執行資料庫資料備援及回覆計畫。
3. 管理各項資料庫資源使用，包含使用數量、權限管理、使用空間、系統資源（CPU、Memory、IO）等。
4. 監控資料庫效能，並適時針對相關參數及SQL進行調校。
5. 提供諮詢並處理使用者使用資料庫的相關問題。
6. 協同系統管理部門、網路管理部門，提供正常資料庫維運。
7. 依據現況，預估資料庫成長趨勢，規劃未來系統資源需求。,不拘,不拘,資料庫系統管理維護、資料庫軟體應用、資料庫程式設計、資料備份與復原","資料庫管理人員
、資料工程師
、後端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8itzp?jobsource=joblist_search,241001資料科學中心 機器學習工程師,"【工作說明】
1.進行資料清洗、處理和標記，確保模型訓練可使用。
2.設計和開發機器學習的模型，以及模型性能的調適。
3.設計和開發數據的可視化工具。
4.研究和實施最新的機器學習技術。

【技能條件】
1.具備數據清理、處理以及機器學習、深度學習等相關知識。
2.熟捻Python等其他程式語言。
3.熟悉深度學習工具及框架(如:TensorFlow/Caffe/MXNet/PyTorch)
4.有模型應用經驗尤佳，歡迎與我們分享您的作品與成就。,未填寫,Python、tensorflow、OpenCV
提升專業能力
提升專業能力,機器學習","數據分析師
、資料工程師
、資料庫管理人員",待遇面議,無需出差外派
https://www.104.com.tw/job/6dwp1?jobsource=joblist_search,AI工程師,"工作內容

【在職培訓】
1. 無相關經驗可，本公司提供在職系統性完整培訓，教授完整AI系統開發技術，為有意投身於人工智慧領域的個人提供一個展示才華的平台及機會。

【工作需求】
1. 將AI技術應用於實際解決方案
2. 負責資料收集、模型建置及優化、部署等工作事項
3. 負責AI軟體之分析、設計以及程式撰寫
4. 需提供過去使用AI分析的說明或作品
5. LLM大型語言模型的AI相關應用開發

【技能需求】
1. 具有OpenAI API或其他類同API開發經驗
2. 開源LLM(大型語言模型)微調及應用開發經驗
3. 熟悉機器學習、深度學習或其他相關演算法
4. 熟悉Python
5. 具備Pytorch或Tensorflow等Deep Learning Framework實作經驗
6. 具備AI訓練資料蒐集整理經驗,不拘,Linux、Git、C、Python、PyTorch、tensorflow、LLM、MySQL、JavaScript
提升專業能力
提升專業能力,軟體程式設計、結構化程式設計、網路程式設計","AI工程師
、資料工程師
、軟體工程師","月薪30,000~55,000元",無需出差外派
