job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/3mnho?jobsource=joblist_search,【中科后里】IT-INF資深工程師(Unix),"Linux/UNIX Server、NAS/SAN storage設備規劃、建置與維運管理，含: 日常維護、監控維護、效能調校、異常處理、安全管理、備份備援(HA/DR)、權限管理。,1. Linux/UNIX server 4年以上管理經驗；NAS storage、SAN storage及SAN Switch 1年以上管理經驗
2.具半導體廠或資通訊產業相關工作經驗佳,不拘,不拘","資訊設備管制人員
、網路安全分析師
、資料庫管理人員","月薪51,000~96,000元",無需出差外派
https://www.104.com.tw/job/86d4p?jobsource=joblist_search,資深後端工程師,"公司產品說明：
我們公司的主力產品是「影音電子簽名」系統，是一個革命性的電子簽名解決方案，可以用來解決電子文件簽名的簽署者身分及意願確認，簡化合約的簽署流程，提升合約簽署的效力，有非常廣泛的應用機會，已獲得多國專利，目前在台灣已經有眾多醫學中心、保險公司、證券業者，正積極拓展全球市場，急需有企圖心的好手加入我們，讓我們的產品能更快速且完美的提供給全球的用戶

工作內容:
1. Web 後端開發、維護、及優化


應徵條件： 
1. 5 年以上後端開發經驗，參過一個完整的產品生命週期開發
1. 熟悉PHP、Ajax、Restful API、SLIM框架
2. 具備JAVA Spring Boot開發經驗
3. 有5年以上PHP開發的經驗
4. 熟悉SQL語法和Replication

希望有的個人特質：
1. 良好的溝通能力，優秀的團隊合作和解決問題的能力 
2. 平常會逛國內外科技網站，持續補充自己的知識
3. 在乎使用者體驗
4. 對軟體開發技術有熱情,未填寫,AJAX、Java、PHP、Spring、MS SQL、MySQL
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、結構化程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用、系統架構規劃與維護","後端工程師
、資料庫管理人員
、全端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/7vg3l?jobsource=joblist_search,系統維運工程師,"1.機房以及系統維運的管理經驗.
2.PowerBI 或 Tableau 使用經驗.
3.報表開發經驗, 接觸使用 SSRS 等工具.
4.資料庫管理,不拘,PL/SQL、Firewall、Tableau
提升專業能力
提升專業能力,不拘","系統工程師
、後端工程師
、資料庫管理人員",待遇面議,需出差，一年累積時間未定
https://www.104.com.tw/job/8anlo?jobsource=joblist_search,ASP.NET軟體工程師,"【工作摘要】
開發ASP.NET Web業務系統與撰寫技術文件等事務。

【工作內容】
1.開發與部署ASP.NET Web(C#)應用程式。
2.建置、設計與規劃資料庫。
3.管理Git軟體版本。
4.理解系統分析文件並提出反饋。
5.撰寫技術文件。

【我們需要這樣的特質】
1.具分析思考、溝通協調及團隊合作能力。
2.具抗壓力，熱愛程式設計，樂於追求新知。
3.喜愛團隊合作與分享技術新知。
4.能獨立思考，具問題理解分析能力。
5.高度探究的精神，追求設計的理念。,1.熟ASP.NET網站開發(.Net Framework或.Net Core)。
2.熟MS SQL資料庫應用、管理與指令。
3.熟HTML、Javascript、CSS、jQuery、AJAX、VueJS等相關技術。
4.具2年以上程式開發經驗尤佳。,Git、AJAX、ASP.NET、Visual Studio、MS SQL、HTML、JavaScript、jQuery、CSS、VueJS
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、資料庫系統管理維護、資料庫程式設計","軟體工程師
、資料庫管理人員
、Internet程式設計師",待遇面議,需出差，一年累積時間未定
https://www.104.com.tw/job/8nlhu?jobsource=joblist_search,DBA資料庫管理師,"1. 依據使用者需求，參與資料庫架構的設計，並針對整體系統架構提供建議，以創建最佳資料庫架構。
2. 規劃、執行資料庫資料備援及回覆計畫。
3. 管理各項資料庫資源使用，包含使用數量、權限管理、使用空間、系統資源（CPU、Memory、IO）等。
4. 監控資料庫效能，並適時針對相關參數及SQL進行調校。
5. 提供諮詢並處理使用者使用資料庫的相關問題。
6. 協同系統管理部門、網路管理部門，提供正常資料庫維運。
7. 依據現況，預估資料庫成長趨勢，規劃未來系統資源需求。,不拘,不拘,資料庫系統管理維護、資料庫軟體應用、資料庫程式設計、資料備份與復原","資料庫管理人員
、資料工程師
、後端工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/787uq?jobsource=joblist_search,數據資料分析及Power Platform開發工程師（台中）,"公司目前使用 Power Platform(Power Apps, Power Automate, Sharepoint) 開發相關應用與自動化流程設計
資料處理使用Python

【工作內容】
1. Microsoft Power Platform 與自動化流程開發與應用。
2. 進行資料導入準備、Data Mart與資料清洗等流程，並建立維護分析/模型所需之Data。
3. 數據分析的結果以 Power BI 視覺化儀表板呈現，供團隊決策使用與分析。
4. FTP / SFTP 管理 (安裝、設定、效能監控、問題排除)。
5. 其他主管交辦事項作業。

【條件特質】
1. 具兩年以上數據/資料分析實務經驗。
2. 良好邏輯分析與程式開發能力。
3. 熟悉VBA或Python自動化程式佳。
4. 具同產業/金融業開發經驗 或 微軟Microsoft 365 相關管理經驗尤佳。
5. 若有資料分析及簡報作品煩請一併附上。

【工作技能】 
- Python、VBA
- SQL
- Power BI
- Git,1.    不限科系
 2. web/application/database front/backend engineering experience
 3. 對於新軟體工具有熱情上手快，能夠獨立研究解決難題
 4. 孰悉Microsoft Windows & Office 365
 5. IT相關英文讀寫能力
 6. Strong analytical and problem-solving skills
 7. Excellent communication and interpersonal skills
 8. 團隊合作，獨立運作，認真負責，準時交付
 9. 具備企業IT系統或SaaS維運經驗者尤佳
 10. 具備 Microsoft Teams, Power platform 以及相關開發工具經驗者尤佳,Github、Python、VBA、MS SQL、Microsoft SharePoint、HTML、CSS、FTP、HTTP、Excel、Word、Power BI
提升專業能力
提升專業能力,財務及營業分析、軟體程式設計、資料庫系統管理維護、報表開發、商業智慧","資料庫管理人員
、數據分析師
、資料工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/6ii2i?jobsource=joblist_search,MIS/資通網管師,"1.熟悉維護電腦系統效能，維持其系統正常運作及除錯。
2.網站系統架構維護與更新
3.擅於網站系統開發語言程式設計(PHP. ASP. NET. HTML5. Javascript. JQuery. Ajax)
4.擁有資料庫後台/網站開發與維護能力   尤佳
5.熟悉資訊網路系統   尤佳
6.資訊設備管理
7.使用 Java（Spring Boot框架）開發相關功能
8.使用 PHP(Drupal架構)
9.具備 Java 或 PHP 基礎程式開發概念，了解 Spring Boot 、Drupal 框架架構。
10.具 NAS 操作經驗（如 Synology 系統），了解基礎網路架構。,不拘,PHP、MySQL、Dreamweaver、Fireworks、HTML、JavaScript、VBScript、Web Master/Developer、XML、XML Web services、jQuery、CSS、Firewall、Google Analytics、Adobe Photoshop、Illustrator、鼎新
提升專業能力
提升專業能力,伺服器網站管理維護、資料通訊與網路應用、軟體程式設計、網路程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用、系統架構規劃與維護、規劃與管理防火牆、網路設備設定安裝、網路應用軟體操作","MIS程式設計師
、網路管理工程師
、資料庫管理人員","月薪36,000~52,000元",無需出差外派
https://www.104.com.tw/job/5ewjk?jobsource=joblist_search,ERP程式設計工程師,"軟體設計工程師：負責軟體的開發、設計與維護。
資料庫管理人員：負責資料庫設計規劃、管理、維護等。

1.熟悉C#或.NET開發者佳。
2.熟悉ERP流程者佳。
3.熟悉資料庫設計者佳。,1.熟練DDD、SOLID；
2.良好的溝通和解決問題的能力；,C#、Visual Studio、WinForm、MS SQL、MySQL
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計、資料庫系統管理維護","軟體工程師
、資料庫管理人員
、Internet程式設計師","月薪35,000~50,000元",無需出差外派
https://www.104.com.tw/job/8fjoz?jobsource=joblist_search,資安專員,"主要工作職責包含以下：
1.資訊安全機制檢核與維運作業
2.規劃與執行資訊安全相關專案
3.資安教育訓練規劃與實施

須熟悉網路概念(TCP/IP, VLAN, DNS, DHCP)以及相關網路應用，如SMTP, SNMP, SYSLOG, Wireshark, TCPDUMP等。日常工作需處理Firewall, Switch, Web Proxy, Mail 以及網路安全設備之管理與維護。,- 須能配合公司制度，完成主管交辦事項。
- 個性開朗，EQ高，溝通良好，穩定度高，抗壓性強 。
- 團體互動佳，細心具責任感。,PHP、MySQL、HTML、VBScript、CSS、Node.js、Google Analytics
提升專業能力
提升專業能力,不拘","Internet程式設計師
、資料庫管理人員
、軟體工程師","月薪30,000~40,000元",無需出差外派
https://www.104.com.tw/job/8mt7r?jobsource=joblist_search,MIS/資通網管師助理,"1.維護電腦系統效能，維持其系統正常運作及除錯。
2.網站系統架構維護與更新
3.懂網站系統開發語言程式設計(PHP. ASP. NET. HTML5. Javascript. JQuery. Ajax)
4.懂資料庫後台/網站與維護能力   尤佳
5.資訊網路系統   尤佳
6.資訊設備管理
7.懂使用 Java（Spring Boot框架）開發相關功能
8.會使用 PHP(Drupal架構)
9.具備 Java 或 PHP 基礎程式開發概念，了解 Spring Boot 、Drupal 框架架構。
10.具 NAS 操作經驗（如 Synology 系統），了解基礎網路架構。,不拘,Fireworks、鼎新、Illustrator、Adobe Photoshop、Google Analytics、Firewall、CSS、jQuery、XML Web services、XML、Web Master/Developer、VBScript、JavaScript、HTML、Dreamweaver、MySQL、PHP
提升專業能力
提升專業能力,伺服器網站管理維護、網路應用軟體操作、網路設備設定安裝、規劃與管理防火牆、系統架構規劃與維護、資料庫軟體應用、資料庫程式設計、資料庫系統管理維護、網路程式設計、軟體程式設計、資料通訊與網路應用","MIS程式設計師
、網路管理工程師
、資料庫管理人員","月薪34,000~45,000元",無需出差外派
