job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/8gbdd?jobsource=joblist_search,【企劃處】遊戲機制開發企劃,"【工作內容 】  
● 產品資料收集、整理、分析，產品內容請參考公司主要商品 / 服務項目。  
● 市場相關產品資料收集、整理、分析。  
● 活動、機制企劃提案、UI/UX介面設計、撰寫企劃書與研發製作。  
● 專案時程掌握與跨部門溝通協調。  
● 產品驗收及功能確認測試、更新維護。  
● 專案文件撰寫與資料彙整、更新維護。  

【條件特質】  
● 抗壓性高。  
● 具1年以上遊戲開發經驗。  
● 創新思維、良好表達能力、邏輯思考能力。  
● 樂於團隊合作，樂觀積極勇於接受挑戰。  
● 細心度高，能妥善執行上級交付工作。  
 
符合下列條件者有加分，優先面試  
● 具備UI、UX設計經驗者。  
● 會使用Photoshop或同性質的軟體。  
● 多媒體相關科系、設計系(或非以上學系，有美術相關技能者)。  
● 有海外專案經驗者。  
● 具備第二語言能力。  
● 熟悉Unity者。,Excel、PowerPoint、Word
提升專業能力
提升專業能力,不拘","遊戲企劃
、產品企劃","月薪35,000~50,000元",無需出差外派
https://www.104.com.tw/job/8mxwo?jobsource=joblist_search,遊戲企劃師,"『工作內容』
觀察市場生態變化，分析市場文化、消費群需求與喜好
分析玩家遊戲體驗，量化或具體提出玩家對遊戲體驗的亮點、痛點與癢點。
跨部門盤溝通點資源，定義可執行技術範圍。
創作並營造遊戲體驗，具體提出遊戲的價值主張，並能依目標修改。
監控製作，必要時協調各單位資源解決問題。
分析舊有遊戲 ，提出優化方案。
規劃上述工作流程，及其文案撰寫

『知識』
能解析或量化產品的特色，讓其他人明白為什麼他討喜或討厭。
能提出別人想不到的組合或想法，讓產品更討喜。
習慣與不同領域專業人士溝通，即便不熟悉該專業，也會設法訂出共通的詞彙或流程。
了解設計思維或價值主張,不拘,Figma、Excel、PowerPoint
提升專業能力
提升專業能力,數值設計、遊戲營運、遊戲開發、遊戲分析、產品營運、競品分析、產品策略、產品開發","遊戲企劃
、電玩程式設計師
、產品企劃","月薪40,000~86,000元",無需出差外派
https://www.104.com.tw/job/87ikn?jobsource=joblist_search,【平台開發處】Web開發企劃(台中大里),"【工作內容 】
● 掌握專案執行進度，確保各項任務於預定時程內完成。
● 專案協同合作及產品開發追蹤。
● 內外部跨單位的溝通協調，確認專案需求及細節。
● 持續優化專案執行流程。
● 數據追蹤及分析。
● 功能機制增修與優化。
● 產業情報蒐集、內容整合。
 
【條件特質】
● 具1年以上平台/遊戲開發經驗。
● 創新思維、良好表達能力、邏輯思考能力。
● 樂於團隊合作，樂觀積極勇於接受挑戰。
● 擅長跨單位溝通協調。
 
【加分條件】
● 熟悉Figma操作。
● 熟悉Notion操作。
● 具備第二外語能力。
● 具平台開發經驗者優先面試。
● 了解Android/ iOS/ Web介面操作原件以及不同用戶使用習慣。
● 附上作品尤佳,不拘,Figma
提升專業能力
提升專業能力,不拘","遊戲企劃
、產品企劃","月薪35,000~50,000元",無需出差外派
https://www.104.com.tw/job/7ok7g?jobsource=joblist_search,遊戲企劃,"工作內容
【職務說明】 
1. 遊戲設計及企劃提案 
2. 企劃文件撰寫、資料彙整與維護 
3. 遊戲品質測試及體驗優化 
4. 與設計、開發團隊合作 
【需求條件】 
具備遊戲企劃相關經歷1年以上 
邏輯嚴謹、表達清晰，有良好的溝通能力 
文件撰寫詳細且淺顯易懂 
具獨立思考能力，能發現問題，並提出解決方案 
【加分條件】 
1. 經濟循環、數值模型建構，機率設計經驗佳。
2. 具備老虎機遊戲企劃的實際經驗佳,不拘,不拘,不拘","遊戲企劃
、產品企劃","月薪35,000~50,000元",無需出差外派
https://www.104.com.tw/job/858qi?jobsource=joblist_search,遊戲推廣專員(4萬),"1.線上回復客戶問題
2.具備基本電腦操作知識及打字速度
3.完成主觀交辦事項
※每月聚餐
※休假排休
※七天特休

AI時代崛起，我們會教你-社群行銷/網路廣告/KOL/影音行銷

科技正在改變我們的工作跟生活，沒有任何專業領域，害怕工作被取代嗎？

無經驗可，公司提供完整行銷知識及教育訓練，如果您願意挑戰、學習、有創意想法的夥伴，這裡是您轉職的機會，歡迎您加入我們的大家庭！,不拘,Excel、Word、中文打字50~75
提升專業能力
提升專業能力,不拘","遊戲企劃
、文字客服
、國內業務","月薪40,000元以上",無需出差外派
https://www.104.com.tw/job/8jksa?jobsource=joblist_search,行銷專員,"【工作內容】
負責遊戲產品的行銷規劃與執行，包含預算編列、市場策略設計及成效報表撰寫。
撰寫行銷內容文案，規劃廣告宣傳素材，並負責影片腳本的撰寫。
熟悉並操作各類網路行銷活動及網路媒體平台。
能夠與媒體廠商進行溝通協調，並具備跨部門協作及時程管控能力。
具備統籌規劃、執行及獨立作業能力，並能有效彙整各類資訊。
細心且邏輯性強，擅長團隊合作並具備良好溝通能力。


【加分條件】
有遊戲相關行銷或公關經驗，或曾經參與遊戲項目的行銷工作。
熱愛遊戲並了解遊戲市場，或具有其他遊戲相關經歷者尤佳。
具備高EQ、良好的抗壓能力及積極正向的工作態度。
需提供個人作品集、企劃書等相關資料（格式不拘）。
具備良好的數字邏輯與分析能力，能靈活監控並分析行銷成效。,不拘,Google Analytics、SEO
提升專業能力
提升專業能力,網路活動規劃與執行、行銷策略擬定、廣告企劃案╱文案撰寫","遊戲企劃
、活動企劃
、媒體公關人員／主管",待遇面議,無需出差外派
https://www.104.com.tw/job/8bd6y?jobsource=joblist_search,遊戲企劃(休閒棋牌類）,"3年以上遊戲企劃經驗
職務內容
•能獨立規劃完整棋牌類遊戲文案內容,並拆解各製作模塊落實到美術與程式。
•管理外包配合廠商製作進度與內部研發溝通。
•熟悉休閒棋牌類遊戲規則,並能有效進行遊戲驗收與測試。
•有休閒棋牌類遊戲開發經驗者佳。


技術需求
• 具備實務經驗或具備獨立作業能力
• 重視團隊合作精神,不拘,不拘,數值設計、遊戲開發、遊戲分析、競品分析","遊戲企劃
、網站企劃
、產品企劃","月薪40,000~60,000元",無需出差外派
https://www.104.com.tw/job/6ji5k?jobsource=f_2025career,遊戲企劃師,"**應徵時請附上Cover Letter (自薦信)、自傳作品集、文案等加分文件***
如果你是….
總是有源源不絕的遊戲企劃點子 
喜歡玩遊戲、期待為遊戲制定玩家喜歡的活動嗎?
歡迎你加入我們的團隊!!

[What We Do]
1. 遊戲企劃提案、營運需求規格化、撰寫企劃書。
2. 遊戲流程設計、分析與優化設計。
3. 遊戲特色邏輯、系統等相關分析。
4. 專案文件撰寫與資料彙整更新維護。
5. 遊戲市場趨勢分析與報告。
6. 跨部門與美術、程式等相關人員溝通與協調。,[Must to Have]
1. 喜歡玩手遊、頁遊，對遊戲業具高度熱忱和興趣。
2. 有責任心，按時按質完成專案和團隊合作精神。
3. 學習能力強，有創造性思考的能力。
4. 溝通能力強，能與團隊協調，合作解決問題。
5. 具獨立思考能力，能發現問題，並提出解決方案。

[Nice to Have]
1. 遊戲企劃相關至少1年 (有自信者也可無經驗直接挑戰)。
2. 有 UI/UX 設計經驗為佳。
3. 有Excel能使用公式、設計數值模型者佳。
4. 對各種事物保有強烈的好奇心與求知慾。
5. 擁有不怕被打槍的意志力。

2025career,Excel、PowerPoint、Word
提升專業能力
提升專業能力,不拘","遊戲企劃
、產品企劃","月薪32,000~60,000元",無需出差外派
https://www.104.com.tw/job/8izd7?jobsource=joblist_search,棋牌遊戲產品經理(Product Manager),"1. 負責產品需求調研，制定內容策劃、功能設計及交互設計，撰寫詳細的產品設計文檔。
2. 協助開發團隊理解並落實產品設計方案，並全程跟進產品上線進度。
3. 持續優化現有產品的設計和用戶體驗，確保競爭力。
4. 協調研發、美術及相關部門，推動實現產品目標。,不拘,不拘,專案成本╱品質╱風險管理、專案時間╱進度控管、專案規劃執行╱範圍管理、專案溝通╱整合管理、專案管理架構及專案說明、提案與簡報技巧、產品策略、遊戲開發、市場調查企劃與執行","遊戲企劃
、產品管理師
、產品企劃",待遇面議,無需出差外派
https://www.104.com.tw/job/8jlj2?jobsource=joblist_search,遊戲企劃產品PM,"【工作內容】
1. 遊戲設計：設計遊戲特色
2. 專案控管：專案規劃、開發流程控管
3. 競品研究：分析市場趨勢、競品內容

【必要條件】
1. 撰寫與統整資料，企劃開發文件與競品研究報告
2. 表達清晰、良好的跨部門溝通，解說設計需求
3. 主動發現與解決問題，思考邏輯嚴謹與獨立作業

【加分條件】
1. 具備遊戲產業品企劃經驗
2. 具備統計概念與資料分析能力

【薪資範圍】
1. Senior：月薪 NTD 45,000 以上
2. Junior：月薪 NTD 38,000 以上
3. 新人：月薪 NTD 32,000 以上
4. 年終、福利等另計,不拘,不拘,不拘","遊戲企劃
、產品企劃
、產品管理師","月薪32,000~45,000元",無需出差外派
