網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/8bgct?jobsource=joblist_search,研發替代役- AI工程師,AI 工程師,"AI,C++,Django,Git,MySQL,Node.js,PHP,PostgreSQL,Python,效能,模型,演算法,資料庫,軟體,追蹤"
https://www.104.com.tw/job/718r0?jobsource=joblist_search,資深影像主管,AI 工程師,".net,3D,AI,AOI,C#,Python,機器學習,演算法,軟體"
https://www.104.com.tw/job/8ww7q?jobsource=joblist_search,nan,AI 工程師,"AI,Deep Learning,LLM,ML,Power BI,Python,Tableau,https,品質,效能,模型,自動化,部署"
https://www.104.com.tw/job/89r6n?jobsource=joblist_search,AOI機器視覺工程師,AI 工程師,".net,AI,AOI,C#,PyTorch,Visual Studio,機器學習,演算法,軟體"
https://www.104.com.tw/job/8y7dw?jobsource=joblist_search,AI工程師｜工程與技術中心-產品研發處,後端工程師,"AI,API,Azure,C#,CI/CD,Docker,LLM,Python,可維護性,品質,容器,後端,微服務,效能,文件,模型,模組,模組化,監控,自動化,資料庫,軟體,部署"
https://www.104.com.tw/job/8u3zf?jobsource=joblist_search,AI資深工程師-后科廠,AI 工程師,"AI,C#,C++,Python,圖,模型,演算法,軟體"
https://www.104.com.tw/job/8s0f2?jobsource=joblist_search,IPAS 淨零碳規劃管理師(初級)講師-基隆、大台北地區,AI 工程師,AI
https://www.104.com.tw/job/8w8rw?jobsource=joblist_search,"【SMAI】Data Scientist/ Senior Data Scientist, Innovation Engineering Technology",全端工程師,"AI,JavaScript,Power BI,Python,SQL,Solid,Tableau,big data,bridge,https,machine learning,optimization,software,全端"
https://www.104.com.tw/job/8lajp?jobsource=joblist_search,AI原生雲部門工程師(台中總部),AI 工程師,"AI,C++,Django,Git,Linux,MySQL,Node.js,PHP,Python,大數據,容器,微服務,演算法,自動化,軟體"
https://www.104.com.tw/job/8vzol?jobsource=joblist_search,PCG250216-3D - AI 訓練工程師(台中),全端工程師,"3D,AI,PyTorch,全端,圖,後端,模型,軟體"
https://www.104.com.tw/job/73j23?jobsource=joblist_search,數位維修工程師(北台中分公司)(AI面試),AI 工程師,"AI,http,自動化"
https://www.104.com.tw/job/8uw37?jobsource=f_2026career,【生產製造】Agentic AI開發工程師-台中廠-R10,AI 工程師,"AI,API,Python,SQL,代理,軟體"
https://www.104.com.tw/job/8xlju?jobsource=joblist_search,115年第3次專案人力進用-7.研發類,AI 工程師,"AI,模擬,模組,軟體"
https://www.104.com.tw/job/8q2ar?jobsource=joblist_search,AI 策略與開發工程師（Junior）,全端工程師,"AI,API,AWS,Azure,C#,CSS,Excel,GCP,Git,GitHub,HTML,IoT,JavaScript,Node.js,Power BI,Python,SQL,Tableau,全端,圖,後端,文件,物聯網,策略,資料庫,軟體"
https://www.104.com.tw/job/8pqc6?jobsource=joblist_search,IPAS AI應用規畫師(初級+中級)講師-台中豐原認證中心,AI 工程師,"AI,機器學習,認證"
https://www.104.com.tw/job/8v4d9?jobsource=joblist_search,nan,AI 工程師,"AI,AWS,Azure,C++,Git,IoT,Machine Learning,MySQL,NoSQL,PyTorch,Python,Raspberry Pi,SQL,Solid,TensorFlow,deep learning,deployment,embedded system,https,optimization,quality,機器學習"
https://www.104.com.tw/job/8serz?jobsource=joblist_search,長聯科技 AI工程師,AI 工程師,"AI,LLM,PyTorch,Python,https,tensorflow,效能,模型,機器學習,演算法,部署"
https://www.104.com.tw/job/8x0xu?jobsource=joblist_search,2026 研發替代役 (RDSS)_AOI Measurement System Engineer Position (Taichung),iOS 工程師,".Net,AI,AOI,C#,CAD,MatLab,Python,algorithm,documentation,image processing,package,software,軟體"
https://www.104.com.tw/job/8ya0m?jobsource=joblist_search,【研發替代役】工研院機械所_AI智慧製造軟體開發工程師(I400),AI 工程師,"AI,C#,C++,JavaScript,Python,演算法,軟體"
https://www.104.com.tw/job/8vyop?jobsource=joblist_search,LLM AI工程師,AI 工程師,"AI,API,CI/CD,Docker,Kubernetes,LLM,NLP,NumPy,Pandas,PyTorch,Python,TensorFlow,效能,最佳化,模型,模組,演算法,策略,資料庫,軟體,追蹤"
https://www.104.com.tw/job/8wpxn?jobsource=joblist_search,2026 研發替代役 (RDSS)_Data Analytics Engineer (Taichung),AI 工程師,"AI,AWS,Airflow,Azure,C#,CI/CD,FastAPI,Flask,Hadoop,Java,Javascript,Keras,LLM,ML,Matlab,NLP,NoSQL,PLC,Performance,PyTorch,Python,SCADA,SQL,SQL Server,Spark,Tableau,TensorFlow,big data,data visualization,deep learning,deployment,machine learning,material,monitoring,optimization,pipeline,prototype,quality,scikit-learn,software,state,strategy,演算法"
https://www.104.com.tw/job/8pqcl?jobsource=joblist_search,IPAS 淨零碳規劃管理師(初級)講師-台中豐原認證中心,AI 工程師,"AI,認證"
https://www.104.com.tw/job/8witp?jobsource=joblist_search,數位金融部-AI應用規劃師,AI 工程師,"AI,API,Excel,Java,ML,Pandas,PyTorch,Python,SQL,Tableau,TensorFlow,asp,https,圖,套件,效能,框架,模型,機器學習,演算法,監控,策略"
https://www.104.com.tw/job/7a5t0?jobsource=joblist_search,Python AI程式設計兼任講師_台中站前認證中心,全端工程師,"AI,Python,SQL,SQL Server,Scipy,Spark,全端,認證,資料庫,資料探勘,軟體"
