job-href,job,content,types,salary,business_trip,position_text,position_href,company
https://www.104.com.tw/job/8bgct?jobsource=joblist_search,研發替代役- AI工程師,"工作內容：
1. 依照專案需求建立AI模型並配合軟體整合開發。
2. 研究、設計與改進 AI演算法與模型，提升系統效能與準確度。
3. 持續追蹤AI技術發展，導入新方法與工具以優化產品功能與開發流程。

具備條件：
1. 具備 AI應用開發實務經驗，能獨立進行模型開發與系統整合。
2. 熟悉 Python 程式語言與 資料庫系統（如 MySQL、PostgreSQL）。
3. 熟悉 基因演算法、強化學習 等AI技術，具相關應用經驗。
4. 具備 獨立規劃專案與執行能力，能有效進行跨團隊溝通與協作。
5. 對新技術、工具與AI研究趨勢具高度興趣與 自我學習能力。,不拘,Git、C++、PHP、Python、MySQL、Node.js、Django
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計",軟體工程師,待遇面議,無需出差外派,台中市西屯區,"https://maps.google.com.tw/?q=%E8%AA%A0%E9%9B%B2%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8@24.1769764,120.6424333&z=17",誠雲科技股份有限公司
https://www.104.com.tw/job/718r0?jobsource=joblist_search,資深影像主管,"1. 機器視覺辨識 軟體 開發
2. 3D檢測量測系統開發與設計
3. 將機器學習應用於電腦視覺及 AOI領域 .
4. 視覺運算法、程式撰寫及試機能力
5. 光學調整能力。
6. CCD及鏡頭元件選用能力。
7. 硬體故障維修判斷能力。,1.具備良好的溝通能力及獨立作業能力。
2.配合無塵室機台調整作業、可配合短期出差 。
3.出差:須配合出差(一年出差累計時間約1個月)。
4.工作經歷：具3年以上AOI影像辨識軟體經驗者尤佳。
5.擅長工具：C# 、 Python、 VB.net 软件技能。,C#、Python、Visual Basic .net
提升專業能力
提升專業能力,不拘","軟體工程師
、AI工程師
、演算法工程師",待遇面議,需出差，一年累積時間約一個月以下,台中市大雅區中清路5段109號,"https://maps.google.com.tw/?q=%E8%8A%AF%E5%96%AC%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8@24.2422154,120.627423&z=17",芯喬科技有限公司
https://www.104.com.tw/job/8ww7q?jobsource=joblist_search,,"【在華邦，學習不設限，讓AI技術力與你的未來力同步成長!】
我們深信「人才永續」是企業創新的核心動能。華邦持續投資於數據素養與AI應用的培育，支持每一位人才掌握AI與數據應用的核心能力。

．內部學習平台提供超過4,000堂線上課程，其中包含近850堂資料科學、人工智慧、數據思維與程式技術等多元主題，支援彈性自主學習
．建立跨部門的 AI實作班與技術社群，定期舉辦研習與交流活動，讓知識轉化為實戰力
．完善數據應用學習資源，結合資料呈現(Power BI、Tableau)、資料處理(Python、JMP)、流程自動化(Power Automate、UiPath)、AI助手(Copilot)，協助同仁有效以數據驅動決策與創新。
．搭配專業語言學習平台，提供學習補助與資源，鼓勵同仁持續進修，拓展國際視野

無論你是技術新秀還是資深專才，華邦鼓勵所有領域都能與AI結合，與國際接軌。持續精進、突破自我！

【邀請您將104履歷同步上傳至華邦官方網站，將使您的履歷優先被主管看見】
投遞網址:https://bit.ly/492F0Bb

我們正在尋找一位 LLM Engineer，負責打造與維運 企業內部使用的專用 LLM。
此角色將專注於 資料準備、模型訓練、測試、評估與調教，讓模型在特定領域與實際業務場景中穩定、可控地運作，支援內部 AI Assistant 與 Agentic AI 系統。
• 準備與維護 模型訓練資料，包含資料清理、結構化與 Synthetic Data Generation
• 執行 LLM Fine-tuning / Instruction Tuning，並進行模型版本管理
• 規劃並執行 模型測試與評估（品質、穩定度、效能），持續調整模型行為
• 負責 LLM 部署與推理 (Inference) 設定，確保模型在內部環境中可穩定使用
• 與 AI Assistant / Agent 團隊合作，根據實際使用回饋進行模型調教與優化,• 良好的 Python 開發能力與 ML / Deep Learning 基礎
• LLM 微調（Fine-tuning / Instruction Tuning） 的實務經驗
• 熟悉 Transformer、Tokenization、Embedding 等 LLM 基本原理
• 資料處理、資料生成與模型評估 的實作經驗
• 能理解業務需求，將其轉換為可訓練、可驗證的模型調整方案
• 具備良好的問題分析能力與跨團隊溝通合作經驗,Python、LLM
提升專業能力
提升專業能力,不拘","AI工程師
、資料工程師
、資料科學家",待遇面議,無需出差外派,台中市大雅區科雅一路8號,"https://maps.google.com.tw/?q=%E8%8F%AF%E9%82%A6%E9%9B%BB%E5%AD%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8@24.2121045,120.6199474&z=17",華邦電子股份有限公司
https://www.104.com.tw/job/89r6n?jobsource=joblist_search,AOI機器視覺工程師,"1. 機器視覺辨識軟件應用；
2. 將機器學習應用于計算機視覺及AOI領域；
3. 視覺程序撰寫及試機能力；
4. 光學調整能力；
5. CCD及鏡頭組件選用能力；
6. 硬件故障維修判斷能力。,不拘,C#、WinForm、Visual Studio、Visual C#、Visual Studio .net、PyTorch
提升專業能力
提升專業能力,演算法設計、軟體程式設計、系統架構規劃","演算法工程師
、AI工程師
、軟體工程師",待遇面議,需出差，一年累積時間未定,台中市大雅區中清路5段109號,"https://maps.google.com.tw/?q=%E8%8A%AF%E5%96%AC%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8@24.2422154,120.627423&z=17",芯喬科技有限公司
https://www.104.com.tw/job/8y7dw?jobsource=joblist_search,AI工程師｜工程與技術中心-產品研發處,"【AI 系統研發】
1.系統開發與整合：負責公司產品平台（前/後端、API）之開發維護，並驅動 AI 技術與現有系統（ERP/MES等系統）之深度整合。
2.AI 應用落地：建置 AI 服務架構（LLM 串接、RAG 知識庫、文件解析）及自動化流程。
3.資料架構設計：設計高效資料模型與處理流程，以支援 AI 訓練、推論及微服務架構轉型。

【平台維運與部署】
1.自動化維運：建立 CI/CD 流運、版本控管及 Docker/K8S 容器化管理。
2.雲端監控優化：管理 Azure 雲端服務，並執行系統效能調優與穩定性監控。

【團隊協作】
1.需求分析：協同 PM 與顧問進行技術評估，將業務需求轉化為技術實作方案。
2.技術標準化：撰寫技術文件並維護開發規範，確保程式碼品質與可維護性。
3.其他主管交辦事項,不拘,LLM、C#、Python
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、系統整合分析、結構化程式設計、模組化系統設計、系統架構規劃、資料庫程式設計","AI工程師
、後端工程師","月薪60,000~75,000元取得專屬你的薪水報告",無需出差外派,台中市西屯區漢翔東路33號,"https://maps.google.com.tw/?q=%E9%87%87%E5%A8%81%E5%9C%8B%E9%9A%9B%E8%B3%87%E8%A8%8A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8@24.1859455,120.6459111&z=17",采威國際資訊股份有限公司
https://www.104.com.tw/job/8u3zf?jobsource=joblist_search,AI資深工程師-后科廠,"1. 具下列AI模型開發實際經驗之一：
(1) 晶圓或面板製程圖片的自動缺陷分類。
2. 十分熟悉AI模型原理，並能清楚表達給非AI背景的理工科系同仁理解。
3. 需5年以上相關經驗，碩士或學士畢業,*3個月期滿調整薪資,C++、Python、C#
提升專業能力
提升專業能力,AI、演算法設計、軟體程式設計","軟體工程師
、演算法工程師
、AI工程師",待遇面議,需出差，一年累積時間未定,台中市后里區后科南路30號,"https://maps.google.com.tw/?q=%E6%97%AD%E6%9D%B1%E6%A9%9F%E6%A2%B0%E5%B7%A5%E6%A5%AD%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8@24.3153692,120.7293322&z=17",旭東機械工業股份有限公司
https://www.104.com.tw/job/8s0f2?jobsource=joblist_search,IPAS 淨零碳規劃管理師(初級)講師-基隆、大台北地區,"【業界經驗】業界五年以上相關經驗﹅能夠獨立開發專案﹅專案經驗分享。
【授課經驗】具備一年以上教學經驗尤佳，若無則需準備教材試教以確認教學能力。
【證照需求】IPAS 淨零碳規劃管理師(初級)。,不拘,不拘,不拘","講師
、AI工程師
、電腦補習班老師","時薪500~1,000元取得專屬你的薪水報告",依公司規定,台中市豐原區中正路116號,"https://maps.google.com.tw/?q=%E8%81%AF%E6%88%90%E9%9B%BB%E8%85%A6%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8(%E8%81%AF%E6%88%90%E9%9B%BB%E8%85%A6%2F%E8%81%AF%E6%88%90%E5%A4%96%E8%AA%9E)@24.2519642,120.7205413&z=17",聯成電腦股份有限公司(聯成電腦/聯成外語)
https://www.104.com.tw/job/8w8rw?jobsource=joblist_search,"【SMAI】Data Scientist/ Senior Data Scientist, Innovation Engineering Technology","Apply here: https://careers.micron.com/careers/job/39083635?domain=micron.com&hl=en

As a Data Scientist at Micron, you will leverage advanced techniques from mathematics, statistics, semiconductor physics, materials science, and information technology to uncover patterns in complex datasets. Your work will drive the development of predictive models, actionable insights, and innovative solutions that enhance business productivity.
 
Team's Key Responsibilities
• Develop AI Technology: Advance AI libraries and algorithms by integrating domain expertise to create efficient, accurate tools that bridge current AI capabilities with business needs.
• Enable Engineering Excellence: Support initiatives that improve product engineering through root cause analysis, yield optimization, and increased engineer productivity.
• Perform End-to-End Data Analysis: Analyze comprehensive datasets from front-end and back-end testing, including product and manufacturing outcomes.
• Build Scalable Systems: Design and implement software programs, algorithms, and automated workflows to clean, unify, and analyze large, diverse datasets.
• Drive Innovation: Engage in exploratory research and develop creative solutions that foster innovation and operational efficiency.
 
What You’ll Do
• Collaborate across teams to incorporate AI tools into engineering processes.
• Transform raw data into meaningful insights that inform decision-making.
• Continuously explore new technologies and methodologies to improve data-driven solutions.
 
Qualifications
• Familiarity with AI tools from Google, Microsoft, and OpenAI, and ability to integrate these tools with big data for advanced analysis.
• Solid experience in statistical modeling, feature extraction, and machine learning techniques (supervised, unsupervised, semi-supervised learning). Exposure to the semiconductor industry is a plus but not required.
• Proficiency in extracting data from various databases using SQL and other query languages, applying data cleansing, outlier detection, and missing data handling techniques. Knowledge of using AI to optimize SQL queries is a strong advantage.
• Strong verbal and written communication skills in English.
 
Preferred Skills & Experience
• Hands-on experience or willingness to learn machine learning and advanced analytical methods.
• Proficiency in Python and/or R.
• Familiarity with JavaScript, AngularJS 2.0, Tableau, and Power BI.
• Experience with time-series data, image data, semi-supervised learning, and datasets with frequently changing distributions is a plus.
• Experience with Manufacturing Execution Systems (MES) is a plus.,不拘,不拘","全端工程師
、資料科學家
、AI工程師",待遇面議,無需出差外派,台中市后里區三豐路四段369號,"https://maps.google.com.tw/?q=%E5%8F%B0%E7%81%A3%E7%BE%8E%E5%85%89(%E5%8F%B0%E7%81%A3%E7%BE%8E%E5%85%89%E6%99%B6%E5%9C%93%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%2F%E5%8F%B0%E7%81%A3%E7%BE%8E%E5%85%89%E8%A8%98%E6%86%B6%E9%AB%94%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%2F%E7%BE%8E%E5%95%86%E7%BE%8E%E5%85%89%E4%BA%9E%E5%A4%AA%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%8F%B0%E7%81%A3%E5%88%86%E5%85%AC%E5%8F%B8)@24.31668,120.7236508&z=17",台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司)
https://www.104.com.tw/job/8lajp?jobsource=joblist_search,AI原生雲部門工程師(台中總部),"工作內容：
1. 雲平台系統研究、設計及開發 
2. 微服務平台設計及開發 
3. 自有作業系統開發
4. 自動化維運/測試開發
5.  建構 cloud-based 的大數據分析或/和資訊安全 SaaS 平台

其他條件：
1. 資訊、電子電機或相關專業。
2. 熟悉C、C++、Python等程式語言，具備良好的分析能力。
3. 具備數據結構、數學建模、演算法設計及優化能力的理論基礎或經驗。
4. 熟悉Linux環境，具備基本的系統管理和運維能力。
5. 熟悉超融合架構與服務容器化。
6. 具備對雲原生(Cloud Native)開發的理解與熱忱。,不拘,Git、C++、PHP、Python、MySQL、Node.js、Django
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計",軟體工程師,待遇面議,無需出差外派,台中市西屯區,"https://maps.google.com.tw/?q=%E8%AA%A0%E9%9B%B2%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8@24.1769764,120.6424333&z=17",誠雲科技股份有限公司
https://www.104.com.tw/job/8vzol?jobsource=joblist_search,PCG250216-3D - AI 訓練工程師(台中),"1. 資料建立
2. 整理 3D 模型、渲染圖片、材質資訊與文字描述
3. 資料標註與前處理
協助為圖片或 3D 模型進行部位、材質、結構或特徵標註，並完成分類、清洗、格式統一等前處理
4.AI 訓練協作
支援3D相關多種模型訓練，包含分類、辨識、特徵抽取、自動生成
5. 模型結果驗證與資料調整
測試 AI 模型輸出結果，協助找出異常案例、補充資料並改善模型準確度
6. 使用 ComfyUI 建立與調整生成流程（workflow）
7. 訓練、驗證、調校模型（使用 PyTorch）
8. 主管交辦事項,不拘,不拘,不拘","軟體工程師
、全端工程師
、後端工程師",待遇面議,無需出差外派,台中市西屯區,"https://maps.google.com.tw/?q=%E5%AF%B6%E6%88%90%E5%B7%A5%E6%A5%AD%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8@24.1769764,120.6424333&z=17",寶成工業股份有限公司
