網址,工作名稱,工作標籤,關鍵字
https://www.104.com.tw/job/8ynkv?jobsource=joblist_search,集團 經營企劃管理師,軟體工程師,"Tableau,狀態,監控,策略,資料視覺化,追蹤"
https://www.104.com.tw/job/8q0kd?jobsource=joblist_search,專案助理(台中),軟體工程師,"Excel,PowerPoint,Word,圖"
https://www.104.com.tw/job/8jz5v?jobsource=joblist_search,網路傳輸工程師(烏日基地),軟體工程師,"介面,圖,文件,監控,軟體"
https://www.104.com.tw/job/8txh6?jobsource=joblist_search,AI應用工程師 (AI agent / Local LLM tuning / Full-stack全端),全端工程師,"AI,AJAX,AWS,CSS,Database,Full-stack,Git,Github,JavaScript,Keras,LLM,Machine Learning,MySQL,NLP,PHP,PostgreSQL,PyTorch,Python,SEO,State,Vue,jQuery,scikit-learn,stack,tensorflow,代理,全端,前端,品質,圖,容器,後端,抽象,框架,模型,模組,模組化,機器學習,演算法,自動化,資料庫,軟體,部署"
https://www.104.com.tw/job/8xdow?jobsource=joblist_search,AI應用優化師助理 (提示詞工程設計與優化 / AI工具應用),全端工程師,"AI,JavaScript,LLM,Machine Learning,Python,Quality,SEO,代理,全端,品質,圖,抽象,模型,機器學習,自動化,迭代,集合"
https://www.104.com.tw/job/89z3u?jobsource=joblist_search,資訊助理,軟體工程師,"Excel,PowerPoint,Word,軟體"
https://www.104.com.tw/job/8j2in?jobsource=joblist_search,[台中] 集團系統工程師 (需海外出差),後端工程師,".NET,ASP,ASP.NET,C#,Java,MySQL,PostgreSQL,SQL,Visual Studio,後端,自動化,資料庫,軟體"
https://www.104.com.tw/job/8ysz4?jobsource=joblist_search,AI 應用專員,AI 工程師,"3D,AI,品質,圖,外掛,影像處理,模型,軟體,追蹤"
https://www.104.com.tw/job/8r01o?jobsource=joblist_search,Lumez【數據分析專員-專案合約制】總公司(非遠端),軟體工程師,"Java,JavaScript,PowerPoint,Python,Word,excel,power BI,模型,策略,認證,資料庫,軟體"
https://www.104.com.tw/job/8wn1k?jobsource=joblist_search,Product and Compliance Specialist,AI 工程師,"Agile,Azure,DevOps,IoT,Jira,Solid,documentation,quality,release,software"
https://www.104.com.tw/job/8xxek?jobsource=joblist_search,PLM實施顧問(Windchill/Java) - 台中,全端工程師,".NET,C#,CSS,HTML,JSP,Java,JavaScript,Oracle,PostgreSQL,SQL,SQL Server,https,全端,品質,圖,抽象,文件,管道,自動化,資料庫,軟體,追蹤"
https://www.104.com.tw/job/8w1qm?jobsource=joblist_search,韌體工程師,軟體工程師,"HMI,介面,文件,追蹤"
https://www.104.com.tw/job/74l0t?jobsource=joblist_search,軟體工程師(嵌入式系統)-台中,AI 工程師,"AI,C++,Linux,Opencv,openGL,介面,嵌入式系統,模組,模組化,軟體"
https://www.104.com.tw/job/8x9fa?jobsource=joblist_search,【中部高薪獵才_製造轉型系統整合商】BI 商業分析師_保障薪資14個月、外商辦公室、技術背景團隊、數位轉型、薪資福利優渥_TCP_860,AI 工程師,"AI,MySQL,Power BI,SQL,Tableau,品質,圖,抽象,模型,資料庫,資料結構,追蹤"
https://www.104.com.tw/job/7yn1w?jobsource=joblist_search,程式工程師,軟體工程師,"API,C++,Excel,Python,SQL,SQL Server,VBA,資料庫,軟體"
https://www.104.com.tw/job/8njuw?jobsource=joblist_search,"FW工程師,高級工程師,影像工程師",UX 設計師,"C++,Git,Linux,介面,嵌入式系統,軟體"
https://www.104.com.tw/job/8vwqt?jobsource=joblist_search,PHP工程師（全遠端）,前端工程師,"API,CSS,Git,Go,MySQL,PHP,RESTful,Redis,前端,軟體"
https://www.104.com.tw/job/7h71z?jobsource=joblist_search,C#系統開發工程師,AI 工程師,".NET,AI,API,ASP,ASP.NET,C#,Git,MVC,MySQL,SQL,模組,軟體"
https://www.104.com.tw/job/8u7u5?jobsource=joblist_search,Cocos前端⼯程師,前端工程師,"3D,Android,Cocos,Git,Vue,api,http,iOS,websocket,前端,框架,軟體"
https://www.104.com.tw/job/8y35d?jobsource=joblist_search,資訊室-電腦維修計時人員 (計時)(中港院區),軟體工程師,軟體
https://www.104.com.tw/job/8hugw?jobsource=joblist_search,Tech Support 技術支援工程師（全遠端）,軟韌體測試工程師,"API,Elasticsearch,Excel,Kibana,Logstash,Postman,TCP/IP,Word,日誌,監控,軟體,追蹤"
https://www.104.com.tw/job/8fjp3?jobsource=joblist_search,資安產品經理,軟體工程師,"CSS,HTML,MySQL,Node.js,PHP,TCP/IP,Wireshark,策略,資料庫,軟體"
https://www.104.com.tw/job/7wxeq?jobsource=joblist_search,【台中】前端工程師/Front-end Developer(保障年薪13個月)-部分遠端,前端工程師,"3D,AI,API,Angular,CSS,ES6,Git,GitHub,HTML5,JavaScript,Jenkins,SASS,SCSS,Vue,jQuery,介面,前端,品質,圖,套件,後端,效能,文件,框架,軟體,部署"
https://www.104.com.tw/job/8o35m?jobsource=joblist_search,(4559) 久裕興-資訊工程師,軟體工程師,"Bridge,Java,php,認證,軟體"
https://www.104.com.tw/job/8wark?jobsource=joblist_search,Vue 前端工程師,前端工程師,"API,CSS,Git,JavaScript,Jest,Library,RESTful,RWD,React,Redux,Sass,Tailwind,TypeScript,Vue,framework,前端,品質,單元測試,後端,效能,框架,狀態,軟體,重構"
