網址,工作名稱,工作標籤,關鍵字,date
https://www.104.com.tw/job/8mjh1?jobsource=joblist_search,外商跨國製造業 ERP Engineer / BI Engineer (遠距工作),AI 工程師,"AI,Oracle,Power BI,Tableau,模組",2025-04-05
https://www.104.com.tw/job/8e85h?jobsource=joblist_search,AI工程師(AI Engineer),前端工程師,"AI,C#,Deep Learning,Framework,Go,Java,LLM,Machine Learning,PyTorch,Rust,SQL,SQL Server,SVN,TensorFlow,前端,可維護性,後端,擴展性,模型,模組,模組化,機器學習,管道,軟體,部署",2025-04-05
https://www.104.com.tw/job/890yb?jobsource=joblist_search,【軟體開發處】AI工程師,AI 工程師,"AI,Python,模型,策略,軟體,追蹤",2025-04-05
https://www.104.com.tw/job/8a0qa?jobsource=joblist_search,資訊部 |AI工程師,AI 工程師,"AI,C#,PyTorch,Python,TensorFlow,框架,機器學習,演算法,資料庫,軟體",2025-04-05
https://www.104.com.tw/job/8afql?jobsource=joblist_search,學習型的實習生（資訊軟體系統類）,AI 工程師,"AI,監控,軟體",2025-04-05
https://www.104.com.tw/job/8mtdk?jobsource=joblist_search,研發高級工程師/工程師 (AI-AOI機器視覺),AI 工程師,"AI,AOI,C#,Linux,OpenCV,QT,介面,套件,影像處理,模型,機器學習,演算法,軟體",2025-04-05
https://www.104.com.tw/job/718r0?jobsource=joblist_search,資深影像主管,AI 工程師,".net,3D,AI,AOI,C#,Python,機器學習,演算法,軟體",2025-04-05
https://www.104.com.tw/job/8lrai?jobsource=joblist_search,AI工程師（台中）,AI 工程師,"AI,API,NumPy,Pandas,Python,RESTful,圖,模型,軟體,部署,雲端運算",2025-04-05
https://www.104.com.tw/job/8nha5?jobsource=f_2025career,【2025校徵專區】CH-B03AIoT SI專案工程師,AI 工程師,"AI,https,jsp,介面,文件,物聯網",2025-04-05
https://www.104.com.tw/job/6g3da?jobsource=joblist_search,資深Python程式課程講師-台中站前認證中心,全端工程師,"AI,Python,全端,認證",2025-04-05
https://www.104.com.tw/job/8nxyk?jobsource=joblist_search,學習型 人工智慧物聯網 AIoT 實習生,AI 工程師,"AI,Firmware,Keras,PyTorch,tensorflow,提交,機器學習,演算法,物聯網",2025-04-05
https://www.104.com.tw/job/8nhja?jobsource=joblist_search,LLM 生成式 AI 軟體工程師(台中),AI 工程師,"AI,AWS,LLM,PyTorch,Python,效能,模型,軟體,追蹤,部署",2025-04-05
https://www.104.com.tw/job/8itad?jobsource=joblist_search,資料預測工程師,AI 工程師,"AI,Linux,PyTorch,Python,動態規劃,品質,圖,大數據,最佳化,模型,機器學習,監控,策略,軟體",2025-04-05
https://www.104.com.tw/job/8m9nw?jobsource=joblist_search,東海大學人工智慧中心誠徵【經濟部價創計畫】AI / ML Engineer,AI 工程師,"AI,C#,ML,Python,效能,模型,機器學習,演算法,軟體",2025-04-05
https://www.104.com.tw/job/8o1vs?jobsource=joblist_search,"【台中】Software Engineer, Legal Automation & AI Integration (Python/PHP) 法律自動化與AI整合軟體工程師 (月薪7-10萬)",後端工程師,"AI,API,LLM,NLP,PHP,Python,Software,annotation,backend,machine learning,代理,後端,文件,模型,模組,模組化,機器學習,自動化,軟體",2025-04-05
