"job-href","job","content","types","salary","business_trip","date","position_text","position_href","company"
"https://www.104.com.tw/job/8m1db?jobsource=new_map&app_jobsource=m_time4jobs","D4000 電商營運系統JAVA軟體開發工程師【台中】B","加入台灣領先電商，共創獨特購物體驗！
富邦媒體科技，作為台灣電商的領航者，致力於打造無與倫比的購物平台。
我們的使命不僅是連接商品與消費者，更是為每位顧客帶來別具一格的購物體驗。在富邦momo，您將與一群充滿熱情和創造力的專業人士共事，共同開創電商新紀元。


【工作內容】
1.主要開發與維護網站系統/內部營運平台
2.分析設計和開發，持續程式碼和系統性能優化
3.前後端Web/API功能串接開發 
4.高流量、高併發的模組功能開發
5.日常系統維運作業，進階工作負責架構規劃與需求分析

【加分條件】
1. 一年以上的網站開發經驗
2. 熟Java且有SpringBoot，Spring MVC、Spring框架開發經驗
3. 有開發前端框架經驗(Vue、Angular；React.js尤佳)
4. 熟悉SQL語法且具備Oracle、Postgre、mongoDB使用經驗
5. 瞭解並使用Git、Redis等相關經驗，熟Linux作業系統操作尤佳,不拘,Java、HTML、JavaScript
提升專業能力
提升專業能力,不拘","Internet程式設計師
、軟體工程師
、其他資訊專業人員","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/7t5px?jobsource=new_map&app_jobsource=m_time4jobs","前端網頁工程師（具備美感設計能力）","奇點無限是一家以「數學最佳化」與「資料科學」為核心技術的軟體公司，致力於智慧交通及綠色物流領域。透過頂尖數學家與工程師的合作，提供全球永續發展的最佳化解決方案。

【職務說明】
我們正在尋找一位兼具前端開發與UI/UX設計能力的專才，加入我們的團隊，設計與開發高效且吸引人的網站與應用程式，根據用戶需求與品牌定位，提供直觀且富有創意的使用者介面，進一步提升整體體驗。適合對新創充滿熱情，並渴望前瞻性職涯發展的您！


【職責內容】
• 設計並開發高效且美觀的前端，負責網站與應用程式的UI/UX設計與前端開發，確保優良的使用者體驗與功能性。
• 與後端工程師協作，保證前後端的順暢整合與前端效能優化。
• 參與需求討論並提供技術建議，協助產品設計與體驗的完善。
• 進行跨瀏覽器兼容性測試，確保不同設備上的一致性與穩定性。
• 支援產品視覺設計，創建吸引眼球的介面設計，提升用戶體驗及品牌形象。
• 執行主管交辦的其他相關任務。


【基本條件】
• 精通 HTML、CSS、JavaScript（ES6+）、TypeScript，能獨立完成前端開發工作。
• 熟悉 VueJS、React 或其他前端框架，並具備單頁應用程式（SPA）與伺服器端渲染（SSR）的開發經驗。
• 具備UI/UX設計經驗，能根據用戶需求設計直觀、吸引人且易於使用的介面。
• 熟悉響應式設計（RWD），確保網站在各類設備上的優秀顯示效果。
• 熟練使用 Git 進行版本控制，具備團隊合作經驗。
• 具備API串接經驗，能處理前端與後端數據交互。
• 熟悉 Git 進行版本控制，並能在團隊協作中有效管理代碼變更。


【加分條件】
• 具備美感設計與文宣設計經驗，能將設計轉化為有效的行銷工具，幫助提升品牌價值。
• 熟悉視覺設計工具（如 Sketch、Figma、Adobe XD 等），能創建高品質的設計稿與原型。
• 具備跨部門合作經驗，能與行銷團隊協作，提升產品的市場影響力。
• 熟悉前端測試工具，能撰寫單元測試，確保代碼品質。


【應徵方式】
團隊是實現夢想的核心，請提供以下資料，讓我們更了解你：

1. 簡歷：分享你的技術經驗與成就。
2. GitHub 或作品連結：展示你的程式碼與專案成果。
3. 應徵動機：用簡短文字告訴我們，你希望在團隊中實現什麼！


如果您具備上述條件，擁有豐富的想像力與創新思維，並希望在充滿挑戰的環境中，運用數學與資料科學，與我們共同開創智慧交通與綠色物流的未來，立即加入我們！,【期望特質】

智者說：對的人是成事的關鍵，我們期待您具備以下特質：

• 熱衷創新，勇於嘗試新技術並付諸實踐。
• 擅長團隊合作，與他人有效溝通，共同解決問題。
• 自律且具責任感，能有效管理時間與資源。
• 面對挑戰時，保持正向、靈活應對變動。
• 高度誠信，對工作全力以赴，保證如期完成。
• 以用戶需求為核心，專注提升產品與服務體驗。
• 積極學習，接受挑戰，持續自我成長。
• 認同公司使命，並為共同目標努力。,ReactJS、Spring、MySQL、PostgreSQL、RDBMS、HTML、JavaScript、jQuery、CSS、Sass、Node.js、Java、AngularJS、VueJS、Redux、Django、Angular、Sketch、Zeplin、Adobe XD、Figma、Wireframe、Github、Jenkins、Git、AJAX
提升專業能力
提升專業能力,多媒體簡報製作、軟體程式設計、網路程式設計、多媒體企劃設計、多媒體技術開發、多媒體影像處理、行銷工具設計開發、使用者介面設計、設計表現能力、媒體動畫應用設計諮詢、電腦動畫設計","軟體工程師
、Internet程式設計師
、網頁設計師","月薪32,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8sfg2?jobsource=new_map&app_jobsource=m_time4jobs","【金融創新部】初階程式設計師（工作地點：台中）","【⼯作內容】
現有功能維護及開發: 能接觸到前端、後端、SQL技術，⼀條⿓的串接開發，提供實務開發的平台

【必要技能】
1. 後端：C# .net Framework MVC、MS SQL
2. 前端：Javascript
3. 接觸過HTML、CSS、物件導向程式設計概念

【加分條件】
1. 了解MVC架構
2. 了解前端框架(Ext.js、React等)
3. 了解SVN、Git等版控操作
4. 喜歡接觸新事物、新技術、並能不斷提升⾃我技術⽔準


【寶碩財務科技−⾦融創新部簡介】
我們致⼒於⾦融商品投資管理平台開發，協助客戶進⾏⾦融商品交易部位管理、
⾵險管理及投資決策分析。

我們的成員組成為敏捷式團隊，提供客戶WEB化系統產品與服務(基於MVC架構)。
有別於其他傳統系統代理與專案模式，我們配置專職財務⼯程專家掌握最新⾦融技術、
商品變化與法規要求，結合兩個領域的優勢，建構完整、全⾯的投資平台，致⼒於核⼼產品開發，引領客戶⾯對不斷變化中的⾦融挑戰。

我們這裡有扁平的組織結構、採⽤敏捷式開發流程、開放⾃由的討論⽂化與導師制度、
完善的新⼈教育訓練、彈性的上班時間(8:30~10:30)做滿8⼩時⾃⾏下班、
沒有傳統企業的包袱、下班不⽤等主管離開才能⾛、沒有加班⽂化，
每周⼀次以上的部⾨聚餐(⾃由參加)、
友善豐富的進修管道(內訓、外訓、證照補助、部⾨知識庫)、
提供每⼈基本配備個⼈電腦(含SSD)+雙螢幕、
不定時的資訊技術、財經新知、財務知識、理財知識分享。

無須具備財務⾦融相關知識，歡迎不具財經背景的資訊⼯程師加⼊⼀同成⻑、分享與切磋~,不拘,不拘,不拘","軟體工程師
、Internet程式設計師","月薪40,000~60,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/73eyj?jobsource=new_map&app_jobsource=m_time4jobs","前端工程師","【工作內容】
1. 參與企業專案開發及系統維護。
2. ReactJS程式開發或NodeJS程式開發。
3. 使用者教育訓練，系統問題協助及排除。
4. 資訊文件撰寫。
5. 新技術學習和研究。
6. 主管交辦事項。

【其它條件】
1. 具備開發及維護大型系統經驗。
2. 前後端分離開發經驗和模組開發經驗。
3. 多前端框架的實務經驗。
4. 熟悉MySQL或MSSQL資料庫。
5. RESTful API開發經驗。,不拘,Node.js、ReactJS、VueJS
提升專業能力
提升專業能力,不拘","軟體工程師
、前端工程師
、全端工程師","月薪34,000~45,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8o1sf?jobsource=new_map&app_jobsource=m_time4jobs","D4000 電商訂購系統前端開發工程師","【工作內容】
1. 使用React框架開發高效、可擴展的用戶界面組件，並與後端 API 集成以實現完整的應用程式。
2. 將設計圖轉化為具有交互性和視覺吸引力的前端界面，確保用戶體驗的優化和一致性。
3. 與設計師和產品團隊合作，理解產品需求並提供技術建議，以實現最佳的用戶界面設計。
4. 使用 React 生態系統中的相關庫和工具，如 Redux、React Router等，管理應用程式的狀態和路由。

【工作技能】
1. 熟練掌握 React 框架及相關生態系統，並有相應的實際開發經驗。
2. 深入理解 React 的組件化開發模式和單向數據流，能夠編寫可重用和可測試的組件代碼。
3. 熟悉 JavaScript 和 ES6+特性，能夠解決跨瀏覽器兼容性問題並使用最新的語言功能。
5. 熟悉前端工程化和自動化工具，如 Webpack、Babel 等，並能夠配置和優化相應的開發環境。
6. 具備良好的團隊合作能力和溝通能力，能夠有效地與設計師、產品經理和其他開發人員合作。
7. 對於性能優化、程式質量和安全性有著高度的關注和要求。

【加分條件】
1. 對於 Nginx 專案佈署有相關經驗。
2. 熟悉 webpack、gulp 打包工具。
3. 對於前後端分離有相關經驗。
4. 具備良好的設計感和用戶體驗意識，能夠將設計轉化為具體的前端實現。
5. 持續學習和探索新的技術和工具，並將其應用於實際項目中。,不拘,不拘,不拘","前端工程師
、軟體工程師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8m1cv?jobsource=new_map&app_jobsource=m_time4jobs","D4000 電商營運系統JAVA軟體開發工程師【台中】","加入台灣領先電商，共創獨特購物體驗！
富邦媒體科技，作為台灣電商的領航者，致力於打造無與倫比的購物平台。
我們的使命不僅是連接商品與消費者，更是為每位顧客帶來別具一格的購物體驗。在富邦momo，您將與一群充滿熱情和創造力的專業人士共事，共同開創電商新紀元。


【工作內容】
1.主要開發與維護網站系統/內部營運平台
2.分析設計和開發，持續程式碼和系統性能優化
3.前後端Web/API功能串接開發 
4.高流量、高併發的模組功能開發
5.日常系統維運作業，進階工作負責架構規劃與需求分析

【加分條件】
1. 一年以上的網站開發經驗
2. 熟Java且有SpringBoot，Spring MVC、Spring框架開發經驗
3. 有開發前端框架經驗(Vue、Angular；React.js尤佳)
4. 熟悉SQL語法且具備Oracle、Postgre、mongoDB使用經驗
5. 瞭解並使用Git、Redis等相關經驗，熟Linux作業系統操作尤佳,不拘,Java、HTML、JavaScript
提升專業能力
提升專業能力,不拘","Internet程式設計師
、軟體工程師
、其他資訊專業人員","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8m1cy?jobsource=new_map&app_jobsource=m_time4jobs","D4000 電商營運系統JAVA軟體開發工程師【台中】C","加入台灣領先電商，共創獨特購物體驗！
富邦媒體科技，作為台灣電商的領航者，致力於打造無與倫比的購物平台。
我們的使命不僅是連接商品與消費者，更是為每位顧客帶來別具一格的購物體驗。在富邦momo，您將與一群充滿熱情和創造力的專業人士共事，共同開創電商新紀元。


【工作內容】
1.主要開發與維護網站系統/內部營運平台
2.分析設計和開發，持續程式碼和系統性能優化
3.前後端Web/API功能串接開發 
4.高流量、高併發的模組功能開發
5.日常系統維運作業，進階工作負責架構規劃與需求分析

【加分條件】
1. 一年以上的網站開發經驗
2. 熟Java且有SpringBoot，Spring MVC、Spring框架開發經驗
3. 有開發前端框架經驗(Vue、Angular；React.js尤佳)
4. 熟悉SQL語法且具備Oracle、Postgre、mongoDB使用經驗
5. 瞭解並使用Git、Redis等相關經驗，熟Linux作業系統操作尤佳,不拘,Java、HTML、JavaScript
提升專業能力
提升專業能力,不拘","Internet程式設計師
、軟體工程師
、其他資訊專業人員","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8ryey?jobsource=new_map&app_jobsource=m_time4jobs","Flutter 工程師 | 旅遊新創 - 旅步 tripool｜全遠端 -- 台中","公司描述
- 2012年團隊成立，建立台灣旅遊資訊網站 rtaiwanr.com，當時每10位外語旅客就有1位透- 過此網站規劃來台旅程
- 2013年成立旅行社，提供包車旅遊服務，替外國旅客規劃50,000個客製化行程
- 2016年研發行程規劃系統，景點自動推薦、路徑最佳化並即時報價，大幅縮減人力支出80%
- 2018年從數據中發現約35%的行程並不需要全日包車旅遊，僅需單趟的接駁服務，因此將既有行程規劃系統做延伸，以演算法為基礎，開發出車輛調度與派車系統，建立 tripool旅步
- 2019年 tripool旅步全年服務超過來自60個不同國家的旅客，透過路徑規劃演算法降低空車率，以市價5~8折提供長途專車接送，往返全台各地風景區、飯店與機場
- 2020年Covid-19爆發後，深耕台灣市場，於2021年恢復疫情前營收表現，並於2022年成長超過100%
- 2024年提供海外服務＆台灣智慧共乘 

工作機會描述
-使用 React 開發網頁前端，打造吸引用戶的行銷頁面，支援行銷活動、推廣內容和品牌展示。
-與行銷團隊和設計師密切合作，根據品牌需求實現高品質的 UI 和交互效果，確保頁面吸引力和用戶體驗。
-熟悉 React 組件（如 Functional Components、Hooks）Flutter Widget，能夠快速實作動態、響應式的行銷頁面。
-使用 Flutter 開發 iOS 及 Android 平台的行銷相關應用頁面，實現跨平台的視覺一致性。
-整合 RESTful API，將後端數據（如行銷活動數據、用戶互動數據）融入網頁和應用中。
-熟悉 React 狀態管理（如 Context API、Redux）或 Flutter 狀態管理，實現流暢的頁面更新和數據交互。
-使用 Git 進行版本控制，與團隊協作完成程式碼管理。
-熟悉 WebView 實作，將行銷網頁內容嵌入 Flutter 應用中，或在 React 中處理嵌入式內容。
-協助應用打包及上架流程，確保 Flutter 相關行銷頁面順利發佈到 iOS 和 Android 平台。
-分析並優化網頁和應用行銷頁面的效能（如載入速度、動畫流暢度、SEO 優化）。
-持續學習前端新技術（如 React 新功能、Flutter 更新），並應用於行銷頁面的創新功能。
-擅長與行銷、設計及後端團隊溝通，具備良好的協調能力和對新技術的學習熱情。

其它加分條件
-熟悉 Flutter 進階功能（如自定義動畫、複雜 Widget 組合），能提升行銷頁面的互動體驗。
-熟悉 Firebase，特別是 Firebase Analytics 或 Firebase Remote Config，用於追蹤行銷活動成效。
-熟悉 GPS 和地圖功能（如 geolocator 或 mapbox_maps_flutter），能實現基於位置的行銷功能。
-熟悉 React 狀態管理工具（如 Redux, Zustand, MobX）或 Flutter 狀態管理方案（如 GetX, Provider, Riverpod, BLoC）。
-熟悉前端測試框架（如 Jest, React Testing Library）或 Flutter 測試（如單元測試、Widget 測試）。
-有作品展示（如行銷相關網頁或應用），能展現 UI/UX 設計能力或行銷頁面實作經驗尤佳。
-有作品展示尤佳

你會想加入我們團隊的原因
- 你喜歡在小型團隊工作，並討厭官僚僵化的流程
- 你喜歡學習，熱愛鑽研技術
- 你享受嘗試新事物和前衛的技術
- 彈性上班時間，完全遠端工作,不拘,Flutter、Firebase、iOS、Android、Github、SEO、Git
提升專業能力
提升專業能力,不拘","Android工程師
、iOS工程師
、前端工程師","月薪55,000~70,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8s6b0?jobsource=new_map&app_jobsource=m_time4jobs","【保障年薪14個月】網頁前端工程師","【 About  Us 】
廣告行銷產業變動快速，是具備高度競爭力的產業。我們的團隊節奏快，管理風格扁平、重視團隊合作與溝通協作，歡迎有挑戰精神的您加入我們的團隊，共同在資訊洪流中展穩腳步並且茁壯成長！

【網頁前端工程師】打造高效能、可維護的使用者體驗！
我們正在尋找一位具備前端框架開發經驗、專注於效能優化的網頁前端工程師，與設計、後端密切合作，實現頂尖的使用者體驗。

【工作內容 / 你將負責】
◤ 前端開發技術與框架應用
   熟悉前端框架與模組化開發，撰寫具備可維護性與可擴充性的程式碼。
   理解瀏覽器渲染流程，能針對效能瓶頸進行技術優化與問題解除。
   熟悉 JavaScript 模組化、打包工具與優化前端程式碼開發。
◤ 網頁效能優化與使用者體驗提升
   能獨立執行網站效能分析與優化，改善載入速度與互動性。
   針對核心網頁體驗指標（LCP、CLS、INP）進行優化與調校。
   熟練圖片壓縮、資源懶加載（Lazy Loading）等網站前端效能最佳化。
◤ 瀏覽器渲染與性能理解
   了解瀏覽器的渲染機制與資源加載流程。
◤ 跨部門協作
   與切版師協同整合RWD視覺畫面
   與後端工程師協同整合 API 與資料處理，提升網站系統整體效能。

【必備技能 / 我們希望你】
◆ 熟悉 HTML、CSS、JavaScript 並具備前端框架實作經驗。
◆ 熟悉 ES Modules、Component-based 結構設計
◆ 熟用 Tailwind、Bootstrap 或自製元件系統
◆ 了解瀏覽器渲染流程，熟練圖片壓縮、資源懶加載、JS 分包。
◆ 能獨立debug網站前端相關問題，且有實際改善網站效能案例者佳。
◆ 具備高度自律與主動性，能自主管理進度與品質。
◆ 積極學習：持續吸收前端新技術與效能優化知識。

【加分技能】
◇ 具備 CDN 資源快取調整經驗。
◇ 熟悉前端框架提升 SEO 結構化與使用者體驗。
◇ Next.js
◇ Vue
◇ PHP
◇ Angular
◇ React

【你會喜歡這裡，因為我們】
☆ 重視創意與溝通，尊重每個人的專業與聲音。
☆ 我們重視效率，追求成果勝過加班時數。
☆ 我們提倡員工自主性，鼓勵成員在工作中主動思考並持續成長。
☆ 鼓勵開放討論與積極回饋，任何人都可以提出好點子。
☆ 成果導向：您的努力會被看見。在這裡，回報與表現成正比。
☆ 鼓勵成員持續學習新知與優化流程，一起進化不間斷。
☆ 只要你對職涯有積極成長的規劃與期待，我們非常樂意提供舞台與機會。

★具競爭力的公司福利★
◇固定年終獎金2個月
◇三節禮金
◇生日禮金
◇每年穩定調薪
◇每年享有12天(以上)特休+不扣薪病假5天
◇不定期部門聚餐
◇團康活動(運動類、益智桌遊、藝術創作)
◇員工活動

★成為正式員工額外享有★
◇一年2次績效考核獎金
◇員工團體保險
◇年度健康檢查
◇健身房補助方案,不拘,HTML、JavaScript、CSS、Github
提升專業能力
提升專業能力,網頁語法撰寫、軟體程式設計","前端工程師
、Internet程式設計師
、網頁設計師","月薪40,000~48,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/7yz3j?jobsource=new_map&app_jobsource=m_time4jobs","全端工程師","1. 使用 Vue / React 維護網管程式與優化功能，進行簡易障礙排除或通報相關單位。
2. 操作 MySQL/ MSSQL/ NoSQL 撈取網管監控數據，進行後續分析與規劃。
3. 專案計畫執行及主管交辦事項。,1. 具Vue / React 任一前端開發經驗尤佳。
2. 具MySQL、MSSQL、NOSQL 經驗尤佳。,不拘,不拘","網路管理工程師
、系統工程師
、資料庫管理人員","月薪32,000~50,000元","無需出差外派","2025-09-09","","",""
