"job-href","job","content","types","salary","business_trip","date","position_text","position_href","company"
"https://www.104.com.tw/job/8kzb1?jobsource=joblist_search","全端工程師(AI)","為了推動AI技術的創新與落地，我們正在尋找全端工程師（AI），與我們的AI研究與開發團隊合作，共同構建高效、穩定、可擴展的AI應用。如果你熱愛技術，對AI充滿熱情，並希望在AI領域深耕發展，歡迎加入我們！

工作職責
作為全端工程師（AI），你的主要職責包括：
 1. 前端開發
    • 使用 React.js / Vue.js / Angular 等框架構建高效、美觀的AI應用前端。
    • 設計並開發交互式可視化界面，以便展示AI模型的輸出與數據分析結果。
    • 優化前端性能，確保流暢的用戶體驗。
 2. 後端開發
    • 使用 Python / Node.js / Go / Java 等語言開發後端系統，支撐AI服務運行。
    • 設計並開發RESTful API 或 GraphQL 來處理AI請求，並管理模型推理結果。
    • 整合 AI 模型（如 TensorFlow, PyTorch, OpenAI API）到後端應用中。
 3. AI 模型部署與優化
    • 與AI團隊協作，將機器學習/深度學習模型從研究環境（Jupyter Notebook）轉移到生產環境。
    • 利用 FastAPI / Flask / Django 搭建 AI API 服務，確保低延遲、高可用性。
    • 透過**模型優化（如量化、剪枝、蒸餾）**提高運行效率。
 4. 數據處理與存儲
    • 設計與管理SQL（PostgreSQL, MySQL）/ NoSQL（MongoDB, Redis, Firebase）數據庫。
    • 優化數據流與儲存架構，以支持AI數據訓練與推理需求。
 5. 系統架構與部署
    • 使用 Docker / Kubernetes 進行容器化管理，部署AI應用至雲端（AWS/GCP/Azure）或本地伺服器。
    • 透過CI/CD（Jenkins, GitHub Actions） 實現持續整合與自動化部署。
 6. 技術創新與最佳實踐
    • 研究與探索最新的 AI 技術（如大語言模型 LLM、生成式 AI（GenAI）、RAG（檢索增強生成）技術）。
    • 持續優化應用架構，提高開發效率與系統穩定性。


任職要求
必要條件
 1. 全端開發經驗：
    • 至少 2 年以上 的全端開發經驗，具備從前端到後端的完整開發能力。
    • 參與過AI 應用開發（如智能聊天機器人、推薦系統、語音識別、圖像識別等）者優先。
 2. 技術能力：
    • 前端技術：
    • 熟練使用 React.js / Vue.js / Angular 等框架。
    • 具備 TypeScript、JavaScript、CSS、HTML5 技能。
    • 後端技術：
    • 熟悉 Node.js / Python / Java / Go 等至少一種後端開發技術。
    • 熟悉 FastAPI / Flask / Django / Express.js 其中一種框架。
    • 具備 API 設計與開發能力（RESTful API / GraphQL）。
    • AI 相關技術：
    • 熟悉 AI 框架（TensorFlow, PyTorch, OpenAI API）。
    • 了解 AI 模型部署流程（如 ONNX, Triton Inference Server）。
    • 數據庫技術：
    • 熟悉 SQL（MySQL, PostgreSQL）/ NoSQL（MongoDB, Redis）。
    • 雲端與 DevOps：
    • 熟悉 Docker、Kubernetes、CI/CD（Jenkins, GitHub Actions）。
    • 具備 AWS/GCP/Azure 雲端運維經驗。
 3. 軟技能
    • 良好的問題解決能力，能夠獨立思考並解決技術難題。
    • 優秀的團隊協作與溝通能力，能與AI工程師、數據科學家合作。
    • 具備快速學習與適應新技術的能力。

加分條件
    • 參與過大語言模型（LLM，如 OpenAI GPT, Claude, Llama2）應用開發。
    • 熟悉**檢索增強生成（RAG）、向量資料庫（Pinecone, Weaviate, FAISS）**技術。
    • 有 AI 應用產品化經驗，能夠處理高併發、高可用性場景。
    • 有 Web3、AI代理（Agent）開發經驗者優先。,不拘,Python、PyTorch、MySQL、PostgreSQL、Node.js、VueJS、AWS、Java、Go、LLM、Django、ReactJS
提升專業能力
提升專業能力,不拘","全端工程師
、AI工程師
、Internet程式設計師","月薪70,000元以上","無需出差外派","2025-04-05","","",""
"https://www.104.com.tw/job/8dk2b?jobsource=joblist_search","APP工程師","【工作內容】
1. App內頁面程式開發
2. 負責網站APP開發並與後端工程師配合完成專案
3. 與企劃配合開發前端組件，維護並優化APP端版面效能

【專業技能】
1. 至少精通一種APP程式語言（Swift, Java, Kotlin）
2. 了解基礎的Mobile UI建立與設置
3. 有使用GIT的相關經驗
4. 雙平台的開發

【注意事項】
．應徵者請務必提供履歷
．須具維運部署能力,不拘,Android、iOS、Git、Java、SWIFT、Kotlin
提升專業能力
提升專業能力,不拘","Android工程師
、iOS工程師","月薪42,000~70,000元","無需出差外派","2025-04-05","","",""
"https://www.104.com.tw/job/81z01?jobsource=joblist_search","Android研發工程師","公司產品說明：
我們公司的主力產品是「影音電子簽名」系統，是一個革命性的電子簽名解決方案，可以用來解決電子文件簽名的簽署者身分及意願確認，簡化合約的簽署流程，提升合約簽署的效力，有非常廣泛的應用機會，已獲得多國專利，目前在台灣已經有眾多醫學中心、保險公司、證券業者，正積極拓展全球市場，急需有企圖心的好手加入我們，讓我們的產品能更快速且完美的提供給全球的用戶

工作內容:
1. Web 後端開發、維護、及優化
2.Android APP 維護、開發及優化


應徵條件： 
1、兩年以上Android全職開發經驗，參與過App開發。
2、瞭解Android多線程式設計原理，熟悉執行緒池的使用。
3、對Android，對元件化、性能優化、網路、UI以及自訂View、RestAPI 串接、JWT等有深入實踐。
4、良好的Java,Kotlin開發基礎，理解常見設計模式，MVP MVVM等並在工作有良好實踐。
6、具備較強的責任感和主動性，良好的溝通能力和團隊協作精神。
7. 熟悉掌握JavaScript,對於移動端跨平臺方案有實際運用者優先。

希望有的個人特質：
1. 要有良好的溝通能力，清楚表達自己的想法
2. 有解決問題的精神和能力
3. 平常會逛國內外科技網站，持續補充自己的知識
4. 在乎使用者體驗
5. 對軟體開發技術有熱情,1. 需熟悉PHP、Ajax、Restful API、SLIM框架
2. 具備JAVA開發經驗
3. 有兩年以上PHP開發的經驗
4. 了解SQL語法,Android、AJAX、Java、Kotlin、JavaScript
提升專業能力
提升專業能力,軟體工程系統開發","軟體工程師
、Android工程師","待遇面議","無需出差外派","2025-04-05","","",""
"https://www.104.com.tw/job/88p5x?jobsource=joblist_search","【臺中總公司】JAVA 網頁程式設計師","1. Web 前、後端程式撰寫。 
2. 具備Java, JavaScript, HTML, CSS 知識。 
3. 具備資料庫使用經驗。
4. 具備良好的物件導向概念及優秀的邏輯能力。
5. 具備一定前端技術背景，與後端RESTful API對話能力。,不拘,Java、Angular、AngularJS、Node.js、Sass、CSS、JavaScript、J2EE、HTML、DB2
提升專業能力
提升專業能力,資料庫程式設計、模組化系統設計、網路程式設計、結構化程式設計、軟體程式設計、軟體工程系統開發、系統整合分析、系統架構規劃","軟體工程師
、Internet程式設計師
、網頁設計師","月薪40,000元以上","無需出差外派","2025-04-05","","",""
"https://www.104.com.tw/job/8f5if?jobsource=joblist_search","JAVA後端軟體工程師(台中)","1.工作氣氛自由開放
2.每年多次補助參加論壇/技術大會
3.每年2次評估調薪
4.有Java Web相關2年開發經驗經驗尤佳

工程師工作內容:
1. 公司產品開發/設計/維護
2. Java Web-Base Application 程式設計
3.具有SQL Server資料庫開發經驗佳
4. B2B相關周邊介接程式開發
5. 熱愛程式開發，熱衷鑽研技術，提供最佳解決方案
6. 資訊安全/效能調校
7. 具備TeamWork能力
8.熟Java Framework以下技術尤佳: Spring Group、Selenium、CXF、Rest、Git,不拘,不拘,不拘","軟體工程師
、Internet程式設計師
、其他資訊專業人員","月薪55,000元以上","無需出差外派","2025-04-05","","",""
"https://www.104.com.tw/job/86s5h?jobsource=joblist_search","D4000 電商訂購系統JAVA後端開發工程師【台中】","我們正在尋找數位熱情且富有創造力的JAVA程式設計師加入我們的購物網站團隊。作為一個快速成長的電子商務平台，我們致力於提供優質的購物體驗，並將技術應用於創新和發展。如果你熱愛技術並希望參與構建一個成功的電子商務平台，這是一個絕佳的機會。

【工作職責】
1.負責開發和維護我們購物網站訂購系統的各項功能，確保高效能、可擴展與安全的程式架構。
2.與跨職能團隊合作，包括前端UI開發人員、產品經理等，確保系統功能和需求的順利實現。
3.進行程式碼審查和性能優化，確保項目品質和系統效能。
4.持續團隊創新，緊跟技術發展趨勢，提倡新技術和最佳實踐的應用。

【技術要求】
1.具備基礎的JAVA程式設計能力和至少一年的相關開發經驗。
2.具備基礎的關聯式資料庫開發能力(Oracle、PostgreSQL、MySQL…等)


【加分項目】
1.有Spring Boot開發經驗者
2.對k8s、Docker有研究者
3.對AWS、GCP有研究者,不拘,Java、MySQL、Oracle、PostgreSQL
提升專業能力
提升專業能力,不拘","Internet程式設計師
、軟體工程師
、全端工程師","待遇面議","無需出差外派","2025-04-05","","",""
"https://www.104.com.tw/job/858ww?jobsource=joblist_search","Back-End Developer 後端工程師【台中市西屯區】","【工作內容】
▴ 與PM、UI/UX、SA/SD、前端工程師協同合作，進行系統後端程式的開發與除錯。
▴ 產出系統相關技術文件，例如：系統架構與規格文件。
▴ 對既有系統的後端項目進行維護與最佳化。
▴ 根據系統需求進行跨平台界接與整合。

【有這些特質的您，讓我們有機會了解您】
✦ 工作積極主動，擁有獨立思考、良好的溝通和邏輯能力。
✦ 喜歡團隊合作並與團隊溝通思辨，一同解決問題並達成共同目標。
✦ 持續學習，喜歡新事物，不會輕易滿足於現況，勇於突破舒適圈。
✦ 對於不同領域的問題，也樂於思考與提出見解，並與團隊一同改善。

【工作氛圍】
➢ 自由且開放的企業文化來自於扁平化的運作，上下溝通無礙，我們非常鼓勵並支持你勇於提出想法與建議。,不拘,OOP、Git、Java、Spring、JDBC、MS SQL、PostgreSQL、RDBMS、J2EE、HTTP
提升專業能力
提升專業能力,軟體工程系統開發、網路程式設計、資料庫軟體應用、系統架構規劃與維護","軟體工程師
、Internet程式設計師
、其他資訊專業人員","月薪38,000~60,000元","無需出差外派","2025-04-05","","",""
"https://www.104.com.tw/job/6u3no?jobsource=joblist_search","後端工程師","這個職位要做的是世界級、運算極密集的平台開發與維護，絕對把你現有的知識與經驗重新翻洗，大幅提升後端能力。

  1. 研究開發並維護後端架構
  2. 基本效能評估、測試與優化改善
  3. RESTful API 開發
  4. 開發/API文件撰寫
  5. 與不同職能專家協同作業,1. 具 MongoDB 或 ElasticSearch 使用經驗者
2. Messaging Engine, e.g. Kafka, ELK, MQ,
3. Data Processing, Pipeline 規劃開發
4. 熟悉容器技術, e.g. Docker 相關技術
5. 熟悉AWS或其他雲服務
6. Linux平台上開發經驗
7. 提供 GitHub 個人主頁
8. 熟悉Harbor, NPM等技術,Github、JIRA、Node.js、RDBMS、PostgreSQL、MySQL、Python、Java、C++、Linux
提升專業能力
提升專業能力,軟體工程系統開發、資料庫軟體應用、資料庫程式設計、資料庫系統管理維護、演算法設計、AI、網路程式設計、軟體程式設計","Internet程式設計師
、軟體工程師
、演算法工程師","待遇面議","無需出差外派","2025-04-05","","",""
"https://www.104.com.tw/job/8b9et?jobsource=joblist_search","資訊管理中心 Java開發人員 Java Development Specialist(台中)","【工作內容】
一、移動應用程序開發及其他企業應用系統開發:
        熟悉JAVA後端、前端熟悉H5、VUE3尤佳。
        設計和開發移動應用或企業WEB應用解決方案，以滿足業務需求和流程自動化。
        編寫程式碼、創建腳本和應用程式，以完成業務功能。 
二、部署:
        負責企業移動應用系統和WEB應用的部署和配置，確保系統穩定運行。
三、測試和故障排除:
        進行系統測試，解決任何問題，確保系統功能正常。
        快速識別和修復系統錯誤和故障。
四、用戶支援:
        提供使用者技術支援、回應的查詢和問題。
        創建使用者培訓材料，使用教學以確保正確使用相關系統應用。
五、需求分析:
        與內部使用者合作，了解集團目標需求，並將其轉化為系統功能和工作流程。
六、文件記錄:
        創建和維護技術文檔和記錄，以便未來參考和審計。
七、安全性和合規性:
        確保應用系統的數據安全性和合規性，並遵守相關的行業法規。
八、性能優化:
        分析應用的性能，並提出改進建議，以實現更高的效率和可靠性。,• 熟悉Java 及 SQL 語法 
• 熟悉 J2EE AP Server (Tomcat或JBOSS) , Database（Oracle或MS SQL）
• 具Spring, Vue與APP原生開發經驗尤佳
• 個性主動積極，願意學習，具團隊合作精神，對程式開發有熱忱,Java、Spring、ANSI SQL、Oracle、HTML、JavaScript
提升專業能力
提升專業能力,系統架構規劃、軟體程式設計、資料庫程式設計","系統分析師
、Internet程式設計師
、軟體工程師","待遇面議","無需出差外派","2025-04-05","","",""
"https://www.104.com.tw/job/8ltgi?jobsource=joblist_search","PHP 後端工程師","- 主開發語言為PHP 
 - 與團隊協作開發與維護指定專案的前、後端部分
 - 相關學歷/經歷/作品/專案經驗或工作經驗，有工作經驗者佳
 - 程式API串接整合
 - 熟悉動態網站PHP語言特性及MySQL資料庫
 - 熟悉DB資料庫結構，SQL基本命令操作、資料表關聯
 - 熟悉 Git 版本

PS:加分項Laravel框架,不拘,Linux、Git、Java、PHP、MS SQL、MySQL
提升專業能力
提升專業能力,系統架構規劃、系統維護操作、軟體工程系統開發、軟體程式設計、結構化程式設計、網路程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用","Internet程式設計師
、軟體工程師
、全端工程師","待遇面議","無需出差外派","2025-04-05","","",""
