"job-href","job","content","types","salary","business_trip","date","position_text","position_href","company"
"https://www.104.com.tw/job/7utbd?jobsource=new_map&app_jobsource=m_time4jobs","【總部】軟體系統工程師","如果您對資訊開發管理充滿熱情，並且想要在教育產業發展，歡迎您加入我們的團隊！

身為四季藝術的數位資訊部伙伴，您將參與我們內外部系統的設計、開發與維護工作，並透過技術協助學校業務流程最佳化。我們正在尋找有熱情、能協作、並勇於學習與挑戰的您！

工作內容包含：
1.使用 PHP 或 C# 進行系統程式開發（具1年以上實務經驗）。
2.操作與設計 關聯式資料庫（如 MySQL、MSSQL）。
3.根據需求設計並撰寫 RESTful API，整合多種企業級應用（如 HRM、BPM、CRM 等）。
4.負責校內系統日常維運與問題排除。

我們期望你具備的能力與特質：
1.喜歡挑戰新事物，擅長跨部門溝通，重視團隊合作。
2.能獨立或與團隊合作，進行系統設計、開發與測試。
3.樂於嘗試使用 AI 技術 解決資訊系統問題。

【超優獎金與福利】
✧紅利獎金
✧三節獎金
✧定期舒壓按摩
✧聯誼聚餐
✧電影藝文活動補助
✧新鮮有機午餐
✧伙伴及伙伴家人旅行
✧伙伴子女入學優惠
✧伙伴子女課後照顧
✧單親伙伴 子女免費就讀補助
✧伙伴第三名子女免費就讀

這裡，充滿藝術、人文、愛與夢想，
這裡，高薪酬.多獎金.好福利，
這裡，有創新的四季專屬App.注重伙伴是否能聰明工作，
與伙伴共創安身立命實現夢想的地方，幸福的成為伙伴與自己生命中的貴人!,不拘,PHP、MySQL、C#
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計","軟體工程師
、後端工程師
、Internet程式設計師","月薪40,000~50,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8oi8c?jobsource=new_map&app_jobsource=m_time4jobs","Front End 前端工程師","【工作內容 】

 1. 網頁前端功能開發與元件化建置
 2. 使用 Element Plus 框架進行介面開發與客製化
 3. 頁面響應式設計與跨瀏覽器相容性調整
 4. 無障礙功能設計（a11y）與多語系介面建置（i18n）
 5. 串接後端 API 並處理資料整合與呈現
 6. 使用 Git 進行版本控管與專案部署（含雲端環境）

【技能需求】

A. 前端技術（Frontend）：
開發技術：HTML5、CSS3、JavaScript、TypeScript
前端框架：Vue 3、Vite、Pinia、Vue Router、Element Plus
其他：SCSS、Vue I18n（多語系）、WAI-ARIA（無障礙設計）、RWD 響應式切版

B. 後端技術（Backend）：
理解 API 串接與資料處理流程
具備與 ASP.NET Core / Node.js 團隊協作經驗

C. 資料庫（Database）：
熟悉 JSON 資料格式與 RESTful API 串接邏輯
具備基本 SQL 查詢概念

D. 開發工具與環境（Development & Tools）：
版本控制：Git / GitHub
開發工具：VS Code、Postman
雲端服務：Azure（網站部署、靜態資源託管）,不拘,JavaScript、HTML、Git、Line、Node.js
提升專業能力
提升專業能力,軟體程式設計、系統架構規劃","Internet程式設計師
、前端工程師","月薪38,000~52,000元","需出差，一年累積時間約一個月以下","2025-09-09","","",""
"https://www.104.com.tw/job/8ml6j?jobsource=new_map&app_jobsource=m_time4jobs","【系統研發部】資深主任後端工程師","【工作職責】
●擔任技術窗口，在開發過程中進行需求規格確認、跨組別對接討論及組內任務分配，確保研發過程及交付內容的高質量與正確性。
●擔任技術管理者，制定技術規範、維護技術文件、檢視日常任務，確保團隊協作順暢，職務代理成本最小化及開發效率最佳化。
●異常問題排查，若非上班時間發生線上異常需配合 on call 或指派相關人員進行處理，確保產品盡速恢復正常運作。

【其他條件】
● 程式語言：C# 為主，JavaScript/TypeScript、Go
● 資料庫：MySQL、PostgreSQL、MongoDB、Redis
● 容器化管理 (K8S 為主)
● 雲服務操作及管理 (GCP 為主)
● 具全端開發或設計經驗佳
● 專案管理與溝通協調
● 解決問題與持續優化,不拘,不拘,不拘","軟體工程師
、電玩程式設計師
、Internet程式設計師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8l1rz?jobsource=new_map&app_jobsource=m_time4jobs","Unity工程師","【工作內容】
1.可獨立作業
2.使用Unity引擎，利用C#開發遊戲 
3.主要開發手機線上遊戲
4.對於開發遊戲有熱忱及自信
 
【必備技能 】
1.熟悉Unity / C#
2.對3D遊戲製程有經驗
3.後端API串接

【加分條件】
1.附相關作品參考者尤佳
2.數理邏輯組織能力強
3.參與過建築類，卡牌RPG類型手機遊戲開發
4.對台灣獨立遊戲有高度熱忱者尤佳
5.熟悉 Shader 編寫者。
6.photon fusion使用經驗
7.Animator設定經驗
8.UI/UX設計經驗


【獎金/禮品類】
1.年終獎金(保證最低年薪): 13個月
2.三節禮金
3.專案獎金

◆ 保險類
1.勞健保、勞退

◆ 請/休假制度
1.彈性上下班(上班時間9:00~10:00/下班時間18:00~19:00)
2.週休二日
3.特休/年假
4.生理假
5.陪產假

◆ 其他
1.下午茶、生日會、中秋烤肉、聖誕餐會、尾牙活動。
2.員工聚餐
3.旅遊獎勵
4.個人進修補助,不拘,Linux、Unity3D
提升專業能力
提升專業能力,系統架構規劃、軟體程式設計","軟體工程師
、電玩程式設計師","月薪40,000~60,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8sfg2?jobsource=new_map&app_jobsource=m_time4jobs","【金融創新部】初階程式設計師（工作地點：台中）","【⼯作內容】
現有功能維護及開發: 能接觸到前端、後端、SQL技術，⼀條⿓的串接開發，提供實務開發的平台

【必要技能】
1. 後端：C# .net Framework MVC、MS SQL
2. 前端：Javascript
3. 接觸過HTML、CSS、物件導向程式設計概念

【加分條件】
1. 了解MVC架構
2. 了解前端框架(Ext.js、React等)
3. 了解SVN、Git等版控操作
4. 喜歡接觸新事物、新技術、並能不斷提升⾃我技術⽔準


【寶碩財務科技−⾦融創新部簡介】
我們致⼒於⾦融商品投資管理平台開發，協助客戶進⾏⾦融商品交易部位管理、
⾵險管理及投資決策分析。

我們的成員組成為敏捷式團隊，提供客戶WEB化系統產品與服務(基於MVC架構)。
有別於其他傳統系統代理與專案模式，我們配置專職財務⼯程專家掌握最新⾦融技術、
商品變化與法規要求，結合兩個領域的優勢，建構完整、全⾯的投資平台，致⼒於核⼼產品開發，引領客戶⾯對不斷變化中的⾦融挑戰。

我們這裡有扁平的組織結構、採⽤敏捷式開發流程、開放⾃由的討論⽂化與導師制度、
完善的新⼈教育訓練、彈性的上班時間(8:30~10:30)做滿8⼩時⾃⾏下班、
沒有傳統企業的包袱、下班不⽤等主管離開才能⾛、沒有加班⽂化，
每周⼀次以上的部⾨聚餐(⾃由參加)、
友善豐富的進修管道(內訓、外訓、證照補助、部⾨知識庫)、
提供每⼈基本配備個⼈電腦(含SSD)+雙螢幕、
不定時的資訊技術、財經新知、財務知識、理財知識分享。

無須具備財務⾦融相關知識，歡迎不具財經背景的資訊⼯程師加⼊⼀同成⻑、分享與切磋~,不拘,不拘,不拘","軟體工程師
、Internet程式設計師","月薪40,000~60,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8sffn?jobsource=new_map&app_jobsource=m_time4jobs","【金融創新部】高級/資深程式設計師（工作地點：台中）","【⼯作內容】
1.負責產品模組的開發與調整(含前端JS、後端C#與SQL之開發)
2.理解客戶需求原因或是問題發⽣原因，協助思考、優化解決⽅案

【必要技能】
1. 後端：C# .net Framework MVC、MS SQL
2. 前端：Javascript
3. 接觸過HTML、CSS、物件導向程式設計概念

【加分條件】
1. 了解MVC架構
2. 了解前端框架(Ext.js、React等)
3. 了解SVN、Git等版控操作
4. 喜歡接觸新事物、新技術、並能不斷提升⾃我技術⽔準

【寶碩財務科技−⾦融創新部簡介】
我們致⼒於⾦融商品投資管理平台開發，協助客戶進⾏⾦融商品交易部位管理、
⾵險管理及投資決策分析。

我們的成員組成為敏捷式團隊，提供客戶WEB化系統產品與服務(基於MVC架構)。
有別於其他傳統系統代理與專案模式，我們配置專職財務⼯程專家掌握最新⾦融技術、
商品變化與法規要求，結合兩個領域的優勢，建構完整、全⾯的投資平台，致⼒於核⼼產品開發，引領客戶⾯對不斷變化中的⾦融挑戰。

我們這裡有扁平的組織結構、採⽤敏捷式開發流程、開放⾃由的討論⽂化與導師制度、
完善的新⼈教育訓練、彈性的上班時間(8:30~10:30)做滿8⼩時⾃⾏下班、
沒有傳統企業的包袱、下班不⽤等主管離開才能⾛、沒有加班⽂化，
每周⼀次以上的部⾨聚餐(⾃由參加)、
友善豐富的進修管道(內訓、外訓、證照補助、部⾨知識庫)、
提供每⼈基本配備個⼈電腦(含SSD)+雙螢幕、
不定時的資訊技術、財經新知、財務知識、理財知識分享。

無須具備財務⾦融相關知識，歡迎不具財經背景的資訊⼯程師加⼊⼀同成⻑、分享與切磋~,不拘,不拘,不拘","軟體工程師
、Internet程式設計師","月薪40,000~80,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8sl0z?jobsource=new_map&app_jobsource=m_time4jobs","【技術開發部】(主任)後端工程師","【工作職責】
● 使用Golang及grpc or http進行系統後端伺服器及API開發與維護。
● 負責開發多人連線網路系統。
● 後台管理介面開發及維護。
● 資料庫建置及運用。
● 網路同步機制撰寫。
● 具備K8S使用經驗。

【其他條件】
● 使用 Golang/C++/Asp.Net(MVCWeb API)/MSSQL/Redis/Postgresql 等技術。
● 具備一年以上遊戲伺服器開發經驗者佳。
● 使用 Server/Web/資料庫設計/程式設計的相關經驗。

【加分項目】
● 具備一年以上遊戲相關產業開發經驗者佳。
● 具備即時連線遊戲前後端串接流程相關經驗者佳。
● 具有獨立開發能力 (架構設計/流程設計/除錯/效能調整)者佳。,不拘,不拘,不拘","軟體工程師
、電玩程式設計師
、後端工程師","月薪60,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8svki?jobsource=new_map&app_jobsource=m_time4jobs","前端工程師 Frontend Engineer","【工作內容】
1) 使用 Vue.js（Vue 3 / Vite）開發與維護前端專案
2) 與後端工程師合作進行 API串接、資料處理與錯誤處理
3) 負責 RWD切版 與 跨瀏覽器相容性 調整
4) 熟悉 Azure 平台的部署與基本管理（Web App / API / Database）
5) 協助維護與開發 .NET MVC 專案，與 MSSQL 資料庫進行資料互動
6) 參與資料庫查詢（T-SQL）與效能優化
7) 具 LINE API / LIFF 串接與應用經驗尤佳（如會員綁定、LINE Pay、訊息推送等）
8) 願意學習並應用 Chatbot（含LINE官方帳號聊天機器人）相關技術
9) 與設計師、產品經理、後端團隊密切合作，確保產品功能與設計一致
10) 協助專案文件撰寫與技術分享

【必要條件】
1) 熟悉 Vue.js（Vue CLI 或 Vite 開發模式）
2) 精通 HTML5 / CSS3 / JavaScript (ES6+)
3) 熟悉 RWD切版 與 UI/UX 基本概念
4) 有 API串接 與資料格式（JSON / RESTful API）處理經驗
5) 基本掌握 Git 版本控制
6) 熟悉 Azure 部署與基本管理
7) 具備 .NET MVC 開發經驗
8) 具備 MSSQL 操作與查詢能力（T-SQL）

【加分條件】
1) 有 LINE API / LIFF 開發經驗（會員系統、付款、訊息推送等）
2) 熟悉 Chatbot 開發或應用（如 LINE Chatbot、Dialogflow、Azure Bot Service）
3) 了解 後端技術（Node.js / Express / NestJS / .NET Core）
4) 有雲端架構與部署流程 經驗（Azure、AWS、GCP 任一皆可）
5) 熟悉 CI/CD 流程（GitHub Actions / Azure DevOps）
6) 有 跨系統整合專案 實務經驗
7) 有企劃PM經驗尤佳（如專案規劃、功能需求分析、跨部門溝通）,不拘,Node.js、Github、Line
提升專業能力
提升專業能力,軟體程式設計、系統架構規劃、軟體工程系統開發","前端工程師
、全端工程師","月薪40,000~52,000元","需出差，一年累積時間約一個月以下","2025-09-09","","",""
"https://www.104.com.tw/job/7dc1l?jobsource=new_map&app_jobsource=m_time4jobs","資料庫管理設計工程師","1. 負責資料庫之分析、設計以及程式撰寫。
2. 規劃執行軟體架構及模組之設計，並控管軟體設計進度。
3. 進行軟體之測試與修改。
4. 熟悉後端資料庫運用軟體、MS SQL等資料庫、熟PHP Laravel
5. 有研究新技術與工具的熱忱
6. 積極主動、樂觀、能溝通、樂於助人及習慣團隊合作。,未填寫,C#、C++、Java、PHP、Access、MS SQL、MySQL、HTML、JavaScript
提升專業能力
提升專業能力,軟體程式設計、網路程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用","軟體工程師
、資料庫管理人員
、其他資訊專業人員","月薪40,000~60,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8pjdt?jobsource=new_map&app_jobsource=m_time4jobs","PHP助理工程師","參與Unity與C#相關的遊戲開發工作，具備獨立開發小型遊戲的實務經驗

熟悉網頁前後端開發流程，能在團隊中協作並完成跨部門的整合任務

曾參與實際專案開發，負責前端商品區邏輯設計與實作

熟悉常見Web技術，具備良好的UI實作與程式邏輯思考能力

能將所學技術應用於實際專案中，具備主動解決問題的能力


職務需求:
熱愛遊戲與程式開發，具備自學能力與持續學習動力

熟悉Unity與C#語言，有實作經驗者尤佳

具備HTML、CSS、JavaScript、Bootstrap的前端基礎

熟悉Laravel與PHP等後端技術，具備完整網站開發概念

有LeetCode練習經驗，對演算法與解題有基本認識

曾參與職訓課程學習前後端整合，具備實務操作經驗,不拘,C#、JavaScript、HTML、CSS、Unity、PHP
提升專業能力
提升專業能力,遊戲開發、軟體程式設計、網路程式設計","助理工程師
、後端工程師","月薪35,000~40,000元","無需出差外派","2025-09-09","","",""
