"job-href","job","content","types","salary","business_trip","date","position_text","position_href","company"
"https://www.104.com.tw/job/8sovx?jobsource=new_map&app_jobsource=m_time4jobs","D4000 電子書後端工程師(JAVA)","電子書提供給人們更多元的學習方式，我們團隊就在進行這項工作，你是否擁有豐富的 Java 開發經驗？如果是，那麼我們正在尋找你！

我們正在招募具有豐富技術背景的 Java 開發工程師，如果你熟悉 Java、Spring Boot、ActiveMQ、Redis，以及數位加解密等關鍵技術，我們誠摯邀請你加入我們的團隊，與我們一起讓電子書的服務讓大眾喜歡！

【工作內容】
1. 負責電子書後台系統核心功能的設計與開發，確保系統穩定與高效運作。
2. 使用 Java 及 Spring Boot 框架開發高品質 RESTful API，並持續優化程式碼以提升系統效能。整合消息佇列、Redis 緩存等技術，強化系統架構與性能。
3. 持續研究並導入新興後端技術，優化現有服務，提升產品競爭力。
4. 依據業務需求進行分析，規劃並設計最佳實現方案。
5. 主動協助處理線上問題，確保服務穩定運行。

【工作技能】
1. 熟悉Java程式語言
2. 熟悉開發RESTful API
3. 熟悉關聯式資料庫CRUD SQL語法
4. 熟悉Spring boot框架
5. 具備linux作業系統操作能力
6. 能閱讀理解技術文件
7. 良好的溝通及團隊合作能力，及問題解決能力

【加分條件】
1. 熟悉訊息佇列技術，如 ActiveMQ，並有實際應用經驗
2. 能夠運用 Redis cache等技術來優化系統的性能
3. 熟悉電子書epub3 、PDF格式
4. 熟悉DRM 技術
5. 在電子書後端系統開發方面具有豐富經驗，熟悉電子書系統和需求
6. 對於系統架構和性能優化有深入理解，能夠提供專業建議和解決方案
7. 熟悉 Docker 和 Kubernetes 等容器化技術，有相關使用經驗,不拘,不拘,不拘","軟體工程師
、後端工程師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/7t5px?jobsource=new_map&app_jobsource=m_time4jobs","前端網頁工程師（具備美感設計能力）","奇點無限是一家以「數學最佳化」與「資料科學」為核心技術的軟體公司，致力於智慧交通及綠色物流領域。透過頂尖數學家與工程師的合作，提供全球永續發展的最佳化解決方案。

【職務說明】
我們正在尋找一位兼具前端開發與UI/UX設計能力的專才，加入我們的團隊，設計與開發高效且吸引人的網站與應用程式，根據用戶需求與品牌定位，提供直觀且富有創意的使用者介面，進一步提升整體體驗。適合對新創充滿熱情，並渴望前瞻性職涯發展的您！


【職責內容】
• 設計並開發高效且美觀的前端，負責網站與應用程式的UI/UX設計與前端開發，確保優良的使用者體驗與功能性。
• 與後端工程師協作，保證前後端的順暢整合與前端效能優化。
• 參與需求討論並提供技術建議，協助產品設計與體驗的完善。
• 進行跨瀏覽器兼容性測試，確保不同設備上的一致性與穩定性。
• 支援產品視覺設計，創建吸引眼球的介面設計，提升用戶體驗及品牌形象。
• 執行主管交辦的其他相關任務。


【基本條件】
• 精通 HTML、CSS、JavaScript（ES6+）、TypeScript，能獨立完成前端開發工作。
• 熟悉 VueJS、React 或其他前端框架，並具備單頁應用程式（SPA）與伺服器端渲染（SSR）的開發經驗。
• 具備UI/UX設計經驗，能根據用戶需求設計直觀、吸引人且易於使用的介面。
• 熟悉響應式設計（RWD），確保網站在各類設備上的優秀顯示效果。
• 熟練使用 Git 進行版本控制，具備團隊合作經驗。
• 具備API串接經驗，能處理前端與後端數據交互。
• 熟悉 Git 進行版本控制，並能在團隊協作中有效管理代碼變更。


【加分條件】
• 具備美感設計與文宣設計經驗，能將設計轉化為有效的行銷工具，幫助提升品牌價值。
• 熟悉視覺設計工具（如 Sketch、Figma、Adobe XD 等），能創建高品質的設計稿與原型。
• 具備跨部門合作經驗，能與行銷團隊協作，提升產品的市場影響力。
• 熟悉前端測試工具，能撰寫單元測試，確保代碼品質。


【應徵方式】
團隊是實現夢想的核心，請提供以下資料，讓我們更了解你：

1. 簡歷：分享你的技術經驗與成就。
2. GitHub 或作品連結：展示你的程式碼與專案成果。
3. 應徵動機：用簡短文字告訴我們，你希望在團隊中實現什麼！


如果您具備上述條件，擁有豐富的想像力與創新思維，並希望在充滿挑戰的環境中，運用數學與資料科學，與我們共同開創智慧交通與綠色物流的未來，立即加入我們！,【期望特質】

智者說：對的人是成事的關鍵，我們期待您具備以下特質：

• 熱衷創新，勇於嘗試新技術並付諸實踐。
• 擅長團隊合作，與他人有效溝通，共同解決問題。
• 自律且具責任感，能有效管理時間與資源。
• 面對挑戰時，保持正向、靈活應對變動。
• 高度誠信，對工作全力以赴，保證如期完成。
• 以用戶需求為核心，專注提升產品與服務體驗。
• 積極學習，接受挑戰，持續自我成長。
• 認同公司使命，並為共同目標努力。,ReactJS、Spring、MySQL、PostgreSQL、RDBMS、HTML、JavaScript、jQuery、CSS、Sass、Node.js、Java、AngularJS、VueJS、Redux、Django、Angular、Sketch、Zeplin、Adobe XD、Figma、Wireframe、Github、Jenkins、Git、AJAX
提升專業能力
提升專業能力,多媒體簡報製作、軟體程式設計、網路程式設計、多媒體企劃設計、多媒體技術開發、多媒體影像處理、行銷工具設計開發、使用者介面設計、設計表現能力、媒體動畫應用設計諮詢、電腦動畫設計","軟體工程師
、Internet程式設計師
、網頁設計師","月薪32,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/6u3no?jobsource=new_map&app_jobsource=m_time4jobs","後端工程師","這個職位要做的是世界級、運算極密集的平台開發與維護，絕對把你現有的知識與經驗重新翻洗，大幅提升後端能力。

  1. 研究開發並維護後端架構
  2. 基本效能評估、測試與優化改善
  3. RESTful API 開發
  4. 開發/API文件撰寫
  5. 與不同職能專家協同作業,1. 具 MongoDB 或 ElasticSearch 使用經驗者
2. Messaging Engine, e.g. Kafka, ELK, MQ,
3. Data Processing, Pipeline 規劃開發
4. 熟悉容器技術, e.g. Docker 相關技術
5. 熟悉AWS或其他雲服務
6. Linux平台上開發經驗
7. 提供 GitHub 個人主頁
8. 熟悉Harbor, NPM等技術,Github、JIRA、Node.js、RDBMS、PostgreSQL、MySQL、Python、Java、C++、Linux
提升專業能力
提升專業能力,軟體工程系統開發、資料庫軟體應用、資料庫程式設計、資料庫系統管理維護、演算法設計、AI、網路程式設計、軟體程式設計","Internet程式設計師
、軟體工程師
、演算法工程師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8s7f8?jobsource=new_map&app_jobsource=m_time4jobs","Java 開發工程師","1.負責企業內部系統服務平台的 Java 應用開發與維護
2.撰寫高效、可讀性高、可維護的程式碼
3.與前端工程師、產品經理、QA 團隊協作，完成系統設計與開發
4.撰寫與維護技術文件、API 文件與系統架構說明
5.進行單元測試、效能優化與除錯，確保系統穩定運作
6.協助系統上線部署與後續維運支援,不拘,Java、MySQL
提升專業能力
提升專業能力,軟體程式設計、軟體工程系統開發、系統架構規劃、結構化程式設計、軟體品質與保證","後端工程師
、軟體工程師
、軟體專案主管","月薪45,000~60,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/7h0dx?jobsource=new_map&app_jobsource=m_time4jobs","JAVA技術工程師","負責基於公司既有相關平台維護及開發。

至少具有任何一個區塊鏈節點架設或開發經驗。

精通使用Spring Boot,Spring MVC架構。

熟悉RabbitMQ訊息對列。

熟習Gradle專案構建，熟練使用Git進行分散式版本控制，分支開發合併等功能。

負責JAVA程序撰寫及架設節點。

電腦或相關專業，2年以上後端開發經驗。

配置、優化調整並監看CentOS Linux主機等服務效能與日誌。

有參與開發冷錢包程序經驗者佳。

有參與開發區塊鏈挖礦/礦機經驗者佳。

與其他開發人員協同作業。

樂於溝通，於問題解決後儘速主動回報主管。

負責解決系統發生問題解決，此職位需 on call 值勤。,不拘,Linux、Java
提升專業能力
提升專業能力,不拘","軟體工程師","待遇面議","需出差，一年累積時間未定","2025-09-09","","",""
"https://www.104.com.tw/job/7dc1l?jobsource=new_map&app_jobsource=m_time4jobs","資料庫管理設計工程師","1. 負責資料庫之分析、設計以及程式撰寫。
2. 規劃執行軟體架構及模組之設計，並控管軟體設計進度。
3. 進行軟體之測試與修改。
4. 熟悉後端資料庫運用軟體、MS SQL等資料庫、熟PHP Laravel
5. 有研究新技術與工具的熱忱
6. 積極主動、樂觀、能溝通、樂於助人及習慣團隊合作。,未填寫,C#、C++、Java、PHP、Access、MS SQL、MySQL、HTML、JavaScript
提升專業能力
提升專業能力,軟體程式設計、網路程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用","軟體工程師
、資料庫管理人員
、其他資訊專業人員","月薪40,000~60,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8pzz9?jobsource=new_map&app_jobsource=m_time4jobs","軟體客服助理工程師","工作內容：
1.客戶廠商的對應窗口,規劃開發專案流程,監控進度回報,及驗收測試功能。
2.定期對內回報專案進度,針對內需進行調整更改專案內容。
3.維護APP 或 網站即時針對問題處理。


技能要求:
1.一年以上後端開發相關經驗。

2.具系統架構發想，流程規劃經驗。

3.瞭解前端語言基礎：
如：HTML、CSS、JavaScript

4.後端開發技術：
服務器端程式語言：如Node.js (JavaScript), Python, Java, PHP等
伺服器技術：如Apache, Nginx等
資料庫技術：如MySQL, PostgreSQL, MongoDB等
RESTful API設計和開發

5.資料庫技術：
SQL語法以及資料庫管理與操作
了解NoSQL（如MongoDB）以及能夠選擇適當的資料庫技術來解決問題

6.版本控制（Version Control）:
如Git和GitHub或其他版本控制系統

7.基礎架構與雲端技術：
對於如AWS, GCP, Azure等雲服務平台的基礎知識,不拘,不拘,軟體程式設計、資料庫程式設計、系統整合分析","軟體助理工程師
、全端工程師
、後端工程師","月薪34,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8mi24?jobsource=new_map&app_jobsource=m_time4jobs","D4000 訂購平台JAVA後端開發工程師","【工作內容】
1.負責開發和維護訂購系統平台的各項功能，確保高效能、可擴展與安全的程式架構。
2.與跨職能團隊合作，包括前端UI開發人員、產品經理等，確保系統功能和需求的順利實現。
3.進行程式碼審查和性能優化，確保項目品質和系統效能。
4.持續團隊創新，緊跟技術發展趨勢，提倡新技術和最佳實踐的應用。

【技術要求】
1.具備基礎的JAVA程式設計能力和至少一年的相關開發經驗。
2.具備基礎的關聯式資料庫開發能力(Oracle、PostgreSQL、MySQL…等)

【加分項目】
1.有Spring Boot開發經驗者
2.Web前端開發經驗
3.對k8s、Docker有研究者
4.對AWS、GCP有研究者,不拘,不拘,不拘","軟體工程師
、後端工程師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8nlwz?jobsource=new_map&app_jobsource=m_time4jobs","產業應用發展部-全端工程師","1.設計開發系統介面程式，資料庫設計與管理
2.使用一種前端框架(Angular、React、Vue)進行開發
3.API設計開發與串接
4.專案支援、協調及執行軟體測試
5.主管交辦工作事項,資工、資管、電機電子工程相關科系

其他需求條件：
1.Javascript、JQuery、AngularJS 前端網項相關技術
2.熟悉ASP.net、C#後端網頁開發技術
3.CSS3、HTML5 
4.熟悉MS-SQL 資料庫語法
5.至少1年以上網頁/系統前端開發經驗,C#、Java、PHP、Python、MS SQL、MySQL、Oracle、HTML、JavaScript、CSS、Node.js、Angular
提升專業能力
提升專業能力,系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計","全端工程師
、前端工程師
、後端工程師","待遇面議","需出差，一年累積時間約一個月以下","2025-09-09","","",""
"https://www.104.com.tw/job/8p9pf?jobsource=new_map&app_jobsource=m_time4jobs","全端工程師(Java) (台中)","【提升價值 × 創造可能 × 一起成長】
歡迎來到這裡，看到這段話的你，我們相信你不是在隨便找工作，而是在找一個「值得待下去的地方」
或許這裡就是你下一段旅程的開始！

我們是達暉，一群熱愛技術也在意生活的夥伴
這裡沒有所謂「完美履歷」的標準答案
有的是一個個願意嘗試、學習、合作的工程師，一起把事情做得更好

我們喜歡技術，也喜歡分享
過去辦過線上分享、讀書會、生活體驗課程，還會一起登山、玩桌遊、吃飯聊未來

你的成長不是被要求，而是被支持與期待
我們不只寫程式，也關心彼此的生活
歡迎你加入，讓我們一起邁向專業與樂趣兼具的未來
°o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧°

▍職缺條件：
※  3年以上 JAVA 經驗
※  2年 spring boot
※  2年 Vue框架開發工作經驗

▍工作內容：
※ 程式開發及維護

▍人格特質：
※樂於學習分享
※良好溝通能力
※追求程式品質

▍您能獲得：
※透過知名專案歷練，讓未來更好找工作。
※未來職涯規劃諮詢，了解定位擬訂計畫。
※線上技術訓練課程，隨時隨地都可學習。
※多元化生活體驗課，一同創造美好回憶。,不拘,Java、Spring、VueJS
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計","軟體工程師
、Internet程式設計師","月薪50,000~68,000元","無需出差外派","2025-09-09","","",""
