"job-href","job","content","types","salary","business_trip","date","position_text","position_href","company"
"https://www.104.com.tw/job/7t5px?jobsource=new_map&app_jobsource=m_time4jobs","前端網頁工程師（具備美感設計能力）","奇點無限是一家以「數學最佳化」與「資料科學」為核心技術的軟體公司，致力於智慧交通及綠色物流領域。透過頂尖數學家與工程師的合作，提供全球永續發展的最佳化解決方案。

【職務說明】
我們正在尋找一位兼具前端開發與UI/UX設計能力的專才，加入我們的團隊，設計與開發高效且吸引人的網站與應用程式，根據用戶需求與品牌定位，提供直觀且富有創意的使用者介面，進一步提升整體體驗。適合對新創充滿熱情，並渴望前瞻性職涯發展的您！


【職責內容】
• 設計並開發高效且美觀的前端，負責網站與應用程式的UI/UX設計與前端開發，確保優良的使用者體驗與功能性。
• 與後端工程師協作，保證前後端的順暢整合與前端效能優化。
• 參與需求討論並提供技術建議，協助產品設計與體驗的完善。
• 進行跨瀏覽器兼容性測試，確保不同設備上的一致性與穩定性。
• 支援產品視覺設計，創建吸引眼球的介面設計，提升用戶體驗及品牌形象。
• 執行主管交辦的其他相關任務。


【基本條件】
• 精通 HTML、CSS、JavaScript（ES6+）、TypeScript，能獨立完成前端開發工作。
• 熟悉 VueJS、React 或其他前端框架，並具備單頁應用程式（SPA）與伺服器端渲染（SSR）的開發經驗。
• 具備UI/UX設計經驗，能根據用戶需求設計直觀、吸引人且易於使用的介面。
• 熟悉響應式設計（RWD），確保網站在各類設備上的優秀顯示效果。
• 熟練使用 Git 進行版本控制，具備團隊合作經驗。
• 具備API串接經驗，能處理前端與後端數據交互。
• 熟悉 Git 進行版本控制，並能在團隊協作中有效管理代碼變更。


【加分條件】
• 具備美感設計與文宣設計經驗，能將設計轉化為有效的行銷工具，幫助提升品牌價值。
• 熟悉視覺設計工具（如 Sketch、Figma、Adobe XD 等），能創建高品質的設計稿與原型。
• 具備跨部門合作經驗，能與行銷團隊協作，提升產品的市場影響力。
• 熟悉前端測試工具，能撰寫單元測試，確保代碼品質。


【應徵方式】
團隊是實現夢想的核心，請提供以下資料，讓我們更了解你：

1. 簡歷：分享你的技術經驗與成就。
2. GitHub 或作品連結：展示你的程式碼與專案成果。
3. 應徵動機：用簡短文字告訴我們，你希望在團隊中實現什麼！


如果您具備上述條件，擁有豐富的想像力與創新思維，並希望在充滿挑戰的環境中，運用數學與資料科學，與我們共同開創智慧交通與綠色物流的未來，立即加入我們！,【期望特質】

智者說：對的人是成事的關鍵，我們期待您具備以下特質：

• 熱衷創新，勇於嘗試新技術並付諸實踐。
• 擅長團隊合作，與他人有效溝通，共同解決問題。
• 自律且具責任感，能有效管理時間與資源。
• 面對挑戰時，保持正向、靈活應對變動。
• 高度誠信，對工作全力以赴，保證如期完成。
• 以用戶需求為核心，專注提升產品與服務體驗。
• 積極學習，接受挑戰，持續自我成長。
• 認同公司使命，並為共同目標努力。,ReactJS、Spring、MySQL、PostgreSQL、RDBMS、HTML、JavaScript、jQuery、CSS、Sass、Node.js、Java、AngularJS、VueJS、Redux、Django、Angular、Sketch、Zeplin、Adobe XD、Figma、Wireframe、Github、Jenkins、Git、AJAX
提升專業能力
提升專業能力,多媒體簡報製作、軟體程式設計、網路程式設計、多媒體企劃設計、多媒體技術開發、多媒體影像處理、行銷工具設計開發、使用者介面設計、設計表現能力、媒體動畫應用設計諮詢、電腦動畫設計","軟體工程師
、Internet程式設計師
、網頁設計師","月薪32,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/874dn?jobsource=new_map&app_jobsource=m_time4jobs","Python後端工程師","Familiar with:

1. Web API exp.

2. Linux exp.

3. Git

4. 熟python或Django 或 寫過template 語言

5. 優秀的作品集 (能展示您過去的開發案例與決策思考過程)



個人特質:

1. 具視覺傳達溝通能力與美學素養，邏輯清楚，良好的流程設計概念

2. 對程式開發有熱情，願意主動嘗試新技術

3. 開發效率、自我管理、解決問題的能力

4. 能與團隊緊密合作，以確保開發與需求相符,不拘,Git、Python、Django
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、網路程式設計、網頁語法撰寫","軟體工程師
、網頁設計師
、全端工程師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/6u3no?jobsource=new_map&app_jobsource=m_time4jobs","後端工程師","這個職位要做的是世界級、運算極密集的平台開發與維護，絕對把你現有的知識與經驗重新翻洗，大幅提升後端能力。

  1. 研究開發並維護後端架構
  2. 基本效能評估、測試與優化改善
  3. RESTful API 開發
  4. 開發/API文件撰寫
  5. 與不同職能專家協同作業,1. 具 MongoDB 或 ElasticSearch 使用經驗者
2. Messaging Engine, e.g. Kafka, ELK, MQ,
3. Data Processing, Pipeline 規劃開發
4. 熟悉容器技術, e.g. Docker 相關技術
5. 熟悉AWS或其他雲服務
6. Linux平台上開發經驗
7. 提供 GitHub 個人主頁
8. 熟悉Harbor, NPM等技術,Github、JIRA、Node.js、RDBMS、PostgreSQL、MySQL、Python、Java、C++、Linux
提升專業能力
提升專業能力,軟體工程系統開發、資料庫軟體應用、資料庫程式設計、資料庫系統管理維護、演算法設計、AI、網路程式設計、軟體程式設計","Internet程式設計師
、軟體工程師
、演算法工程師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8pzz9?jobsource=new_map&app_jobsource=m_time4jobs","軟體客服助理工程師","工作內容：
1.客戶廠商的對應窗口,規劃開發專案流程,監控進度回報,及驗收測試功能。
2.定期對內回報專案進度,針對內需進行調整更改專案內容。
3.維護APP 或 網站即時針對問題處理。


技能要求:
1.一年以上後端開發相關經驗。

2.具系統架構發想，流程規劃經驗。

3.瞭解前端語言基礎：
如：HTML、CSS、JavaScript

4.後端開發技術：
服務器端程式語言：如Node.js (JavaScript), Python, Java, PHP等
伺服器技術：如Apache, Nginx等
資料庫技術：如MySQL, PostgreSQL, MongoDB等
RESTful API設計和開發

5.資料庫技術：
SQL語法以及資料庫管理與操作
了解NoSQL（如MongoDB）以及能夠選擇適當的資料庫技術來解決問題

6.版本控制（Version Control）:
如Git和GitHub或其他版本控制系統

7.基礎架構與雲端技術：
對於如AWS, GCP, Azure等雲服務平台的基礎知識,不拘,不拘,軟體程式設計、資料庫程式設計、系統整合分析","軟體助理工程師
、全端工程師
、後端工程師","月薪34,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/84ttm?jobsource=new_map&app_jobsource=m_time4jobs","前端工程師","Familiar with:

1. Javascript, Html, CSS

2. RWD

3. Bootstrap layout

4. Web API exp.

5.Linux exp.

6. Git

7.熟python或Django 或 寫過template 語言

8. 優秀的作品集 (能展示您過去的開發案例與決策思考過程)



個人特質:

1. 具視覺傳達溝通能力與美學素養，邏輯清楚，良好的流程設計概念

2. 對程式開發有熱情，願意主動嘗試新技術

3. 開發效率、自我管理、解決問題的能力

4. 能與團隊緊密合作，以確保開發與需求相符,不拘,Git、HTML、JavaScript、CSS、Django
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、網路程式設計、網頁語法撰寫","前端工程師
、軟體工程師
、網頁設計師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8silp?jobsource=new_map&app_jobsource=m_time4jobs","軟體工程師_網頁開發 (可遠端) M2","我們正在尋找一位網頁開發人員，協助我們建立和維護核心應用程式，並開發新的應用程式。
1. 開發、測試和維護我們網頁應用程式的功能。
2. 負責全端開發，從資料庫互動到前端實作。
3. 與產品經理和使用者協作，將需求轉化為技術解決方案。
4. 編寫清晰、高效且文件齊全的程式碼。
5. 排除和調整平台上的問題。
6. 網頁框架經驗： 至少精通一種現代伺服器端框架。具備以下任何一種經驗且高度相關如 PHP、Node.js、基於 Python 的框架（例如：Django, Flask）、Ruby on Rails 等。,1. 資料庫熟練度： 具備 SQL 和關聯式資料庫（例如：MySQL, PostgreSQL）的豐富經驗。必須能夠熟練建構和優化複雜查詢。
2. 前端基礎： 紮實的 HTML, CSS 和現代 JavaScript (ES6+) 基礎是必不可少的。
3. 前端框架： 具備現代前端框架（如 React, Vue.js 或 Angular）的經驗是一個顯著的加分項。
4. 地點與遠端工作政策： 
(我們開放招聘來自台灣任何地方的夥伴)
辦公地點在台北總公司，如居住在北北基桃以外，將可申請遠端職位。,Node.js、Django、Python、PHP、Ruby、PostgreSQL、HTML、MySQL、JavaScript
提升專業能力
提升專業能力,軟體程式設計、軟體工程系統開發","軟體工程師
、前端工程師
、全端工程師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8s1t9?jobsource=new_map&app_jobsource=m_time4jobs","軟體工程師(全端)","我們是一家深耕業界超過 70 年的建材製造廠，目前投入自動化與智慧轉型，歡迎加入轉型行列。

工作內容
1. 架構與設計
-規劃產品軟體架構與模組，控管開發進度
-參與系統需求分析與技術選型。

2. 程式開發
-以 Python／C#／Java 撰寫後端服務、API；整合前端框架，完成 Client-Server 全端功能。
-持續優化效能與可擴充性。

3. 資料庫與效能
-管理 SQL（MySQL／MS SQL） 與 NoSQL（MongoDB／Redis），設計資料模型與查詢優化。

4. 測試與維運
-撰寫自動化測試，執行 Code Review，透過 CI/CD 流程部署並維護版本。
-追蹤問題並進行改版、修復。

5. 資安與穩定性
-實作 OAuth、加密（AES／SSL）、權限控管與弱點防護，確保系統安全。

6. 跨部門協作
-與產品、前端、DevOps 及 QA 團隊合作，持續改進開發流程。
-其他主管交辦事項。

福利：
勞健保、團保、三節禮金／禮品、員工旅遊、不定期員工聚餐、定期健康檢查、教育訓練補助、免費咖啡與點心

您將參與公司的產品開發以及解決效率和流程問題，歡迎對軟體開發充滿熱情的你加入我們的團隊，我們期待與您合作。,不拘,JavaScript、CSS、HTML、jQuery、Python、Java、C#、MS SQL、MySQL、Git
提升專業能力
提升專業能力,伺服器網站管理維護、系統架構規劃、軟體程式設計、資料庫程式設計、資料庫系統管理維護","全端工程師
、軟體工程師
、資料工程師","月薪50,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/6zzi7?jobsource=new_map&app_jobsource=m_time4jobs","後端工程師 Backend Engineer","1. 有後端程式開發經驗佳(例如：python、php、node.js、golang..等等)。
2. 具備 RESTful API 設計及實作經驗與後端 API 開發經驗
3. 具備 SQL 資料庫基礎能力。
4. 與前端工程師協作，開發網頁前端互動功能
5. 具備團隊合作的精神、正面且專業的態度及強烈的責任心,【加分項目】
1. 有Golang  開發經驗尤佳
2. 熟悉gin、grpc、
3. 熟悉Docker、K8S
4. 熟悉Linux系統操作。
5. 擁有良好的代碼習慣，要求結構清晰，命名規範，邏輯性強，代碼冗餘率低。
6. 熟悉Git版控。,不拘,不拘","軟體工程師
、Internet程式設計師","月薪37,000~45,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/7zn0f?jobsource=new_map&app_jobsource=m_time4jobs","tripool｜後端工程師－台中 (全遠端)｜旅遊新創","工作機會描述
API 接口開發及維護
・與產品、設計團隊合作，開發高效且可延展的後端功能
・持續優化與維護後端服務架構
・能學習並使用合適的新技術使平台更有效率
・串接第三方金流服務相關經驗佳
・三年以上軟體開發經驗
・熟悉 Ruby on Rails、Python、或 Java
・熟悉 Linux (Ubuntu), PostgreSQL, Redis
・熟悉Git
・擅長溝通協調，對新技術學習充滿熱情


其它加分條件
・熟悉 AWS / GCP / Docker
・CI/CD 經驗

你會想加入我們團隊的原因
- 你喜歡在小型團隊工作，並討厭官僚僵化的流程
- 你喜歡學習，熱愛鑽研技術
- 你享受嘗試新事物和前衛的技術
- 彈性上班時間，完全遠端工作



公司描述
・2012年團隊成立，建立台灣旅遊資訊網站 rtaiwanr.com，當時每10位外語旅客就有1位透過此網站規劃來台旅程
・2013年成立旅行社，提供包車旅遊服務，替外國旅客規劃50,000個客製化行程
・2016年研發行程規劃系統，景點自動推薦、路徑最佳化並即時報價，大幅縮減人力支出80%
・2018年從數據中發現約35%的行程並不需要全日包車旅遊，僅需單趟的接駁服務，因此將既有行程規劃系統做延伸，以演算法為基礎，開發出車輛調度與派車系統，建立 tripool旅步
・2019年 tripool旅步全年服務超過來自60個不同國家的旅客，透過路徑規劃演算法降低空車率，以市價5~8折提供長途專車接送，往返全台各地風景區、飯店與機場
・2020年Covid-19爆發後，深耕台灣市場，於2021年恢復疫情前營收表現，並於之後連續兩年成長超過100%


網站：https://www.tripool.app
APP：https://apps.apple.com/tr/app/tripool-旅步-全台長途接送/id1577319798,不拘,AWS、PostgreSQL、Rails、Ruby、Python、Java、Git、Github
提升專業能力
提升專業能力,安裝與維護網路安全系統、伺服器網站管理維護、資料庫程式設計、資料庫系統管理維護、網路程式設計、軟體程式設計、軟體工程系統開發、系統整合分析、系統架構規劃","Internet程式設計師
、軟體工程師
、後端工程師","月薪65,000~90,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8ick0?jobsource=new_map&app_jobsource=m_time4jobs","軟體工程師","1.負責軟體之分析、設計以及程式撰寫：熟悉 python、go、TS，使用框架為 fastapi, gRPC, Vue (熟 nuxt, vue3 者佳)，Docker、SQL/NoSQL、雲端屬基本技能必須具備。
2.規劃執行軟體架構及模組之設計，並控管軟體設計進度。
3.進行軟體之測試與修改、IoT 接口開發 (串聯儀器、工控的 OPC UA、Modbus、COM Port)。
4.規劃、執行與維護量產的產品。
5.協助研發軟體新技術與新工具。,未填寫,Linux、Github、Git、Python、Go、ETL、PostgreSQL、JavaScript、Node.js、VueJS
提升專業能力
提升專業能力,軟體程式設計、模組化系統設計、資料庫程式設計","全端工程師
、後端工程師
、軟體專案主管","待遇面議","無需出差外派","2025-09-09","","",""
