"job-href","job","content","types","salary","business_trip","date","position_text","position_href","company"
"https://www.104.com.tw/job/6megu?jobsource=new_map&app_jobsource=m_time4jobs","Laravel 後端工程師","職缺描述：
––
 - 主開發語言為PHP / Laravel
 - 與團隊協作開發與維護指定專案的後端部分
 - 相關學歷/經歷/作品(Side Project可)/專案經驗或工作經驗，至少擁有一項

基本條件：
––
01. 「熟悉」PHP 8.2+，「熟悉」OOP

02. 「熟悉」Laravel 10+ Framework
 - 最少熟悉官方文件所提到的內容
 - 其他不會的地方要肯問或具有閱讀技術文章解決問題的能力

03. 熟悉LNMP(Linux/Nginx/MySQL/PHP)

04. 團隊合作(與PM/前端)及良好的協作與溝通能力

05. 具備自我精進良好心態

加分條件(具有下列條件其中之一有加分者，越多點加越多分)：
––
01. 具備不同資料庫的經驗，如 MySQL，PostgreSQL 或 NoSQL（MongoDB）

02. 熟悉Golang，有實務開發經驗

03. 熟悉CI/CD，Docker，有自動化佈署相關經驗 (K8s, Jenkins等)

04. 熟悉AWS Cloud Infrastructure 應用部署(GCP亦可)

05. 具Web Service相關開發經驗及資訊安全處理經驗

福利與制度：
––
- 彈性上下班制度。(09:00~18:00 彈性時間)。
- 平行化管理，不限制穿著。
- 不定期員工聚餐、康樂活動。
- 明亮寬敞的辦公環境。
- 冰箱、飲水機、咖啡機等完善設備。
- 每日200元午餐費用補助。
- 喝不完的飲料、吃不完的零食。,不拘,AWS、PostgreSQL、MySQL、PHP、Git、Github、OOP、Linux
提升專業能力
提升專業能力,軟體程式設計、資料庫程式設計、資料庫系統管理維護、模組化系統設計、網路程式設計、結構化程式設計、伺服器網站管理維護、測試計劃及測試報告書撰寫、測試環境建置規劃、軟體整合測試、問題追蹤處理(Bug tracking)、使用者測試(Usability test)、安全性測試(Security test)、功能測試(function test)、軟體品質與保證、軟體工程系統開發、系統架構規劃、資訊設備環境設定、資料備份與復原、作業系統基本操作","Internet程式設計師
、軟體工程師
、其他資訊專業人員","月薪44,000~120,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8sl0z?jobsource=new_map&app_jobsource=m_time4jobs","【技術開發部】(主任)後端工程師","【工作職責】
● 使用Golang及grpc or http進行系統後端伺服器及API開發與維護。
● 負責開發多人連線網路系統。
● 後台管理介面開發及維護。
● 資料庫建置及運用。
● 網路同步機制撰寫。
● 具備K8S使用經驗。

【其他條件】
● 使用 Golang/C++/Asp.Net(MVCWeb API)/MSSQL/Redis/Postgresql 等技術。
● 具備一年以上遊戲伺服器開發經驗者佳。
● 使用 Server/Web/資料庫設計/程式設計的相關經驗。

【加分項目】
● 具備一年以上遊戲相關產業開發經驗者佳。
● 具備即時連線遊戲前後端串接流程相關經驗者佳。
● 具有獨立開發能力 (架構設計/流程設計/除錯/效能調整)者佳。,不拘,不拘,不拘","軟體工程師
、電玩程式設計師
、後端工程師","月薪60,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8ac9g?jobsource=new_map&app_jobsource=m_time4jobs","Golang 後端開發工程師","職缺描述：
––
 - 主開發語言為Golang
 - 與團隊協作開發與維護指定專案的後端部分
 - 相關學歷/經歷/作品(Side Project可)/專案經驗或工作經驗，至少擁有一項

基本條件：
––
01. 熟悉 Golang，三年以上實務開發經驗。

02. 熟悉 API 設計及開發。

03. Game Server 撰寫經驗。

04. 有高併發、高可用、分散式服務開發經驗。

05. 團隊合作(與 PM / 前端)及良好的協作與溝通能力。

06. 具備自我精進良好心態。

加分條件(具有下列條件其中之一有加分者，越多點加越多分)：
––
01. 具備不同資料庫的經驗，如 MySQL，PostgreSQL 或 NoSQL（MongoDB）

02. 熟悉 CI / CD，有自動化佈署相關經驗 (K8s, Docker, Jenkins等)

03. 熟悉 AWS Cloud Infrastructure 應用部署(GCP亦可)

04. 具 Web Service 相關開發經驗及資訊安全處理經驗

05. 熟悉 PHP 8+ 或任意 PHP 框架

福利與制度：
––
- 彈性上下班制度。(09:00~18:00 彈性時間)。
- 平行化管理，不限制穿著。
- 不定期員工聚餐、康樂活動。
- 明亮寬敞的辦公環境。
- 冰箱、飲水機、咖啡機等完善設備。
- 每日200元午餐費用補助。
- 喝不完的飲料、吃不完的零食。,不拘,AWS、PostgreSQL、MySQL、Go、Git、Github、OOP、Linux、PHP
提升專業能力
提升專業能力,軟體程式設計、資料庫程式設計、資料庫系統管理維護、模組化系統設計、網路程式設計、結構化程式設計、伺服器網站管理維護、測試環境建置規劃、軟體整合測試、問題追蹤處理(Bug tracking)、使用者測試(Usability test)、安全性測試(Security test)、功能測試(function test)、軟體品質與保證、軟體工程系統開發、系統整合分析、系統架構規劃、資訊設備環境設定、資料備份與復原、作業系統基本操作","Internet程式設計師
、軟體工程師
、其他資訊專業人員","月薪44,000~120,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8sl25?jobsource=new_map&app_jobsource=m_time4jobs","【產品發展部】(資深)主任後端工程師","【工作職責】
● 負責 API 功能設計、開發與維護 (JavaScript/TypeScript)
● 負責 API 文件撰寫與維護
● 負責設計與優化高併發環境下的應用程式與服務
● 負責擔任技術窗口，與客戶進行串接、溝通及異常排除(on call)
● 負責規劃前後端部屬策略（SSR、SPA、CDN、CI/CD）
● 負責技術評估與選型，導入合適的框架與工具

【其他條件】
● 熟悉 TypeScript 與常見後端框架（如 Express.js、NestJS、Koa, etc）
● 熟悉 Redis、Kafka、RabbitMQ 等訊息佇列或快取系統
● 具備使用過 GCP、AWS、Azure 等公有雲平台經驗
● 能獨立思考系統架構設計，理解整體軟體開發生命週期與 DevOps 流程
● 溝通協調與團隊協作能力

【加分條件】
● 具備處理高併發、高可用性系統經驗
● 熟悉 Golang，具備實際開發經驗
● 熟悉與AI模型或MCP串接應用整合,不拘,不拘,不拘","軟體工程師
、電玩程式設計師
、Internet程式設計師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8l1s0?jobsource=new_map&app_jobsource=m_time4jobs","PHP後端工程師","1.PHP Laravel Restful API。
2.資料庫設計
3.自架Web server經驗
4.金流API串接
5.GIT使用

[加分條件]
golang、vue、nodejs經驗,不拘,不拘,不拘","後端工程師
、軟體工程師","月薪38,000~60,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8l30w?jobsource=new_map&app_jobsource=m_time4jobs","Golang後端工程師【全遠端工作】","1.遊戲後端伺服器及API開發與維護。
2.後台管理介面開發及維護。
3.熟悉Golang、Restful Service
4.熟悉NoSQL和Cache應用,如MongoDB、Redis的實作經驗。
5.熟悉Git版控、Linux系統操作、Docker應用。
6.MySQL、PostgreSQL資料庫建置及運用。
7.具Multi-thread開發經驗。
8.規劃執行軟體架構及模組之設計,並控管軟體設計進度。
9.技術文件撰寫。
10.其他主管交辦事項。,不拘,Linux、MySQL、PostgreSQL、Socket
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用","軟體工程師
、電玩程式設計師
、後端工程師","月薪35,000~80,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/6zzi7?jobsource=new_map&app_jobsource=m_time4jobs","後端工程師 Backend Engineer","1. 有後端程式開發經驗佳(例如：python、php、node.js、golang..等等)。
2. 具備 RESTful API 設計及實作經驗與後端 API 開發經驗
3. 具備 SQL 資料庫基礎能力。
4. 與前端工程師協作，開發網頁前端互動功能
5. 具備團隊合作的精神、正面且專業的態度及強烈的責任心,【加分項目】
1. 有Golang  開發經驗尤佳
2. 熟悉gin、grpc、
3. 熟悉Docker、K8S
4. 熟悉Linux系統操作。
5. 擁有良好的代碼習慣，要求結構清晰，命名規範，邏輯性強，代碼冗餘率低。
6. 熟悉Git版控。,不拘,不拘","軟體工程師
、Internet程式設計師","月薪37,000~45,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8otxu?jobsource=new_map&app_jobsource=m_time4jobs","研發工程師(台中)","工作內容：
• 主要工作為前後端程式設計及單元測試、設計文件撰寫。
• 主要的開發內容為：文本分析、數據分析、語音辨識...。
基本能力及特質:
• 能獨立作業，主動積極並具良好溝通協調能力。
• 學習新知的熱誠、討論與分享知識者。
• 熟悉Web/API前後端開發架構。
• 至少一種語言開發經驗: Golang(GO)、TypeScript、Python佳。
• 至少一種資料庫使用經驗。,進階能力(可到職學習): 
• Linux應用程式開發與維護經驗。
• 俱備微服務開發經驗。
• MongoDB、Elasticsearch開發經驗。
• CI/CD觀念及使用經驗(Jenkins、Drone、GitlabCI）。
• K8S容器調渡技術或經驗。
• 語意理解NLP、語音辨識。,不拘,不拘","Internet程式設計師
、軟體工程師
、演算法工程師","月薪40,000~60,000元","需出差，一年累積時間約一個月以下","2025-09-09","","",""
"https://www.104.com.tw/job/7uvmi?jobsource=new_map&app_jobsource=m_time4jobs","後端工程師 Senior Backend Engineer","1. 有 Golang  開發經驗。
2. 具備 RESTful API 設計及實作經驗與後端 API 開發經驗
3. 熟悉gin、grpc、
4. 熟悉Docker、K8S
5. 熟悉 SQL 資料庫。
6. 與前端工程師協作，開發網頁前端互動功能
7. 擁有良好的代碼習慣，要求結構清晰，命名規範，邏輯性強，代碼冗餘率低。
8. 熟悉Git版控。
9. 具備團隊合作的精神、正面且專業的態度及強烈的責任心,【加分項目】
1. 有大型系統開發經驗,Go、MySQL
提升專業能力
提升專業能力,軟體程式設計","軟體工程師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8sl25?app_jobsource=m_time4jobs&jobsource=new_map","【產品發展部】(資深)主任後端工程師","【工作職責】
● 負責 API 功能設計、開發與維護 (JavaScript/TypeScript)
● 負責 API 文件撰寫與維護
● 負責設計與優化高併發環境下的應用程式與服務
● 負責擔任技術窗口，與客戶進行串接、溝通及異常排除(on call)
● 負責規劃前後端部屬策略（SSR、SPA、CDN、CI/CD）
● 負責技術評估與選型，導入合適的框架與工具

【其他條件】
● 熟悉 TypeScript 與常見後端框架（如 Express.js、NestJS、Koa, etc）
● 熟悉 Redis、Kafka、RabbitMQ 等訊息佇列或快取系統
● 具備使用過 GCP、AWS、Azure 等公有雲平台經驗
● 能獨立思考系統架構設計，理解整體軟體開發生命週期與 DevOps 流程
● 溝通協調與團隊協作能力

【加分條件】
● 具備處理高併發、高可用性系統經驗
● 熟悉 Golang，具備實際開發經驗
● 熟悉與AI模型或MCP串接應用整合,不拘,不拘,不拘","軟體工程師
、遊戲工程師
、Internet程式設計師","待遇面議","無需出差外派","2025-10-09","","",""
