"job-href","job","content","types","salary","business_trip","date","position_text","position_href","company"
"https://www.104.com.tw/job/8ll7r?jobsource=new_map&app_jobsource=m_time4jobs","Tech Lead / 全端開發專家","奇點無限是一家以「數學最佳化」與「資料科學」為核心技術的軟體公司，致力於智慧交通及綠色物流領域。透過頂尖數學家與工程師的合作，提供全球永續發展的最佳化解決方案。


【職務說明】
我們正在尋找一位技術領袖（Tech Lead），負責帶領開發團隊，設計並實施高效的系統架構，同時親自參與全端開發工作。在快速發展的創新環境中，您將以技術實力驅動專案成功，推動團隊實現台灣智慧交通與綠色物流配送最佳化的新里程碑，共同實現永續發展的願景。
這個職位非常適合對新創充滿熱情，並渴望前瞻性職涯發展的您！

※ 投遞此職缺需附上作品集 ※


【職責內容】
• 技術領導與團隊管理：帶領團隊協調跨部門合作，確保專案高效執行與成功交付。
• 全端技術開發：設計並實作穩定高效的前後端架構，必要時支援技術實作。
• 雲端架構與效能優化：設計可擴展雲端架構，提升系統效能與穩定性。
• 資訊安全管理：預防並解決安全風險，保護用戶與公司數據安全。
• 技術支持與商業優化：提供技術方案支持業務需求，並優化相關流程。



【基本條件】
1. 全端開發能力：
• 精通 HTML、CSS、JavaScript（ES6+）、TypeScript，以及 Vue.js 等框架，具備 SPA 和 RWD 經驗。
• 熟悉 Node.js 與 API 設計，具備 SQL 與 NoSQL 資料庫管理能力。
• 具備微服務架構與分佈式系統經驗。
2. 雲端架構與效能優化：
• 熟悉 AWS、Azure 或 GCP，具備雲端架構設計與效能優化經驗。
3. 資訊安全：
• 熟悉資料加密與身份驗證技術，能有效設計防範機制。
4. 團隊管理與專案推進：
• 有敏捷開發與 DevOps 實踐經驗，能有效領導團隊並協調資源。


【加分條件】
• 基本了解或具備 Optimization 背景。
• 具備物流或供應鏈管理經驗。
• 基本了解並能運用人工智慧、大數據處理或機器學習技術。
• 具備商業敏銳度，能優化技術方案支持業務發展。
• 能自主學習新技術並應用於實際問題，定期更新技術知識與測試新技術。
• 具備架構設計經驗，能夠主導並設計高效的系統架構。
• 具有大流量高併發處理經驗，能有效應對高負載情境。


【應徵方式】
請提供以下資訊，幫助我們更了解你：

簡歷：分享你的技術經驗與成就。
GitHub 或作品連結：展示你的程式碼與專案成果。
應徵動機：用簡短文字告訴我們，你希望在團隊中實現什麼。


如果您具備上述條件，擁有豐富的想像力與創新思維，並希望在充滿挑戰的環境中，運用數學與資料科學，與我們共同開創智慧交通與綠色物流的未來，立即加入我們！,1. 具備商業思維
2. 具備最佳化(Optimization)經驗
3. 具備軟體架構師(Software architect)能力
4. 熟悉規劃與設計系統開發流程
5. 熟悉Linux開發管理維運
6. 熟悉公有雲部署服務維運
7. 追蹤舊技術的迭代與新技術的發展，並評估是否能夠導入公司使用或是促使團隊升級
8. 熟悉雲端平台的解決方案
9. 能夠評估各方案的開發資源與營運成本,不拘,不拘","全端工程師
、資料科學家
、演算法工程師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8oi8c?jobsource=new_map&app_jobsource=m_time4jobs","Front End 前端工程師","【工作內容 】

 1. 網頁前端功能開發與元件化建置
 2. 使用 Element Plus 框架進行介面開發與客製化
 3. 頁面響應式設計與跨瀏覽器相容性調整
 4. 無障礙功能設計（a11y）與多語系介面建置（i18n）
 5. 串接後端 API 並處理資料整合與呈現
 6. 使用 Git 進行版本控管與專案部署（含雲端環境）

【技能需求】

A. 前端技術（Frontend）：
開發技術：HTML5、CSS3、JavaScript、TypeScript
前端框架：Vue 3、Vite、Pinia、Vue Router、Element Plus
其他：SCSS、Vue I18n（多語系）、WAI-ARIA（無障礙設計）、RWD 響應式切版

B. 後端技術（Backend）：
理解 API 串接與資料處理流程
具備與 ASP.NET Core / Node.js 團隊協作經驗

C. 資料庫（Database）：
熟悉 JSON 資料格式與 RESTful API 串接邏輯
具備基本 SQL 查詢概念

D. 開發工具與環境（Development & Tools）：
版本控制：Git / GitHub
開發工具：VS Code、Postman
雲端服務：Azure（網站部署、靜態資源託管）,不拘,JavaScript、HTML、Git、Line、Node.js
提升專業能力
提升專業能力,軟體程式設計、系統架構規劃","Internet程式設計師
、前端工程師","月薪38,000~52,000元","需出差，一年累積時間約一個月以下","2025-09-09","","",""
"https://www.104.com.tw/job/7t5px?jobsource=new_map&app_jobsource=m_time4jobs","前端網頁工程師（具備美感設計能力）","奇點無限是一家以「數學最佳化」與「資料科學」為核心技術的軟體公司，致力於智慧交通及綠色物流領域。透過頂尖數學家與工程師的合作，提供全球永續發展的最佳化解決方案。

【職務說明】
我們正在尋找一位兼具前端開發與UI/UX設計能力的專才，加入我們的團隊，設計與開發高效且吸引人的網站與應用程式，根據用戶需求與品牌定位，提供直觀且富有創意的使用者介面，進一步提升整體體驗。適合對新創充滿熱情，並渴望前瞻性職涯發展的您！


【職責內容】
• 設計並開發高效且美觀的前端，負責網站與應用程式的UI/UX設計與前端開發，確保優良的使用者體驗與功能性。
• 與後端工程師協作，保證前後端的順暢整合與前端效能優化。
• 參與需求討論並提供技術建議，協助產品設計與體驗的完善。
• 進行跨瀏覽器兼容性測試，確保不同設備上的一致性與穩定性。
• 支援產品視覺設計，創建吸引眼球的介面設計，提升用戶體驗及品牌形象。
• 執行主管交辦的其他相關任務。


【基本條件】
• 精通 HTML、CSS、JavaScript（ES6+）、TypeScript，能獨立完成前端開發工作。
• 熟悉 VueJS、React 或其他前端框架，並具備單頁應用程式（SPA）與伺服器端渲染（SSR）的開發經驗。
• 具備UI/UX設計經驗，能根據用戶需求設計直觀、吸引人且易於使用的介面。
• 熟悉響應式設計（RWD），確保網站在各類設備上的優秀顯示效果。
• 熟練使用 Git 進行版本控制，具備團隊合作經驗。
• 具備API串接經驗，能處理前端與後端數據交互。
• 熟悉 Git 進行版本控制，並能在團隊協作中有效管理代碼變更。


【加分條件】
• 具備美感設計與文宣設計經驗，能將設計轉化為有效的行銷工具，幫助提升品牌價值。
• 熟悉視覺設計工具（如 Sketch、Figma、Adobe XD 等），能創建高品質的設計稿與原型。
• 具備跨部門合作經驗，能與行銷團隊協作，提升產品的市場影響力。
• 熟悉前端測試工具，能撰寫單元測試，確保代碼品質。


【應徵方式】
團隊是實現夢想的核心，請提供以下資料，讓我們更了解你：

1. 簡歷：分享你的技術經驗與成就。
2. GitHub 或作品連結：展示你的程式碼與專案成果。
3. 應徵動機：用簡短文字告訴我們，你希望在團隊中實現什麼！


如果您具備上述條件，擁有豐富的想像力與創新思維，並希望在充滿挑戰的環境中，運用數學與資料科學，與我們共同開創智慧交通與綠色物流的未來，立即加入我們！,【期望特質】

智者說：對的人是成事的關鍵，我們期待您具備以下特質：

• 熱衷創新，勇於嘗試新技術並付諸實踐。
• 擅長團隊合作，與他人有效溝通，共同解決問題。
• 自律且具責任感，能有效管理時間與資源。
• 面對挑戰時，保持正向、靈活應對變動。
• 高度誠信，對工作全力以赴，保證如期完成。
• 以用戶需求為核心，專注提升產品與服務體驗。
• 積極學習，接受挑戰，持續自我成長。
• 認同公司使命，並為共同目標努力。,ReactJS、Spring、MySQL、PostgreSQL、RDBMS、HTML、JavaScript、jQuery、CSS、Sass、Node.js、Java、AngularJS、VueJS、Redux、Django、Angular、Sketch、Zeplin、Adobe XD、Figma、Wireframe、Github、Jenkins、Git、AJAX
提升專業能力
提升專業能力,多媒體簡報製作、軟體程式設計、網路程式設計、多媒體企劃設計、多媒體技術開發、多媒體影像處理、行銷工具設計開發、使用者介面設計、設計表現能力、媒體動畫應用設計諮詢、電腦動畫設計","軟體工程師
、Internet程式設計師
、網頁設計師","月薪32,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/88cx9?jobsource=new_map&app_jobsource=m_time4jobs","前端工程師","【工作內容】 
1.　與視覺設計師合作完成網站建置。 
2.　負責網頁前端作業。 
3.　與網頁前端切版工程師協作開發網站界面。
4.　主管交辦事項。

【必備技能】
1.　相關工作經驗 1年以上。
2.　熟悉Vue3、HTML、JavaScript、Bootstrap語法，可獨立進行網頁開發。
3.　串接API經驗。
4.　與用戶、主管、程式開發人員合作溝通協調，推進產品開發。

【加分技能】
1.　熟悉網站UI/UX觀念。
2.　好溝通能力，願意傾聽他人的意見相互溝通配合。
3.　對 RWD (Responsive Web Design) 響應式網站技術熟悉。
4.　熟悉其它架構Angular，可獨立進行網頁開發。
5.　Git版本控制經驗。,不拘,HTML、JavaScript、CSS、VueJS
提升專業能力
提升專業能力,不拘","Internet程式設計師
、軟體工程師
、前端工程師","月薪35,000~60,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8svki?jobsource=new_map&app_jobsource=m_time4jobs","前端工程師 Frontend Engineer","【工作內容】
1) 使用 Vue.js（Vue 3 / Vite）開發與維護前端專案
2) 與後端工程師合作進行 API串接、資料處理與錯誤處理
3) 負責 RWD切版 與 跨瀏覽器相容性 調整
4) 熟悉 Azure 平台的部署與基本管理（Web App / API / Database）
5) 協助維護與開發 .NET MVC 專案，與 MSSQL 資料庫進行資料互動
6) 參與資料庫查詢（T-SQL）與效能優化
7) 具 LINE API / LIFF 串接與應用經驗尤佳（如會員綁定、LINE Pay、訊息推送等）
8) 願意學習並應用 Chatbot（含LINE官方帳號聊天機器人）相關技術
9) 與設計師、產品經理、後端團隊密切合作，確保產品功能與設計一致
10) 協助專案文件撰寫與技術分享

【必要條件】
1) 熟悉 Vue.js（Vue CLI 或 Vite 開發模式）
2) 精通 HTML5 / CSS3 / JavaScript (ES6+)
3) 熟悉 RWD切版 與 UI/UX 基本概念
4) 有 API串接 與資料格式（JSON / RESTful API）處理經驗
5) 基本掌握 Git 版本控制
6) 熟悉 Azure 部署與基本管理
7) 具備 .NET MVC 開發經驗
8) 具備 MSSQL 操作與查詢能力（T-SQL）

【加分條件】
1) 有 LINE API / LIFF 開發經驗（會員系統、付款、訊息推送等）
2) 熟悉 Chatbot 開發或應用（如 LINE Chatbot、Dialogflow、Azure Bot Service）
3) 了解 後端技術（Node.js / Express / NestJS / .NET Core）
4) 有雲端架構與部署流程 經驗（Azure、AWS、GCP 任一皆可）
5) 熟悉 CI/CD 流程（GitHub Actions / Azure DevOps）
6) 有 跨系統整合專案 實務經驗
7) 有企劃PM經驗尤佳（如專案規劃、功能需求分析、跨部門溝通）,不拘,Node.js、Github、Line
提升專業能力
提升專業能力,軟體程式設計、系統架構規劃、軟體工程系統開發","前端工程師
、全端工程師","月薪40,000~52,000元","需出差，一年累積時間約一個月以下","2025-09-09","","",""
"https://www.104.com.tw/job/73eyj?jobsource=new_map&app_jobsource=m_time4jobs","前端工程師","【工作內容】
1. 參與企業專案開發及系統維護。
2. ReactJS程式開發或NodeJS程式開發。
3. 使用者教育訓練，系統問題協助及排除。
4. 資訊文件撰寫。
5. 新技術學習和研究。
6. 主管交辦事項。

【其它條件】
1. 具備開發及維護大型系統經驗。
2. 前後端分離開發經驗和模組開發經驗。
3. 多前端框架的實務經驗。
4. 熟悉MySQL或MSSQL資料庫。
5. RESTful API開發經驗。,不拘,Node.js、ReactJS、VueJS
提升專業能力
提升專業能力,不拘","軟體工程師
、前端工程師
、全端工程師","月薪34,000~45,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8s8rz?jobsource=new_map&app_jobsource=m_time4jobs","【產品發展部】(資深)主任全端工程師","【工作職責】
●負責產品站台開發與維護，包含後台管理系統、官網、etc. (Vue3)。
●負責 API 功能設計、開發與維護 (JavaScript/TypeScript)。
●負責 API 文件撰寫與維護。
●負責擔任技術窗口，與客戶進行串接、溝通及異常排除(on call)
●負責規劃前後端部屬策略（SSR、SPA、CDN、CI/CD）
●負責技術評估與選型，導入合適的框架與工具

【其他條件】
●熟悉至少一種前端開發框架 (React、Vue、Next.js、Nuxt、etc ..)
●熟悉模組化架構設計、前端效能優化、SEO、跨瀏覽器相容
●能獨立思考系統架構設計，理解整體軟體開發生命週期與 DevOps 流程
●文件編寫與管理能力
●溝通協調與團隊協作能力

【加分條件】
●熟悉 SQL / NoSQL 資料庫操作（PostgreSQL、MySQL、MongoDB、etc ..）
●熟悉 GCP 雲端平台操作與服務（App Engine、Cloud Run、Cloud Storage、Cloud SQL、Pub/Sub、etc ..）
●熟悉與AI模型或MCP串接應用整合,不拘,不拘,不拘","軟體工程師
、電玩程式設計師
、Internet程式設計師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8s6b0?jobsource=new_map&app_jobsource=m_time4jobs","【保障年薪14個月】網頁前端工程師","【 About  Us 】
廣告行銷產業變動快速，是具備高度競爭力的產業。我們的團隊節奏快，管理風格扁平、重視團隊合作與溝通協作，歡迎有挑戰精神的您加入我們的團隊，共同在資訊洪流中展穩腳步並且茁壯成長！

【網頁前端工程師】打造高效能、可維護的使用者體驗！
我們正在尋找一位具備前端框架開發經驗、專注於效能優化的網頁前端工程師，與設計、後端密切合作，實現頂尖的使用者體驗。

【工作內容 / 你將負責】
◤ 前端開發技術與框架應用
   熟悉前端框架與模組化開發，撰寫具備可維護性與可擴充性的程式碼。
   理解瀏覽器渲染流程，能針對效能瓶頸進行技術優化與問題解除。
   熟悉 JavaScript 模組化、打包工具與優化前端程式碼開發。
◤ 網頁效能優化與使用者體驗提升
   能獨立執行網站效能分析與優化，改善載入速度與互動性。
   針對核心網頁體驗指標（LCP、CLS、INP）進行優化與調校。
   熟練圖片壓縮、資源懶加載（Lazy Loading）等網站前端效能最佳化。
◤ 瀏覽器渲染與性能理解
   了解瀏覽器的渲染機制與資源加載流程。
◤ 跨部門協作
   與切版師協同整合RWD視覺畫面
   與後端工程師協同整合 API 與資料處理，提升網站系統整體效能。

【必備技能 / 我們希望你】
◆ 熟悉 HTML、CSS、JavaScript 並具備前端框架實作經驗。
◆ 熟悉 ES Modules、Component-based 結構設計
◆ 熟用 Tailwind、Bootstrap 或自製元件系統
◆ 了解瀏覽器渲染流程，熟練圖片壓縮、資源懶加載、JS 分包。
◆ 能獨立debug網站前端相關問題，且有實際改善網站效能案例者佳。
◆ 具備高度自律與主動性，能自主管理進度與品質。
◆ 積極學習：持續吸收前端新技術與效能優化知識。

【加分技能】
◇ 具備 CDN 資源快取調整經驗。
◇ 熟悉前端框架提升 SEO 結構化與使用者體驗。
◇ Next.js
◇ Vue
◇ PHP
◇ Angular
◇ React

【你會喜歡這裡，因為我們】
☆ 重視創意與溝通，尊重每個人的專業與聲音。
☆ 我們重視效率，追求成果勝過加班時數。
☆ 我們提倡員工自主性，鼓勵成員在工作中主動思考並持續成長。
☆ 鼓勵開放討論與積極回饋，任何人都可以提出好點子。
☆ 成果導向：您的努力會被看見。在這裡，回報與表現成正比。
☆ 鼓勵成員持續學習新知與優化流程，一起進化不間斷。
☆ 只要你對職涯有積極成長的規劃與期待，我們非常樂意提供舞台與機會。

★具競爭力的公司福利★
◇固定年終獎金2個月
◇三節禮金
◇生日禮金
◇每年穩定調薪
◇每年享有12天(以上)特休+不扣薪病假5天
◇不定期部門聚餐
◇團康活動(運動類、益智桌遊、藝術創作)
◇員工活動

★成為正式員工額外享有★
◇一年2次績效考核獎金
◇員工團體保險
◇年度健康檢查
◇健身房補助方案,不拘,HTML、JavaScript、CSS、Github
提升專業能力
提升專業能力,網頁語法撰寫、軟體程式設計","前端工程師
、Internet程式設計師
、網頁設計師","月薪40,000~48,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/7yz3j?jobsource=new_map&app_jobsource=m_time4jobs","全端工程師","1. 使用 Vue / React 維護網管程式與優化功能，進行簡易障礙排除或通報相關單位。
2. 操作 MySQL/ MSSQL/ NoSQL 撈取網管監控數據，進行後續分析與規劃。
3. 專案計畫執行及主管交辦事項。,1. 具Vue / React 任一前端開發經驗尤佳。
2. 具MySQL、MSSQL、NOSQL 經驗尤佳。,不拘,不拘","網路管理工程師
、系統工程師
、資料庫管理人員","月薪32,000~50,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/6niw4?jobsource=new_map&app_jobsource=m_time4jobs","Vue.js 前端工程師","職缺描述：
––
 - 開發與維護指定專案的Web前/後台(含管理控制台)的前端部分。
 - 須相關學歷/經歷/作品(Side Project可)/專案經驗或工作經驗，至少擁有一項。

基本條件：
––
01. 熟悉HTML5/CSS網頁切版
 - 可以從原稿切出針對各種裝置(PC/Pad/Mobile等等)夠自適應(RWD)的前端頁面。
 - 不使用Bootstrap(即單純使用CSS Media Queries)實現RWD。

02. 熟悉前端的相關技術
 - 熟悉Javascript (至少ES6)、Ajax。
 - 熟悉Vue3。
 - 熟悉設計各種微動畫效果來加強網頁的樣式或用戶體驗 (UX)。
 - 熟悉串接API，取得/分析/篩選來源數據，並且即時render整理後資訊。

03. 熟悉VSCode編輯器

04. 具有除錯能力

05. 團隊合作(與PM/後端)及良好溝通與抗壓能力

加分條件(具有下列條件者有加分)：
––
01. 能夠提供給PM或其他設計師更好的操作流程建議，具有優化使用者體驗的能力

02. 熟悉使用Webpack或者各種相關能加速開發的技能(SASS/SCSS/Less)

03. 具有豐富的作品展示

04. 熟悉 Nuxt.js

05. 使用 TypeScript 經驗

06. 具備 SEO，UI / UX 觀念者佳

福利與制度：
––
- 彈性上下班制度。(09:00~18:00 彈性時間)。
- 平行化管理，不限制穿著。
- 不定期員工聚餐、康樂活動。
- 明亮寬敞的辦公環境。
- 冰箱、飲水機、咖啡機等完善設備。
- 每日200元午餐費用補助。
- 喝不完的飲料、吃不完的零食。
- 具備開發彈性與技術深度,不拘,Github、Git、AJAX、HTML、JavaScript、CSS、Sass、VueJS
提升專業能力
提升專業能力,系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計、模組化系統設計、網頁軟體操作、網頁語法撰寫","網頁設計師
、Internet程式設計師
、軟體工程師","月薪40,000~88,000元","無需出差外派","2025-09-09","","",""
