"job-href","job","content","types","salary","business_trip","date","position_text","position_href","company"
"https://www.104.com.tw/job/7utbd?jobsource=new_map&app_jobsource=m_time4jobs","【總部】軟體系統工程師","如果您對資訊開發管理充滿熱情，並且想要在教育產業發展，歡迎您加入我們的團隊！

身為四季藝術的數位資訊部伙伴，您將參與我們內外部系統的設計、開發與維護工作，並透過技術協助學校業務流程最佳化。我們正在尋找有熱情、能協作、並勇於學習與挑戰的您！

工作內容包含：
1.使用 PHP 或 C# 進行系統程式開發（具1年以上實務經驗）。
2.操作與設計 關聯式資料庫（如 MySQL、MSSQL）。
3.根據需求設計並撰寫 RESTful API，整合多種企業級應用（如 HRM、BPM、CRM 等）。
4.負責校內系統日常維運與問題排除。

我們期望你具備的能力與特質：
1.喜歡挑戰新事物，擅長跨部門溝通，重視團隊合作。
2.能獨立或與團隊合作，進行系統設計、開發與測試。
3.樂於嘗試使用 AI 技術 解決資訊系統問題。

【超優獎金與福利】
✧紅利獎金
✧三節獎金
✧定期舒壓按摩
✧聯誼聚餐
✧電影藝文活動補助
✧新鮮有機午餐
✧伙伴及伙伴家人旅行
✧伙伴子女入學優惠
✧伙伴子女課後照顧
✧單親伙伴 子女免費就讀補助
✧伙伴第三名子女免費就讀

這裡，充滿藝術、人文、愛與夢想，
這裡，高薪酬.多獎金.好福利，
這裡，有創新的四季專屬App.注重伙伴是否能聰明工作，
與伙伴共創安身立命實現夢想的地方，幸福的成為伙伴與自己生命中的貴人!,不拘,PHP、MySQL、C#
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計","軟體工程師
、後端工程師
、Internet程式設計師","月薪40,000~50,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/6megu?jobsource=new_map&app_jobsource=m_time4jobs","Laravel 後端工程師","職缺描述：
––
 - 主開發語言為PHP / Laravel
 - 與團隊協作開發與維護指定專案的後端部分
 - 相關學歷/經歷/作品(Side Project可)/專案經驗或工作經驗，至少擁有一項

基本條件：
––
01. 「熟悉」PHP 8.2+，「熟悉」OOP

02. 「熟悉」Laravel 10+ Framework
 - 最少熟悉官方文件所提到的內容
 - 其他不會的地方要肯問或具有閱讀技術文章解決問題的能力

03. 熟悉LNMP(Linux/Nginx/MySQL/PHP)

04. 團隊合作(與PM/前端)及良好的協作與溝通能力

05. 具備自我精進良好心態

加分條件(具有下列條件其中之一有加分者，越多點加越多分)：
––
01. 具備不同資料庫的經驗，如 MySQL，PostgreSQL 或 NoSQL（MongoDB）

02. 熟悉Golang，有實務開發經驗

03. 熟悉CI/CD，Docker，有自動化佈署相關經驗 (K8s, Jenkins等)

04. 熟悉AWS Cloud Infrastructure 應用部署(GCP亦可)

05. 具Web Service相關開發經驗及資訊安全處理經驗

福利與制度：
––
- 彈性上下班制度。(09:00~18:00 彈性時間)。
- 平行化管理，不限制穿著。
- 不定期員工聚餐、康樂活動。
- 明亮寬敞的辦公環境。
- 冰箱、飲水機、咖啡機等完善設備。
- 每日200元午餐費用補助。
- 喝不完的飲料、吃不完的零食。,不拘,AWS、PostgreSQL、MySQL、PHP、Git、Github、OOP、Linux
提升專業能力
提升專業能力,軟體程式設計、資料庫程式設計、資料庫系統管理維護、模組化系統設計、網路程式設計、結構化程式設計、伺服器網站管理維護、測試計劃及測試報告書撰寫、測試環境建置規劃、軟體整合測試、問題追蹤處理(Bug tracking)、使用者測試(Usability test)、安全性測試(Security test)、功能測試(function test)、軟體品質與保證、軟體工程系統開發、系統架構規劃、資訊設備環境設定、資料備份與復原、作業系統基本操作","Internet程式設計師
、軟體工程師
、其他資訊專業人員","月薪44,000~120,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8trxm?jobsource=new_map&app_jobsource=m_time4jobs","後端工程師","│基本條件│
1.平台系統開發與維護
2.串接第三方服務
3.客製化平台系統開發
4.跨團隊合作，如協助產品、前端、設計、測試及維運團隊,不拘,PHP、MySQL、Github
提升專業能力
提升專業能力,不拘","後端工程師","月薪50,000~80,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8pjf4?jobsource=new_map&app_jobsource=m_time4jobs","(台中) PHP 工程師","使用 PHP 搭配 MySQL 進行網站與系統開發

負責網站程式的開發、設計與後續維護

規劃與設計網路系統架構，進行系統分析與測試

參與整體專案流程，從需求分析到功能上線皆有涉略

職務需求:
熟悉 PHP 程式設計，具 PHP Framework 開發經驗（如 Laravel 等）

熟悉 MySQL，能撰寫效能良好的 SQL 查詢

具備 jQuery、Ajax、JavaScript 操作經驗者佳

邏輯清晰，具獨立作業與問題解決能力,不拘,PHP、jQuery、AJAX、JavaScript
提升專業能力
提升專業能力,軟體程式設計","後端工程師
、前端工程師
、全端工程師","月薪40,000~80,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8k7vw?jobsource=new_map&app_jobsource=m_time4jobs","資深PHP後端工程師Senior Backend Engineer","【工作內容】
1.與前端⼯程師和設計師合作，參與產品設計和架構建置，提升產品效能和使⽤者體驗

2.維護與優化Laravel專案，撰寫可測試、⾼品質的程式碼

3.獨立負責開發項⽬，應⽤RESTful API和微服務架構進⾏系統設計

4.參與技術決策，提出建設性建議，確保技術實現與產品⽬標⼀致

5.提供技術建議與規劃，⽀援設計師和業務團隊，解決技術挑戰

【招募背景】
1.擁有五年以上的產品環境開發與⼯作經驗
2.能根據商業需求，結合團隊現況，提出合適的技術⽅案和系統架構
3.具備良好的溝通能⼒，能清晰表達技術觀點
4.積極主動與各團隊協作，能有效解決跨團隊的技術問題
5.深入理解 MySQL關聯式資料庫及其優化技術
6.具備雲平台使⽤經驗（如 AWS、GCP)
7.熟悉微服務架構與開發實務
8.精通 PHP與Laravel 框架開發

 
【加分項目】
1.具備資料分析經驗，能從商業⾓度理解數據價值
2.熟悉Docker、Kubernetes容器化技術
3.熟悉 Redis、MongoDB、Elasticsearch等資料庫技術,未填寫,Linux、Git、PHP、MySQL、AWS
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、資料庫程式設計","後端工程師
、全端工程師","月薪60,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8ch5x?jobsource=new_map&app_jobsource=m_time4jobs","wordpress 網站工程師-台中","1. WordPress網頁建置、日常維運與不定期改版。
2. 配合企劃、視覺設計師完善更新公司網頁內容,操作及Divi、Elementor、Block Editor頁面編輯器等工具。
3. 化Wordpress前台 HTML CSS Javascript
4. 對網站流量進行數據監控和數據統計，跟踪及分析頁面流量轉化數據和用戶行為提出改善建議。
5.負責制定公司SEO優化方案，包含：關鍵字部署、內部連結調整、頁面結構、外鏈建設等等。
6.公司內部網路環境架構、設定、維運，對故障進行分析、判定與排除異常。
7. 以php、MySQL開發客製化修改及外掛程式
8.靈活運用及優化 WordPress  版型及外掛，對前端優化具有一定熟悉度
9. WordPress網站性能優化,不拘,HTML、JavaScript、CSS、Wordpress、SEO
提升專業能力
提升專業能力,網路活動規劃與執行、網頁語法撰寫","網頁設計師
、前端工程師
、網站企劃","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/87qst?jobsource=new_map&app_jobsource=m_time4jobs","PHP 工程師","1. 負責網路程式軟體的分析、設計、程式撰寫與維護。
2. 進行程式的測試、優化與調整修改。
3. 協助專案需求分析、系統規劃及開發。
4. 預估並掌控開發進度。
5. 與前端工程師介接討論。,不拘,PHP、HTML、JavaScript
提升專業能力
提升專業能力,不拘","Internet程式設計師
、軟體工程師
、後端工程師","月薪35,000~70,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8a43v?jobsource=new_map&app_jobsource=m_time4jobs","前後端工程師","1. API 設計與撰寫經驗， API串接、後端系統分析、設計以及程式撰寫。
2.熟悉系統架構分析，能執行軟體開發前後建置及功能測試、除錯修改。
3.負責網站前後台程式設計與開發，具備 2年以上的 Web/API 開發經驗。
4.熟悉 RWD 網頁切版，前端網頁視覺呈現，與APP工程師協作。
5.熟悉 Go lanuge、PHP、Laravel，具備 MySQL、資料庫開發經驗。
6.熟悉TCP/IP、MQTT、HTTP等網路通訊協定者佳。
7.具Iot物聯網人機介面相關通訊協定處理經驗者佳。
8.負責產品系統程式規劃、設計、撰寫、開發及維護。
9.具電子支付系統撰寫經驗，熟悉各支付API串接流程及系統程式架構。,1. 需有 JAVA、PHP、MySQL、Git 指令之技能，依需求撰寫並維護 API與資料庫效能調校與優化。
2. 熟悉 Git 版本控管（GitLab)操作及指令。
3. 具備有獨立以 PHP 開發網站之能力，懂得使用 MVC Framework 尤佳。
4. 對Linux, java,AWS, MySQL 擅長者優先。
5. 瞭解如何以 SQL 操作資料表，對 SQL Injection / XSS 等網站安全議題有基本認知。
6. 對線上金流串接API有相關經驗。,Linux、TCP/IP、HTTP、CSS、JavaScript、MySQL、PHP、Java、Git、Github
提升專業能力
提升專業能力,伺服器網站管理維護、資料庫軟體應用、資料庫程式設計、資料庫系統管理維護、網路程式設計、軟體程式設計、軟體工程系統開發、系統整合分析、系統架構規劃、資訊設備環境設定","軟體工程師
、Internet程式設計師
、軟體專案主管","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8s6b0?jobsource=new_map&app_jobsource=m_time4jobs","【保障年薪14個月】網頁前端工程師","【 About  Us 】
廣告行銷產業變動快速，是具備高度競爭力的產業。我們的團隊節奏快，管理風格扁平、重視團隊合作與溝通協作，歡迎有挑戰精神的您加入我們的團隊，共同在資訊洪流中展穩腳步並且茁壯成長！

【網頁前端工程師】打造高效能、可維護的使用者體驗！
我們正在尋找一位具備前端框架開發經驗、專注於效能優化的網頁前端工程師，與設計、後端密切合作，實現頂尖的使用者體驗。

【工作內容 / 你將負責】
◤ 前端開發技術與框架應用
   熟悉前端框架與模組化開發，撰寫具備可維護性與可擴充性的程式碼。
   理解瀏覽器渲染流程，能針對效能瓶頸進行技術優化與問題解除。
   熟悉 JavaScript 模組化、打包工具與優化前端程式碼開發。
◤ 網頁效能優化與使用者體驗提升
   能獨立執行網站效能分析與優化，改善載入速度與互動性。
   針對核心網頁體驗指標（LCP、CLS、INP）進行優化與調校。
   熟練圖片壓縮、資源懶加載（Lazy Loading）等網站前端效能最佳化。
◤ 瀏覽器渲染與性能理解
   了解瀏覽器的渲染機制與資源加載流程。
◤ 跨部門協作
   與切版師協同整合RWD視覺畫面
   與後端工程師協同整合 API 與資料處理，提升網站系統整體效能。

【必備技能 / 我們希望你】
◆ 熟悉 HTML、CSS、JavaScript 並具備前端框架實作經驗。
◆ 熟悉 ES Modules、Component-based 結構設計
◆ 熟用 Tailwind、Bootstrap 或自製元件系統
◆ 了解瀏覽器渲染流程，熟練圖片壓縮、資源懶加載、JS 分包。
◆ 能獨立debug網站前端相關問題，且有實際改善網站效能案例者佳。
◆ 具備高度自律與主動性，能自主管理進度與品質。
◆ 積極學習：持續吸收前端新技術與效能優化知識。

【加分技能】
◇ 具備 CDN 資源快取調整經驗。
◇ 熟悉前端框架提升 SEO 結構化與使用者體驗。
◇ Next.js
◇ Vue
◇ PHP
◇ Angular
◇ React

【你會喜歡這裡，因為我們】
☆ 重視創意與溝通，尊重每個人的專業與聲音。
☆ 我們重視效率，追求成果勝過加班時數。
☆ 我們提倡員工自主性，鼓勵成員在工作中主動思考並持續成長。
☆ 鼓勵開放討論與積極回饋，任何人都可以提出好點子。
☆ 成果導向：您的努力會被看見。在這裡，回報與表現成正比。
☆ 鼓勵成員持續學習新知與優化流程，一起進化不間斷。
☆ 只要你對職涯有積極成長的規劃與期待，我們非常樂意提供舞台與機會。

★具競爭力的公司福利★
◇固定年終獎金2個月
◇三節禮金
◇生日禮金
◇每年穩定調薪
◇每年享有12天(以上)特休+不扣薪病假5天
◇不定期部門聚餐
◇團康活動(運動類、益智桌遊、藝術創作)
◇員工活動

★成為正式員工額外享有★
◇一年2次績效考核獎金
◇員工團體保險
◇年度健康檢查
◇健身房補助方案,不拘,HTML、JavaScript、CSS、Github
提升專業能力
提升專業能力,網頁語法撰寫、軟體程式設計","前端工程師
、Internet程式設計師
、網頁設計師","月薪40,000~48,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8ac9g?jobsource=new_map&app_jobsource=m_time4jobs","Golang 後端開發工程師","職缺描述：
––
 - 主開發語言為Golang
 - 與團隊協作開發與維護指定專案的後端部分
 - 相關學歷/經歷/作品(Side Project可)/專案經驗或工作經驗，至少擁有一項

基本條件：
––
01. 熟悉 Golang，三年以上實務開發經驗。

02. 熟悉 API 設計及開發。

03. Game Server 撰寫經驗。

04. 有高併發、高可用、分散式服務開發經驗。

05. 團隊合作(與 PM / 前端)及良好的協作與溝通能力。

06. 具備自我精進良好心態。

加分條件(具有下列條件其中之一有加分者，越多點加越多分)：
––
01. 具備不同資料庫的經驗，如 MySQL，PostgreSQL 或 NoSQL（MongoDB）

02. 熟悉 CI / CD，有自動化佈署相關經驗 (K8s, Docker, Jenkins等)

03. 熟悉 AWS Cloud Infrastructure 應用部署(GCP亦可)

04. 具 Web Service 相關開發經驗及資訊安全處理經驗

05. 熟悉 PHP 8+ 或任意 PHP 框架

福利與制度：
––
- 彈性上下班制度。(09:00~18:00 彈性時間)。
- 平行化管理，不限制穿著。
- 不定期員工聚餐、康樂活動。
- 明亮寬敞的辦公環境。
- 冰箱、飲水機、咖啡機等完善設備。
- 每日200元午餐費用補助。
- 喝不完的飲料、吃不完的零食。,不拘,AWS、PostgreSQL、MySQL、Go、Git、Github、OOP、Linux、PHP
提升專業能力
提升專業能力,軟體程式設計、資料庫程式設計、資料庫系統管理維護、模組化系統設計、網路程式設計、結構化程式設計、伺服器網站管理維護、測試環境建置規劃、軟體整合測試、問題追蹤處理(Bug tracking)、使用者測試(Usability test)、安全性測試(Security test)、功能測試(function test)、軟體品質與保證、軟體工程系統開發、系統整合分析、系統架構規劃、資訊設備環境設定、資料備份與復原、作業系統基本操作","Internet程式設計師
、軟體工程師
、其他資訊專業人員","月薪44,000~120,000元","無需出差外派","2025-09-09","","",""
