"job-href","job","content","types","salary","business_trip","date","position_text","position_href","company"
"https://www.104.com.tw/job/7c0bx?jobsource=new_map&app_jobsource=m_time4jobs","遊戲開發工程師","1. 孰悉AE、Premiere、AI、PS等軟體。
2. 了解2D/3D、動畫、遊戲運作機制。
3. 具備C++、C#或JAVA程式語言基礎能力。
4. 具備軟、硬體整合基礎能力。
5. 樂於分享、積極學習。
6. 完成主管交辦事項。
7. 請附作品集。,具相關科系背景。,不拘,不拘","電腦繪圖人員
、多媒體動畫設計師
、電玩程式設計師","月薪30,000~50,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8ml6j?jobsource=new_map&app_jobsource=m_time4jobs","【系統研發部】資深主任後端工程師","【工作職責】
●擔任技術窗口，在開發過程中進行需求規格確認、跨組別對接討論及組內任務分配，確保研發過程及交付內容的高質量與正確性。
●擔任技術管理者，制定技術規範、維護技術文件、檢視日常任務，確保團隊協作順暢，職務代理成本最小化及開發效率最佳化。
●異常問題排查，若非上班時間發生線上異常需配合 on call 或指派相關人員進行處理，確保產品盡速恢復正常運作。

【其他條件】
● 程式語言：C# 為主，JavaScript/TypeScript、Go
● 資料庫：MySQL、PostgreSQL、MongoDB、Redis
● 容器化管理 (K8S 為主)
● 雲服務操作及管理 (GCP 為主)
● 具全端開發或設計經驗佳
● 專案管理與溝通協調
● 解決問題與持續優化,不拘,不拘,不拘","軟體工程師
、電玩程式設計師
、Internet程式設計師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8m1a9?jobsource=new_map&app_jobsource=m_time4jobs","遊戲企劃","【工作內容】
1.遊戲類型發想與設計
   遊戲特色與機制發想
   定義玩法與規則，撰寫規格文件
2.美術風格設定
   設計遊戲風格走向
3.遊戲考察與分析
   觀察市場生態
   蒐集玩家體驗
   提出具洞見的分析
4.與主管、研發、行銷...等單位，溝通確認產品或功能的需求
5.跨部門與美術、程式等相關人員溝通與協調
6.遊戲產品驗收與功能確認
7.能獨立完成簡易遊戲的完整企畫
8.其餘主管交辦事項,不拘,不拘,不拘","遊戲企劃
、電玩程式設計師
、廣告文案／企劃","月薪40,000~60,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8l1rz?jobsource=new_map&app_jobsource=m_time4jobs","Unity工程師","【工作內容】
1.可獨立作業
2.使用Unity引擎，利用C#開發遊戲 
3.主要開發手機線上遊戲
4.對於開發遊戲有熱忱及自信
 
【必備技能 】
1.熟悉Unity / C#
2.對3D遊戲製程有經驗
3.後端API串接

【加分條件】
1.附相關作品參考者尤佳
2.數理邏輯組織能力強
3.參與過建築類，卡牌RPG類型手機遊戲開發
4.對台灣獨立遊戲有高度熱忱者尤佳
5.熟悉 Shader 編寫者。
6.photon fusion使用經驗
7.Animator設定經驗
8.UI/UX設計經驗


【獎金/禮品類】
1.年終獎金(保證最低年薪): 13個月
2.三節禮金
3.專案獎金

◆ 保險類
1.勞健保、勞退

◆ 請/休假制度
1.彈性上下班(上班時間9:00~10:00/下班時間18:00~19:00)
2.週休二日
3.特休/年假
4.生理假
5.陪產假

◆ 其他
1.下午茶、生日會、中秋烤肉、聖誕餐會、尾牙活動。
2.員工聚餐
3.旅遊獎勵
4.個人進修補助,不拘,Linux、Unity3D
提升專業能力
提升專業能力,系統架構規劃、軟體程式設計","軟體工程師
、電玩程式設計師","月薪40,000~60,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8suah?jobsource=new_map&app_jobsource=m_time4jobs","遊戲推廣專員","1. 遊戲開發企劃。
2. 遊戲流程分析與優化設計。
3. 開發進度追蹤與管理。,不拘,不拘,不拘","遊戲企劃
、電玩程式設計師
、通路開發人員","月薪38,000~58,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/6ywc8?jobsource=new_map&app_jobsource=m_time4jobs","Android-App應用軟體研發工程師","Android APP 設計、開發、測試、維護：
-依照功能需求, 進行功能開發
-依照UI設計師版面, 進行UI佈署開發,1. 對這份工作展現熱誠，主動積極，能獨立思考及解決問題，具團隊合作與分享精神。
2. 對opencv影像辨識處理有開發經驗者尤佳。
3. 有工作經驗加分、對Android APP程式開發有熱忱者加入我們！
4. 依學經歷敘薪，實習者薪水依時薪算。,Android、C++、Java、Python、Kotlin、JavaScript
提升專業能力
提升專業能力,系統整合分析、軟體工程系統開發、軟體程式設計","軟體工程師
、演算法工程師
、電玩程式設計師","月薪36,000~70,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/87qug?jobsource=new_map&app_jobsource=m_time4jobs","Cocos Creator 工程師","▍職責：

1. 基於 Cocos Creator 引擎，負責專案的開發
2. 能配合團隊溝通與開發、職務內獨立作業完成
3. 負責專案上線、優化及 Bug 解決
4. 負責PC、移動平台( Android / IOS )網頁各端，優化和發佈

▍要求：

1. Cocos Creator 遊戲引擎使用經驗
2. 熟練 JavaScript / TypeScripts 其中一種語言
3. 熟悉 WebSocket、Http 等網路協定
4. 良好的編寫代碼習慣、邏輯性強、遵守開發命名規範
5. 具使用 Git 版本控制開發經驗,不拘,Git、JavaScript、Socket
提升專業能力
提升專業能力,軟體程式設計","電玩程式設計師
、軟體工程師
、Internet程式設計師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8tdxv?jobsource=new_map&app_jobsource=m_time4jobs","【遊戲設計部】資深遊戲數值企劃","★負責設計【捕魚類型產品】遊戲數值，以豐富玩家體驗與提升產品競爭力為核心價值。

【工作職責】
● 負責遊戲中相關數值的規劃、設計與創建。
● 建立遊戲數值的期望曲線及數學公式模型。
● 分析競品遊戲數值系統及趨勢，提出優化建議。
● 遊戲數值相關文件的撰寫與維護。
● 分析遊戲數據，持續調整和優化遊戲數值，完善數值的平衝與循環。


【其他條件】
● 具備對博弈理論的基礎認知，能應用於數值設計中。
● 具備數值資料統計、分析，分配等設計能力。
● 對遊戲平衡性與數值設計具備深入理解，並了解不同玩家類型的行為與偏好。
● 具備競品數值系統的分析能力，能提出具體優化建議並製作簡報提案。
● 具備清晰的表達能力與良好的邏輯思維，能與團隊有效溝通協作。
● 熱愛遊戲，並對遊戲數值與機制的研究充滿熱情。


【加分項目】
● 具博奕遊戲遊玩經驗。
● 具遊戲機率設計經驗。,不拘,不拘,不拘","統計精算人員
、數學研究員
、軟體工程師","月薪50,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8sl0z?jobsource=new_map&app_jobsource=m_time4jobs","【技術開發部】(主任)後端工程師","【工作職責】
● 使用Golang及grpc or http進行系統後端伺服器及API開發與維護。
● 負責開發多人連線網路系統。
● 後台管理介面開發及維護。
● 資料庫建置及運用。
● 網路同步機制撰寫。
● 具備K8S使用經驗。

【其他條件】
● 使用 Golang/C++/Asp.Net(MVCWeb API)/MSSQL/Redis/Postgresql 等技術。
● 具備一年以上遊戲伺服器開發經驗者佳。
● 使用 Server/Web/資料庫設計/程式設計的相關經驗。

【加分項目】
● 具備一年以上遊戲相關產業開發經驗者佳。
● 具備即時連線遊戲前後端串接流程相關經驗者佳。
● 具有獨立開發能力 (架構設計/流程設計/除錯/效能調整)者佳。,不拘,不拘,不拘","軟體工程師
、電玩程式設計師
、後端工程師","月薪60,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/82gs0?jobsource=new_map&app_jobsource=m_time4jobs","《身心障礙人才招募專區》","為增加身障朋友就業機會，設立此身心障礙人才招募專區，歡迎對本公司職缺有興趣且持有身心障礙手冊的朋友主動投遞履歷  。

● 有意應徵者請先以104系統投遞履歷，視個人學經歷媒合職缺，如有合適職務，將主動與您聯繫。(不合適者恕不另行通知)
● 其他工作機會若符合身障朋友專長或興趣，可主動投遞履歷表應徵，以增加面試機會。
● 工作地點:台中。
● 薪資依據分派之職缺、專業能力、工作屬性、過往學經歷等條件核薪。,不拘,不拘,不拘","產品企劃
、電玩程式設計師
、美術設計","月薪30,000元以上","無需出差外派","2025-09-09","","",""
